r1b1kb1r/pp1ppppp/1qn5/4P3/3P2n1/5N1P/PP3PP1/RNBQKB1R b KQkq -,g4h6 d4d5 g7g5 d5c6 g5g4 c6b7 c8b7 h3g4 h6g4 d1d4,646
r1b1kbnr/ppp1qppp/2n5/4p3/2BP4/1Q2PN2/PP3PPP/RNB1K2R b KQkq -,a7a5 d4e5 a5a4 b3c3 f7f6 e5f6 g8f6 e1h1 c8f5 f3d4,198
8/3k4/1Q6/8/3KB3/8/8/8 b - -,a7a5 d4e5 a5a4 b3c3 f7f6 e5f6 g8f6 e1h1 c8f5 f3d4,Mate
rnbqkb1r/pppp1ppp/4p2n/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,d7d6 d2d4 h6g4 h2h3 g4f6 f1d3 b8c6 d1e2 c6b4 d3c4,185
r1bqkbnr/ppp2ppp/4p3/3Pn3/2pQP3/2N5/PP3PPP/R1B1KBNR b KQkq -,e5d3 f1d3 c4d3 c1f4 f7f6 d4d3 e6e5 f4e3 f8d6 g1f3,41
rn1qk1nr/pbp2pbp/1p1pp1p1/8/3PPB2/2PB1N2/PP1N1PPP/R2QK2R b KQkq -,h7h6 d1e2 b8d7 e1h1 g8f6 h2h3 d8e7 e4e5 d6e5 d4e5,119
8/8/k7/4Q3/2K1B3/8/8/8 b - -,h7h6 d1e2 b8d7 e1h1 g8f6 h2h3 d8e7 e4e5 d6e5 d4e5,Mate
rnb1kb1r/ppq1pppp/5n2/3p4/3P4/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,e7e6 e1h1 f8d6 f1e1 e8h8 d2f1 b8c6 c2c3 e6e5 d4e5,63
8/8/2k5/8/8/4K3/8/1R6 b - -,e7e6 e1h1 f8d6 f1e1 e8h8 d2f1 b8c6 c2c3 e6e5 d4e5,Mate
rnbqk2r/pp2bppp/2p1pn2/2Pp4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,b7b6 c5b6 a7b6 c1f4 e8h8 a2a4 c8a6 b1c3 b8d7 d1b1,-30
rnbqk1nr/pppp2bp/6p1/5p2/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g8f6 d1e2 d8e7 e2e7 e8e7 f1d3 b7b6 e1h1 c8b7 f1e1,79
8/5K2/8/8/5k2/8/4Q3/8 b - -,g8f6 d1e2 d8e7 e2e7 e8e7 f1d3 b7b6 e1h1 c8b7 f1e1,Mate
8/6R1/4k3/Q7/8/4K3/8/8 b - -,g8f6 d1e2 d8e7 e2e7 e8e7 f1d3 b7b6 e1h1 c8b7 f1e1,Mate
8/8/6k1/Q7/7R/4K3/8/8 b - -,g8f6 d1e2 d8e7 e2e7 e8e7 f1d3 b7b6 e1h1 c8b7 f1e1,Mate
