r1bqk1nr/pppn1pbp/3pp1p1/8/2BPPP2/2N2N2/PPP3PP/R1BQK2R b KQkq -,a7a6 f4f5 g6f5 e4f5 e6f5 e1h1 d7b6 c4b3 g8e7 f3g5,123
r1bB1r1k/3n2bp/p2p2p1/1PpQpp1n/5P2/2N5/PP1N2PP/R3KB1R b KQ -,a8a7 b5b6 a7b7 d8c7 d7b6 d5c6 b6d7 d2c4 h5f4 c7d6,1101
r1bqkb1r/pp1ppppp/2n2n2/1P6/4P3/8/2PP1PPP/RNBQKBNR b KQkq -,f6e4 b5c6 d7c6 g1f3 c8g4 d1e2 e4f6 b1c3 e7e6 e2e3,251
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPPN1PPP/R1BQR1K1 b - -,a7a5 c2c3 d7d6 d2f1 c8e6 c4b5 c6e7 d3d4 e5d4 c3d4,26
rnbq1b1r/ppp1pkpp/3p4/8/4N3/8/PPPP1PPP/R1BQK1NR b KQ -,b8c6 d2d4 e7e6 g1f3 h7h6 e1h1 f8e7 e4g3 h8f8 d1d3,96
r1bqk2r/ppp1ppb1/2np1npp/8/3PPB2/2N2P2/PPPQ2PP/2KR1BNR b kq -,f6d7 f4e3 d7b6 h2h4 e7e5 d4d5 c6d4 h4h5 g6g5 c3b5,138
rnbqkbnr/pp3ppp/2p1p3/8/2PPB3/8/PP3PPP/RNBQK1NR b KQkq -,c6c5 d4d5 g8f6 b1c3 f6e4 c3e4 e6d5 c4d5 c8f5 e4c3,37
rnbqkb1r/pp3ppp/4pn2/2Pp4/2P5/5N2/PP1NPPPP/R1BQKB1R b KQkq -,f8c5 e2e3 e8h8 a2a3 a7a5 c4d5 e6d5 f1d3 b8d7 e1h1,-48
r1bqkb1r/pp1p1ppp/2n1pn2/8/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,f8b4 f1d3 d7d5 e4d5 e6d5 c4d5 d8d5 g1f3 b4c3 b2c3,-61
1rbq1rk1/2ppbppp/p1n2n2/1P2p3/4P3/1B3N2/1PPP1PPP/RNBQR1K1 b - -,c6a7 b5a6 d7d6 d2d4 e5d4 d1d4 c7c5 d4d3 a7c6 b1c3,521
r1bqk2r/pp1p1ppp/2n1pn2/6B1/1bBNP3/2N5/PPP2PPP/R2QK2R b KQkq -,d8a5 d4b5 f6e4 g5f4 e4c3 b2c3 b4c3 f4d2 c3d2 d1d2,-300
r1b1kbnr/pp1ppppp/2q5/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,d7d5 e1h1 c8g4 h2h3 g4f3 d1f3 e7e6 b1c3 d5d4 c3b1,48
r1bqk2r/pp1p1ppp/2n1pn2/8/1bP1P3/2NB4/PP3PPP/R1BQK1NR b KQkq -,d7d5 c4d5 e6d5 e4d5 d8d5 g1f3 b4c3 b2c3 e8h8 e1h1,-58
Q7/2k5/8/8/8/8/8/7K b - -,d7d6 g1e2 c6e5 h2h3 c8d7 a2a3 b4c5 b2b4 c5b6 c1f4,Mate
R7/8/8/8/7p/4n1k1/3K4/8 b - -,,0
rnbqkb1r/pp3p1p/3ppnp1/2p3N1/2B1P3/3P4/PPP2PPP/RNBQ1RK1 b kq -,f8g7 c2c3 b8c6 f1e1 e8h8 g5f3 c6a5 c4b5 a7a6 b5a4,-40
rnbqk2r/pppp2pp/4pb2/7Q/3P4/3B4/PPP2PPP/R1B1K1NR b KQkq -,e8f8 g1f3 b8c6 f3g5 f6g5 c1g5 d8e8 h5h4 c6b4 d3e4,214
rnbqkb1r/pp3ppp/4pn2/1Npp4/3PPB2/5P2/PPP3PP/R2QKBNR b KQkq -,d8a5 b2b4 a5b4 f4d2 b4a4 b5c7 e8d8 f1b5 a4a3 c7a8,365
1R4q1/p7/P3p1p1/4k3/2P1p1K1/4P3/8/4B3 b - -,g8h7 b8h8 h7d7 h8d8 d7d8 e1g3 e5f6 g3h4 f6e5 h4d8,Mate
rnbqkb1r/pppp1ppp/8/4N3/4n3/5P2/PPPP2PP/RNBQKB1R b KQkq -,d8h4 g2g3 e4g3 h2g3 h4g3 e1e2 g3e5 e2f2 f8c5 d2d4,-662
rn1qkb1r/pp2pppp/2p1bn2/3PN3/8/6P1/PP1PPPBP/RNBQK2R b KQkq -,e6f5 d5c6 b8c6 e5c6 b7c6 g2c6 f5d7 c6a8 d8a8 f2f3,490
rn1qkbnr/pp3pp1/2p1p1p1/3pP3/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,g8e7 c1g5 b8d7 e1h1 f7f6 g5d2 e7f5 f1e1 f6e5 d4e5,53
r2qkbnr/1pp2ppp/p1p5/4p3/4P1b1/5N2/PPPP1PPP/RNBQR1K1 b kq -,d8f6 d2d3 c6c5 c1e3 g4f3 d1f3 f6f3 g2f3 f8d6 g1f1,-39
r1b1kbnr/pp1p1ppp/1qn1p3/2p5/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,b6a5 c2c4 a7a6 a4c6 b7c6 d2d3 d7d6 e4e5 d6e5 f3e5,113
r1bqkb1r/pppppppp/2n2n2/8/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq -,a7a6 g1f3 e7e6 e2e3 g7g6 f1e2 f8g7 e1h1 e8h8 b2b4,78
r2qkb1r/pppn1ppp/4pn2/3p4/3P1B2/2PQPN2/PP3PPP/RN2K2R b KQkq -,f8e7 a2a4 c7c5 e1h1 e8h8 d3e2 h7h6 b1d2 a7a5 d2b1,-13
r2qk1nr/1pp2ppp/p1pb4/4p3/4P1b1/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,g4f3 d1f3 g8e7 d2d4 e8h8 b1d2 e5d4 c3d4 d6b4 a2a3,55
rn1qkb1r/pp2pppp/5n2/2pb4/8/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,g7g6 c3d5 d8d5 e1h1 b8c6 d2d3 f8g7 c1e3 a8c8 f3g5,163
rnbqkbnr/p2ppppp/1p6/2p5/4P3/5NP1/PPPP1P1P/RNBQKB1R b KQkq -,a7a6 f1g2 c8b7 d1e2 e7e6 e1h1 d8c7 d2d4 c5d4 f3d4,86
rnbqkb1r/pp1p1ppp/4p3/2pnP3/2BP4/2P5/PP3PPP/RNBQK1NR b KQkq -,d5b6 c4b3 c5d4 c3d4 d7d6 d1e2 d6e5 d4e5 d8c7 b1c3,71
3q1rk1/3np1bp/r2p1pp1/2pP3n/4PP1B/2N2Q2/PP1N2PP/R4RK1 b - -,a6b6 d2c4 b6b4 f3e2 h5f4 f1f4 g6g5 f4f1 g5h4 a2a3,162
rn1qkbnr/pb1ppppp/1p6/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,b8c6 f1g2 d7d5 e4d5 d8d5 e1h1 g8f6 f1e1 d5d7 a2a4,29
rn1qkb1r/pp2pppp/5n2/3p1bB1/2PP4/2N5/PP3PPP/R2QKBNR b KQkq -,d8b6 c4d5 b8d7 a1c1 b6b2 f1d3 f5d3 d1d3 b2a3 g1f3,118
rn1qkb1r/pp3ppp/2b1pn2/2p5/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,a7a6 e2e4 f8e7 f1e1 e8h8 d3d4 c5d4 f3d4 d8b6 d4b3,69
r1bqkbnr/pp1p1ppp/2n1p3/2P5/4P3/2P5/PP3PPP/RNBQKBNR b KQkq -,f8e7 c1e3 g8f6 b1d2 d8c7 f2f4 b7b6 c5b6 a7b6 f1b5,82
