rnbqkb1r/ppp2p1p/3p1n2/8/4PpNP/3P4/PPP3P1/RNBQKB1R b KQkq -,f6g4 b1c3 f8h6 g2g3 g4e3 c1e3 f4e3 d1h5 d8f6 f1e2,-661
r2r2k1/pb1n1pb1/1pp1pqpp/8/P1BP4/2N1PN2/1PQ2PPP/3RR1K1 b - -,a7a6 h2h4 a8c8 e3e4 b6b5 e4e5 f6e7 c4f1 c6c5 d4d5,-25
r1bqkb1r/1p3ppp/4pn2/p1P5/P7/1B3Q2/1PP2PPP/R1B1K1NR b KQkq -,f8c5 g1e2 c8d7 f3b7 a8c8 b7f3 d7c6 f3h3 e8h8 e1h1,-13
r2qkbnr/pp1n1ppp/2p5/4p3/4P1b1/2P2N2/PP1NBPPP/R1BQK2R b KQkq -,f8e7 e1h1 g8f6 h2h3 g4f3 e2f3 a7a5 a2a4 e8h8 d1c2,46
B7/8/k7/2B5/2K5/8/8/8 b - -,a7a5 a2a4 g8f6 e1h1 f8e7 h2h3 g4f3 e2f3 e8h8 d1c2,Mate
r3r1k1/1pp2ppp/8/3p1q2/p2P1B2/2P5/nP3PPP/R2QR1K1 b - -,e8e1 d1e1 f5f4 a1a2 f4e4 e1d1 g7g6 g2g3 b7b5 b2b3,-173
rnbqkb1r/ppp2N1p/3p1n2/8/4PppP/3P4/PPP3P1/RNBQKB1R b KQkq -,f8h6 f7d8 e8d8 b1c3 f6h5 f1e2 h8g8 e1h1 h6g7 c1f4,846
r5k1/1pp2ppp/8/3p4/p2P1q2/2P5/RP3PPP/4Q1K1 b - -,g7g6 g2g3 f4e4 e1e4 d5e4 c3c4 f7f5 f2f3 e4f3 g1f2,-175
r1bqnrk1/pp3ppp/4p3/2NnN1P1/3P3P/1B3Q2/PP3P2/2R1R1K1 b - -,d5e7 h4h5 e8d6 f3g2 e7d5 h5h6 g7g6 a2a3 d5f4 g2g4,157
rnbqkb1r/1p2pppp/p1p2n2/3p4/2PP4/2N2N2/PP1BPPPP/R2QKB1R b KQkq -,f6e4 e2e3 e4d2 d1d2 c8f5 f1d3 f5d3 d2d3 e7e6 c4c5,41
r2qkb1r/3npppp/ppB2n2/3pN1B1/3Pb3/1Q6/PP3PPP/RN2K2R b KQkq -,d8c8 e1h1 e4f5 b1c3 f5e6 c3a4 a8b8 a1c1 c8d8 g5f4,761
r1bqk2r/ppp2ppp/2n2n2/3p4/1b3B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,f6e4 f1b5 e8h8 e1h1 e4c3 b2c3 b4c3 a1b1 c6a5 f4g5,-98
r1bqnrk1/pp4pp/4ppP1/2NnN3/3P3P/1B3Q2/PP3P2/2R1R1K1 b - -,h7h6 e5f7 f8f7 g6f7 g8f7 c5e6 c8e6 e1e6 f7e6 f3e4,850
8/5RK1/6P1/4k3/8/8/8/6r1 b - -,e5e4 f7f6 e4e5 g7f7 g1c1 g6g7 c1c7 f7g6 c7c8 f6f3,20000
8/r4p2/5bkp/R3R3/P4PP1/2p5/2K5/8 b - -,a7a5 e5a5 f6d4 a5d5 d4e3 d5f5 e3d4 a4a5 g6g7 a5a6,620
r1bq1rk1/pp3pbp/2npp1p1/3nP3/3P4/P2B1N2/1P2QPPP/RNB1R1K1 b - -,d6e5 d4e5 f7f6 e5f6 d8f6 e2f1 b7b6 b1d2 c8b7 d3c4,41
r1bqkb1r/p2npp1p/2pp1np1/8/Np1PP3/4BP2/PPPQ2PP/2KR1BNR b kq -,d8c7 d2b4 f8g7 b2b3 e8h8 g1e2 c8a6 c2c4 a8b8 b4a3,93
rnbqkbnr/pp3ppp/8/2p1N3/2pPP3/8/PP3PPP/RNBQKB1R b KQkq -,f8d6 b1c3 c5d4 d1d4 d8f6 f2f4 g8e7 c1e3 e8h8 e5f3,243
r3qrk1/1b1n2p1/p3pn1p/Ppp5/2p1PP1N/2P1B1P1/2Q3BP/R2R2K1 b - -,f8f7 d1d6 e6e5 f4f5 a8c8 a1d1 d7f8 e3c1 f7d7 d6d7,-67
B7/p3kpp1/8/2P1p1p1/6nq/2N1B3/P1P2PPr/R2R1K2 b - -,g4e3 f2e3 h2h1 f1e2 h4c4 e2d2 h1h8 c3d5 e7e6 a1b1,-56
rnbqkb1r/pp3ppp/5n2/3pN3/8/3PB3/PPP2PPP/RN1QKB1R b KQkq -,d5d4 e3d2 c8e6 f1e2 d8b6 b1a3 f8a3 b2a3 e8h8 e1h1,61
