r3k3/1p1n1p1p/NbbBp3/6r1/6p1/4P3/PP3PPP/2RR1BK1 b - -,h7h5 a6b4 c6b5 d6c7 b5f1 g1f1 g5b5 a2a3 b6c5 c7d6,188
8/5k2/1R6/5PK1/8/8/8/r7 b - -,,0
r1bb2rk/p2n3p/q1p2p1Q/6N1/2p5/2B5/PPP2PPP/2KR3R b - -,g8g5 h6g5 a6b5 g5h6 h8g8 h1e1 b5g5 h6g5 f6g5 e1e8,Mate
rnb1kbnr/pppp3p/5R2/8/2Q5/4B3/P1P3PP/RN4K1 b - -,f8e7 f6f1 c7c6 b1c3 d7d6 a1e1 b8d7 e3d4 d7e5 d4e5,1164
r1b1kb1r/1pqp1ppp/p1n1pn2/2p5/2P1P3/P1NP1N1P/1P3PP1/R1BQKB1R b KQkq -,b7b5 c4b5 a6b5 c3b5 c7b6 b5c3 d7d5 e4d5 e6d5 f1e2,27
rnb1k2r/1pp1ppbp/p2q1np1/8/3P4/2NB1N2/PPP2PPP/R1BQR1K1 b kq -,c8g4 c3e4 f6e4 d3e4 c7c6 c2c3 e8h8 h2h3 g4e6 c1g5,80
2r1k3/1p4pp/p1npp3/P3p3/1P2P3/2RNP3/2P3PP/6K1 b - -,e8d7 g1f1 c6b8 c3c8 d7c8 f1e2 b8d7 e2d2 c8c7 d2c3,-35
8/5K2/5Q2/8/8/3k4/8/8 b - -,g7g5 g1f1 e8d8 f1e2 h7h5 e2d2 g5g4 c3b3 c6e7 b3c3,Mate
r1bk3r/1ppp1ppp/p4n2/8/2PPq3/8/P3BPPP/R1BQ1RK1 b - -,d7d5 c1g5 e4g6 d1d2 h8e8 e2f3 h7h6 g5h4 c8f5 f1e1,140
r2qk2r/2p1b1pp/p1n1n1p1/1p1pP3/5P2/2P4P/PP1N2PN/R1B1QRK1 b kq -,e8h8 d2b3 a6a5 h2f3 e6f4 f3d4 c6d4 b3d4 f4d3 f1f8,-44
rnbqkb1r/3p1ppp/1P3n2/4p3/1P6/P7/4PPPP/RNBQKBNR b KQkq -,f8b4 c1d2 b4c5 e2e3 e8h8 a3a4 d8b6 f1b5 d7d5 g1e2,-84
r2q1rk1/1p2npbp/2n1b1p1/p1p1p3/4N3/P2PN1P1/1P2PPBP/1RBQ1RK1 b - -,e6c8 e4c5 a8a7 e3c4 b7b5 c4d2 d8b6 b2b4 a5b4 a3b4,90
8/1k6/3K4/8/6N1/8/8/6B1 b - -,b7b8 d6d7 b8b7 g1d4 b7a8 g4f6 a8b7 d7d6 b7c8 d6c6,230
r1bqk2r/p1ppbppp/2p2n2/6B1/3QP3/2N5/PPP2PPP/R3KB1R b KQkq -,a8b8 e1a1 h7h6 g5h4 e8h8 e4e5 f6d5 h4e7 d8e7 c3d5,87
8/1k6/3P3p/p3K3/p1p4B/2P5/6PP/2b5 b - -,a4a3 d6d7 a3a2 d7d8q c1f4 e5f4 a2a1q d8d7 b7b8 h4g3,769
8/8/6k1/p2K2P1/P7/8/8/8 b - -,g6g5 d5c4 g5f6 c4b5 f6e7 b5a5 e7d8 a5b6 d8c8 a4a5,Mate
8/8/8/8/8/6k1/3r4/R5K1 b - -,,0
7k/p7/8/1P6/4K1p1/8/8/8 b - -,,0
r1bqk2r/ppp2ppp/2n1pn2/3p4/1b6/2NP1NP1/PPP1PPBP/R1BQ1RK1 b kq -,e6e5 c1g5 b4c3 b2c3 h7h6 g5f6 d8f6 f3d2 c8e6 a1b1,17
r1bqkb1r/pp1pnppp/2n5/1Bp1p3/4P3/1P3N2/P1PP1PPP/RNBQ1RK1 b kq -,a7a6 b5c6 e7c6 b1c3 d7d6 d2d3 f7f5 c1g5 f8e7 g5e7,-40
r1bqk2r/1pppbppp/p1N2n2/1B6/4P3/8/PPP2PPP/RNBQ1RK1 b kq -,d7c6 d1d8 e8d8 b5d3 c8e6 b1c3 f6d7 c3e2 f7f6 c1e3,30
r2q1rk1/pp3ppp/4pn2/3pBb2/1Q1P4/4P3/PP3PPP/R3KB1R b KQ -,a7a6 f1e2 a8c8 e1h1 c8c2 e2d1 c2c6 b4b7 c6b6 b7a7,68
rn1qkb1r/pp2pppp/3pBn2/8/4P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,f7e6 d1b3 d8d7 e1h1 b8c6 f1d1 c6a5 b3c2 a5c6 c1f4,175
6k1/5p1p/6p1/5b2/2p5/1p2PKP1/1P1R1P1P/2rB4 b - -,c1c2 d2c2 b3c2 d1c2 f5c2 f3e2 c2d3 e2d2 d3f1 g3g4,-447
rn1qkb1r/1p3ppp/p2pbn2/4p1B1/4P3/1NN5/PPP2PPP/R2QKB1R b KQkq -,h7h6 g5f6 d8f6 b3a5 b8c6 a5c4 f6g6 c4e3 f8e7 f1d3,49
rn1qkb1r/pp3ppp/4pn2/2pp4/3P4/2P2BP1/PP2PP1P/RNBQ1RK1 b kq -,b8c6 f3g2 c5d4 c3d4 f8e7 b1c3 a8c8 e2e3 h7h5 h2h4,5
r1bqkb1r/p4ppp/2pppn2/2p5/4P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,c5c4 d3c4 f6e4 f1e1 d6d5 c4d5 c6d5 c2c4 f8c5 c1e3,26
rnb1kbnr/5ppp/pq2p3/2pp4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,c5c4 e2e4 f8d6 f4d6 b6d6 b2b3 d6b4 d1d2 c4b3 e4d5,40
