8/8/2p1pb2/1pPp1p1k/pP1P1P2/P1BP2K1/8/8 b - -,f6e7 g3f3 e7h4 c3d2 h4f6 d2c3 h5h4 c3a1 h4h3 a1c3,-1079
5K2/2k1P3/8/8/3r4/3p4/8/3R4 b - -,d4h4 e7e8q h4h8 f8f7 h8e8 f7e8 c7d6 d1d3 d6c5 e8f7,9605
r1bk3r/pp2bppp/2n1pn2/1N4B1/1P6/2P2N2/P4PPP/R3KB1R b KQ -,c8d7 e1a1 h7h6 g5e3 f6g4 f1c4 g4e3 f2e3 a7a6 b5d6,-38
4K3/2k1P3/8/8/5r2/3p4/8/3R4 b - -,f4f2 d1d3 f2f1 d3h3 c7b6 h3h6 b6c5 h6e6 f1h1 e8d7,652
4K3/2k1P3/8/8/8/3p1r2/8/2R5 b - -,c7b7 e8d8 f3e3 e7e8q e3e8 d8e8 b7a6 c1d1 a6b5 d1d3,9605
rnbq1rk1/pp2ppbp/2Pp1np1/6N1/4P3/2N5/PPP2PPP/R1BQKB1R b KQ -,b7c6 f1c4 e7e6 f2f4 d6d5 e4e5 d5c4 d1d8 f8d8 e5f6,-57
3r4/ppq1p1kp/4Rpp1/3P1P2/8/4Q3/PP3P1P/1K6 b - -,,0
8/1k6/8/1N1K4/8/8/7B/8 b - -,d8d7 a2a4 b7b6 f5g6 h7g6 e3e4 g7f8 e4h4 f8g7,Mate
r1b1k2r/pp1nbppp/1qn1p3/3pP3/3P4/P2B1N2/1P1N1PPP/R1BQ1RK1 b kq -,e8h8 d2b3 a7a5 c1e3 a5a4 b3c1 c6a5 f3g5 f7f5 d1a4,73
8/ppqrp1kp/3PRpp1/5P2/8/4Q3/PP3P1P/1K6 b - -,,0
6B1/8/2k5/8/3KN3/8/8/8 b - -,c6d7 d4e5 d7c6 g8c4 c6d7 c4d5 d7e7 e4c5 e7f8 e5f6,20000
8/1p3rk1/p4pp1/2qR4/5P2/P7/1P1Q3P/1K6 b - -,c5c4 d5d4 c4e6 d2b4 f7d7 d4d7 e6d7 a3a4 b7b5 b1a2,-23
8/1p1R1rk1/p4pp1/8/2q2P2/P7/1P1Q3P/1K6 b - -,c4e6 d7d8 e6e4 b1a2 f7e7 d2c3 e4e6 c3b3 e6f7 d8d3,-30
8/1p3rk1/p1qR1pp1/8/5P2/P7/1P1Q3P/1K6 b - -,c6e4 b1a1 f7e7 d6d7 e4e6 d7e7 e6e7 d2d5 e7c7 a3a4,-31
8/1p3rk1/p2R1pp1/8/4qP2/P7/KP1Q3P/8 b - -,f7e7 d2c1 e4f5 c1c4 b7b5 c4d4 a6a5 d6d5 f5e6 a2b1,-10
r2qk2r/1p3ppp/p1nbpn2/3pN3/3P1B2/2NQP3/PP3PPP/R4RK1 b kq -,c6a7 f4g5 a7c8 e5g4 d6e7 g4f6 e7f6 g5f6 d8f6 c3a4,28
r1bqkb1r/pp1n1ppp/2p1pn2/4N3/2pP1P2/2N1P3/PP4PP/R1BQKB1R b KQkq -,b7b5 e5c6 d8b6 c6e5 c8b7 f1e2 b7g2 h1g1 g2b7 a2a4,-80
rnb1kbnr/pp1ppp1p/6p1/q1p5/4P3/2P2N2/PP1PBPPP/RNBQK2R b KQkq -,d7d5 e4d5 g8f6 d1b3 f8g7 e1h1 e8h8 c3c4 e7e6 d5e6,115
8/4k3/8/7K/8/8/6P1/8 b - -,d7d5 e4d5 g8f6 d1b3 f8g7 e1h1 e8h8 c3c4 e7e6 d5e6,Mate
rnb1kb1r/ppp2ppp/3q1n2/4p3/2B5/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,e5e4 f3g5 c8g4 f2f3 g4h5 g5e4 f6e4 c3e4 d6e7 d2d4,232
8/8/8/3K4/8/4Q3/8/k7 b - -,e5e4 f3g5 c8g4 f2f3 g4h5 g5e4 f6e4 c3e4 d6e7 d2d4,Mate
rnbqkbnr/pppp2pp/4p3/5p2/8/4PNP1/PPPP1P1P/RNBQKB1R b KQkq -,d7d5 c2c4 c7c6 d2d4 f8d6 f1g2 g8f6 e1h1 b7b6 b1c3,45
