1r4rk/1p1N2q1/p4n1p/P2P4/3Q3N/5n2/5PBP/2RR1K2 b - -,b8d8 g2f3 d8d7 h4f5 g7g5 f5g3 g5g7 d5d6 g8d8 f3e2,585
8/R5p1/6k1/4pp2/8/3r3P/5PK1/8 b - -,e5e4 h3h4 g6h6 a7a8 g7g6 a8h8 h6g7 h8a8 g7f7 a8b8,-39
r2q1rk1/pp2bppp/3pbn2/2p5/7P/P1PBBN2/1PPQ1PP1/2KR3R b - -,a8b8 h4h5 b7b5 e3f4 a7a5 f3g5 c5c4 h5h6 g7g6 d3e4,34
rnbqkb1r/pp2pp1p/3p1np1/2p5/2PPPP2/2N5/PP4PP/R1BQKBNR b KQkq -,c5d4 d1d4 f8g7 d4d2 e8h8 f1d3 e7e5 g1e2 e5f4 e2f4,-68
r1bq1rk1/pp1pn1pp/1bn1p3/5p1Q/4P3/PNNBB3/1PP2PPP/R3K2R b KQ -,f5e4 d3e4 h7h6 e1a1 d7d5 h1e1 c8d7 e4f3 e7f5 e3c5,18
r2q1rk1/ppp2pp1/2npbn1p/2b1p3/4P3/1BNP1N1P/PPPB1PP1/R2Q1RK1 b - -,e6b3 a2b3 d6d5 e4d5 f6d5 c3e4 c5e7 e4g3 f8e8 f1e1,-17
r3kb1r/pp1n1ppp/2p1p1N1/q7/3P1Q2/2P5/PP3PPP/R1B1KB1R b KQkq -,f8d6 f4d6 h7g6 f1e2 e8a8 d6g3 d7f6 e1h1 f6h5 g3e3,471
r1bqk1nr/ppp3pp/2Nb1p2/3p4/3Pp3/1P2P3/PBP2PPP/RN1QKB1R b KQkq -,b7c6 c2c4 f6f5 b1c3 g8f6 d1d2 a7a5 c3a4 d5c4 f1c4,8
rnbqkb1r/ppp1np1p/4p1p1/3p4/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,f8g7 d1d2 c8d7 f1d3 d5e4 c3e4 d7c6 h2h4 h7h6 e1a1,82
r6r/pppkqppp/3p1n2/3Pp1B1/7Q/8/PPP2PPP/R4RK1 b - -,c7c6 d5c6 b7c6 f2f4 e5e4 h4h3 e7e6 f4f5 e6c4 a1d1,21
r6r/pppkqpp1/3p1B1p/3Pp3/7Q/8/PPP2PPP/R4RK1 b - -,,0
r6r/pppk1pp1/3p1q1p/3Pp3/Q7/8/PPP2PPP/R4RK1 b - -,,0
r1k4r/ppp2pp1/3p1q1p/3Pp3/Q4P2/8/PPP3PP/R4RK1 b - -,,0
r1bqkb1r/ppp3pp/2n2p2/3pp3/3Pn3/1BP2N2/PP2QPPP/RNB1K2R b KQkq -,d8d6 d4e5 f6e5 e1h1 c8e6 f1e1 e8a8 b3c2 d6d7 c2e4,-72
r1bqkbnr/4pp1p/p1p3p1/2ppP3/8/5N2/PPPP1PPP/RNBQR1K1 b kq -,c8g4 d2d3 g4f3 d1f3 e7e6 b1d2 g8e7 f3f6 h8g8 f6h4,60
rnbq1rk1/pp2ppbp/3p1np1/2p1P3/3P4/3B1N2/PPP2PPP/RNBQ1RK1 b - -,f6d7 e5d6 e7d6 d4d5 b8a6 c2c4 b7b5 c4b5 a6b4 c1g5,24
r1b2rk1/ppqnppbp/3p1np1/2p2P2/3P4/2PBPN2/PP1N2PP/R1BQ1RK1 b - -,c5d4 e3d4 b7b5 d1e1 b5b4 c3b4 g6f5 b4b5 d7b6 d2b3,35
rnbqkbnr/5ppp/p3p3/1pp5/3pPP2/3P1NP1/PPP1N2P/R1BQKB1R b KQkq -,g8f6 h2h3 c8b7 f1g2 b8c6 e1h1 d8b6 g3g4 c5c4 e2g3,-15
rnbqkb1r/ppp1n3/5p2/3p2pp/3P1B2/3QP3/PPP1NPPP/RN2KB1R b KQkq -,b8c6 d3b3 h5h4 b1c3 f8h6 f4g3 h4g3 e2g3 f6f5 f1e2,-184
rnbqkbnr/pp1p1ppp/4p3/8/3P4/5P2/PP2P1PP/RNBQKBNR b KQkq -,d7d5 b1c3 b8c6 e2e3 f8d6 f3f4 a7a6 g1f3 b7b5 f3e5,-13
rnbq1rk1/ppp2ppp/3b1n2/4N3/3PpP2/8/PPP1B1PP/RNBQ1RK1 b - -,c7c5 b1c3 b8c6 e5c6 b7c6 c1e3 c5d4 d1d4 d8e7 a1d1,-15
8/8/r2k2pp/P7/3R4/3K2P1/5P2/8 b - -,d6c5 d4a4 c5b5 a4a1 b5c6 d3e4 c6d6 a1a3 d6e7 f2f4,241
6k1/3R4/6p1/7p/6P1/r6P/5PK1/8 b - -,h5g4 h3g4 a3c3 d7b7 c3a3 f2f3 a3a5 g2f2 a5e5 f3f4,3
2r5/6p1/3np1k1/3p2p1/1p1P2P1/3KP3/1Pr2R2/1R1N4 b - -,b4b3 b1a1 d6e4 f2e2 c8c4 a1b1 c2e2 d3e2 c4c2 e2e1,-506
rn1qkb1r/ppp2ppp/2b1p3/4P3/2P5/4Q3/PP1P1PPP/R1B1KBNR b KQkq -,b8d7 d2d4 f7f6 e5f6 f8b4 c1d2 b4d2 e3d2 d8f6 e1a1,87
rnb1kb1r/ppp1qppp/5n2/3p4/4P3/1QNP4/PP3PPP/R1B1KBNR b KQkq -,d5d4 c3b5 e7d8 g1f3 b8c6 b3a4 c8g4 b5d4 f8b4 c1d2,-25
rnbqkbnr/pppp4/5p1p/6P1/3PPp2/5N2/PPP3P1/RNBQKB1R b KQkq -,f6g5 b1c3 f8b4 d1d3 d7d5 c1d2 b4c3 d2c3 g8f6 e4d5,148
r1b1kb1r/ppp1qppp/2np1n2/8/2B1PB2/3P1N2/PPP3PP/RN1Q1RK1 b kq -,c8g4 c4b5 a7a6 b5c6 b7c6 d1e1 f6h5 f4g5 e7d7 e4e5,100
1r6/1p1nknp1/p7/6Np/P1B5/1P4P1/2P4P/2K1R3 b - -,f7e5 c4f1 e7d6 e1d1 d6e7 h2h4 b7b5 a4a5 e5c6 d1e1,411
rnb2rk1/ppq2pp1/2pb1p1p/8/3P4/2PB3P/PPQ1NPP1/R1B1K2R b KQ -,f8d8 e1h1 c6c5 d4c5 d6c5 c1f4 c5d6 f4d6 d8d6 e2d4,65
