r2qk2r/ppp2p2/3pbp1p/4p3/2BnPP2/N1P5/PP4PP/R2Q1RK1 b kq -,c7c5 c3d4 e5d4 c4e6 f7e6 e4e5 d6e5 f4e5 f6f5 a3b5,415
r2qk2r/ppp2p2/3p1p1p/4p3/2NnPP2/2P5/PP4PP/R2Q1RK1 b kq -,d6d5 e4d5 d8d5 d1d3 h8g8 g2g3 e8a8 c3d4 e5d4 c4d2,278
2N2k2/1p3p2/p3n1p1/4K2p/1P6/P7/5PPP/8 b - -,e6d8 e5d6 d8e6 d6d7 e6d4 d7c7 b7b5 c7b7 d4c2 b7a6,258
4k3/2K5/8/7Q/8/8/8/1r6 b - -,e6d8 e5d6 d8e6 d6d7 b7b5 d7c6 f8e8 c8a7 e6d4 c6b7,Mate
1rbq1rk1/1p2npbp/2np2p1/p1p1p3/2P1P3/P1NPB1P1/1P2NPBP/1R1Q1RK1 b - -,c8g4 h2h3 g4e6 g1h2 b7b6 d1d2 d8d7 f2f4 c6d4 f4e5,14
r2qk2r/ppp2p2/3pn2p/4p3/2N1P3/1QP5/PP4PP/R4RK1 b kq -,a7a6 b3b7 e8h8 b7d5 a8b8 b2b3 e6f4 d5c6 d8g5 g2g3,95
1k1r4/1p5p/4p3/3pP1p1/2p3R1/P1P5/1P4PP/7K b - -,d8f8 h2h4 g5h4 h1g1 f8f5 g4h4 h7h5 g2g4 h5g4 h4g4,-211
5k2/1p3p2/p2Nn1p1/4K3/1P5p/P7/5PPP/8 b - -,f8e7 d6b7 f7f6 e5e4 f6f5 e4e5 h4h3 g2h3 e6g5 b7c5,347
1r1q1rk1/ppp2p2/3pn2p/4pR2/4P3/1QP1N3/PP4PP/R5K1 b - -,g8g7 b3d1 g7h7 e3g4 f8g8 g4f6 h7h8 f6g8 d8g8 d1h5,289
3R4/8/8/8/2p5/2k5/5r2/1K6 b - -,,0
1k3r2/1p5p/4p3/3pP1p1/2p3R1/P1P5/1P4PP/6K1 b - -,f8f5 h2h4 g5h4 g4h4 h7h5 g2g4 h5g4 h4g4 f5e5 g1f2,-226
8/8/8/4B3/8/6K1/5N2/7k b - -,f8g8 h2h4 h7h6 h4g5 h6g5 g1h2 b8c7 g4g3 g5g4 g3e3,Mate
r1bqk2r/pppp1ppp/5n2/2b1n3/2P1PP2/2N5/PP4PP/R1BQKBNR b KQkq -,e5g4 g1h3 e8h8 f1e2 d7d5 c4d5 f8e8 e4e5 c8f5 d1b3,-120
8/6pP/6P1/6K1/4k3/8/5p2/8 b - -,e5c6 e4e5 f6g8 d1g4 g7g6 c1d2 d7d5 g4g3 g8e7 e1a1,Mate
8/8/3K1k1Q/8/8/8/8/8 b - -,e5c6 e4e5 f6g8 d1g4 g7g6 c1d2 d7d5 g4g3 g8e7 e1a1,Mate
r7/4PK2/8/4N3/8/1p6/2k5/7R b - -,a8c8 h1h2 c2c3 h2h3 c3d4 e5c6 d4d5 c6d8 c8c7 h3b3,9605
r7/4PK2/8/8/2N5/8/1pk5/7R b - -,a8a7 h1h2 c2c1 c4b2 a7b7 b2c4 b7d7 f7f8 d7d3 h2h1,1138
5k2/5p2/p2NnKp1/1p6/1P5p/P7/5PPP/8 b - -,e6d4 d6f7 d4c2 f7e5 c2a3 e5g6 f8e8 g6e5 a3c2 e5d3,385
r3Q3/5K2/8/4N3/8/8/1pk5/7R b - -,a8e8 f7e8 b2b1r h1b1 c2b1 e8e7 b1c1 e5c4 c1c2 e7d6,Mate
r2q1rk1/1p2npbp/p1npb1p1/3Np3/2P1P3/2NBB3/PP3PPP/R2Q1RK1 b - -,a8c8 e3b6 d8d7 a2a4 f7f5 a4a5 g8h8 a1a4 f8f7 f2f3,81
2q4r/4kpp1/p1N1pnPp/3p4/p1b1nP2/2P1Q2P/2P3B1/1R2R1K1 b - -,c8c6 g2e4 d5e4 e3a7 f6d7 a7d4 f7f6 e1e4 h8c8 b1b4,-433
8/8/8/5p2/5N2/1K1N4/8/1k6 b - -,c8c6 g2e4 d5e4 e3a7 f6d7 a7d4 f7f6 e1e4 h8c8 b1b4,Mate
r7/4PK2/8/8/8/N7/2k5/1q5R b - -,c2d3 a3b1 d3e4 e7e8q a8e8 f7e8 e4f5 h1h3 f5e6 h3h6,Mate
1rbqrbk1/2p2pp1/p1np1n1p/1p6/P2NP3/2P5/1PB2PPP/R1BQRNK1 b - -,c8b7 a4b5 c6d4 c3d4 a6b5 f2f3 c7c5 c1e3 g7g6 d1d2,30
rnbqk1nr/ppp2p1p/3p3b/8/4PppP/2NP4/PPP3P1/R1BQKBNR b KQkq -,c7c6 d3d4 d8f6 f1d3 a7a6 c1d2 f6d4 c3e2 d4b6 e2f4,-72
8/1Q4k1/3K4/4N3/8/8/8/8 b - -,c7c6 d3d4 d8f6 f1d3 a7a6 c1d2 f6d4 c3e2 d4b6 e2f4,Mate
1r1q1bk1/2pb1pp1/p1n2n1p/5N2/P4Q2/2P3N1/2B2PPP/R1B3K1 b - -,d7e6 h2h3 e6b3 c2b3 b8b3 f4f3 c6e5 f3e2 e5d3 c1e3,-11
8/8/8/8/6Np/8/4K1k1/5N2 b - -,d7c8 h2h3 c8e6 f4f3 c6e5 f3e2 d8d5 f5d4 e6d7 c1f4,Mate
8/4P3/6K1/8/8/5r2/2k5/1R6 b - -,f3g3 g6f5 c2b1 e7e8q g3b3 e8e2 b3b2 e2f1 b1c2 f1c4,Mate
rnb1kbnr/ppp2ppp/3ppq2/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,f6g6 b1c3 f7f5 e2e3 g8f6 h2h4 f8e7 h4h5 g6f7 h5h6,94
8/4P3/8/5K2/8/6r1/2k5/1R6 b - -,g3e3 b1b7 c2c3 b7d7 e3e1 f5f6 c3c4 d7d8 e1f1 f6e6,Mate
rnb1kb1r/pp3ppp/4p3/3q4/3N4/4B3/PP2PPPP/R2QKB1R b KQkq -,f8b4 e3d2 d5d4 d2b4 d4b4 d1d2 b8c6 a1d1 b4d2 d1d2,-501
r1bqk2r/pp3p1p/2ppnp2/8/2B1P2P/2N2Q2/PPP3P1/R4RK1 b kq -,e8h8 f3f6 d8f6 f1f6 a7a5 a1f1 b7b5 c4d3 a8a7 h4h5,104
8/4P3/8/8/4K3/5r2/2k5/1R6 b - -,e8h8 f3f6 d8f6 f1f6 a7a5 a1f1 b7b5 c4d3 a8a7 h4h5,Mate
1r1q1bk1/2p2p2/p4n1p/5Np1/P1b5/2PnB1N1/2B2PPP/R2Q2K1 b - -,d3b2 d1d8 b8d8 a1b1 b2d3 b1d1 c7c5 h2h4 g5h4 f5h4,82
r1b1kb1r/ppppqppp/2n2n2/6B1/3PP3/5N2/PP3PPP/RN1QKB1R b KQkq -,e7e4 f1e2 f8b4 b1c3 b4c3 b2c3 f6d5 e1d2 f7f6 e2d3,-48
rnbqkb1r/pp2pppp/3p1n2/2pP4/2P3P1/8/PP2PP1P/RNBQKBNR b KQkq -,c8g4 h2h3 g4c8 b1c3 g7g6 e2e4 f8g7 g1e2 e7e6 c1g5,-127
1r1q1bk1/2p2p2/p6p/3n1Np1/P1bB4/2Pn2N1/2B2PPP/R2Q2K1 b - -,d3f2 d1h5 f2g4 h5g4 d5f4 f5e3 c4b3 c2e4 b3e6 g4f3,385
r1b1kb1r/pppp1ppp/2n2n2/6B1/3Pq3/5N2/PP2BPPP/RN1QK2R b KQkq -,f8b4 b1c3 b4c3 b2c3 f6d5 e1d2 f7f6 e2d3 e4g4 h2h3,-41
8/8/2k1PK2/8/8/8/8/3n4 b - -,d1e3 e6e7 e3d5 f6f7 d5e7 f7e7 c6c5 e7f7 c5c4 f7e6,Mate
8/8/8/8/K2p4/N2N4/8/k7 b - -,d1e3 e6e7 e3d5 f6f7 d5e7 f7e7 c6c5 e7f7 c5c4 f7e6,Mate
8/8/8/8/K1Np4/3N4/k7/8 b - -,d1e3 e6e7 e3d5 f6f7 d5e7 f7e7 c6c5 e7f7 c5c4 f7e6,Mate
r2nk2r/ppp2p1p/4bR2/4p3/2B1P3/8/PPPN2PP/R5K1 b kq -,e6g4 d2f1 e8h8 f1e3 g4e6 a1d1 g8g7 f6f3 e6c4 e3c4,140
8/4k3/8/1p2PK2/p3P3/P7/1P6/8 b - -,e6g4 d2f1 e8h8 f1e3 g4e6 a1d1 g8g7 f6f3 e6c4 e3c4,Mate
8/8/8/8/2Np4/1K1N4/8/1k6 b - -,e6g4 d2f1 e8h8 f1e3 g4e6 a1d1 g8g7 f6f3 e6c4 e3c4,Mate
8/8/8/8/1NNp4/1K6/8/k7 b - -,e6g4 d2f1 e8h8 f1e3 g4e6 a1d1 g8g7 f6f3 e6c4 e3c4,Mate
r1bqkbnr/ppp2ppp/3p4/1B2n2Q/4P3/8/PPP2PPP/RNB1K1NR b KQkq -,c7c6 b5d3 d8a5 e1f1 f8e7 h5e2 f7f5 c1d2 a5b6 b1c3,-108
r1bqk2r/pppp1ppp/2n2n2/8/2P1P3/2P3P1/P3PPBP/R1BQK1NR b KQkq -,h7h6 g1h3 d7d6 h3f4 f6d7 f4d5 e8h8 d5e3 c6a5 f2f4,58
rnb1kb1r/ppp1qppp/8/4Q3/2BPp3/8/PPP2PPP/R1B1K1NR b KQkq -,a7a5 e5e7 f8e7 g1e2 b8d7 a2a4 d7b6 c4b3 c7c6 e1h1,44
3q2k1/4bp2/p1Q4p/Pr4pN/3P4/8/1nB2PPP/R6K b - -,g5g4 c6h6 b5h5 h6h5 d8d4 a1e1 b2d3 c2d3 d4d3 h5g4,539
r1bk3r/pp3p1p/2p1nR2/4p3/2B1P3/2N5/PPP3PP/R5K1 b - -,e6d4 f6f7 d4c2 a1d1 c2d4 c3e2 b7b5 e2d4 e5d4 c4e2,237
rnbqkbnr/3p1ppp/p3p3/1pp5/3PP3/P1N5/1PP1NPPP/R1BQKB1R b KQkq -,h7h6 d4d5 g8f6 c1e3 c8b7 e2g3 d7d6 f1e2 e6d5 c3d5,64
n4k2/6pp/1p1p1p2/2pPp3/N1P1PP2/1P4P1/6KP/8 b - -,f8e8 f4f5 g7g5 f5g6 h7g6 g2h3 e8f7 g3g4 g6g5 a4c3,52
rnbqkb1r/ppp1pppp/5n2/6B1/8/2NQ4/PPP2PPP/R3KBNR b KQkq -,d8d3 f1d3 e7e6 e1a1 c8d7 f2f4 h7h6 g5h4 b8c6 g1f3,-96
r2q1rk1/pp1bppbp/3p1np1/2p5/2BNPP2/2NP4/PPP3PP/R1B1QRK1 b - -,c5d4 c3d5 f6d5 c4d5 a8c8 e1f2 e7e6 d5b3 b7b5 a2a4,-21
r1b2rk1/pp1pppbp/3q1np1/8/3QP3/PBN1B2P/1PP2PP1/R4RK1 b - -,d6d4 e3d4 d7d6 a1d1 f8d8 e4e5 d6e5 d4c5 d8d7 d1d7,35
r1b2rk1/pp1pppbp/5np1/8/3BP3/PBN4P/1PP2PP1/R4RK1 b - -,d7d6 a1d1 b7b6 f2f4 f8d8 e4e5 f6e8 f1e1 g8f8 c3e4,36
Q2K4/8/2R5/1k6/8/8/8/7r b - -,h1h8 d8e7 h8a8 e7d7 b5a5 c6c4 a8a7 d7e6 a7h7 e6d5,Mate
r2qk2r/ppp2p1p/4np2/4p3/2N1P3/2P5/PP4PP/R2Q1RK1 b kq -,b7b5 c4e3 d8d1 a1d1 e8h8 f1f6 a8d8 d1d5 c7c6 d5e5,55
r3k2r/ppp2p1p/4np2/4p3/2N1P3/2P5/PP4PP/3R1RK1 b kq -,e6c5 f1f6 c5e4 f6f5 f7f6 c4e5 e8h8 e5g4 g8g7 f5f4,47
r1b2rk1/pp2ppbp/3p1np1/8/3BP3/PBN4P/1PP2PP1/3R1RK1 b - -,c8d7 f2f4 f8d8 e4e5 f6e8 c3d5 e7e6 d5f6 e8f6 e5f6,49
2kr1b1r/ppp2ppp/2B1b3/3pq3/8/2P1BQP1/PPP1N2P/2KR3R b - -,h7h6 c6a4 f8e7 d1e1 e5e4 f3e4 d5e4 e2d4 e6g4 b2b4,337
rnbqkb1r/pp1ppppp/5n2/8/1P6/2P5/3PPPPP/RNBQKBNR b KQkq -,e7e5 d2d3 d7d5 g1f3 f8d6 g2g3 e8h8 f1g2 c8e6 e1h1,-10
rnbq1rk1/p4pbp/6p1/1ppPP1B1/6n1/2NB1N2/PP4PP/R2QK2R b KQ -,d8a5 d5d6 b8d7 e1h1 a8b8 c3d5 g4e5 f3e5 d7e5 g1h1,77
r1brk3/ppq2p2/4pN2/2p5/1p1P3Q/8/PP3PPP/R4RK1 b - -,e8f8 h4h6 f8e7 h6g5 e7f8 d4c5 b7b6 a1c1 c8b7 c5b6,548
n4k2/7p/1p1p1p2/2pPp1p1/N1P1PP2/1P3KP1/7P/8 b - -,e5f4 g3f4 f8f7 f3e3 f7g6 a4c3 a8c7 f4g5 g6g5 e4e5,100
r1br4/ppq2p2/3kpN2/2p1Q3/1p1P4/8/PP3PPP/R4RK1 b - -,d6e7 e5c7 c8d7 f6e4 f7f5 c7d6 e7f7 e4c5 b7b6 c5d7,1062
