8/5r2/8/4K3/8/2Q3k1/8/8 b - -,f7f3 c3d4 f3f8 d4g1 g3h4 g1g6 f8f1 g6d3 f1g1 d3e2,893
rnbqkb1r/ppp2ppp/4p3/1B1p4/4n3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,c7c6 b5e2 f8e7 c2c4 d5c4 e2c4 e4d6 c4b3 c6c5 d2d4,-41
r1bqk2r/pppp1pbp/2n3p1/4p3/2BPn3/2P2N2/PP3PPP/RNBQR1K1 b kq -,f7f5 d4e5 c6e5 f3e5 g7e5 c1e3 d8e7 b1d2 c7c6 f2f3,147
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP1B1P/8/PP2PPP1/RN1QKBNR b KQkq -,f8g7 b1c3 e8h8 g1f3 f6h5 f4h2 c7c5 d4c5 d6c5 d1b3,-11
r1b1kbnr/pp1p1ppp/2p2q2/8/3Q4/2N1B3/PPP1PPPP/2KR1B1R b kq -,f6d4 e3d4 d7d6 e2e4 h7h5 f1e2 g8f6 a2a4 f8e7 h1e1,79
r2qkb1r/pp2nppp/2n1p1b1/2PpP3/3N4/2P1B3/PP2BPPP/RN1QK2R b KQkq -,c6e5 f2f4 e5c6 e1h1 h7h5 b1d2 e7f5 d4f5 g6f5 b2b4,53
6r1/4Rk1p/p2P4/R1pN1p2/8/2P3rP/2P2n1K/8 b - -,f7g6 h2g3 f2e4 g3f4 g8a8 d6d7 e4f6 e7e6 g6g7 d5f6,1753
rnbqk1nr/pp1pppbp/6p1/3P4/4P2P/2N5/PP3PP1/R1BQKBNR b KQkq -,d8b6 a2a4 d7d6 a4a5 b6c5 h4h5 g7c3 b2c3 g8f6 h5g6,160
K7/1P6/8/k7/8/Q7/8/7q b - -,d8b6 a2a4 d7d6 a4a5 b6c5 h4h5 g7c3 b2c3 g8f6 h5g6,Mate
rnb1kb1r/pp3pp1/2p1pn1p/8/3qN3/3B1N2/PPP2PPP/R1BQK2R b KQkq -,d4d5 d1e2 b8d7 c1d2 f6e4 c2c4 d5h5 d3e4 e6e5 e4c2,6
5rk1/4pp1p/3p2P1/3P1b2/2K5/1BQ2P2/1PP2qP1/r2R3R b - -,d4d5 d1e2 b8d7 c1d2 f6e4 c2c4 d5h5 d3e4 e6e5 e4c2,Mate
rnbqkb1r/pp3pp1/2P2n2/7p/2PP1p2/5N2/PP4PP/RNBQKB1R b KQkq -,g7g5 b1c3 f8h6 h2h4 g5g4 f3g5 f4f3 g2f3 b8c6 d1e2,151
rnbqkbnr/1p2pppp/p7/3p4/3P4/P4N2/1P2PPPP/RNBQKB1R b KQkq -,g8f6 b1c3 c8f5 f3h4 f5d7 c1f4 f6e4 h4f3 e4c3 b2c3,11
r1bqk2r/2pp1ppp/p7/2bNp3/Pp1Nn3/1B6/1PP2PPP/R1BQK2R b KQkq -,h7h5 d1f3 c5d4 f3e4 c7c6 e1h1 e8h8 d5b4 a6a5 c2c3,273
rnbqkb1r/pp2ppp1/5B1p/3p4/2PP4/8/PP3PPP/RN1QKBNR b KQkq -,e7f6 c4c5 b7b6 b1c3 b6c5 f1b5 c8d7 d1e2 f8e7 c3d5,7
8/6p1/p1p5/4k2P/8/1PqQ4/P1P3P1/2K2R2 b - -,e7f6 c4c5 b7b6 b1c3 b6c5 f1b5 c8d7 d1e2 f8e7 c3d5,Mate
rn1qkb1r/pp3ppp/2n1p3/2PpPb2/2P5/4BN2/PP2BPPP/RN1QK2R b KQkq -,c6b4 d1a4 b8c6 f3d4 d5c4 d4c6 b4c6 b1a3 d8a5 a4a5,146
r4rk1/3bpp1p/1q1p2p1/3P3P/2B5/2Q2P2/1PP3P1/2KR3R b - -,a8a1 c1d2 b6f2 c4e2 f8c8 c3c8 d7c8 d1a1 f2g2 h5h6,-135
r4k1r/ppp2ppp/8/q7/8/2P5/PP1Q1PPP/3RR1K1 b - -,c7c5 d2f4 a5b6 d1d7 b6f6 f4c7 f8g8 c7b7 a8f8 b7a7,669
r2qkbnr/pp2pppp/2np4/2p4b/4P3/P1N2N1P/1PPPBPP1/R1BQK2R b KQkq -,h5f3 e2f3 g7g6 g2g3 f8g7 d2d3 e7e6 f3g2 d8d7 a1b1,18
8/7p/5k2/8/8/3B4/8/5KB1 b - -,f6g5 f1f2 h7h5 f2f3 h5h4 g1h2 g5f6 f3f4 f6e6 f4e4,435
r2qkbnr/pp1npppp/8/3p4/3P2b1/4PN2/PP2BPPP/RNBQK2R b KQkq -,e7e6 h2h3 g4f3 e2f3 f8d6 e1h1 g8e7 b1c3 e8h8 e3e4,25
4Bn1k/pp1b2pp/3q4/2p3N1/5b1Q/7P/PPP3P1/5RK1 b - -,d7e8 f1f4 h8g8 f4f5 d6d1 f5f1 d1d5 h4f4 d5d4 f4d4,715
rnbqkbnr/p1p1pppp/8/1p1p4/P7/5NP1/1PPPPP1P/RNBQKB1R b KQkq -,e7e6 a4b5 a7a6 f1g2 g8f6 d2d3 c8b7 b5a6 a8a6 a1a6,124
r3k2r/2qbbppp/p1nppn2/1p6/4PP2/PNN1BB2/1PP3PP/R2Q1RK1 b kq -,a8d8 d1e2 h7h6 e2f2 d8c8 g1h1 c7b8 a1d1 e8h8 g2g4,36
4R3/5p1k/3p2p1/3P4/6PK/6QP/5q2/8 b - -,g6g5 h4g5 f2g3 g5f6 g3f4 f6e7 h7g7 e8c8 f4e5 e7d8,-742
rn1qk1nr/1pp2ppp/p3p3/3P1b2/1b1P1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,b8d7 d5e6 f5e6 a2a3 b4c3 b2c3 g8f6 f1d3 b7b5 g1e2,191
KR6/8/1k6/8/8/8/8/1q6 b - -,b8d7 d5e6 f5e6 a2a3 b4c3 b2c3 g8f6 f1d3 b7b5 g1e2,Mate
rnb1k2r/pp2bppp/2pp1n2/8/3P1N2/2N5/PPP1BPPP/R1B2RK1 b kq -,b8d7 e2d3 e8h8 f2f3 d6d5 g1f2 h7h5 f1e1 f8e8 c1d2,36
8/8/8/4p1p1/8/4KPk1/8/8 b - -,,0
2r5/8/8/8/5KR1/8/5N1k/8 b - -,,0
rnbqk2r/pp2bppp/3ppn2/2pP4/2P1P3/2N5/PPQ2PPP/R1B1KBNR b KQkq -,h7h6 g1f3 e8h8 h2h3 b8d7 c1e3 e6d5 c4d5 d7e5 f3e5,94
r1bq1rk1/pp1nppbp/6p1/8/3NB3/2P4P/PP3PP1/R1BQ1RK1 b - -,d7f6 e4f3 e7e5 d4b5 c8e6 d1d8 a8d8 f1e1 a7a6 b5c7,23
r1b1k2r/pp1n1ppp/2p1pn2/q2p2B1/2PP4/2P1P3/P2NBPPP/R2QK2R b KQkq -,f6e4 d2e4 d5e4 g5h4 a5c3 e1f1 e6e5 a2a4 e8h8 a4a5,-63
r2qk1nr/ppp2pp1/2nb3p/8/4P1b1/3BBN2/PPP2PPP/RN1QK2R b KQkq -,d8f6 b1c3 g8e7 h2h3 g4e6 c3b5 e8a8 d1e2 e7g6 e1h1,100
8/8/8/5B2/1N6/8/1K6/3k4 b - -,d1e2 b4d5 e2f3 b2c3 f3g3 c3d4 g3f3 d4d3 f3g3 d3e4,242
8/8/2Q5/P4p2/2k5/4p1P1/7K/2q5 b - -,d1e2 b4d5 e2f3 b2c3 f3g3 c3d4 g3f3 d4d3 f3g3 d3e4,Mate
8/8/8/P4p2/8/3kp1P1/7K/2Q5 b - -,d1e2 b4d5 e2f3 b2c3 f3g3 c3d4 g3f3 d4d3 f3g3 d3e4,Mate
rn1qkb1r/1b1p1ppp/p3p3/1p1nP3/2pP4/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,d5b6 b1d2 b8c6 f1e1 d7d6 b2b3 d6e5 b3c4 e5d4 c4b5,45
rn1qkbnr/pp3ppp/4p3/2ppP3/3P2b1/2NQ1N2/PPP2PPP/R1B1KB1R b KQkq -,b8c6 c1g5 d8b6 d4c5 f8c5 e1a1 c5f2 c3b5 h7h6 b5d6,-212
8/8/8/8/6kp/5p2/5K1P/8 b - -,,0
r1bq1rk1/pp2ppbp/6p1/2ppP3/4n3/1P1PP3/PBP1B1PP/RN1Q1RK1 b - -,d8c7 d3e4 g7e5 b2e5 c7e5 b1d2 d5e4 d1e1 f7f5 d2c4,300
r4rk1/1bq1bppp/1pn1pn2/p2pN3/2PP1P2/P2BPQ2/1BPN2PP/R4RK1 b - -,d5c4 e5c4 b6b5 e3e4 b5c4 d3c4 a8b8 a1b1 b7a8 c2c3,-233
r2q1rk1/ppp3bp/2n2pp1/7n/3P2b1/2N1BN2/PPPQB1PP/R3K2R b KQ -,c6a5 e1a1 g4f3 e2f3 a5c4 d2d3 c4e3 d3e3 f6f5 f3h5,102
r1bq1rk1/ppp2ppp/3p4/2b1P3/4n3/1B1Q4/PPP2PPP/RNB2RK1 b - -,c8f5 d3f3 f5g6 b1c3 e4c3 f3c3 a7a5 c1f4 c5b4 c3c4,-6
r1bqk2r/ppp2ppp/2np1n2/4p3/4P3/2P3PP/P1PPNPB1/R1BQK2R b KQkq -,d6d5 e4d5 f6d5 c3c4 d5e7 e1h1 c8e6 d2d3 d8d7 g1h2,57
8/8/8/4p1p1/8/5P2/4K1k1/8 b - -,,0
r1bq1rk1/pppp1ppp/2n2n2/4P3/1bB5/4Q3/PPPB1PPP/RN2K1NR b KQ -,b4d2 b1d2 c6e5 e1a1 f8e8 e3g3 d7d5 c4e2 d8d6 h2h3,-277
rn1qkb1r/ppp1pppp/8/3nPb2/2BP4/1P6/P4PPP/RNBQK1NR b KQkq -,d5b4 b1a3 e7e6 g1f3 a7a6 e1h1 f8e7 c1b2 e8h8 c4e2,-67
rn1q1rk1/pp2ppbp/1np3p1/8/3PP1b1/2N1BNP1/PP3PBP/R2Q1RK1 b - -,b6c4 h2h3 c4e3 f2e3 g4f3 d1f3 e7e5 d4d5 b8d7 a1d1,-9
r2q1rk1/ppp2p2/2npbn1p/2bNp1N1/2B1P2B/3P4/PPP2PPP/R2Q1RK1 b - -,h6g5 h4g5 e6d5 e4d5 b7b5 c4b5 c6d4 b5a4 g8h8 h2h4,215
4R3/2p2r1p/2k3p1/5P2/2P5/2K4P/8/8 b - -,c6d7 e8g8 g6f5 c3d2 d7c6 h3h4 c6d6 g8g5 d6c5 d2c3,-149
Q7/8/3k4/8/8/3K4/8/8 b - -,c6c5 e8e5 c5d6 e5d5 d6c6 f5g6 h7g6 d5g5 f7f3 c3b4,Mate
rn1qkb1r/ppp2ppp/5pb1/3p4/3PP3/2N2P2/PPP3PP/R2QKBNR b KQkq -,d5e4 c3e4 f8e7 d1d2 b8c6 c2c3 d8d5 f1d3 e8a8 g1e2,-26
r2qkbnr/ppp2ppp/2n1p3/2Pp1b2/Q2P1B2/2N1P3/PP3PPP/R3KBNR b KQkq -,f8e7 c3b5 a8c8 b5a7 c8a8 a7c6 a8a4 c6d8 e8d8 a2a3,137
k7/3K1Q2/8/8/8/8/8/8 b - -,f8e7 c3b5 a8c8 b5a7 c8a8 a7c6 a8a4 c6d8 e8d8 a2a3,Mate
r1b2rk1/3n1ppp/p2qp3/2Np4/3P4/3B4/PPP2PPP/R2QR1K1 b - -,a8b8 c5b3 h7h6 d1d2 e6e5 d4e5 d7e5 d2f4 f8e8 d3f1,143
r1b1k2r/pp1n1ppp/2p1pn2/q7/1bBP1B2/2N1P3/PP1N1PPP/R2QK2R b KQkq -,d7b6 e1h1 b6d5 d2b3 a5d8 f4g5 d5c3 b2c3 b4c3 a1b1,53
r1bqkb1r/pppp1ppp/2n5/1B2P2n/3P1p2/5N2/PPP3PP/RNBQK2R b KQkq -,d7d5 e1h1 g7g5 c2c4 a7a6 b5c6 b7c6 b1c3 h7h6 e5e6,-70
8/8/3k4/1K5R/R7/8/8/8 b - -,g7g5 e1h1 g5g4 f3e1 d7d5 c1f4 h5f4 f1f4 c8e6 d1e2,Mate
r1bqkb1r/ppp2ppp/2np1n2/4p3/3PP3/3B4/PPP1NPPP/RNBQ1RK1 b kq -,e5d4 d3b5 f8e7 e2d4 c8d7 d4c6 d7c6 b5c6 b7c6 b1c3,25
8/6pp/2N5/8/2kpnP2/6P1/P6P/6K1 b - -,,0
r1bqkb1r/ppp2ppp/2np1n2/8/4P3/2NB4/PP2NPPP/R1BQ1RK1 b kq -,c8e6 e2f4 f8e7 f4e6 f7e6 d1b3 d8c8 c1e3 e8h8 d3c4,16
