4n2k/1R4bb/1B1p3p/3Pp2P/1P2N3/1rN5/6P1/6K1 b - -,h7f5 b7b8 h8h7 b8e8 f5e4 c3e4 b3b4 e4d6 b4b6 d6f5,289
r2qkbnr/pp1b1ppp/3pp3/1B6/3QP3/2N5/PPP2PPP/R1B2RK1 b kq -,d7c6 f1d1 g8e7 b5e2 a7a6 d4d6 d8d6 d1d6 e7g6 d6d1,104
rn1qkbnr/pp2pppp/8/2pp4/3P1B2/2PQP3/PP3PPP/RN2K1NR b KQkq -,b8c6 g1f3 e7e6 d3b5 d8b6 a2a4 g8f6 b1d2 f8e7 d4c5,3
r1bqk2r/pp2bppp/2n2n2/2ppp3/8/2PP1NPP/PP2PPB1/RNBQ1RK1 b kq -,e8h8 e2e4 d8c7 e4d5 f6d5 c3c4 d5b6 d1e2 c8f5 g3g4,-83
rn1qk1nr/1p3ppp/p1p1p3/3pPb2/1bPP4/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,b4c3 b2c3 g8e7 a3a4 c6c5 c1a3 b8d7 f1e2 a8c8 e1h1,27
r1bqkb1r/ppp2ppp/2n1n3/3pP3/8/2PBQN2/PP3PPP/RNB2RK1 b kq -,h7h6 f1d1 f8c5 e3e2 e8h8 b2b4 c5b6 a2a4 a7a6 a4a5,59
r1r3k1/2q2pp1/p5Q1/np4p1/4R3/P6R/BP3PPP/6K1 b - -,h7h6 f1d1 f8c5 e3e2 e8h8 b2b4 c5b6 a2a4 a7a6 a4a5,Mate
8/2k5/8/8/6P1/5K1p/8/8 b - -,c7d7 f3g3 d7e6 g3h3 e6f6 h3h4 f6g6 g4g5 g6f7 h4h5,Mate
r1bqk1nr/pp1nppbp/3p2p1/2p5/4PP2/3P1NP1/PPP3BP/RNBQK2R b KQkq -,e7e6 a2a4 g8e7 b1a3 e8h8 e1h1 a7a6 a3c4 d8c7 e4e5,17
r2q1r2/ppp2pk1/2npbn2/2b1p1B1/2B1P3/2NP2Q1/PPP2PPP/R4RK1 b - -,f8h8 c4e6 f7e6 c3a4 f6h5 g3g4 d8e8 a4c5 d6c5 f2f4,-85
1R3bn1/p3k2p/Ppq1p3/2p5/2P5/N7/1P3PPP/R5K1 b - -,e7f6 a3b5 f8d6 b8g8 c6e4 b5d6 e4e5 d6b5 e5b2 a1f1,512
1R2n2k/6b1/1B1p3p/3Pp2P/1r2N3/8/6P1/6K1 b - -,h8g8 e4d6 g7f8 d6e8 f8c5 b6c5 b4b8 e8d6 b8b1 g1f2,423
rnb1k2r/ppp2p1p/5pp1/2b5/2Pq4/1PN5/P2PQPPP/R3KBNR b KQkq -,e8f8 g1f3 d4d8 d2d4 f8g7 e2d2 c5b4 f1e2 c7c5 d4d5,-96
4Q3/pp3kpp/1prp1pn1/2q2N2/2r1PPQ1/8/P5PP/3R1R1K b - -,f7e8 f5g7 e8f7 g4d7 g6e7 g7e6 c5h5 e6d8 f7f8 d8c6,520
4k3/pp4Np/1prp1pn1/2q5/2r1PPQ1/8/P5PP/3R1R1K b - -,e8f8 g7e6 f8f7 e6c5 c6c5 g4h3 f7g7 h3d7 g7h6 d7e6,Mate
8/pp1Q1kNp/1prp1pn1/2q5/2r1PP2/8/P5PP/3R1R1K b - -,g6e7 g7e6 c5h5 e6d8 f7f8 d8c6 c4c6 d1d6 h5e8 e4e5,Mate
r1bk1b1r/pp3ppp/2p1pn2/4P3/2P5/8/PP3PPP/RNB1KB1R b KQ -,f6g8 h2h4 c8d7 b1c3 d8c7 h1h3 g8e7 f1d3 e7f5 c3e4,94
rn1qk2r/pbpp2pp/1p2pn2/5p2/1bPP1N2/2N1P3/PP1B1PPP/R2QKB1R b KQkq -,b4d6 f1e2 e8h8 e1h1 b8c6 f4h5 a7a6 f2f4 f6h5 e2h5,30
