r1b1kb1r/pp2pp1p/1qnp2p1/8/2PNP1n1/8/PP2NPPP/R1BQKB1R b KQkq -,f8g7 h2h3 c6d4 h3g4 c8g4 f2f3 g4e6 a1b1 a8c8 e2d4,-210
3k4/6P1/6K1/8/8/5r2/8/8 b - -,,0
8/5p2/7P/6p1/2pk4/8/8/2K5 b - -,f3g3 g6f7 g3f3 f7g6 d8e7 g7g8q f3g3 g6h7 g3g8 h7g8,Mate
r2qkb1r/pp2pppp/2n5/1BPp4/2P1nBb1/4PN2/PP3PPP/RN1QK2R b KQkq -,a7a6 b5c6 b7c6 d1a4 a8c8 b2b4 g7g5 f4e5 f7f6 e5b2,59
r1bq1bnr/2pp2pp/p3k3/np2N3/4P3/2N5/PPPP1PPP/R1BQK2R b KQ -,c7c6 d2d4 g8f6 c1g5 e6e7 d1f3 e7e8 e5d3 h7h6 g5h4,109
2b5/2knqpp1/pr1b4/Q1pPpPP1/2P1P1K1/R3B3/3N4/1R6 b - -,e7d8 b1b6 d7b6 e3c5 d6c5 a5c5 c7b8 a3b3 b8a7 d2f3,701
r1bq1rk1/1pp3bn/3p1pp1/p1nPp1Pp/2P1P2P/2N1BP2/PP1QB3/2KR2NR b - -,a5a4 g1h3 f8f7 g5f6 f7f6 h3g5 h7g5 h4g5 f6f4 d1g1,106
2rQ3r/bp3pk1/p3b1p1/4P3/N4PP1/5B1p/PP5K/3RR3 b - -,h8e8 d8f6 g7g8 f4f5 a6a5 f5e6 e8e6 f6f4 c8e8 h2h1,911
r1bq1rk1/1pp3bn/3p2p1/p1nPp1Pp/2P1P3/2N1BP2/PP1QB3/2KR2NR b - -,a5a4 g1h3 c8h3 h1h3 f8f4 d1g1 d8e7 h3g3 f4h4 e2d1,121
8/6pk/7p/1p3p2/7P/P2Q2P1/5K2/7q b - -,,0
r1bq1b1r/2pp2pp/p3kn2/np2N3/3PP3/2N5/PPP2PPP/R1BQK2R b KQ -,f8b4 e5d3 b4c3 b2c3 d7d6 e4e5 d6e5 d4e5 f6d5 e1h1,20
r1bq3r/2pp2pp/p3kn2/np6/1b1PP3/2NN4/PPP2PPP/R1BQK2R b KQ -,b4c3 b2c3 d7d6 e4e5 d6e5 d4e5 f6d5 e1h1 e6f7 d1f3,19
8/4kp2/1p2pnp1/p2pNnN1/P2P3P/1P2P3/5P2/4K3 b - -,f6e8 g5f7 f5h4 e1e2 e8f6 f7g5 f6e8 e2d3 e8d6 e5g4,39
r1bq3r/2pp2pp/p3kn2/np6/3PP3/2PN4/P1P2PPP/R1BQK2R b KQ -,d7d6 e4e5 d6e5 d4e5 f6d5 e1h1 e6f7 d1f3 f7g8 c1g5,14
r1bq3r/2p3pp/p2pkn2/np2P3/3P4/2PN4/P1P2PPP/R1BQK2R b KQ -,d6e5 d4e5 f6d5 e1h1 e6f7 d1f3 f7g8 c1g5 d8d7 d3f4,17
r1bq3r/2p3pp/p3kn2/np2P3/8/2PN4/P1P2PPP/R1BQK2R b KQ -,f6d5 d3c5 e6e5 e1h1 e5d6 c1g5 d8f8 d1d4 d6c6 c5d3,45
8/8/6R1/8/8/4r3/3K1p2/5k2 b - -,f6d5 d3c5 e6e5 e1h1 e5d6 c1g5 d8f8 d1d4 d6c6 c5d3,Mate
8/4kp2/1p1npnp1/p2pN1N1/P2P3P/1P2P3/4KP2/8 b - -,,0
8/3nkp2/1pNnp1p1/p2p2N1/P2P3P/1P2P3/4KP2/8 b - -,,0
r7/1p3pk1/2p2np1/7p/1P1N4/4P2P/2R2PP1/6K1 b - -,a8a1 g1h2 a1b1 b4b5 c6b5 c2c7 f6e4 c7b7 b5b4 f2f3,-16
3r4/bp3pk1/p3b1p1/4P3/5PP1/2N2B1p/PP5K/4R3 b - -,d8d4 c3e4 d4d3 e4g5 e6a2 h2h3 a7d4 h3g2 d3d2 g2h3,-37
2R4R/1r5k/bp2p1p1/p1n1P3/Pb3P1P/8/1B3PP1/6K1 b - -,h7g7 f4f5 g6f5 c8g8 g7f7 g8f8 f7e7 h4h5 c5e4 f8g8,545
8/p4pkp/6p1/3Pp3/q7/P4P1P/8/5R1K b - -,a4a3 h1h2 a3a2 h2g3 a2d5 f1e1 d5d4 g3g2 a7a5 e1e4,-933
4k3/3n1p2/1pNnp1p1/p2p2N1/P2P3P/1P1KP3/5P2/8 b - -,,0
r1b1k1nr/pppp1ppp/1bn3q1/3PP3/2B5/5N2/P4PPP/RNBQ1RK1 b kq -,c6e7 d5d6 c7d6 e5d6 e7c6 b1c3 b6a5 f1e1 e8f8 c1b2,389
4k3/3n1p2/1pN1p1p1/p2p1n2/P2P3P/1P1KPN2/5P2/8 b - -,,0
r1b1k2r/pp1nqpbp/2p3pB/2p1p3/4P3/2NP1N2/PPPQ1PPP/R4RK1 b kq -,e8h8 h6g7 g8g7 h2h3 a7a5 a2a4 f8d8 d2e3 d7f8 f3d2,63
4k3/5p2/1pN1pnp1/p2p1n2/P2P3P/1P2PN2/4KP2/8 b - -,,0
8/pR2rppk/P2qn1np/4p3/4P3/2Q2P1P/5BPK/5B2 b - -,g6f4 f2a7 e7c7 b7c7 d6c7 c3c7 e6c7 a7b8 c7a6 f1a6,498
3Q4/1p4pk/4b2p/p1p2q2/4B1nP/1P4P1/P2N2K1/5r2 b - -,e6d5 d8d5 g4e3 g2h2 e3d5 e4f5 f1f5 h2h3 d5e3 g3g4,-821
2R5/5r1k/K7/PP6/6p1/8/8/8 b - -,h7h6 b5b6 g4g3 c8c1 h6h5 b6b7 f7f8 a6a7 h5h4 a5a6,3591
r2q1rk1/pp2bppp/8/2npB3/6b1/P3PN2/1P2BPPP/R2QK2R b KQ -,e7f6 e5f6 d8f6 d1d4 f6d4 f3d4 g4d7 e2f3 c5e4 e1h1,43
r1b2rk1/pp2bppp/2n1pn2/8/1PB5/P1N1PN2/1B3PPP/R2R2K1 b - -,a7a6 a1c1 b7b5 c4f1 c8b7 f3d2 f8d8 f2f3 a8b8 d2b3,31
rnbqkb1r/pp3ppp/5n2/2p1p3/3pP3/3P2NP/PPP2PP1/R1BQKBNR b KQkq -,b8c6 f1e2 h7h6 g1f3 c8e6 e1h1 g7g6 c2c3 a7a5 c3d4,-76
rnb1k2r/pp2bppp/2p1pn2/q7/2BP4/2N2N2/PPP1QPPP/R1B2RK1 b kq -,b7b5 c4d3 b5b4 c3e4 f6e4 e2e4 c8a6 d3a6 a5a6 f3e5,136
8/pR3ppk/P1n1rqnp/2Q1p3/2B1P3/4BP1P/6PK/8 b - -,g6e7 c4e6 f6e6 b7c7 e6b3 e3g1 b3e6 h2h1 e6f6 c5a3,746
r1bq1rk1/pp3pbp/2pp1np1/2nPp1P1/2P1P3/2N1BB2/PP3P1P/R2QK1NR b KQ -,f6e8 d5c6 d8a5 a1b1 a5b4 a2a3 b4c4 f3e2 c4b3 e3c5,40
rn1qkb1r/pp2nppp/3p4/2p2P2/8/3B4/PPP2PPP/RNBQK2R b KQkq -,d8d7 e1h1 b8c6 c1g5 e7f5 f1e1 f5e7 d3c4 h7h6 g5f4,60
6k1/pp1n2p1/2p3p1/3p4/5r2/2N1q3/PP2Q1K1/R6R b - -,e3d4 e2e6 f4f7 a1f1 d7f6 f1f2 a7a6 c3e2 d4e4 e6e4,296
2r4r/p2q1pk1/1p2nn2/1P1p2p1/P2Pp1Pp/1Q2P3/N3NPBK/1R5R b - -,h4h3 e2g3 f6g4 h2g1 h3g2 g1g2 d7c7 g3h5 g7g6 a2b4,-384
8/R3rppk/P4qnp/2QBp3/3nP3/4BP1P/6PK/8 b - -,e7e8 d5f7 e8d8 f7g6 f6g6 a7e7 d8a8 a6a7 d4c6 e7c7,730
4k1n1/5p2/1pN1p1p1/p2p1n2/PP1P3P/4PN2/4KP2/8 b - -,,0
r1bqkbnr/1p3ppp/p1n1p3/3pN3/3P4/2P5/PP1N1PPP/R1BQKB1R b KQkq -,d8c7 f2f4 g8h6 f1d3 f7f6 e5c6 b7c6 e1h1 a6a5 d2b3,23
r1b2rk1/p1q3p1/2pb3p/n3pp2/8/3P1BP1/PPP2P1P/RNBQ1RK1 b - -,e5e4 d3e4 f5f4 b1d2 d6e5 a1b1 c6c5 c2c3 g8h7 f3g4,77
6rk/7p/4Pp2/2Bp1P2/5R1K/p1P5/P4R1P/6q1 b - -,e5e4 d3e4 f5f4 b1d2 d6e5 a1b1 c6c5 c2c3 g8h7 f3g4,Mate
4k1n1/5p2/1p2p1p1/3p1n2/PN1P3P/4PN2/4KP2/8 b - -,,0
5rk1/1rN1bppp/p3pn2/8/3P4/1P4P1/1P1B1P1P/R1R3K1 b - -,h7h6 c7a6 b7b3 c1c2 f8a8 a1a5 f6e4 a6c5 a8c8 d2e3,31
7k/7p/4Pp2/2Bp1Pr1/5R2/p1P4K/P4R1P/6q1 b - -,h7h6 c7a6 b7b3 c1c2 f8a8 a1a5 f6e4 a6c5 a8c8 d2e3,Mate
4k3/4np2/1p2p1p1/3p1n2/P2P3P/3NPN2/4KP2/8 b - -,,0
rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P4/4PNP1/PPPN1PBP/R1BQ1RK1 b kq -,d8e7 c2c4 a7a5 f3h4 g7g5 h4f3 f6e4 d2e4 d5e4 f3d2,13
7k/7p/4Pp2/2Bp1P1r/7R/p1P4K/P4R1P/6q1 b - -,d8e7 c2c4 a7a5 f3h4 g7g5 h4f3 f6e4 d2e4 d5e4 f3d2,Mate
8/5r1k/K7/PP6/8/6p1/8/2R5 b - -,f7f8 b5b6 f8a8 a6b5 a8d8 b6b7 h7h6 a5a6 h6h5 c1g1,9605
7k/7p/4Pp2/2Bp1P2/7K/p1P5/P4R1P/6q1 b - -,f7f8 b5b6 f8a8 a6b5 a8g8 c1g1 h7h6 b6b7 h6h5 a5a6,Mate
2rq1rk1/1b1nbppp/p2p1n2/1p2pP2/4P1P1/PNN2B2/1PP4P/R1BQ1RK1 b - -,c8c3 b2c3 d8b6 g1g2 d6d5 g2h1 d5e4 f3g2 h7h6 g4g5,-178
8/8/8/2p5/4K2p/5N2/1P4pq/1R4bk b - -,h4h3 b1d1 c5c4 d1c1 c4c3 b2c3 h2e5 e4e5 h3h2 e5e6,Mate
3q1rk1/1b1nbppp/p2p1n2/1p2pP2/4P1P1/PNP2B2/2P4P/R1BQ1RK1 b - -,f6e4 d1d3 d6d5 c1e3 h7h6 f3e4 d5e4 d3e2 d8c7 a3a4,-267
q4rk1/r1p1bppp/p1n1pn2/8/1p1Pb3/4PNP1/PP1B1PBP/RNR2QK1 b - -,c6b8 f3e5 c7c5 a2a3 b4a3 b1a3 c5d4 e3d4 e4g2 f1g2,13
8/4k3/8/4K1Q1/8/3B4/8/8 b - -,c6b8 f3e5 c7c5 a2a3 b4a3 b1a3 c5d4 e3d4 e4g2 f1g2,Mate
3rr1k1/pbqnbpp1/1pp1pn1p/3p4/2PP4/1PN1PN2/PBQ2PPP/1B1R1RK1 b - -,c7c8 h2h3 d7f8 f3e5 c6c5 c2e2 d5c4 b3c4 c5d4 e3d4,57
2n1k3/5p2/1p2p1p1/3pNn2/P2P3P/4PN2/4KP2/8 b - -,,0
8/5pk1/p3b1p1/1p2P3/5PP1/2Pr1B2/P3R1K1/8 b - -,d3c3 e2d2 a6a5 g4g5 c3a3 f3d5 e6d5 d2d5 b5b4 d5d2,-186
4k3/5p2/1pNnp1p1/3p1n2/P2P3P/4PN2/4KP2/8 b - -,d6c4 e2e1 f7f6 e1d1 f5d6 c6b4 c4b2 d1c2 b2a4 c2b3,-6
r2r2k1/p1n2ppp/1p1qp3/3pN2P/3P1P2/P5P1/1P1KQP2/2R4R b - -,b6b5 h5h6 g7g6 c1c6 d6e7 c6c5 d8d6 h1c1 c7e8 c5c8,223
3r1bk1/4qp2/p5pP/8/3r4/7Q/PP6/K4R1R b - -,g8h7 a2a3 d4d3 h3g2 f7f5 g2c6 d8d7 c6a6 e7f7 f1c1,-561
4k3/8/1p1nppp1/3p1n2/PN1P3P/4PN2/4KP2/8 b - -,d6e4 b4d3 e4c3 e2d2 c3a4 d2c2 b6b5 c2b3 a4b6 b3b4,-7
r2k1b1r/1p1bp2p/4Pnp1/1Bp5/5B2/5P2/PqP1Q2P/3R1RK1 b - -,h8g8 f4e5 b2b4 e5f6 e7f6 d1d7 d8c8 e6e7 f8e7 e2e6,586
rn1qkbnr/pp2pppp/8/2p1Pb2/3p4/3P1N1P/PPP2PP1/RNBQKB1R b KQkq -,b8c6 g2g4 f5e6 f1g2 h7h5 g4g5 g7g6 c1f4 f8g7 c2c4,4
6k1/6p1/5R2/pr1pNb2/3Pr3/1P6/P4K2/6R1 b - -,b5b7 f6f5 e4d4 f2e3 d4e4 e3d3 a5a4 e5g6 b7f7 f5d5,340
2b3k1/5Rp1/8/pr1pN3/3Pr3/1P3K2/P7/6R1 b - -,e4e5 g1g7 g8h8 d4e5 d5d4 g7h7 h8g8 f7g7 g8f8 g7a7,Mate
3n2k1/7p/2pr2p1/1p3p2/1p1P3P/1P3PP1/P4K2/2R2B2 b - -,d6d4 f2e3 d4d6 g3g4 g8g7 f1h3 g7f6 g4f5 g6f5 c1c5,-58
4k3/1bR1p2p/p5p1/4Np2/2P2P1P/1P4P1/r7/4K3 b - -,a2c2 c7b7 e8d8 b3b4 c2c3 e1d2 d8c8 b7e7 c3g3 e7h7,902
3n2k1/7p/2pr2p1/1p3p2/1p3P1P/1P2K1P1/P7/2R2B2 b - -,h7h5 c1a1 d8e6 a2a4 b4a3 a1a3 g8f8 b3b4 e6c7 a3a7,-149
4k3/8/1p2ppp1/3p1n2/P2Pn2P/4PN2/N3KP2/8 b - -,e8e7 a2c1 e4c3 e2d2 c3a4 d2c2 e6e5 d4e5 f6e5 f3e5,-16
rnb1k2r/pp3ppp/4p3/q2p4/1bPPn3/2N2N2/PPQB1PPP/R3KB1R b KQkq -,e4d2 c2d2 e8h8 a1c1 d5c4 f1c4 b8d7 e1h1 d7f6 f3e5,-11
6k1/6p1/5R2/pr1pNb2/3P1r2/1P2K3/P7/6R1 b - -,f4h4 f6f5 h4h3 e3f4 b5b6 f5f7 h3h4 f4e3 h4h7 f7d7,483
r1bq1bnr/2pp2pp/p7/np2k2Q/4P3/2N5/PPPP1PPP/R1B1K2R b KQ -,g7g5 d2d4 e5d6 c1g5 g8e7 d4d5 c7c6 e4e5 d6c7 d5d6,282
6k1/6p1/5R2/pr1pNb2/3Pr3/1P3K2/P7/6R1 b - -,f5g4 e5g4 g7f6 g4f6 g8f8 f6e4 d5e4 f3e4 a5a4 e4d3,430
7k/7p/4Pp2/2Bp1Pq1/8/p1P4K/P4R1P/8 b - -,h7h5 f2g2 g5f5 h3h4 f5e4 h4g3 e4e1 g3f4 e1e5 f4f3,-486
r1b2r1k/1p3ppp/p4R2/2q1p3/P3P3/2N3Q1/1PP1B1PP/R6K b - -,b7b5 g3f2 c5b4 f6f7 c8e6 f7f8 a8f8 f2e1 b4b2 a4b5,450
8/3k4/1p2ppp1/3p1n2/P2Pn2P/4P3/N2NKP2/8 b - -,e4d2 e2d2 f5h4 a2c1 e6e5 d4e5 h4f3 d2d3 f3e5 d3c3,-159
r1bq1bnr/2pp2pp/p3k3/np1Q4/4P3/2N5/PPPP1PPP/R1B1K2R b KQ -,e6f6 d5a8 a5c6 d2d4 f6f7 c1e3 g8f6 d4d5 c6e5 e3d4,46
r1b1kb1r/ppp2ppp/2n2n2/1Bq1p3/8/2NPBN2/PPP2PPP/R2QK2R b KQkq -,c5d6 d3d4 c8d7 d1e2 e8a8 e1a1 e5d4 f3d4 c6d4 e3d4,76
8/6pk/p1p4p/P4Q2/1Pq5/7P/r4PP1/4R1K1 b - -,c5d6 d3d4 c8d7 d1e2 e8a8 e1a1 e5d4 f3d4 c6d4 e3d4,Mate
rnbqkbnr/ppp3pp/3p4/5p2/2PQ4/6P1/PP2PPBP/RNB1K1NR b KQkq -,b8c6 d4d2 c8e6 b2b3 d6d5 c4d5 f8b4 b1c3 b4c3 d2c3,85
8/3k4/1p2ppp1/3p1n2/P2P3P/4P3/N2K1P2/8 b - -,f5h4 a2c1 e6e5 d4e5 h4f3 d2d3 f3e5 d3c3 g6g5 c1e2,-100
8/3k4/1p2ppp1/3p4/PN1P3n/4P3/3K1P2/8 b - -,h4f5 b4a2 f5d6 d2e2 d6e4 f2f3 e4d6 e2f2 g6g5 f2g3,-196
2K5/P7/8/2k5/8/8/1R6/r7 b - -,,0
8/3k4/1p2ppp1/3p1n2/P2P4/3NP3/3K1P2/8 b - -,g6g5 d2c3 d7e7 d3b4 f5d6 c3d3 e7d7 d3c2 d6e4 b4d3,-209
5R2/r2k1p1P/3P4/1p3b2/5p2/p7/5PPK/2R5 b - -,f5h7 f8f7 d7d6 f7a7 h7g8 a7a6 d6d5 a6a3 d5d4 a3a8,Mate
8/3k4/1p2pp2/3p1np1/P2P4/2KNP3/5P2/8 b - -,f5d6 c3b4 d7e7 a4a5 b6a5 b4a5 g5g4 a5b4 d6c4 b4c3,-271
r2q1rkn/pp1b2pp/2n1pb2/3p3P/3P1B2/2N2NP1/PP2BP2/R2Q1RK1 b - -,,0
2qb1rk1/5ppp/p3b3/2BNP3/3Q1P2/6P1/P6P/5RK1 b - -,e6h3 c5f8 h3f1 g1f1 g8f8 d5e3 d8e7 f1g2 h7h5 d4c4,78
r1bqkbnr/ppp2ppp/2n5/3pp3/7P/2PP2P1/PP2PP2/RNBQKBNR b KQkq -,h7h6 f1g2 g8f6 g1f3 f8d6 e1h1 c8e6 d1c2 e8h8 e2e4,-92
r1bqk2r/pppp1ppp/2nb1n2/4p3/4P3/2PP1Q2/PP3PPP/RNB1KBNR b KQkq -,d6e7 f3e2 d7d5 e2c2 a7a5 g1f3 e8h8 f1e2 c8e6 e1h1,-72
8/8/1pk1pp2/3p1np1/P2P4/3NP3/3K1P2/8 b - -,f5d6 d2c2 c6b7 c2c3 d6e4 c3c2 b7a6 c2b2 g5g4 b2c2,-348
5k2/8/8/8/5PK1/8/8/8 b - -,f8g8 g4h5 g8f7 h5g5 f7g7 g5f5 g7f7 f5e5 f7e7 f4f5,Mate
r3kbnr/pp1q1ppp/2npp3/2p5/4PB2/3P1N2/PPP2PPP/RN1Q1RK1 b kq -,h7h6 f4g3 f8e7 h2h3 g8f6 b1d2 e8h8 a2a4 f6h7 c2c3,-2
r1b1kb1r/ppp2ppp/2n5/3np3/3P4/2P2N2/PP3PPP/RNB1KB1R b KQkq -,e5d4 f1c4 c8e6 f3g5 f8e7 g5e6 f7e6 c4b5 e8a8 b5c6,-135
8/2K5/8/1Q2kn2/8/8/8/8 b - -,e5e4 b5a5 f5d4 c7d6 d4f5 d6c5 e4d3 a5a6 d3d2 a6a2,945
