2kr3r/pp3ppp/5n2/q1p1Q3/2B5/P1P1P3/5PPP/R3K1NR b KQ -,f6d7 e5e4 a5c3 e1e2 c3a1 g2g3 a1b2 e2f1 h8e8 e4g4,-517
2kr3r/pp1n1pQp/8/q1p5/2B5/P1P1P3/5PPP/R3K1NR b KQ -,h8g8 g1h3 g8g7 e1h1 d7e5 c4e2 g7g8 h3f4 c5c4 f1b1,-521
8/8/1kpp4/8/2P5/8/2K5/8 b - -,b6c7 c2d3 c7d7 d3e4 d7e6 e4f4 c6c5 f4e4 e6f6 e4f4,-7
rn2k1nr/pbppqpbp/1p2p1p1/8/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,e7d8 c2c3 d7d6 d3d4 b8d7 f1e1 a7a5 b2b3 g8e7 a2a4,58
rnbq1rk1/pp3ppp/3p1n2/2pP4/4P3/P1P2P2/6PP/R1BQKBNR b KQ -,f6e8 g1e2 d8e7 g2g4 h7h5 g4g5 f7f5 g5f6 e7f6 f1g2,46
8/8/2pp4/k7/2P5/1K6/8/8 b - -,a5b6 b3c2 b6c7 c2d3 c7d7 d3e4 d7c8 e4d3 c8c7 d3d2,-7
r3rnk1/pb3pp1/3pp2p/1q1P2BQ/1P6/4N1R1/P4PPP/4R1K1 b - -,a8c8 g5h6 f8g6 h6g5 b5b4 e1d1 g6f4 h5g4 f4d5 g4b4,306
rnb1k1nr/pp1pppbp/1qp3p1/8/3PPP2/5N2/PPP1B1PP/RNBQK2R b KQkq -,d7d5 e4e5 g8h6 a2a4 a7a5 b1d2 e8h8 d2b3 f7f6 e1h1,89
rnbqkbnr/p1pp2pp/1p2p3/5p2/3P4/4PN2/PPPN1PPP/R1BQKB1R b KQkq -,g8f6 f1d3 c8b7 e1h1 f8e7 c2c4 e8h8 a2a3 c7c5 d1c2,39
8/8/2ppk3/8/2P2K2/8/8/8 b - -,e6f7 f4f3 f7e6 f3f4 e6f6 f4e4 f6g5 c4c5 d6d5 e4e5,-5
8/8/2pp4/2P3k1/4K3/8/8/8 b - -,,0
rnb1k1nr/pp2ppbp/1qp3p1/3pP3/3P1P2/3B1N2/PPP3PP/RNBQK2R b KQkq -,a7a5 b1c3 b8a6 e1h1 h7h5 c1d2 a6c7 c3a4 b6a7 d2e3,92
r1bqkb1r/4pppp/p1p2n2/8/8/2NP4/PPP2PPP/R1BQK1NR b KQkq -,e7e6 g1f3 c8b7 c1d2 f8e7 f3e5 e8h8 e1h1 c6c5 e5c4,94
rnb1k1nr/pp3ppp/2p5/3q4/1b1P1B2/2N2N2/PPP3PP/R2QKB1R b KQkq -,g8f6 f1d3 e8h8 e1h1 d5a5 a2a3 b4c3 b2c3 c8f5 a1b1,121
1rb1r1k1/2qn1pbp/p2p1Pp1/1p1P4/P1p2P2/2N5/1PQNB1PP/R1B2R1K b - -,g7f8 f4f5 d7c5 f5g6 h7g6 a4b5 a6b5 c3e4 c8f5 f1f5,218
r1bqk2r/bpp2ppp/p1np1n2/4p3/4P3/2PP1N2/PPB2PPP/RNBQ1RK1 b kq -,c8g4 c1e3 a7e3 f2e3 c6e7 h2h3 g4e6 b1d2 b7b5 f3h4,12
