r1bqk1nr/pppp1pp1/1bn4p/8/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq -,c6e7 d1d2 d7d6 f2f3 g8f6 e1a1 d6d5 e4e5 f6h7 h2h4,122
r1bqk1nr/pppp1pp1/1bn4p/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R b KQkq -,b6a5 d4b3 a5b6 e1a1 d7d6 f1b5 c8e6 f2f4 e6b3 c2b3,139
rn1qkb1r/ppp2ppp/4p3/4Nb2/3P4/2P5/P3PPPP/R1BQKB1R b KQkq -,b8d7 e5d7 d8d7 f2f3 f5g6 e2e4 f8d6 d1b3 e8h8 c1e3,13
2brr1k1/pp3pp1/1bp5/7p/3N2n1/PN2PBP1/1PR2P1P/R5K1 b - -,g4e3 f2e3 e8e3 c2c3 e3e5 a1d1 c8g4 g1g2 g4f3 g2f3,-197
rnb1k2r/pp3ppp/1qpp1n2/2b1p3/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 b kq -,e8h8 c3a4 b6c7 f3e5 c5f2 f1f2 d6e5 c1g5 f6e8 b2b4,92
r1bq1rk1/ppppn1pp/2n2p2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,g8h8 c3a4 d7d6 a4c5 d6c5 h2h3 d8e8 a2a3 a7a5 c2c3,-3
2r3k1/3nRpp1/p1q3p1/1p1p2P1/3P4/1QP3P1/PP3P2/4R1K1 b - -,d7b6 b3a3 b6a4 g1g2 a6a5 b2b3 a4c3 a3c5 c6a8 c5c8,465
rnbqk2r/ppp2ppp/3p1n2/2b1p3/4P1PP/3P4/PPP1BP2/RNBQK1NR b KQkq -,h7h6 b1c3 c8e6 g4g5 h6g5 c1g5 d8d7 g5f6 g7f6 c3d5,-49
r1bqk2r/pppn1ppp/2np4/2b1p1P1/4P2P/2PP4/PP2BP2/RNBQK1NR b KQkq -,e8h8 g1f3 f7f5 b1d2 a7a5 h4h5 f5e4 d2e4 d6d5 d1b3,-44
1rR3k1/5p2/p3p2q/4Q3/P4b2/3B4/1P3PPP/1N2R2K b - -,h6f8 c8f8 b8f8 e5f4 f8e8 f4g5 g8f8 g5f6 f8g8 d3h7,6878
8/8/3N3k/4K3/8/6p1/4N3/8 b - -,,0
4r1k1/ppp3pp/2n5/2P2b2/2p2B2/3q1NQP/PP3PP1/4R1K1 b - -,e8e1 f3e1 d3d4 f4c1 d4d5 g3e3 h7h6 c1d2 c6d4 d2c3,2
6k1/ppp3pp/2n5/2P2b2/2p2B2/3q2QP/PP3PP1/4N1K1 b - -,d3d4 f4c1 d4d5 g1h2 d5c5 g3c7 c5f2 e1f3 f2b6 c7f4,3
8/8/8/4K3/3NN1k1/8/8/8 b - -,,0
