r1b1k2r/1pq2pp1/p2p1n1p/2N1p3/4PB2/3Q2P1/PPP2PBP/R4RK1 b kq -,c8g4 c5b7 c7b7 f4e3 e8h8 b2b3 f8d8 c2c4 a6a5 h2h3,182
rnb1kbnr/ppp2p2/3ppq1p/8/3P2pN/2P1P1B1/PP3PPP/RN1QKB1R b KQkq -,f6g7 c3c4 g8f6 f1e2 h8g8 b1c3 f8e7 d1c2 f6h5 e1h1,101
r1b1k2r/1pq2pp1/p2p1n1p/8/4Pp2/1N1Q2P1/PPP2PBP/R4RK1 b kq -,g7g5 f1d1 f6g4 d3d6 c7d6 d1d6 e8e7 d6b6 h8d8 e4e5,114
r1bqk1nr/ppp3pp/2np4/4pp2/1NP5/6P1/PP1PPPBP/R1BQK1NR b KQkq -,c6b4 d2d4 d8d7 b2b3 g8f6 c1b2 b4c6 d4e5 d6e5 d1c2,68
rnq1kb1r/ppp1pppp/8/5b2/3P4/BQP5/P3PPPP/R3KBNR b KQkq -,h7h6 g1f3 b8d7 f3d2 e7e5 a3f8 d7f8 e2e4 f5e6 d4d5,95
r1bqk2r/pppp1ppp/1bn4n/6N1/2BPP3/8/PP3PPP/RNBQK2R b KQkq -,c6d4 e1h1 c7c6 h2h3 e8h8 b1c3 d7d5 e4d5 h6f5 c1f4,-12
r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/2P2N2/PP2PPPP/RNBQKB1R b KQkq -,e7e6 c1f4 f8d6 f4d6 c7d6 e2e3 e6e5 f1e2 e5e4 f3d2,-3
rnbqkb1r/p2ppppp/1pp5/2PnP3/2BP4/2N5/PP3PPP/R1BQK1NR b KQkq -,c8a6 c3d5 a6c4 d5e3 c4e6 c1d2 g7g6 d1c2 b8a6 b2b4,45
r2qkbnr/ppp2ppp/2n1p3/3p4/3P2b1/3BPN2/PPP2PPP/RNBQK2R b KQkq -,e6e5 d4e5 c6e5 d3e2 g4f3 e2f3 g8f6 e1h1 d8e7 f3e2,-37
r4rk1/pppq2b1/2np1np1/4pb1p/2P5/2NPB1PP/PP2NPBK/R2Q1R2 b - -,c6d8 c3e4 c7c6 e2c3 d8e6 b2b4 f5e4 d3e4 h5h4 d1d2,32
3r1rk1/1p1P1pp1/p4n1p/2p5/8/6PB/PqPQ3P/3R1RK1 b - -,b7b5 h3f5 g7g6 f5h3 f6e4 d2h6 b2g7 h6h4 f7f5 h3f5,72
rnb1kb1r/pp1ppppp/1q6/3n2B1/3P4/N7/PPP2PPP/R2QKBNR b KQkq -,b6b2 a3b5 d5c3 d1c1 b2c1 a1c1 c3b5 f1b5 e7e6 g1f3,-122
r1bqk1nr/pppp2pp/2n2p2/2b5/3pPB2/5N2/PPP2PPP/RN1QKB1R b KQkq -,g8e7 c2c3 d7d5 f3d4 e8h8 d4c6 b7c6 b1d2 e7g6 f4g3,-94
8/3b2p1/3k1pP1/2nBpP2/p1P3K1/P7/3B4/8 b - -,e5e4 d2b4 d7c6 d5c6 d6c6 g4g3 c5d7 g3f4 d7b6 b4e7,178
8/8/4k3/P7/8/1P6/8/2K5 b - -,e5e4 d2b4 d7c6 d5c6 d6c6 g4g3 c5d7 g3f4 d7b6 b4e7,Mate
r3qrk1/1ppb2b1/n2p3p/p2Pppp1/2P5/PPN3B1/3NBPPP/R2QK2R b KQ -,b7b6 e1h1 f5f4 e2h5 e8e7 c3e4 f4g3 h2g3 d7f5 d1e2,72
1r3r1k/3q1ppp/p1np4/1p1N1P2/4P3/2P2R2/PP4QP/R5K1 b - -,b8e8 g1h1 f7f6 a1g1 c6e5 f3g3 f8f7 d5f4 d7b7 g3h3,99
r1bqkb1r/pp1npppp/2p5/4P3/3P4/2P5/P4PPP/R1BQKBNR b KQkq -,c6c5 e5e6 f7e6 g1f3 c5d4 c3d4 g7g6 h2h4 f8g7 h4h5,100
r1q1r1k1/1ppb1pp1/1b1p1n1p/pN6/Pn1PP3/R4N1P/1P3PP1/1BBQR1K1 b - -,g8f8 e4e5 f6d5 c1d2 e8e6 g2g4 f8g8 g4g5 h6h5 g5g6,224
rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P1P2/4P3/PPP1B1PP/RNBQK1NR b KQkq -,e7e6 c2c4 f8e7 g1f3 e8h8 e1h1 c7c5 b1c3 b8a6 b2b3,26
r6r/1bpkbppp/1p1p4/p7/P1PN4/3P4/1BP2PPP/R3RK2 b - -,e7f6 a1b1 a8e8 f2f3 e8e1 f1e1 h8e8 e1f1 g7g6 d4b5,-39
rn1qkb1r/p2bnppp/1p2p3/1BppP3/3P4/N1P2N2/PP3PPP/R1BQK2R b KQkq -,e7f5 b5e2 c5d4 c3d4 b8c6 a3c2 f7f6 e1h1 f6e5 d4e5,31
r1b3k1/pp3p2/2n5/7p/1bP1nKP1/1Q2Pp1P/P4r1B/5B1R b - -,e4d2 b3d3 c8e6 h2g3 f2f1 h1f1 a8d8 d3d2 d8d2 f1f2,-917
8/8/6K1/8/8/8/pk2Q3/8 b - -,,0
r1b1k2r/1pq2pp1/p2p1n1p/8/4P3/1N1Q2P1/PPP2PB1/R4RK1 b kq -,h6h5 a1d1 h5h4 d3d6 c7d6 d1d6 h4g3 f2g3 e8e7 d6d3,67
8/8/3k4/8/6r1/8/3K4/8 b - -,e8e7 b3d4 h8d8 d3a3 f6g4 e4e5 c7c5 e5d6 c5d6 a3d6,Mate
rn1qkbnr/pp2ppp1/2p1P1b1/3p3p/3P2PP/2N5/PPP2P2/R1BQKBNR b KQkq -,g8f6 g4g5 f6e4 g1f3 f7f6 c3e2 g6f5 f1h3 f5h3 h1h3,146
r1bq1rk1/1p1nb1pp/p2p4/3Ppp2/2P2P2/2NB2P1/PP5P/R1BQ1RK1 b - -,e5f4 c1f4 d7e5 d1c2 d8b6 g1h1 e5d3 c2d3 e7f6 b2b3,-40
rnbqk2r/ppp1ppbp/5np1/3p4/2P5/1PN2N2/PB1PPPPP/R2QKB1R b KQkq -,d5d4 c3a4 b8c6 d2d3 e7e5 g2g3 e8h8 f1g2 e5e4 d3e4,-71
rn1qkb1r/ppp2ppp/4p3/5b2/1n1P4/1BN2N2/PPP2PPP/R1BQK2R b KQkq -,f8e7 e1h1 e8h8 h2h3 h7h6 a2a3 b4d5 c3d5 e6d5 f1e1,31
r1bq1rk1/1p1nb1pp/p2p4/3P1p2/2P2P2/2NB4/PP5P/R1BQ1RK1 b - -,d7c5 c1e3 e7f6 a1c1 c8d7 g1h1 f8e8 d1d2 c5d3 d2d3,-91
8/8/5QK1/8/8/8/pk6/8 b - -,,0
r2qkbnr/pp1b1p1p/2npp1p1/8/4P3/1QN2N2/PP2BPPP/R1B2RK1 b kq -,f8e7 h2h3 d8b8 c1e3 h7h6 b3a3 g6g5 b2b4 c6e5 f3e5,42
r2qkb1r/pp1b1p1p/2nppnp1/8/4P3/1QN2N2/PP2BPPP/R1BR2K1 b kq -,a8c8 b3b7 f8e7 h2h3 e8h8 c1h6 f8e8 b7b3 c8b8 b3c2,67
