1R4k1/p3bp1p/4p1p1/8/3r4/6P1/P3PP1P/5RK1 b - -,g8g7 e2e3 d4d2 a2a4 h7h5 b8b7 e7c5 a4a5 d2a2 f1d1,381
4R3/2k1K3/8/4P3/8/8/8/7r b - -,h1h4 e8f8 c7c6 f8d8 c6b5 e5e6 h4h7 e7f6 h7h6 f6f7,666
r1bqk1nr/pp1ppp1p/6p1/2p1b3/2B1PP2/2N5/PPPP2PP/R1BQ1RK1 b kq -,e5d4 g1h1 a7a6 a2a4 e7e6 f4f5 d4e5 d1e1 b7b6 d2d3,81
k7/8/K7/8/6p1/6P1/8/8 b - -,,0
r1bqk2r/pppp1ppp/2n2n2/b3p3/2BPP3/1QP2N2/PP3PPP/RNB1K2R b KQkq -,e8h8 d4e5 f6e4 e1h1 a5b6 c4d5 e4c5 b3c2 c6e7 f3g5,18
r1bqk2r/pp2bpp1/2n1p1n1/1N1pP2p/3P3P/2PB1N2/5PP1/R1BQK2R b KQkq -,c8d7 f3g5 a8c8 b5d6 e7d6 e5d6 a7a6 h1h3 g6f8 h3g3,209
R7/6p1/P2k4/2p3p1/2P1P1r1/8/1KP5/8 b - -,g7g6 a6a7 d6e5 a8b8 e5f4 a7a8q f4g3 a8d5 g3h3 e4e5,1394
r2qk2r/1pp2ppp/p1nbpn2/3P3b/P1B5/2N1PN1P/1P3PP1/R1BQ1RK1 b kq -,h5f3 d1f3 c6e5 f3e2 e5c4 e2c4 e6d5 c4b3 d8d7 e3e4,-90
4R3/2k3p1/P7/2p3p1/2P1P1r1/8/1KP5/8 b - -,c7b6 e8e6 b6a7 b2b3 g4g2 b3a4 g2c2 a4b5 c2b2 b5c5,Mate
r1bqkbnr/ppp2ppp/2n1p3/3pN3/3P1B2/4P3/PPP2PPP/RN1QKB1R b KQkq -,c8d7 e5d7 d8d7 c2c4 g8f6 b1c3 f8d6 f4g5 d6b4 g5f6,50
8/2k5/4K3/R3P3/8/8/8/4r3 b - -,c7c6 a5d5 e1h1 d5d2 c6c7 e6f7 h1h7 f7g6 h7h1 e5e6,492
rnbqk2r/ppp2ppp/4p3/3p4/1bPPnB2/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,c7c6 f1d3 e4c3 b2c3 b4d6 f4d6 d5c4 d3h7 d8d6 f3e5,118
rnb1k1nr/pp1pppbp/6p1/q7/3NP3/2P5/PP1B1PPP/RN1QKB1R b KQkq -,a7a6 f1d3 d7d5 d4b3 a5d8 e1h1 g8f6 e4d5 d8d5 d3e2,14
2kr2nR/1ppnqppQ/p3p3/3p2P1/3P1N2/2N1PP2/PPP5/2K5 b - -,e7g5 h7g8 c7c6 g8d8 g5d8 h8d8 c8d8 e3e4 d7b6 c3e2,360
r1bq1rk1/pppp1ppp/2n5/4P3/2B1Q3/2B2N2/P4PPP/R3K2R b KQ -,d7d6 e1h1 f8e8 a1d1 d8e7 f1e1 d6d5 c4d5 c8e6 d5e6,498
3qk3/p3bpp1/2b1p2r/2ppP2p/1r5P/1P3NPQ/P1P1NP2/R4RK1 b - -,b4g4 a1d1 h6g6 d1d3 d5d4 g1h2 d8a8 e2g1 f7f5 f3e1,-396
8/8/8/7R/5K2/8/6k1/8 b - -,b4g4 a1d1 h6g6 d1d3 d5d4 g1h2 d8a8 e2g1 f7f5 f3e1,Mate
r2q1rk1/1pp2ppp/2np1n2/p1b1p3/4P3/1QPP1N1P/PP3PP1/RNB1R1K1 b - -,a5a4 b3c2 d8d7 b1a3 h7h6 b2b4 a4b3 a2b3 b7b5 b3b4,-14
r1bqkb1r/ppp2ppp/2n5/3np3/Q7/P1N1P3/1P1P1PPP/R1B1KBNR b KQkq -,d5b6 a4c2 f7f5 g1f3 f8d6 f1e2 e5e4 f3d4 c6d4 e3d4,-31
8/8/8/1pN2k1p/8/1K6/8/8 b - -,c8e6 f1b5 d5b6 b5c6 b7c6 a4c6 e6d7 c6f3 f8d6 d2d3,Mate
rnbq1rk1/pp3pbp/3p1np1/2p5/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 b - -,c5d4 f3d4 d6d5 c1e3 b8c6 d1d2 c8d7 a1d1 f8e8 d3e2,27
r1bq1rk1/pp3pbp/2np1np1/2p5/3P4/2NBBN1P/PPP2PP1/R2Q1RK1 b - -,d8b6 d4c5 d6c5 a2a3 f8e8 a1b1 c8d7 f1e1 c6d4 b2b4,25
r6k/b1p3p1/2p1q2p/N3pr1n/PP6/2P1BP2/4QP1P/R5RK b - -,a7e3 f2e3 e6f6 a5c4 f5f3 c4e5 h5g3 h2g3 f3f2 e5g4,134
r4rk1/pp1nbppb/2p1pn1p/2Pp4/1P1P1BP1/2N2N1P/1P2PPB1/R3K2R b KQ -,g7g5 f4h2 f6e4 h3h4 a7a6 e2e3 f7f6 f3d2 e4d2 e1d2,17
rnbqkbnr/pp3ppp/4p3/2pp4/4PP2/P2P4/1PP3PP/RNBQKBNR b KQkq -,b8c6 g1f3 f8e7 f1e2 g8h6 e1h1 e8h8 d1e1 b7b6 f4f5,-33
8/5pkp/q2n1p2/8/3PQ2N/6PP/1R3PBK/2r5 b - -,c1h1 g2h1 d6e4 h4f5 g7g6 h1e4 h7h5 h3h4 a6e6 b2e2,639
3qk3/p3bpp1/2b1p1r1/2p1P2p/1r1p3P/1P3NPQ/P1P2P1K/R4RN1 b - -,g6g4 f1e1 b4b8 f3d2 d4d3 c2d3 d8d3 d2c4 d3d5 f2f3,-210
8/8/8/1p3k2/7p/1K1N4/8/8 b - -,g6g4 f1e1 b4b8 f3d2 d4d3 c2d3 d8d3 d2c4 d3d5 f2f3,Mate
r3kbnr/pp1n1ppp/1qp1p3/3pP3/3P2b1/2P2N2/PP1NBPPP/R1BQK2R b KQkq -,c6c5 h2h3 g4h5 c3c4 g8e7 d4c5 d7c5 e1h1 e7c6 c4d5,42
qr2k3/p3bpp1/2b1p1r1/2p1P2p/3p3P/PP4PQ/2PN1P1K/R4RN1 b - -,b8d8 f1d1 a8b8 d2c4 c6d5 f2f4 d5c4 b3c4 b8b2 a1c1,-140
r1bk1b1r/p1p1q1pp/2Qp4/4N1p1/3P4/2N5/PPP2PPP/R3K2R b KQ -,e7e6 c6a8 d6e5 e1a1 e5e4 h1e1 f8d6 e1e4 e6e4 c3e4,917
2r2k2/5p1p/5p2/3P1N2/q7/5BPP/1R3P1K/8 b - -,a4a3 b2d2 a3f3 f5h4 f3e4 h4g2 c8c2 f2f3 e4c4 d2c2,-552
r3kb1r/pp2n2p/1q3p2/3p1b2/2p2B2/2P1PP2/PP2BP1P/RNQ1K2R b KQkq -,e7g6 f4g3 h7h5 h2h4 g6e5 a2a4 e5d3 e2d3 f5d3 b1a3,-74
r1bq1rk1/1ppn2bp/3p4/p1nPpP2/2P4P/2N1BP2/PP1Q4/R3KBNR b KQ -,d7b6 e1a1 c8f5 g1h3 d8e7 h3g5 a5a4 c3e4 f5e4 f3e4,118
r1bq1rk1/pp1n1ppp/2pb1n2/8/P1BN4/2N1P3/1PQ2PPP/R1B2RK1 b - -,a7a5 f1d1 d7e5 c4f1 d8e7 h2h3 e5g6 e3e4 f8e8 d4f5,31
