3r1rk1/p1nqpp1p/1p4pb/8/P1Q5/B1NnP1P1/3P1PB1/1R3RK1 b - -,h6g5 a4a5 d3e5 c4b3 b6b5 c3e4 g5h6 a3d6 e5c4 d6c7,108
3r1rk1/p1nqppbp/1p4p1/P7/2Q5/B1NnP1P1/3P1PB1/1R3RK1 b - -,d3e5 c4a2 e5d3 a5b6 a7b6 b1b6 g7c3 d2c3 d3e5 c3c4,48
r3r1k1/p1p3pp/2p2b2/5b2/P7/3N3P/1PPB1PP1/R2R2K1 b - -,c6c5 d2c3 f6c3 b2c3 e8e2 d3f4 e2c2 d1d5 f5e4 d5c5,78
rn1qkb1r/pp2pppp/2p5/3n4/2PPN1b1/5N2/PP2QPPP/R1B1KB1R b KQkq -,d5f6 e4f6 g7f6 c1d2 e7e6 d2c3 b8d7 g2g3 a7a5 f1g2,90
r1b1k2r/pppp2p1/2nq3p/2bNpp2/2B1P2N/3P4/PPP2PPP/R2QK2R b KQkq -,b7b5 d1h5 e8d8 h4f5 d6f8 c4b3 c6d4 f5d4 e5d4 e1h1,195
8/8/2BK4/8/N7/1k6/8/8 b - -,b3c2 c6e4 c2b3 a4c5 b3b4 d6d5 b4a3 d5d4 a3b2 d4d3,9605
rnbq1rk1/ppp1bppp/3p1n2/3Pp1B1/2B1P3/5N2/PPP2PPP/RN1QR1K1 b - -,f6d5 d1d5 e7g5 f3g5 d8g5 b1c3 a7a5 d5d1 c8h3 d1f3,-121
4b1k1/5ppr/1p2R3/8/8/Q7/P4PPP/6K1 b - -,f7e6 a3e7 e8h5 e7e6 g8f8 e6b6 h7h6 b6b8 f8f7 a2a4,570
r1bqkb1r/pp2ppp1/2n2n2/2pp3p/7P/1P2P1P1/PBPP1PB1/RN1QK1NR b KQkq -,c8g4 g1f3 e7e5 d2d3 d8c7 d1d2 f8e7 e1h1 a8d8 f3h2,-72
r1bqk2r/5pbp/P2p2p1/3Pp3/2Bn4/N7/PP3PPP/R1BQK2R b KQkq -,e8h8 e1h1 d8b6 a3c2 c8a6 c4a6 b6a6 c2b4 a6b5 c1d2,32
8/8/2PR4/4p3/4Pn2/3B2k1/3r4/5K2 b - -,e8h8 e1h1 d8b6 a3c2 c8a6 c4a6 b6a6 c2b4 a6b5 c1d2,Mate
