4r3/2Pk2q1/1B1pn1p1/p2B1pP1/1pQ5/1P5P/P1P5/6K1 b - -,g7g8 d5c6 d7e7 c6e8 g8e8 c7c8q e8c8 c4c8 f5f4 b6a5,954
r2k3r/p1q2p2/1pp3pp/2p1b3/3n2N1/3PB2P/PPPQ2P1/4RRK1 b - -,e5d6 e3d4 c5d4 g4h6 h8f8 f1f6 d8c8 e1f1 d6e7 f6f7,275
r2r2k1/p1p3bp/np4p1/3PNp2/4nP2/4BB2/PP4PP/2KR3R b - -,d8d6 a2a3 a6c5 h1e1 a7a5 e5c4 d6d7 e3c5 e4c5 d5d6,67
rn1qk1nr/1b1p1ppp/p3p3/1p6/1b1NP3/P1N1BP2/1PP3PP/R2QKB1R b KQkq -,b4a5 d4b3 a5c3 b2c3 d8c7 a3a4 b5a4 a1a4 g8e7 c3c4,86
r2r2k1/p1p3bp/1pN3p1/3P1p2/1n2nP2/4BB2/PP4PP/2KR3R b - -,a7a5 c6d8 a8d8 a2a3 b4d5 h1e1 d8d6 e3g1 d6c6 c1b1,256
2kr3r/p1q2pb1/1ppNb1pp/2p1P3/3n4/3PB2P/PPPQ2PN/4RRK1 b - -,c8d7 e3d4 c5d4 d6f7 g6g5 d2e2 d7c8 f7d8 c7d8 e2e4,388
r1bq1rk1/p1p2pp1/3b3p/2p5/8/3Q1N2/PPPB1PPP/R4RK1 b - -,c8b7 h2h3 d8c8 f1e1 f8d8 d3c3 a7a5 e1e3 c8f5 a1e1,-62
r2r4/p1p2kbp/1pP3p1/5p2/4nPP1/4BB2/PP5P/2KR3R b - -,d8d6 g4f5 d6c6 c1b1 g6f5 d1d7 f7f8 h1d1 a8c8 d1d5,27
r1b2k2/ppp3pp/1b6/3pN2Q/3Pp3/2q5/P4PPP/R4RK1 b - -,c3f3 e5f3 c8e6 f3g5 a8e8 g5h7 f8e7 h5e5 e7d8 e5g7,Mate
8/8/8/8/3rk3/5p2/8/R4K2 b - -,,0
r1b1k2r/1pqp1pp1/p3pn2/2b5/4P1Pp/2NQ3P/PPP2PB1/R1B2RK1 b kq -,f6h7 c1e3 e8h8 e3c5 c7c5 f1d1 b7b5 d3d6 c5d6 d1d6,72
r2q1rk1/pbp2pp1/3b3p/2p5/8/2BQ1N2/PPP2PPP/R4RK1 b - -,d8c8 f1d1 f8e8 d1e1 e8d8 d3e2 c8f5 f3d2 f5g6 d2e4,-78
rn1qkbnr/p2ppppp/Bp6/8/4P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,b8a6 e1h1 a6c7 f1e1 g7g6 d1d4 g8f6 e4e5 f6h5 e5e6,99
r1b1k2r/p2nbp1p/1pq1p1p1/3pP3/3B1P2/P1N3N1/1PPQ2PP/R4RK1 b kq -,e7c5 c3e2 c8a6 b2b4 c5e7 f1f3 a6c4 d4b2 a7a5 e2d4,28
r4k2/ppp3pQ/1b2b3/3pN3/3Pp3/2q5/P4PPP/R4RK1 b - -,a8e8 f1d1 f8e7 h7h4 e7f8 a1b1 c3c2 e5g6 f8f7 h4h5,274
r4k1Q/ppp3p1/1b2b3/3pN3/3qp3/8/P4PPP/R4RK1 b - -,e6g8 h8h5 a8d8 a1d1 d4c5 f1e1 c5f2 g1h1 g8f7 h5g5,243
r6Q/ppp1k1p1/1b2b1N1/3p4/3qp3/8/P4PPP/R4RK1 b - -,e7d6 h8a8 d4f6 g6f8 e6g4 f8h7 f6f7 a8d8 g4d7 h7g5,404
r1bqk1nr/ppp2ppp/2n5/3p4/1b1P4/4PN2/PP1N1PPP/R1BQKB1R b KQkq -,g8f6 a2a3 b4d6 f1d3 e8h8 e1h1 a7a5 e3e4 d5e4 d2e4,-1
r3kb1r/ppq1nppp/2n1p3/2PpP3/Q5b1/2P1BN2/PP1N1PPP/R3KB1R b KQkq -,e7f5 a4g4 f5e3 f2e3 f8c5 e1a1 c5e3 c1b1 e8h8 f1d3,348
rnbqk1nr/pp3ppp/4p3/2bp2B1/8/5N1P/PPP1PPP1/RN1QKB1R b KQkq -,d8b6 e2e3 b6b2 b1d2 g8e7 c2c4 h7h6 g5f4 b8c6 f1e2,-78
8/2N5/8/2k5/8/3K4/7B/8 b - -,c5b6 d3c4 b6a7 h2f4 a7b6 c4d5 b6b7 f4g3 b7b6 d5d4,325
