4r1k1/2p2p1p/5RpQ/pb1p4/3P4/8/2P3PP/6K1 b - -,b5c4 f6f3 c4e2 f3h3 e2h5 h3e3 e8a8 e3e1 a5a4 h2h3,450
r3r1k1/pppnqp1p/2bp1np1/8/1P2PPP1/2Q5/1B1N2BP/R4RK1 b - -,d6d5 e4d5 c6b5 f1f3 e7d6 g4g5 c7c6 g5f6 c6d5 f3f2,340
8/8/8/8/5Q2/7K/4b1p1/6bk b - -,d6d5 e4d5 c6b5 f1f3 e7d6 g4g5 c7c6 g5f6 c6d5 f3f2,Mate
r1bqkb1r/1p3ppp/p2p4/3PB3/2R5/5N2/PP2QPPP/3R2K1 b kq -,f7f5 e5g7 e8f7 g7h8 f7g8 h8c3 c8d7 d1e1 f8h6 c4h4,612
rnb1r1kb/4q2p/1pp3P1/p2p1p2/P2P4/4PNN1/1PQ2PP1/1BRR2K1 b - -,h7g6 g3e2 h8f6 e2f4 g8g7 c2b3 e7b4 b3b4 a5b4 b2b3,132
r2r2k1/1ppqp1bp/1n2b1p1/p2PPp2/1n3N2/P1N1BP2/1P1Q2PP/1K1R1B1R b - -,g7h6 d5e6 d7e8 d2c1 d8d1 c1d1 h6f4 e3f4 c7c6 f4c1,442
r1bqkb1r/p2n1pp1/2pp1n1p/1p2p3/3PP1P1/2N3NP/PPP2PB1/R1BQK2R b KQkq -,b5b4 c3e2 a7a5 a2a3 c8b7 e1h1 c6c5 c2c3 g7g6 a3b4,64
8/8/8/1b6/6Q1/7K/6p1/6bk b - -,b5b4 c3e2 a7a5 a2a3 c8b7 e1h1 c6c5 c2c3 g7g6 a3b4,Mate
8/8/2b5/8/8/7K/6p1/3Q2bk b - -,b5b4 c3e2 a7a5 a2a3 c8b7 e1h1 c6c5 c2c3 g7g6 a3b4,Mate
rn3rk1/2p2p1p/8/1p1P2p1/p2P1b2/P1P2P1Q/BP1NRKP1/R1q5 b - -,h7h6 a1c1 a8a6 h3f5 f4d2 e2d2 a6g6 c1h1 g8g7 d2e2,836
8/8/8/8/4b3/6K1/6p1/3Q2bk b - -,h7h6 a1c1 a8a6 h3f5 f4d2 e2d2 a6g6 c1h1 g8g7 d2e2,Mate
r1bqk1nr/p2p1ppp/2p1p3/2b5/4P3/2P2Q2/PP3PPP/RNB1KB1R b KQkq -,d7d5 e4d5 c6d5 c1e3 c5e3 f3e3 g8f6 f1d3 e8h8 e1h1,-34
8/8/6b1/8/8/6K1/6p1/2Q3bk b - -,d7d5 e4d5 c6d5 c1e3 c5e3 f3e3 g8f6 f1d3 e8h8 e1h1,Mate
8/1nk2p2/2B2p1p/p2K1Pp1/P2P2P1/8/7P/8 b - -,b7d6 d5c5 d6c8 c6f3 c8d6 f3d5 h6h5 g4h5 d6f5 d5c6,629
rn3rk1/2p2p1p/8/1p1P2p1/p2P1b2/P1P2P1Q/1P1NRKP1/qB6 b - -,f4e3 e2e3 a1b1 d2b1 a8a6 e3e7 g5g4 h3g4 a6g6 g4f5,617
1Q6/2K5/8/2P5/8/8/2k5/8 b - -,f7f5 b1f5 f8f5 e2e7 a1h1 h3h1 f5f7 e7f7 g8f7 h1h7,Mate
6k1/2p2p1p/5rp1/pb1p2Q1/3P4/6K1/2P3PP/8 b - -,f6c6 g5d8 g8g7 d8d5 c6c3 g3f4 c7c6 d5e5 g7f8 d4d5,148
6k1/2p1Qp1p/3r2p1/pb1p4/3P4/6K1/2P3PP/8 b - -,d6d7 e7e8 g8g7 c2c4 b5a4 c4c5 a4b5 e8e5 f7f6 e5e6,18
rnb1r1kb/4q3/1pp3p1/p2p1p2/P2P4/1Q2PNN1/1P3PP1/1BRR2K1 b - -,e7b4 b3c2 b4e7 g3e2 h8f6 e2f4 g8g7 c2b3 e7b4 b3b4,100
6k1/2Q2p1p/3r2p1/p2p4/2bP4/6K1/2P3PP/8 b - -,,0
1Q4k1/5p1p/r5p1/p2p4/2bP4/6K1/2P3PP/8 b - -,,0
rn1qk1nr/pppbbpp1/3pp2p/8/3PPP2/2PB1N2/PP4PP/RNBQK2R b KQkq -,d6d5 e4e5 c7c5 e1h1 b8c6 d4c5 e7c5 g1h1 a7a5 b1a3,92
