rnbq1rk1/ppp1p1bp/4pnp1/6BP/8/2NB4/PPP2PP1/R2QK1NR b KQ -,b8c6 h5g6 h7g6 g1f3 c6b4 d3g6 d8d1 a1d1 b4c6 g5f4
r2q1rk1/pp2ppbp/2npbnp1/8/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 b - -,a8c8 b3d2 f6d7 a1c1 c6d4 b2b3 d8a5 d2b1 d4e2 d1e2
r1bq1rk1/ppP2ppp/2n2n2/2b5/2B5/2P2N2/P4PPP/RNBQ1RK1 b - -,d8c7 c1g5 c6e5 f3e5 c7e5 g5f6 e5f6 b1d2 f6c3 a1c1
r4rk1/pp1qppbp/3pbnp1/8/2PBP3/2N5/PP2BPPP/R2Q1RK1 b - -,d7c6 d1d3 f6d7 b2b3 g7d4 d3d4 c6c5 d4d2 a7a5 f1d1
r1r3k1/pp1qppbp/3pbnp1/8/2PBP3/1PN5/P3BPPP/R2Q1RK1 b - -,d7c7 f2f4 e6d7 d1d3 d7c6 a1d1 c7a5 h2h4 f6h5 d4g7
8/8/5KQ1/7r/6k1/8/8/8 b - -,d7c7 f2f4 e6d7 d1d3 d7c6 a1d1 c7a5 h2h4 f6h5 d4g7
rb2r1k1/1p3ppp/p1nq4/3p4/3Nn1b1/1QB1PN2/PP2BPPP/2RR2K1 b - -,
r1rq2k1/pp2ppbp/3pbnp1/8/2PBP3/1PN5/P3BPPP/2RQ1RK1 b - -,e6d7 d1d3 d7c6 f1d1 a7a6 a2a4 a6a5 h2h3 g7h6 d4e3
rnbqr1k1/ppp1ppbp/3p1np1/8/3P4/4PNB1/PPPNBPPP/R2QK2R b KQ -,a7a5 a2a4 f6h5 g3h4 g7f6 h4f6 h5f6 e1h1 b8d7 c2c4
r1r3k1/pp2ppbp/3pbnp1/q7/P1PBP3/1PN5/4BPPP/2RQ1RK1 b - -,f6d7 d4g7 g8g7 f2f4 f7f6 g1h1 d7c5 f1f3 a5b4 c1b1
r1bq1rk1/3n1Nbp/pp2p1p1/8/P1Bp1Q2/B7/2P2PPP/1R2R1K1 b - -,d7e5 a3f8 d8f8 f7h6 g7h6 f4e5 h6g7 e5e4 a8b8 c4e6
8/8/5K2/r7/7k/8/3Q4/8 b - -,d7e5 a3f8 d8f8 f7h6 g7h6 f4e5 h6g7 e5e4 a8b8 c4e6
1r4k1/3bppbp/p2p1np1/2pP4/2P1P1P1/3KBP2/q2QN2P/3R3R b - -,a2b3 e2c3 f6g4 f3g4 b8b4 d2c2 b3c4 d3d2 b4b3 d1c1
r1r3k1/pp2ppb1/3pbnp1/q6p/P1PBP3/1PN2P2/4B1PP/2RQ1RK1 b - -,e6d7 d1d2 d7c6 c1d1 h5h4 g1h1 e7e6 d2c2 a5b4 f3f4
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/4PN2/PPQ1BPPP/RNB2RK1 b - -,
