1r6/3k4/3p4/B3p2p/P1b1Pp1P/1pP2Pp1/nP1R2P1/3K3R b - -,b8a8 a5b4 a2b4 c3b4 a8a4 d1e1 a4a2 d2d1 d6d5 d1b1,-197
r7/3k4/3p4/4p2p/PBb1Pp1P/1pP2Pp1/nP1R2P1/3K3R b - -,a2b4 c3b4 a8a4 d1e1 a4a2 d2d1 d6d5 d1b1 d5e4 f3e4,-163
r2qkbnr/1ppb1ppp/p1Np4/1B6/4PP2/8/PPP3PP/RNBQK2R b KQkq -,d8c8 c6a7 a8a7 b5d7 c8d7 c1e3 a7a8 b1c3 g8f6 e3d4,132
8/3k4/3p4/4p2p/rPb1Pp1P/1p3Pp1/1P1R2P1/4K2R b - -,a4a2 d2d1 d6d5 d1b1 d5e4 f3e4 a2a6 e1d2 a6d6 d2c3,-116
8/R4p2/4pkp1/5n1p/5P2/2r4P/1R4K1/8 b - -,c3c4 g2f3 f5h6 b2a2 c4b4 a2d2 h5h4 a7a2 b4b3 f3g2,-26
8/3k4/3p4/4p2p/1rb1Pp1P/1p3Pp1/1P4P1/3RK2R b - -,c4f7 d1d3 b4c4 e1e2 c4c6 d3d1 f7c4 e2d2 d6d5 h1e1,-38
r1bq1rk1/ppp2pp1/2np3p/2b1p3/2B1P1P1/2NP1N2/PPP2P2/R1BQ1RK1 b - -,a7a6 f3h2 d8h4 g1g2 c6d4 a2a4 c7c6 f2f4 b7b5 c4b3,196
8/R4p2/4pkp1/5n1p/5P2/6rP/1R5K/8 b - -,g3d3 b2b7 f5h6 a7a4 d3d2 h2g1 d2e2 b7a7 e2c2 a7b7,-23
r1bq1rk1/ppp1n1pp/3b4/3p1p2/2PPnN2/3B1Q1P/PP3PP1/RNB2RK1 b - -,g7g5 f4d5 e7d5 c4d5 g5g4 h3g4 e4g5 c1g5 d8g5 f3h3,19
8/3k4/3p4/4p2p/r1b1Pp1P/1p3Pp1/1P1K2P1/3R3R b - -,,0
r1bR2k1/5p2/p3pp1p/1P6/2n5/5N2/1PP2PPP/6K1 b - -,g8g7 b5a6 a8a6 g1f1 c4d6 f1e2 e6e5 f3e1 a6c6 f2f3,-400
8/RR3p2/4pkp1/5n1p/5P2/5r1P/7K/8 b - -,f5h6 a7a4 f3d3 h2g2 f6g7 b7c7 d3d1 c7b7 d1c1 b7d7,-22
8/3k4/3p4/4p2p/2b1Pp1P/1pK2Pp1/rP4P1/3R3R b - -,,0
8/3k4/3pb3/4p2p/4Pp1P/1pK2Pp1/rP4P1/R6R b - -,,0
8/RR3p2/4pkp1/5n1p/5P2/7P/5r2/6K1 b - -,f2f4 b7f7 f6g5 a7a2 f4e4 a2g2 g5h6 g1f2 e4e5 f7f6,-6
1q2r1k1/3Rbp2/2p3p1/p3p2p/2P1P3/1P3QP1/5P1P/4N1K1 b - -,b8b4 f3d1 g8g7 g1g2 b4c3 e1f3 e7c5 d1b1 e8e7 d7d3,17
8/8/P7/1Pp4N/3p1Kpk/2p3P1/8/8 b - -,,0
r2q1rk1/ppp1bppp/1n2b3/4p3/1P1N4/P1NP2P1/4PPBP/R1BQ1RK1 b - -,e5d4 c3e4 a7a5 c1b2 a5b4 a3b4 e7b4 d1c2 e6d5 a1a8,-9
8/R4R2/4pkp1/5n1p/5r2/7P/8/6K1 b - -,f6g5 a7a2 f4e4 a2g2 g5h6 g1f2 e4e5 f7f6 f5e7 f2f3,-7
rnb1k1nr/ppp1qppp/3b4/8/2N5/8/PPP1PPPP/R1BQKBNR b KQkq -,d6e5 c4e5 e7e5 g1f3 e5e7 c1f4 g8f6 c2c3 e8h8 e2e3,141
2r3k1/1b1N1pp1/p2Qpq1p/nprp4/7P/P1P4N/1P3PP1/1K1R1B1R b - -,f6c3 b2c3 c5c3 f1d3 c3c6 d6b4 a5c4 b1a1 c6c7 d7f6,580
6b1/8/3p4/2k1p2p/4Pp1P/1pK2Pp1/rP1R2P1/3R4 b - -,,0
rn1qkb1r/ppp2pp1/3p1n1p/4p3/P1B1P1b1/3P1N2/1PP2PPP/RNBQ1RK1 b kq -,f8e7 h2h3 g4e6 c4e6 f7e6 c2c3 e8h8 c1e3 b8c6 b2b4,48
r2q1bn1/pppk4/4p3/3pPPpr/8/2P5/PP5P/RNBQK2R b KQ -,g5g4 f5e6 d7e8 d1g4 h5e5 e1d1 d8f6 c1f4 f6f5 h1g1,39
2rq2k1/1b1N1pp1/pQ2p2p/nprp4/7P/P1P4N/1P3PP1/1K1R1B1R b - -,c5c7 b6a5 d8d7 f2f3 d5d4 h3f2 e6e5 f1d3 b7d5 c3d4,248
r1bqk2r/pp3pp1/2np1n1p/4p3/4P3/2PBBN2/P1P2PPP/R2Q1RK1 b kq -,e8h8 h2h3 c8e6 f3d2 a8c8 a2a4 f8e8 d1f3 b7b6 d3a6,-42
6b1/3k4/r2p4/1K2p2p/4Pp1P/1p3Pp1/1P1R2P1/2R5 b - -,a6a8 c1c5 a8b8 b5a4 b8a8 a4b4 a8b8 c5b5 b8b5 b4b5,164
r5k1/ppbrqpp1/2p1p2p/2Pp4/1P1PnP2/P3P3/1B2Q1PP/R3NRK1 b - -,f7f5 a3a4 g7g5 a1a3 g8h7 b4b5 e7f6 a3b3 d7g7 b5c6,-78
6b1/3k4/3p4/1K2p2p/4Pp1P/1p3Pp1/rP1R2P1/3R4 b - -,d7e7 d1c1 a2a7 b5b6 a7d7 c1c8 g8e6 c8c7 e7d8 c7d7,157
2r3k1/1b1q1pp1/p3p2p/Qprp4/7P/P1P4N/1P3PP1/1K1R1B1R b - -,b5b4 a5b4 e6e5 f2f3 d7c7 b4b3 b7c6 b3c2 c6d7 f1d3,228
rnbqkb1r/pp3ppp/4pn2/3p4/8/2N1P1Q1/PP1P1PPP/R1B1KBNR b KQkq -,f8d6 g3g7 h8g8 g7h6 e6e5 h2h3 d5d4 e3d4 e5d4 c3b5,-87
8/5R2/3rp1p1/5nkp/4R3/7P/8/6K1 b - -,,0
