r1bq1rk1/p3b3/1p2p1Q1/3pP3/4nB2/P3P3/1PBN1P1P/R3K2R b KQ -,g8g7 b4c3 f7f6 e8b8 c6b8 c3c7 f6f7 c7b8 f7e7 b8b7,Mate
rn1qr1k1/pp1bbppp/3p1n2/1BpP4/P7/2N4P/1PP1NPP1/R1BQ1RK1 b - -,h7h5 c1g5 d7b5 a4b5 b8d7 e2g3 g7g6 f1e1 f6h7 g5f4,83
8/8/6k1/1p4Pp/1P5P/5K2/8/8 b - -,g6g7 f3e4 g7f7 e4d5 f7f8 d5c5 f8e7 c5b5 e7f7 b5c5,1712
8/8/b7/8/8/2K3Q1/4k3/8 b - -,g6g7 f3e4 g7f7 e4d5 f7f8 d5c5 f8e7 c5b5 e7f7 b5c5,Mate
8/1p1k4/4p3/1Pp1p1Q1/3pP1Pp/3P4/4K3/1q6 b - -,b1b2 e2e1 b2b5 g5e5 b5d3 e5h5 d3e4 e1d2 e4e3 d2c2,-538
1Q6/8/3P4/8/6k1/7p/6p1/6K1 b - -,b1b2 e2e1 b2b5 g5e5 b5d3 e5h5 d3e4 e1d2 e4e3 d2c2,Mate
1R4k1/6p1/8/8/1P3p1p/r6P/7K/8 b - -,,0
2b3kr/r2pQ3/4p1Bp/1p2P3/8/5P2/PP3P1P/4K3 b - -,g8h7 b4b5 a3a2 h2g1 g7g5 b5b6 a2b2 g1f1 b2b3 f1g2,Mate
2b5/1p6/p7/2PB1k1p/1P1K2pP/6P1/8/8 b - -,a6a5 b4a5 f5f6 d5e4 f6e7 e4g6 c8e6 g6h5 e6g8 h5g6,798
r2qbrk1/1p2bppp/p3p3/3nN3/PnBP4/2N2Q2/1P1B1PPP/R2R2K1 b - -,b4c2 c4d5 e6d5 c3d5 e7d6 a1c1 c2d4 f3e3 f7f6 e3d4,7
8/4k1pp/7P/6K1/8/8/6P1/8 b - -,,0
