2bn2k1/1p4p1/pqrrpbQp/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,f6e7 g6h7 g8f8 h7h8 f8f7 f5g4 e7f6 g4h5 g7g6 h8h7,Mate
rnbqk1nr/1pp3pp/4pp2/p2p4/PbPP1B2/4PN2/1P1N1PPP/R2QKB1R b KQkq -,b8a6 a1c1 g8e7 f1d3 e8h8 e1h1 c8d7 f4g3 d8e8 b2b3,31
r1bqk2r/1pp2p2/1bnp1n1p/p3p1p1/PPB1P3/1QPP1NB1/5PPP/RN2K2R b KQkq -,e8h8 b4b5 c6e7 b1d2 f6h5 e1h1 e7g6 f3e1 g5g4 a1d1,-75
r1bq1rk1/pppp1pp1/2n1p3/b2nP1NQ/3P3P/2P5/PP3PP1/RNB1K2R b KQ -,e8h8 b4b5 c6e7 b1d2 f6h5 e1h1 e7g6 f3e1 g5g4 a1d1,Mate
rnbqk2r/ppp2p2/4p3/3pP2p/1b1P2pP/2N3N1/PPPQ1PP1/R3KB1R b KQkq -,b8d7 e1a1 a7a6 c1b1 c7c5 a2a3 c5d4 a3b4 d4c3 d2c3,47
4R3/3k2Q1/8/8/8/4K3/8/8 b - -,b8d7 e1a1 a7a6 c1b1 c7c5 a2a3 c5d4 a3b4 d4c3 d2c3,Mate
r3k2r/pp1q1p1p/2p2b2/3ppP2/4P1Q1/3PBP1P/PPP1K1R1/6R1 b kq -,d7d6 g4h5 h7h6 e2d1 d6e7 a2a3 e8d7 g2g4 f6g5 e3d2,211
r3rk2/1p3p1Q/1ppp2p1/4P3/1P6/P6R/1Bq3PP/R5K1 b - -,e8e6 h7h8 f8e7 h8a8 d6e5 a8b7 e7d6 b7b6 e6e8 a1f1,1407
4rrk1/6pp/p2b4/1p1p3q/3P1Bb1/2PQ2P1/PP1N1P1P/R3R1K1 b - -,g4e2 e1e2 e8e2 d2f3 e2b2 f3e5 h5e2 d3e2 b2e2 a2a4,-198
r1b1kb1r/pp2pppp/5n2/q2p4/1n1P1B2/1PNBP3/P2Q1PPP/R3K1NR b KQkq -,b4d3 d2d3 e7e5 f4e5 f8b4 g1e2 f6e4 a1c1 f7f6 e5c7,-241
5k2/1p3p2/p7/5p2/2P2P2/1P1rN2P/P2p1P2/3R2K1 b - -,d3d4 g1f1 f8e8 e3f5 d4f4 f5d6 e8d7 d1d2 d7c6 f1g2,642
1r1r1bk1/5ppp/p3b3/8/7N/2B2QP1/PPq2P1P/2R1R1K1 b - -,c2d3 a2a3 d3f3 h4f3 b8c8 h2h4 h7h6 f3d4 e6g4 e1e4,23
3q1rk1/pb3ppp/1p2pb2/8/1n1PP3/5N2/PB3PPP/1BQ1R1K1 b - -,d8d7 c1d2 b4c6 h2h4 f8d8 e1d1 c6a5 d2d3 g7g6 h4h5,4
r1br2k1/ppp2pbp/n5p1/4p3/2P1P1n1/2N2N2/PP1BBPPP/R4RK1 b - -,,0
r7/1p2kpp1/3p1n1p/p1r1p3/1n2P3/BP3P2/P1P1B1PP/1K1R3R b - -,,0
r1bqr1k1/pppp1Qp1/2n1p3/b2nP1N1/3P3P/2P5/PP3PP1/RNB1K2R b KQ -,b4a2 a3c5 a2c3 b1c1 c3d1 c5d6 e7d6 h1d1 d6c5 e2c4,Mate
2rqr1k1/1p1bb1pp/p1n1pn2/3pN1B1/5Q2/2NB4/PPP2PPP/4RR1K b - -,d5d4 c3e4 c6e5 f4e5 f6e4 g5e7 e4f2 f1f2 e8e7 f2f4,60
r1b1kb1r/pp2pppp/5n2/q2p4/3P1B2/1PNQP3/P4PPP/R3K1NR b KQkq -,e7e5 d4e5 f8b4 a1c1 f6e4 g1e2 c8f5 e5e6 e8h8 e6f7,-248
1rrq1bk1/5pp1/bnn1p2B/2ppP2P/p1P3N1/3P1NP1/P2Q1P2/2R1RBK1 b - -,f8e7 d2f4 d5c4 d3c4 c6d4 e1d1 d4f3 f4f3 d8f8 h6e3,383
2r5/p3kp2/1p2pn2/4p1pp/2P1P3/1PN1KPP1/P7/3R4 b - -,c8c6 d1h1 c6d6 h1c1 g5g4 c1d1 d6c6 c3a4 c6c8 a4b2,-128
4r1k1/ppQ1rppp/8/2p5/2Pn1P2/P4B1P/1P4P1/3R1R1K b - -,e7c7 f1e1 e8e1 d1e1 g8f8 f3d5 a7a5 h3h4 d4f5 b2b4,-30
r3r1k1/pp3pb1/2pqp1p1/3pN2n/3P3P/2N5/PPP1QP2/2K3RR b - -,c6c5 c3b5 d6e7 d4c5 e7c5 e5g6 f7g6 g1g6 e8e7 e2h5,-271
r1br4/pp4kp/5qp1/2n2pN1/2B5/1P3N1P/P3Q1P1/R4R1K b - -,c8d7 a1e1 d8e8 e2d2 d7c6 f3d4 a8d8 e1e8 d8e8 d4c6,418
r1bqkb1r/1pp2pp1/5n2/8/3pPpPp/Pp1P1Q1P/1BPN2B1/R4RK1 b kq -,c8e6 d2b3 c7c5 f3f4 f8e7 b2c1 e8h8 b3d2 f6h7 d2f3,-52
r3kb1r/pp3ppp/4b3/1p2P3/8/4BP2/PPP4P/2KR3R b - -,f8e7 h1g1 g7g6 b2b4 e6a2 c1b2 a2e6 c2c3 a7a5 d1a1,-522
r1bqk2r/pp1pppbp/2n3p1/2pnP3/3P1P2/2P2N2/PP2B1PP/RNBQK2R b KQkq -,c5d4 c3d4 d7d6 b1c3 c8e6 e1h1 e8h8 g1h1 d6e5 f4e5,-17
2rqr1k1/1p1bb1pp/p3pn2/3pQ1B1/8/2NB4/PPP2PPP/4RR1K b - -,f6g4 g5e7 g4e5 e7d8 e5d3 c2d3 e8d8 e1e2 b7b5 e2d2,-13
r3kb1r/1pp2ppp/pnq1p3/3n4/3P3B/P1NQ1P2/1PP1N1PP/2KR3R b kq -,f8d6 c3d5 b6d5 h4e1 e8h8 e2c3 f8b8 c3d5 e6d5 d3c3,-45
r1bqkb1r/pp3ppp/1nn1p3/2ppP3/5PQ1/PPN5/1BPP2PP/R3KBNR b KQkq -,h7h5 g4g3 c6e7 f1d3 d5d4 c3b5 e7f5 d3f5 e6f5 b5d6,-19
8/Npp3k1/n5p1/2pP4/2P2r2/P1K1R2P/1P6/8 b - -,g6g5 a7b5 f4f8 e3g3 g7h6 c3b3 f8e8 b3a4 e8a8 b5c3,247
r1bqk2r/pp2bppp/2nppn2/2p5/4PP2/2P2NP1/PP1PQ1BP/RNB1K2R b KQkq -,a8b8 a2a4 c6a5 e1h1 e8h8 d2d3 a5b3 a1a2 b3c1 f1c1,-23
2rq1rk1/1b2bppp/p1n1pn2/1p1p4/3P1N2/PPN1P1P1/3B1PBP/R2Q1RK1 b - -,a6a5 c3b5 b7a6 a3a4 d8b6 d1e2 c6a7 f1b1 g7g5 f4h5,13
1nr3k1/4qp2/p1r1p1p1/4P2p/1P3P1P/2R2Q2/3N2P1/2R3K1 b - -,e7b4 c3c6 b8c6 d2e4 g8g7 c1d1 c6d4 f3f2 d4f5 e4d6,-109
4r1k1/ppr2ppp/8/2p5/2Pn1P2/P4B1P/1P4P1/4RR1K b - -,e8e1 f1e1 g8f8 f3d5 c7d7 g2g4 g7g6 e1e5 f7f6 e5e1,-23
rn1qk2r/1pp1ppbp/p2p1np1/8/3PP3/2NBBQ1P/PPP2PP1/R3K2R b KQkq -,b8d7 e1a1 c7c6 g2g4 a8c8 c1b1 b7b5 f3g2 d8a5 h3h4,99
r2r4/pp4kp/4Nqp1/2n2p2/2B5/1P3N1P/P3Q1P1/R4R1K b - -,c5e6 e2e6 f6e6 c4e6 h7h6 a1e1 g7f6 e6c4 d8e8 c4d5,642
4r1k1/p6q/1p1Q4/1bnP1pB1/5P2/2P1P3/P1B3P1/2R3K1 b - -,e8e3 d6f6 b5d7 g1f2 e3e8 c1e1 e8e1 f2e1 h7g7 f6e5,563
2r5/pp1k1pp1/4p3/1N1pPn1p/1n1P3P/1P3N2/P4PP1/5RK1 b - -,a7a6 a2a3 b4c2 b5d6 f5d6 e5d6 f7f6 a3a4 c2b4 g2g3,-403
