6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
r7/6kp/p2R4/3R2Pp/Pp6/6r1/1PP5/2K5 b - -,a8a7 c1b1 b4b3 c2b3 g3b3 d6h6 b3b4 a4a5 h5h4 d5d1,10
5k2/6pp/p7/2q1p3/2r5/5P1P/1P3P1K/R3Q3 b - -,,0
8/2k5/2b5/1p3p1N/3Pp3/1P4Bp/1K3P2/8 b - -,c7d7 b2c3 c6d5 h5f4 d7c6 f4h3 d5f7 h3f4 f7g8 f4g2,604
4rbk1/1bpr1pp1/p3q2p/1pn1p3/1P2P3/P1P2N2/2BBQPPP/1R2R1K1 b - -,c5a4 c2b3 e6f6 c3c4 e8d8 c4b5 d7d2 f3d2 a4c3 e2e3,3
4Q3/5r1k/p4qpp/1pb5/2p5/2Pn2P1/PP2R1BP/5N1K b - -,d3f2 h1g1 f2e4 g1h1 f7e7 e8e7 c5e7 e2e4 e7c5 e4e2,-294
8/5p2/4k1p1/7p/4PK1P/5P2/5RP1/r7 b - -,f7f6 f2b2 e6f7 b2b6 f7g7 b6b5 g7f7 f4g3 f7f8 g3h2,19
2r2nk1/5p1p/6p1/p1r1PP2/P5P1/7P/2pQ2K1/2R5 b - -,c5c3 g2h2 c3c5 d2e2 c8c6 e2e4 c5c4 e4d3 c4c5 d3b3,24
rn1qkb1r/ppp2ppp/5n2/1N1pPb2/5B2/5P2/PPP1P1PP/R2QKBNR b KQkq -,f6h5 d1d5 h5f4 d5b7 f8b4 c2c3 e8h8 b7a8 b4c5 g2g3,79
rnb2rk1/1p2p1b1/p2p1q1p/2pP1p2/4P1P1/2N2N2/PPPQBPP1/1R2R1K1 b - -,f5g4 e4e5 d6e5 f3h2 f6f2 g1h1 f2f4 d2f4 f8f4 h2f1,-91
1r3rk1/2qbbppp/p2ppn2/np6/1NP1PP2/1PN1B1P1/P3Q1BP/R4RK1 b - -,a5c4 b3c4 b8c8 f1c1 c7a5 a2a3 c8c4 g2f1 f8c8 e2e1,204
8/3R1p2/5kp1/r6p/4PK1P/5P2/6P1/8 b - -,f6g7 d7d1 a5a2 d1g1 f7f6 g2g3 g7f7 g1d1 a2a5 d1d7,19
4rbk1/1bpr1pp1/p3q2p/1pn1p3/4P3/P1P1BN2/1PB1QPPP/1R2R1K1 b - -,c5e4 e3h6 e4c3 b2c3 e6h6 a3a4 b5b4 c3b4 e5e4 e2e3,-141
r2q1rk1/ppp3pp/2p1bn2/8/3PPBPb/2P2P2/PPK1Q1BP/RN5R b - -,d8e8 f4g3 h4g3 h2g3 c6c5 d4d5 e6d5 c3c4 d5e6 b1c3,166
r2qk2r/pp2p1bp/2n1bpp1/3p4/3P4/2NNBQ2/PPP2PPP/R4RK1 b kq -,e6f7 a2a3 e7e6 a1e1 e8h8 f3h3 b7b6 f2f4 c6a5 c3d1,-58
5k2/6pp/p7/2q1p3/8/5P1P/1Pr2PK1/R3Q3 b - -,,0
r3k2r/pbqn1p2/1ppbp1Bp/6p1/3P2Q1/5N2/PPPB1PPP/2KR3R b kq -,e8a8 g6f7 c8b8 f7e6 d7f6 g4f5 h8f8 h1e1 c6c5 d4c5,162
2rq1rk1/1p2bppp/2n1bn2/p2p4/1P1N4/P3PN2/1B2BPPP/R2Q1RK1 b - -,e6d7 d1b3 a5b4 a3b4 c6b4 b2a3 b4c6 a3e7 c6d4 f3d4,31
r3kb1r/p1p2pp1/2p1b3/4P2p/8/6PP/PPP2P2/R1BNK2R b KQkq -,f8b4 c1d2 b4d2 e1d2 e8a8 d2e2 h5h4 g3g4 h8e8 d1e3,31
8/1R3p2/5kp1/7p/4PK1P/r4PP1/8/8 b - -,f6g7 b7b6 a3a5 b6d6 a5a4 d6d5 a4a6 d5b5 a6f6 f4e3,12
4Q3/5r1k/p4qpp/1pb5/2p5/2P3P1/PP2RnBP/5NK1 b - -,f2h3 g1h1 h3f2 h1g1 f2e4 g1h1 f7e7 e8e7 c5e7 e2e4,-335
6R1/8/8/1r2p1k1/4Kp2/8/8/8 b - -,g5h4 g8a8 b5b4 e4d3 b4b3 d3d2 e5e4 a8g8 b3a3 g8f8,-830
rnb2rk1/1p2p1b1/p2p1q1p/2pPP3/6p1/2N2N2/PPPQBPP1/1R2R1K1 b - -,d6e5 f3h2 f6f2 g1h1 f2f4 d2f4 f8f4 h2f1 b8d7 f1g3,-107
8/r7/5ppk/p6p/8/R5P1/5PKP/8 b - -,a5a4 g2f3 h6g5 h2h3 g5f5 f3e3 f5e5 e3d2 e5d5 h3h4,-257
r3k2r/2p3pp/1b2q3/p1p5/P3p3/2P1B3/5QPP/3R1RK1 b kq -,a8b8 f2h4 h7h6 c3c4 h8f8 h4h5 g7g6 h5h6 f8f1 g1f1,239
3b1k2/1b1n2p1/1p3p1p/p1pNp3/P1B1P3/2B2P2/1PP2KPP/8 b - -,b7c8 c3d2 d7b8 f3f4 b8c6 f4f5 c6b4 d5e3 b4a6 b2b3,49
8/8/r1kb1p1p/Prp1p1pP/R1K1P3/2B3P1/5P2/3R4 b - -,b5b7 a4a1 a6a7 d1b1 d6c7 b1b7 a7b7 c3d2 b7a7 a1a2,178
8/8/8/8/2k2KB1/8/4N3/8 b - -,c4d3 f4f3 d3c2 f3e3 c2b1 e2d4 b1a2 e3d3 a2b2 g4f5,162
2rq1rk1/1p2bppp/2n1bn2/3p4/1P1N4/4PN2/1B2BPPP/R2Q1RK1 b - -,c6b4 d4e6 f7e6 f3g5 d8d6 d1b1 h7h6 b2f6 h6g5 f6b2,37
5k2/6pp/pq6/4p3/8/1P3P1P/2r2PK1/R3Q3 b - -,,0
rnbR1rk1/p4pp1/5b1p/1pp1P3/2p5/5N2/PPQ2PPP/1K3B1R b - -,g7g6 d8c8 f8c8 e5f6 b8d7 a2a4 a7a6 h2h4 c8c6 h4h5,579
2r3k1/3q1p1p/5Pp1/p2n4/5P2/P2R3P/2p3PK/4RQ2 b - -,d7f5 e1c1 d5f6 d3d4 f5c5 d4d2 c5f5 f1d3 f5d3 d2d3,100
r2q1rk1/pp2p1bp/2n1bpp1/2Np4/3P4/2N1BQ2/PPP2PPP/R4RK1 b - -,e6f7 c5b7 d8b8 b7c5 b8b2 c3d5 c6d4 d5e7 g8h8 e3d4,-1
rnbq1rk1/ppp1ppbp/3p2p1/3N4/3PP3/2P2N2/PP3PPP/R2QKB1R b KQ -,b8d7 f1d3 e7e5 e1h1 e5d4 c3d4 c7c5 d4c5 d7c5 a1b1,-40
8/5pk1/6p1/3R3p/4PKPP/1r3P2/8/8 b - -,h5g4 f4g4 b3b1 g4g3 b1h1 d5a5 h1g1 g3h2 g1f1 h2g2,11
5R2/8/8/1r2p3/4Kp2/8/5k2/8 b - -,b5b4 e4d5 f4f3 d5e5 f2g3 f8g8 b4g4 g8b8 f3f2 b8b3,-976
2rq1rk1/1p3ppp/2n1bn2/3p4/1b1N4/4PN2/1B2BPPP/RQ3RK1 b - -,d8e7 d4c6 b7c6 f3g5 f6e4 g5e4 d5e4 b1e4 b4d6 e2d3,20
5k2/6pp/pq6/4p3/8/1P3P1P/1r3PK1/2R1Q3 b - -,,0
4rbk1/1bpr1pp1/p3q2p/1p2p3/nP2P3/PBP2N2/3BQPPP/1R2R1K1 b - -,e6f6 c3c4 e8d8 c4b5 d7d2 f3d2 a4c3 e2e3 c3b1 e1b1,3
B4rk1/p1p2ppp/8/4q3/6b1/2N5/PPP2BQb/R4K2 b - -,e5e6 g2h2 f8a8 a1e1 e6g6 c3d5 g6c2 h2g2 c2d3 f1g1,145
rr3nk1/p1q1nppp/3bp3/3p4/3P2NB/2PBR2Q/P4PPP/4R1K1 b - -,e7f5 d3f5 e6f5 g4e5 f5f4 e3e2 d6e5 e2e5 f8g6 e5d5,-187
8/8/2p5/5k1p/8/4Kp2/8/Bb6 b - -,f5g4 a1e5 c6c5 e3d2 h5h4 e5c7 c5c4 c7b6 h4h3 b6g1,-949
