8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
rnbqkb1r/pp5p/3p1np1/2pPpp2/2P1P3/2NB4/PPQ2PPP/R1B1K1NR b KQkq -,f5f4 a2a3 f8g7 f2f3 a7a6 g2g3 e8h8 g3g4 h7h6 h2h4,64
8/8/8/5K2/8/8/4kQ2/8 b - -,,0
1r1qk2N/ppp2ppp/2n1p3/3P3n/3P4/NQP1bP2/PP4BP/R4R1K b - -,d8h4 g2h3 h4h3 f1g1 e3g1 b3c2 g1e3 c2g2 h3g2 h1g2,-653
8/2k5/3R4/8/8/4K3/8/7R b - -,d8f6 g2h3 f6h4 f1e1 e3f4 b3c2 h4h3 d5c6 b7c6 a3c4,Mate
r4rk1/1b3p2/p3p1pp/2p5/3b1B1q/P2Q1P2/1P5P/1R3RNK b - -,h4f4 g1e2 f4f6 e2d4 c5d4 f1f2 f8d8 h1g1 a8c8 b1d1,-705
r1b2rk1/pp3pp1/2pb1q1p/3p4/8/2P2NP1/PPQ1PPBP/R3R1K1 b - -,a7a5 e2e4 d5e4 f3d4 a5a4 c2e4 a4a3 b2b4 c8d7 e4f3,-49
3q1rk1/5ppp/4pb2/1n1p4/r4BP1/2P1PN2/PP3P1P/R1R3K1 b - -,e6e5 f4g3 a4g4 a2a4 b5c7 g1h1 g4g6 c1g1 f8e8 a4a5,-637
r1bq1rk1/ppp1ppbp/3p1np1/3P4/1n2P3/P1N1BN2/1PPQ1PPP/R3KB1R b KQ -,c7c5 a3b4 c5b4 c3d1 a7a5 f1d3 c8g4 h2h4 g4f3 g2f3,293
2r3k1/pp3ppp/5p2/3P4/4Bb2/3Q1N1q/PP3P2/4R1K1 b - -,c8d8 e4f5 h3h5 e1e4 g7g5 g1g2 b7b6 d3c4 g8h8 c4d4,350
1r2r1k1/p4p1p/6QB/q7/8/6P1/PbP2PKP/1R3R2 b - -,h7g6 b1d1 a5a2 d1d2 b2c3 d2d1 c3f6 d1d6 f6e7 d6d2,-605
8/5ppp/8/k2p1b2/1P1P1P2/P1K3P1/7P/8 b - -,a5a4 c3b2 f7f6 b2a2 f5g4 a2b2 g4e2 g3g4 e2g4 b2a2,-478
5rk1/pb2bpp1/1p2pn1p/2qrN3/2P4B/3B4/PP2QPPP/3RR1K1 b - -,d5d6 h4g3 f8d8 a2a3 a7a5 g1f1 c5c8 d3g6 f7g6 e5g6,-13
3bk1r1/p2p2rp/2p2P2/2P1p1Pq/8/P2QB3/1P3KR1/6R1 b - -,g8f8 f2e1 g7g8 g2d2 f8f7 d3e4 d8c7 g1h1 h5g6 e4g6,294
r2q1rk1/p1p5/2p2p2/3p1bp1/1b1P3p/2N1P2P/PP3PPB/R1Q1K2R b KQ -,c6c5 e1h1 c5c4 b2b3 f5d3 f1d1 f8f7 b3c4 d5c4 a2a3,-18
8/8/3k4/1p3p2/1P2B3/7p/8/7K b - -,c6c5 e1h1 c5c4 b2b3 f5d3 f1d1 f8f7 b3c4 d5c4 a2a3,Mate
6k1/5ppp/p7/3R1p2/4n2B/bN5P/r4PP1/6K1 b - -,g7g5 h4g5 e4g5 d5a5 g5e4 a5a6 e4f2 g1h2 f5f4 a6a4,-518
8/p3k3/6p1/3Qp3/6P1/2b5/P3K3/8 b - -,e7f6 d5d6 f6g7 d6c7 g7g8 c7b8 g8h7 b8a7 h7h8 a7a8,715
rnb1kb1r/pp1ppppp/5n2/q1p5/4P3/3P1Q2/PPPB1PPP/RN2KBNR b KQkq -,a5b6 b1c3 b8c6 e1a1 g7g6 g1e2 d7d6 h2h3 f8g7 g2g4,-8
rnbqk2r/7p/1bp1pnp1/1p1p2B1/pP1P3Q/P1PB4/3N1PPP/R3K1NR b KQkq -,h8f8 g1f3 d8e7 e1h1 e8d8 f3e5 d8c7 d3g6 b8d7 g6d3,306
