rn1qkb1r/pp3ppp/2p1pnN1/3p4/2PP4/2N1PP2/PP4PP/R1BQKB1R b KQkq -,f8b4 g6h8 e8f8 f1d3 f8g8 h8f7 g8f7 d1c2 f7g8 e1h1,944
r1bqk1nr/ppp2pp1/2pb3p/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,d8d7 f3e5 d6e5 d4e5 d7d1 f1d1 g7g5 b2b3 g8e7 c1b2,156
8/8/3k4/8/3KB1N1/8/8/8 b - -,d6e7 d4e5 e7f7 e4c2 f7g7 e5e6 g7h8 e6f6 h8g8 c2b1,8042
r3kb1r/pp3ppp/2ppb3/q7/2PQnNn1/1P4PB/PB2PP1P/R4KNR b kq -,a5e5 f4e6 e5e6 h3g4 e6g4 f2f3 e4g3 h2g3 g4g3 a1d1,693
r3kb1r/pp3ppp/2ppB3/q7/2PQnN2/1P4P1/PB2Pn1P/R4KNR b kq -,e4g3 h2g3 f2h1 e6h3 h1g3 f1f2 g7g5 f4d3 h8g8 f2g3,366
r3kb1r/pp4pp/2ppN3/q7/2PQn3/1P4P1/PB2Pn1P/R4KNR b kq -,e8d7 c4c5 f8e7 b3b4 a5a6 c5d6 e7f6 e6c5 e4c5 d4c5,-386
6k1/8/3K2Q1/8/8/8/5r2/8 b - -,e8f7 g1h3 f2h3 d4e4 a8e8 c4c5 f7g8 e4g4 h7h5 g4g6,Mate
8/8/5k2/8/1K2Q3/8/8/8 b - -,e8f7 g1h3 f2h3 d4e4 a8e8 c4c5 f7g8 e4g4 h7h5 g4g6,Mate
8/8/8/6k1/1K6/5Q2/8/8 b - -,e8f7 g1h3 f2h3 d4e4 a8e8 c4c5 f7g8 e4g4 h7h5 g4g6,Mate
3Q1k2/8/3K4/8/8/8/5r2/8 b - -,e8f7 g1h3 f2h3 d4e4 a8e8 c4c5 f7g8 e4g4 h7h5 g4g6,Mate
r2qkb1r/ppp2pp1/2n2p1p/1B1p1b2/3P4/2N1PN2/PPP2PPP/R2QK2R b KQkq -,d8d7 e1h1 f8b4 c3e2 a7a6 b5d3 f5d3 d1d3 e8h8 b2b3,24
5k2/8/4K3/6Q1/8/8/5r2/8 b - -,f8e7 a2a3 d8d7 e1h1 h6h5 c3e2 e8a8 c2c4 d5c4 b5c4,Mate
rnbq1rk1/ppp1b1pp/3pp3/5p2/2PP4/2P2NP1/P1Q1PPBP/R1B2RK1 b - -,b8d7 e2e4 f5e4 c2e4 d7b6 f1e1 d8e8 h2h4 h7h6 c4c5,149
rn1qk2r/pbppnpbp/1p2p1p1/8/2P1P3/2N2NP1/PP1P1PBP/R1BQ1RK1 b kq -,d7d6 d2d4 e8h8 f1e1 h7h6 c1e3 b8d7 d1d2 g8h7 a1d1,142
r1bq1rk1/ppp1b1pp/2npp3/3P1p2/2P5/2P2NP1/P1Q1PPBP/R1B2RK1 b - -,c8d7 d5c6 d7c6 f3e1 d8d7 e2e4 b7b6 a2a4 a8e8 c1e3,436
7k/8/4K3/7Q/8/8/r7/8 b - -,c8d7 d5c6 d7c6 f3e1 d8d7 e2e4 b7b6 a2a4 a8e8 c1e3,Mate
8/6k1/4K3/6Q1/8/8/r7/8 b - -,c8d7 d5c6 d7c6 f3e1 d8d7 e2e4 b7b6 a2a4 a8e8 c1e3,Mate
rnb1kbnr/ppp2ppp/3p1q2/8/2B1P3/1QN5/PP3PPP/R1B1K1NR b KQkq -,h7h6 g1f3 c7c6 e1h1 b8d7 c1e3 f8e7 a1d1 f6g6 c3e2,223
rnbqk1nr/pp3ppp/2pb4/3pP3/3p4/5N2/PPPN1PPP/R1BQKB1R b KQkq -,d6c7 d2b3 g8e7 b3d4 c8g4 h2h3 g4f3 d4f3 b8d7 f1d3,-79
r2qkbnr/1pp1pppp/p1n5/3p1b2/B2P4/2N1P3/PPP2PPP/R1BQK1NR b KQkq -,b7b5 a4b3 e7e6 c3e2 c6a5 c2c3 a5b3 a2b3 g8f6 e2g3,-87
8/4K3/8/8/5k2/8/6Q1/8 b - -,g8f6 a4c6 b7c6 g1f3 e7e6 f3e5 h7h5 e5c6 d8d6 c6e5,Mate
r2qkbnr/pp1b1ppp/2B1p3/2ppP3/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,g8e7 c6d7 d8d7 c3e2 e7c6 e1h1 c5d4 e2d4 f8c5 d4c6,907
rnbqkb1r/pp3ppp/4pn2/3p2B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq -,f8c5 f1b5 c8d7 e4d5 h7h6 g5h4 d8b6 h4f6 g7f6 d5e6,162
r1bqk2r/pppp1ppp/2n2n2/4p1B1/2BNP3/8/PPP2PPP/RN1QK2R b KQkq -,d7d5 d4c6 b7c6 e4d5 a8b8 b1c3 b8b4 c4b3 h7h6 g5f6,753
r1bqk2r/pppp1ppp/5n2/4p1B1/2BnPP2/8/PPP3PP/RN1QK2R b KQkq -,c7c6 c2c3 d4e6 c4e6 d7e6 d1d8 e8d8 f4e5 h7h6 g5f6,109
8/1k6/3Q4/8/8/1K6/8/8 b - -,c7c6 c2c3 d4e6 c4e6 d7e6 d1d8 e8d8 f4e5 h7h6 g5f6,Mate
r2qkbnr/pp1n1ppp/4p3/2ppP3/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,d8c7 d1e2 g8e7 e1h1 e7c6 f1e1 g7g5 f3g5 c7e5 g5f3,-147
8/4r1k1/8/3Q2K1/8/8/8/8 b - -,g7g5 h2h3 h7h6 c2c3 c5c4 e1h1 a7a6 b2b3 g8e7 b3c4,Mate
rn1qkbnr/1p3ppp/p3p3/3p4/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,f8d6 f3g5 g4e2 c3e2 b8c6 g5f3 g8f6 c1f4 e8h8 c2c3,-21
4rB2/ppk1b2p/2pp4/2q5/2P5/1P4PQ/P3P2P/R4K1R b - -,g8f6 h2h3 g4h5 f3e5 h5e2 c3e2 f8d6 c1f4 e8h8 c2c3,Mate
k7/3Q4/8/8/8/1K6/8/8 b - -,g8f6 h2h3 g4h5 f3e5 h5e2 c3e2 f8d6 c1f4 e8h8 c2c3,Mate
5r2/ppk1b2p/2pp4/8/2Pq4/1P4PQ/P1K1P2P/R6R b - -,g8f6 h2h3 g4h5 f3e5 h5e2 c3e2 f8d6 c1f4 e8h8 c2c3,Mate
rnbqk2r/ppp1ppbp/1n1P2p1/8/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,b8c6 d6e7 c6e7 f1e1 e8h8 a2a4 a7a5 c2c3 f8e8 c1f4,162
rnbq1rk1/pp2ppbp/2p2np1/2Pp4/3P1B2/2N2N1P/PP2PPP1/R2QKB1R b KQ -,f6e4 a1c1 b7b6 c5b6 a7b6 e2e3 e4c3 c1c3 c6c5 a2a4,-37
rnbqkbnr/pp1ppppp/8/2p5/8/2PP4/PP2PPPP/RNBQKBNR b KQkq -,d7d5 e2e4 b8c6 g1f3 d5d4 e4e5 h7h6 g2g3 c8g4 h2h3,-29
r1bqkbnr/pp1p1ppp/2n5/4p3/4P3/2N5/PPPQ1PPP/R1B1KBNR b KQkq -,h7h6 f1c4 g8f6 d2d3 f8b4 g1e2 e8h8 e1h1 d7d6 c1e3,40
r1bqkbnr/pp2pppp/2n5/2pp4/6P1/2PP3P/PP2PP2/RNBQKBNR b KQkq -,e7e5 f1g2 g8e7 c3c4 d5c4 d3c4 d8d1 e1d1 c8e6 b2b3,-183
r1bqkb1r/1p2pppp/p1np1n2/8/2BNPP2/2N5/PPP3PP/R1BQK2R b KQkq -,d8c7 d4c6 b7c6 d1e2 g7g6 e4e5 d6e5 f4e5 c8g4 e2e3,62
rnbqk2r/ppp2ppp/4pn2/3P4/Qb1P4/2N5/PP2PPPP/R1B1KBNR b KQkq -,f6d7 a4b4 e6d5 c3d5 b8c6 b4d2 d7b6 d5b6 a7b6 d4d5,631
r1b1kbnr/pp1p1ppp/1qn5/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq -,f8e7 c1e3 b6d8 f2f3 g8f6 a2a3 d7d6 d1d2 a7a5 d2f2,174
8/1K2n3/3k4/8/3Q4/8/8/8 b - -,f8e7 c1e3 b6d8 f2f3 g8f6 a2a3 d7d6 d1d2 a7a5 d2f2,Mate
