rnb1kbnr/pppp2pp/5q2/7Q/2N1p3/8/PPPP1PPP/RNB1KB1R b KQkq -,e8e7 d2d4 g7g6 h5a5 b7b6 a5d5 c7c6 d5e4 f6e6 c1g5,347
rnbq1rk1/ppp2pbp/3p1np1/4p1B1/3PP3/2PB4/PP2NPPP/RN1Q1RK1 b - -,b7b6 g5h4 b8d7 a2a4 c8b7 b1d2 d6d5 f2f4 d5e4 d3e4,63
r1b1kbnr/pppp1ppp/6q1/4P3/8/3Q4/PPP2PPP/RNB1KB1R b KQkq -,g6d3 f1d3 d7d5 e5d6 f8d6 b1c3 a7a6 c1e3 g8f6 c3e4,45
r1bq1rk1/ppp1ppbp/2np1np1/6B1/2PPP3/P1N2N2/1P3PPP/R2QKB1R b KQ -,a7a5 d4d5 c6b8 f1d3 b8a6 e1h1 c8g4 h2h3 g4f3 d1f3,88
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 b - -,d7d6 d2d4 b8c6 c1b2 f6e4 e2e3 c8f5 f3h4 c5d4 e3d4,42
rn1qkbnr/pbp1pp1p/1p1p2p1/3P4/2P1P3/5N2/PP3PPP/RNBQKB1R b KQkq -,g8f6 b1c3 f8g7 f1e2 e7e6 c1g5 h7h6 g5e3 f6g4 e3d2,84
r1bqk2r/1ppnbppp/p3pn2/2Pp2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8h8 f1d3 h7h6 g5f4 f6h5 e1h1 h5f4 e3f4 b7b6 c5c6,83
rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP1B2/3BP3/PP3PPP/RN1QK1NR b KQkq -,g8e7 b1c3 f5d3 d1d3 d5c4 d3c4 e7d5 f4g3 d8b6 g1e2,43
rnbqkb1r/pppp1p1p/4pnp1/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,b7b6 e2e3 c8b7 f1d3 h7h6 g5h4 f8b4 b1d2 b4e7 e1h1,71
rn2kb1r/pp1qpppp/3p1n2/2p5/4P3/2P2N2/PP1PQPPP/RNB1K2R b KQkq -,d7g4 d2d4 g4e4 c1e3 c5d4 c3d4 e4c6 b1c3 g7g6 a1c1,-126
r2qkbnr/pp1b1ppp/2n1p3/3pP3/2pP4/1PP1BN2/P4PPP/RN1QKB1R b KQkq -,c4b3 a2b3 g8e7 f1d3 e7f5 e3f4 b7b5 g2g4 f5e7 h2h4,144
rn1qk2r/pp2bppp/2pp1n2/4p3/2P3b1/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,a7a6 h2h3 g4e6 b2b3 e8h8 d1c2 d8c8 g1h2 b8d7 d3d4,93
rnbqk2r/ppppp3/5bpp/5p2/3P3P/2N1PQ2/PPP2PP1/R3KBNR b KQkq -,a7a6 h4h5 g6g5 f3f5 d7d6 f5g6 e8d7 c3d5 d8f8 f1c4,273
8/8/p7/8/K4k1P/5P2/8/8 b - -,a7a6 h4h5 g6g5 f3f5 d7d6 f5g6 e8d7 c3d5 d8f8 f1c4,Mate
rnbqkbnr/p4ppp/2p5/1N6/2BpP3/5N2/PP3PPP/R1BQK2R b KQkq -,f8c5 b5d4 g8e7 e1h1 e8h8 c1e3 c5b6 d1b3 e7g6 f1d1,468
2Q5/4kr2/8/3K4/8/8/8/8 b - -,f7f6 d5e5 f6g6 c8c7 e7e8 c7c4 e8f8 c4h4 f8g7 e5f5,20000
8/8/p7/K4k2/7P/5P2/8/8 b - -,f7f3 c8b7 e7f6 d5e4 f3g3 b7b6 f6g5 b6d6 g5g4 d6d7,Mate
8/2Q1k3/5r2/3K4/8/8/8/8 b - -,f7f3 c8b7 e7f6 d5e4 f3g3 b7b6 f6g5 b6d6 g5g4 d6d7,Mate
8/8/p5k1/K7/5P1P/8/8/8 b - -,f7f3 c8b7 e7f6 d5e4 f3g3 b7b6 f6g5 b6d6 g5g4 d6d7,Mate
r2qkbnr/ppp2ppp/2npb3/1B6/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,g7g6 e1h1 f8g7 f1e1 g8e7 c2c3 h7h6 c1e3 e8h8 b1d2,55
8/2Q1k3/6r1/4K3/8/8/8/8 b - -,a7a6 b5c6 b7c6 b1c3 f8e7 c1f4 g8f6 e1h1 e8h8 h2h3,Mate
r1bqkb1r/ppppn1pp/2n2p2/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,g7g5 d2d4 g5g4 f3d2 a7a6 b5a4 d7d5 e4d5 e7d5 f1e1,199
4k3/8/4K3/5NB1/8/8/8/8 b - -,g7g5 d2d4 g5g4 f3d2 a7a6 b5a4 d7d5 e4d5 e7d5 f1e1,Mate
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/4P3/2N2N1P/PPPPBPP1/R1BQ1RK1 b - -,h7h6 d2d3 a7a6 c1e3 f8e8 f3e5 c6e5 d3d4 c5b4 d4e5,-65
r2qkbnr/1pp1pppp/p1n5/3p1b2/3P1B2/1QP1P3/PP3PPP/RN2KBNR b KQkq -,f5c8 b1d2 e7e6 g1f3 f8d6 f1d3 g8f6 f4g3 c6e7 c3c4,114
rn1qkbnr/1b1ppppp/p7/1p6/4P3/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,d7d6 a2a4 b5b4 d1b3 b8d7 b3b4 d8b8 a4a5 g8f6 f1e1,93
