rnbqkb1r/pppp1ppp/8/8/3Pnp2/3B1N2/PPP3PP/RNBQK2R b KQkq -,e4g5 d1e2 g5e6 d4d5 f8d6 b1c3 b8c6 c3e4 e8h8 d5c6,238
r2qk2r/ppp2ppp/2npBn2/2b1p3/4P3/P1N2N1P/1PPP1PP1/R1BQK2R b KQkq -,e8h8 e6a2 d6d5 e4d5 c6d4 f3h2 c7c6 e1h1 c6d5 d2d3,892
r1bq1rk1/pppnppbp/3p1np1/8/3PPP2/2PB1N2/PP4PP/RNBQ1RK1 b - -,c7c6 a2a4 c6c5 e4e5 f6d5 d3e4 d5c7 d1e2 a8b8 c1e3,111
r2qnrk1/pb2nppB/1p1bp3/2ppN2P/3P4/2P1PQB1/PP1N1PP1/R3K2R b KQ -,g8h8 h5h6 f7f5 h6g7 h8g7 f3h5 f8f6 h7f5 g7f8 f5e6,2015
8/8/1Q2nk2/8/2K5/8/8/8 b - -,g8h8 h5h6 f7f5 h6g7 h8g7 f3h5 f8f6 h7f5 g7f8 f5e6,Mate
rn2kb1r/pp2pppp/2p2n2/q7/3P2b1/2NB4/PPPBNPPP/R2QK2R b KQkq -,e7e6 c3e4 a5d8 e4f6 d8f6 h2h4 h7h6 d2c3 b8d7 f2f3,109
r1bqk2r/pp1p1ppp/2n1pn2/2b5/8/2N1PN2/PPP1BPPP/R1BQK2R b KQkq -,d7d5 e1h1 e8h8 b2b3 c5e7 c1b2 e6e5 c3a4 d8c7 c2c4,-64
r1bqkbnr/1pp1pppp/p1np4/6N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -,c8e6 g5e6 f7e6 c4e6 c6d4 e6h3 g8f6 c2c3 d4c6 h3e6,507
r1bqkb1r/ppp1pp2/2n4p/3p2pn/3P4/4PNB1/PPP2PPP/RN1QKB1R b KQkq -,c8g4 f1e2 e7e6 b1d2 h5g3 h2g3 f8g7 c2c4 e8h8 a1c1,55
r1bqk2r/pppnbppp/3p1n2/8/2BNPP2/2N5/PPP3PP/R1BQK2R b KQkq -,a7a5 c4e2 d7c5 e2f3 e8h8 e1h1 f8e8 f1e1 e7f8 a2a4,42
r2qnr1k/3b2b1/3p2pp/2pQpp2/p3P3/R1NPBN1P/P1P2PP1/1R4K1 b - -,a8a7 d5c4 e8c7 a3a4 d7a4 c3a4 d8e8 a4c3 e8f7 c4f7,-123
rnq1kb1r/pp2pppp/2p2n2/3p4/8/3P1NPb/PPP1PP1P/RNBQR1KB b kq -,h3g4 h1g2 e7e6 e2e4 g4h5 h2h3 f8e7 c1f4 h7h6 g3g4,57
r2qkbnr/p1p1pppp/2p5/3pP3/8/5Q2/PPPP1PPP/RNB1K2R b KQkq -,h7h5 d2d4 e7e6 e1h1 a7a5 f3c3 d8d7 h2h3 g8h6 c1h6,79
r1bqkbnr/pp3ppp/2n1p3/1B2P3/3p1P2/5N2/PP1P2PP/RNBQK2R b KQkq -,c8d7 e1h1 c6b4 b5d7 d8d7 d2d3 b4d5 f1e1 g8h6 b1d2,-98
rnbqk1nr/pp1pppbp/6p1/2pN4/4P3/5N2/PPPP1PPP/R1BQKB1R b KQkq -,e7e6 d5e3 b8c6 f1b5 g8e7 c2c3 d7d5 e4d5 e6d5 d2d4,-90
rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/P1N1BP2/1PPQ2PP/R3KBNR b KQkq -,a7a6 g2g4 h7h5 g4g5 f6d7 f3f4 d7b6 g1f3 d6d5 d2f2,67
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/3BPN2/PP3PPP/RNBQ1RK1 b - -,b8a6 b1c3 d7d6 e3e4 a6b4 d3b1 f5e4 c3e4 c8g4 e4g5,77
rnbqkbnr/pp2pppp/2p5/3p4/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,d5d4 c3b1 e7e5 d2d3 f8d6 g1f3 g8f6 f1g2 h7h6 e2e3,-106
r1b1kb1r/N4pp1/5n1p/2q5/4p3/8/PPPP1PPP/RNBQK2R b KQkq -,a8a7 d2d4 e4d3 c2d3 f8d6 c1e3 c5e5 b1d2 f6d5 d3d4,-534
r1bqkb1r/pp2nppp/2n1p3/3pP3/3P4/3BB3/PP3PPP/RN1QK1NR b KQkq -,c8d7 b1c3 a8c8 h2h4 c6b4 d3b1 b4c6 g1e2 c6a5 e3c1,114
rnbq1rk1/ppp2Npp/1b1p1n2/6B1/2BPP3/8/PPP2PPP/RN1QK2R b KQ -,d8d7 f7e5 d7e6 c4e6 c8e6 g5f6 d6e5 f6e5 b8c6 e5g3,888
rnbqkb1r/pp3ppp/2p5/4p3/2PpB3/3P2P1/PP2PP1P/R1BQK1NR b KQkq -,f8d6 e4g2 e8h8 g1f3 c8g4 h2h3 g4h5 e1h1 b8d7 d1c2,-98
r1bqkb1r/2p2ppp/p1pp1n2/4p3/3PP3/2N2N1P/PPP2PP1/R1BQK2R b KQkq -,c8e6 d4e5 f6d7 e5d6 f8d6 f3d4 e8h8 c1e3 d8f6 e1h1,217
rnb1k1nr/ppp1qppp/8/3p4/1b1P4/2N2Q2/PPP1NPPP/R1B1KB1R b KQkq -,c8d7 f3d5 b8c6 c1g5 g8f6 g5f6 e7f6 d5e4 f6e7 e1a1,106
r1bqk2r/pp1pnpbp/2n1p1p1/1Bp5/4PP2/2N2N2/PPPP2PP/R1B1QRK1 b kq -,e8h8 d2d3 c6a5 a2a3 a7a6 b5c4 a5c4 d3c4 d7d5 e4e5,-57
r1bq1rk1/pp2ppbp/3p1np1/n1pP4/2P5/2NQ1NP1/PP2PPBP/R1B2RK1 b - -,f8e8 e2e4 e7e6 d5e6 c8e6 b2b3 a7a6 c1f4 a5c6 d3d6,46
rnbqk2r/ppp2ppp/8/3pN3/4n3/1B6/PPPPQbPP/RNBK3R b kq -,e8h8 d2d3 f2d4 d3e4 d4e5 e4d5 b8d7 h2h3 c7c6 b1c3,-260
r1b2rk1/1pp1qppp/pbnp1n2/4p1B1/P1BPP3/2P2N1P/1P3PP1/RN1QR1K1 b - -,b6a7 b1a3 h7h6 g5h4 g7g5 h4g3 g5g4 h3g4 c8g4 g3h4,131
r1bqk1nr/ppp2ppp/2n5/4P3/1bPp4/5NP1/PP1NPP1P/R1BQKB1R b KQkq -,b4d2 d1d2 c8g4 f1g2 d8d7 e1h1 g8e7 b2b4 e8h8 c1b2,220
r1bqkbnr/pp3ppp/2np4/2p1p3/4P3/1P1P4/PBPN1PPP/R2QKBNR b KQkq -,c8e6 g1f3 g7g5 h2h3 h7h5 c2c3 d8f6 f1e2 f6g7 d3d4,-59
rnbqr1k1/pp1p1ppp/3b1n2/2pP2B1/8/2N1PN2/PP3PPP/R2QKB1R b KQ -,a7a6 f1d3 d6f8 g5f6 d8f6 c3e4 e8e4 d3e4 f6b2 e1h1,160
r2qk2r/ppp2pp1/2p2n2/2b4p/4P1b1/2PP1P2/PP2B1PP/RNBQK2R b KQkq -,f6e4 f3e4 g4e6 e2f3 d8h4 g2g3 h4h3 d1e2 e8a8 d3d4,506
r1bqk2r/pppp1ppp/2n2n2/4p3/1b2P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,e8h8 c1d2 d7d5 e4d5 f6d5 f1e2 d5c3 d2c3 b4c3 b2c3,-74
rnbq1rk1/pp2ppbp/1n4p1/3P4/8/1BN2N2/PP3PPP/R1BQK2R b KQ -,c8f5 e1h1 a7a5 a2a4 b8a6 f3d4 f5d7 f1e1 f8e8 c1g5,63
r1bqkbnr/pppnpppp/8/8/2BP4/4P3/PP3PPP/RNBQK1NR b KQkq -,c7c5 g1f3 e7e6 d4d5 d7b6 c4b5 c8d7 d5e6 f7e6 d1e2,95
rn1qkb1r/pp2pppp/2pp1n2/5b2/3P1B2/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,d8c7 h2h3 b8d7 g1f3 h7h6 f4h2 e7e6 f1e2 f8e7 a2a4,23
r2qkb1r/pp1npppp/2pp1n2/5b2/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f5g6 f3h4 e7e5 f4g3 f8e7 h4g6 h7g6 h2h3 e8h8 f1d3,67
r1bqkbnr/1ppp1ppp/p1n5/8/2Q1P3/2N5/PPP2PPP/R1B1KBNR b KQkq -,h7h6 c1d2 b7b5 c4e2 g7g6 c3d5 f8g7 d2c3 g7c3 d5c3,60
r1bqkbnr/pp1p1p1p/2n1p1p1/2p1P3/3P1P2/5N2/PPP3PP/RNBQKB1R b KQkq -,c6d4 f3d4 c5d4 d1d4 b7b6 b1c3 c8b7 c3e4 a8c8 f1d3,43
rnbqk2r/pp3ppp/3p1b2/2pNp3/4P3/3P1N2/PPP2PPP/R2QKB1R b KQkq -,c8e6 g2g3 e8h8 c2c3 b8d7 f1g2 a7a5 e1h1 a5a4 c3c4,-28
r1bqkb1r/pp1ppppp/5n2/2p5/3nP3/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,g7g6 e4e5 f6h5 f3d4 c5d4 e2h5 d4c3 h5f3 c3b2 c1b2,51
r1bqkb1r/1p1npppp/p1p2n2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,d5c4 f1c4 e7e6 e1h1 b7b5 c4e2 c8b7 f3e5 f8e7 a1c1,135
r2qkbnr/ppp3pp/2n5/1B1ppb2/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,d8f6 d2d4 e5e4 f3e5 g8e7 f2f3 h7h5 f3e4 d5e4 c1e3,165
r1bqkb1r/1p3ppp/p1n1pn2/2pp4/P3PP2/2NP1NP1/1PP4P/R1BQKB1R b KQkq -,d5e4 c3e4 f8e7 f1g2 d8c7 e1h1 e8h8 e4f6 e7f6 c2c3,-11
1K6/1PRk4/8/8/8/8/r7/8 b - -,b7b6 f1g2 c8b7 e4e5 f6g8 f4f5 e6f5 e1h1 g8e7 a4a5,Mate
1KRk4/1P6/8/8/8/8/r7/8 b - -,d8e7 b8c7 a2c2 c7b6 c2b2 b6c6 b2c2 c6d5 c2b2 c8h8,5193
rnbqkb1r/pppp1ppp/5n2/4p3/8/1P4P1/PBPPPP1P/RN1QKBNR b KQkq -,b8c6 d2d3 f8c5 f1g2 d7d5 g1f3 e8h8 e2e3 c5b4 c2c3,-81
r1bqkb1r/pp1ppp1p/2n2np1/1B6/Q3P3/2N5/PPP2PPP/R1B1K1NR b KQkq -,d7d6 b5c6 b7c6 a4c6 c8d7 c6a6 f8g7 g1e2 d8c7 e1h1,55
8/1P6/2K1k3/8/3R4/8/8/1r6 b - -,d8c7 g1e2 a7a6 c1f4 e7e5 f4g5 f8e7 g5f6 e7f6 c3d5,Mate
8/1P6/4k3/1K6/3R4/8/8/2r5 b - -,d8c7 g1e2 a7a6 c1f4 e7e5 f4g5 f8e7 g5f6 e7f6 c3d5,Mate
r2qkbnr/1p1b1ppp/p1n1p3/2ppP3/P2P4/2PB1N2/1P3PPP/RNBQK2R b KQkq -,c5d4 c3d4 d8b6 d3c2 c6b4 c1d2 a8c8 b1c3 b4c2 d1c2,-60
8/1P6/4k3/1K6/1R6/8/8/1r6 b - -,g8e7 b1d2 c5d4 c3d4 e7f5 d2b3 f8b4 c1d2 d8b6 d3f5,Mate
r1bnk1nr/ppp2ppp/8/b3N3/2B1P3/2P5/P4PPP/RNB1K2R b KQkq -,f7f6 e5d3 g8e7 c1b2 d8c6 b1a3 a5b6 c4b3 c6a5 e1a1,-40
rn1qkb1r/pp2pppp/2p1b3/3n4/2B5/2N2Q1N/PPPP1PPP/R1B1K2R b KQkq -,d8d7 h3g5 h7h6 g5e6 d7e6 c4e2 b8d7 e1h1 e8a8 c3d5,79
rnbqkbnr/1pp2ppp/p7/4p3/P1pP4/2N1P3/1P3PPP/R1BQKBNR b KQkq -,e5d4 e3d4 b8c6 g1f3 c6a5 d1e2 d8e7 c1f4 c8f5 f4c7,-87
rnbqk2r/pp1pppbp/5np1/2P1P3/8/5N2/PPP2PPP/RNBQKB1R b KQkq -,f6h5 g2g4 d7d5 h2h3 b8c6 g4h5 e8h8 f1g2 c6e5 f3e5,440
