8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
r1bq1rk1/1pp2p2/3p1npQ/p1nPp3/2P1P3/2N2P2/PP2B1PP/R3K1NR b KQ -,f6h5 g2g4 h5f4 h2h4 d8f6 g1h3 f4h3 h1h3 f6g7 h6g7,99
r1b2rk1/4qp2/2pp3p/p1n1p1p1/4P3/5P2/PPQ1BBPP/R2R2K1 b - -,f8d8 f2c5 d6c5 d1d8 e7d8 c2c5 d8d4 c5d4 e5d4 a1c1,7
8/pp3pp1/2p3k1/3r1n2/K4R1r/N3p3/PP5P/2R5 b - -,h4f4 b2b4 d5d3 h2h3 e3e2 h3h4 d3d1 h4h5 g6h6 a3c2,-1377
r2r2k1/1p1n1pb1/p1n1b1pp/4p3/4P3/1P2NN2/PB2BPPP/2RR2K1 b - -,d7f6 e2d3 f6e8 g1f1 e8d6 b2a3 d6b5 a3c5 c6d4 e3d5,10
r4r1k/ppp2ppp/2p1n3/3bP3/2P4P/P2B1P2/1BP3P1/2KR3R b - -,d5f3 g2f3 a8d8 c1b1 d8d7 h1f1 e6f4 b2c1 f4d3 d1d3,440
r1bqk2r/pppp1ppp/2n1pn2/8/4P3/2NP1N2/PPPQ1PPP/R3KB1R b KQkq -,d7d5 e4e5 d5d4 e5f6 d4c3 d2c3 d8f6 d3d4 c8d7 f1e2,37
rn2kbnr/ppq2ppp/2p1p3/3pN2b/3P4/1QP4P/PP1NPPP1/R1B1KB1R b KQkq -,f8d6 c3c4 d6e5 d4e5 g8e7 g2g4 h5g6 f1g2 h7h5 b3c3,-25
5k2/pn4p1/1p2np2/1Pp1p1p1/P1P1P1PP/3BP1K1/8/7R b - -,f8g8 h4g5 e6g5 g3g2 g5h7 g4g5 f6g5 h1f1 g7g6 d3e2,150
r3kb1r/pp2pppp/2n5/3qP1N1/2b5/2Q5/PP1N1PPP/R1B1K2R b KQkq -,c4a6 c3b3 d5e5 d2e4 e7e6 f2f4 e5f5 e4g3 f8b4 b3b4,-328
8/NR1n2pp/1P1kpp2/8/8/7P/1r3PP1/5K2 b - -,,0
rnbqk1nr/pp1pppb1/8/2p1P1Bp/3P4/8/PPP2PPP/RN1QKBNR b KQkq -,c5d4 c2c3 d8a5 g1f3 d4c3 b1c3 b8c6 f1e2 c6e5 g5d2,35
rnbq1rk1/ppp2p1p/3bpnp1/3p4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 b - -,c7c5 e3e4 d5e4 d2e4 f6e4 d3e4 b8d7 f1e1 d7f6 e4c2,84
1qb5/3r2k1/3P2pp/1P1Rb3/4Bp2/4pP1P/2Q1N1P1/6K1 b - -,e5f6 d5c5 b8d6 c5c8 d6d1 g1h2 d1c2 c8c2 f6e5 b5b6,496
8/4N3/8/4npk1/8/5P2/8/7K b - -,,0
r1bq1rk1/pp3pbp/2nppnp1/8/4P3/1Q1B1N2/PPP2PPP/RNB2RK1 b - -,a7a6 c2c3 d8c7 c1e3 b7b5 a2a4 b5a4 b3a4 c8d7 a4c2,-39
rnbq1rk1/ppp2pb1/3p1npp/3NP3/2P1P2B/5N1P/PP3PP1/R2QKB1R b KQ -,f6d5 h4d8 d5e3 f2e3 f8d8 f1e2 b8c6 e1h1 a7a5 g1h1,531
r2q1rk1/pbpp1pp1/1p1n3p/8/8/PQPB1N2/5PPP/R1B1R1K1 b - -,f8e8 c1f4 e8e1 a1e1 d8f6 f4d6 f6d6 e1e3 b7d5 c3c4,272
8/8/6K1/5p1p/5P1k/8/6P1/8 b - -,f8e8 c1f4 e8e1 a1e1 d8f6 f4d6 f6d6 e1e3 b7d5 c3c4,Mate
r3r1k1/ppp2pp1/1nnp1q1p/8/3P2Q1/1P2BN1P/P4PP1/R3R1K1 b - -,b6d5 f3h4 d5e3 f2e3 f6g5 g4g5 h6g5 h4f3 c6b4 e1e2,-213
r2r2k1/1p3pb1/p1n1bnpp/4N3/4P3/1P2N3/PB2BPPP/2RR2K1 b - -,d8d1 e3d1 c6e5 b2e5 f6e4 e5g7 g8g7 e2f3 e4d6 d1e3,3
3r4/1k1nnp1r/1p2p1pb/3pP2p/3P3B/5Q2/5PPP/R4RK1 b - -,g6g5 f3a3 g5h4 a3e7 h6g5 e7g5 h7h8 g5h4 d8e8 g1h1,703
2k5/3r1bp1/R4p1p/3p3P/3P2PN/4P1K1/5P2/8 b - -,c8b7 a6a1 f7g8 h4f5 g8e6 g3f4 e6g8 a1c1 g8e6 c1b1,444
rnbq1rk1/ppp2pb1/3p1npp/4p3/2PPP2B/2N2N1P/PP3PP1/R2QKB1R b KQ -,e5d4 f3d4 f8e8 h4f6 d8f6 d4f3 f6f4 f1d3 g7c3 b2c3,-96
7k/2p5/1p1p3r/pPnPpP1n/5q2/4RP2/PP1R2B1/3KQ3 b - -,f4f5 d1c1 h5f4 e1g3 c5d3 c1d1 d3f2 d1c1 f4g2 g3g2,-35
r4rk1/1ppq1ppp/p2p1N2/6B1/1Q1P4/5P2/PP3P1P/R4K1R b - -,g8h8 f6d7 h7h6 g5e3 f8e8 b4b7 a6a5 f1g2 a5a4 h2h4,1200
8/8/p6k/Pp1p4/7p/2P4P/1P5K/8 b - -,h6g7 h2g2 g7f6 g2f3 f6f5 f3e3 f5e5 b2b4 e5e6 e3f4,171
r2r2k1/1p3pb1/p1N1b1pp/8/4n3/1P2N3/PB2BPPP/2RR2K1 b - -,g7b2 c6d8 b2c1 d8e6 c1e3 f2e3 f7e6 e2f3 e4c3 d1d6,152
8/6k1/6p1/7p/b1R4P/8/2p2KP1/3rR3 b - -,,0
r4rk1/1pq2pp1/p2p1b2/3Pp3/4B2p/5PnP/PPPQN1P1/1K1RR3 b - -,f6d8 c2c3 g3e4 f3e4 b7b5 e2g1 a6a5 g1f3 c7a7 d2e3,-24
2b5/6p1/1p1p4/p1pPppkp/P1P1P3/1P3PPP/4K3/3R4 b - -,g5f6 e4f5 c8f5 h3h4 f5c2 d1c1 c2b3 e2d3 b3a4 c1b1,339
5rk1/2q1bp2/2ppn1p1/pN2p2p/Pr2P2P/1P4B1/2PQ1PP1/1R2R1K1 b - -,c6b5 c2c3 b4b3 b1b3 b5a4 b3b5 c7c6 d2d3 f8c8 b5a5,-8
r3kb1r/pp2pppp/2n5/3qP1N1/2b5/2Q2P2/PP4PP/RNB1K2R b KQkq -,e7e6 c3d2 d5e5 d2e3 a8d8 b1c3 h7h6 g5h3 e5f5 c3e4,-408
8/8/7K/5p1p/5Pk1/8/6P1/8 b - -,a8d8 b1a3 c4a6 c1f4 e7e6 e1f2 f8c5 f2g3 c5d4 c3d2,Mate
r1bq1rk1/1p3pbp/p1nppnp1/8/4P3/1QPB1N2/PP3PPP/RNB2RK1 b - -,a8b8 h2h3 e6e5 f1d1 c8e6 b3c2 d8c7 c2e2 b7b5 a2a4,-46
r2q1rk1/pb2bppp/1pn1p3/4P3/3P1B2/P2B1N2/2Q2PPP/R4RK1 b - -,c6d4 f3d4 d8d4 f4g3 f8c8 c2b1 g7g6 f1d1 c8d8 a3a4,-215
r2qr1k1/1bp2p1p/2n2np1/p1b1p3/2N1P3/1PB2N1P/P1B1RPP1/R2Q2K1 b - -,c5d4 d1d2 f6h5 e2e1 d4c3 d2c3 h5f4 a1d1 d8f6 g1h1,30
7k/6pp/3N4/1P6/1r6/4p3/6R1/6K1 b - -,b4b1 g1h2 h7h5 h2g3 b1d1 d6c8 d1d2 g2g1 d2c2 c8a7,25
r4rk1/1ppq1ppp/p2p1B2/8/1Q1PN3/5P2/PP3P1P/R4K1R b - -,a6a5 h1g1 d7h3 f1e2 g7g6 b4c4 a8e8 d4d5 c7c6 f6c3,546
r4rk1/2q2pp1/p2p1b2/1p1Pp3/4BP2/6pP/PPPQ2P1/1K1RR3 b - -,c7c4 f4f5 f8c8 d2e3 a6a5 e3g3 a5a4 h3h4 a4a3 b2b3,17
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2NBPP2/PP4PP/R2QK1NR b KQ -,c7c5 c4d5 c5d4 e3d4 f6d5 g5e7 d5e7 g1e2 d7f6 e1h1,-64
r4r1k/p4p1B/1p1qpp2/7Q/8/8/PPPB1P1P/2KR3b b - -,d5c4 d3c4 c7c5 g1e2 a7a6 a1c1 b7b5 c4d3 c8b7 e1h1,Mate
8/8/5kp1/2R4p/b6P/8/2p2KP1/3rR3 b - -,,0
r3qb1r/pp1nk1pb/2N1pn2/6B1/2BP4/8/PPP1QP1P/R3K2R b KQ -,b7c6 h2h4 e7f7 e1a1 d7b6 c4b3 h7f5 c2c4 b6d5 h4h5,-422
r3r1k1/ppp2pp1/2np1q1p/3n4/3P2Q1/1P2BN1P/P4PP1/3RR1K1 b - -,g8f8 g4h5 c6e7 f3h4 g7g5 h4f3 f6g6 h5g6 e7g6 g2g3,-234
1rbq1rk1/1p3pbp/p1nppnp1/8/P3P3/1QPB1N2/1P3PPP/RNB2RK1 b - -,e6e5 h2h3 c8e6 b3d1 c6a5 b1d2 d8c7 f1e1 h7h6 b2b4,-43
8/8/6K1/5p2/5Pkp/8/6P1/8 b - -,e6e5 h2h3 c8e6 b3d1 c6a5 b1d2 d8c7 f1e1 h7h6 b2b4,Mate
r2r2k1/1p3pb1/p1nNbnpp/4p3/4P3/1P2PN2/PB2B1PP/2RR2K1 b - -,c6b4 a2a3 b4a2 c1c7 e6b3 d1d3 b3e6 b2e5 b7b5 c7c2,31
8/1k1r1bp1/5p1p/3p3P/3P2PN/4P1K1/5P2/R7 b - -,f7e6 g3f4 e6g8 h4f5 g8h7 a1a5 h7g8 a5c5 g8e6 c5b5,456
r2qk1nr/ppp2ppp/4B3/2b1p1N1/3nP3/8/PPP2PPP/RNBQK2R b KQkq -,d4e6 g5e6 d8d1 e1d1 f7e6 f2f3 g8e7 b1d2 e7c6 c2c3,83
r2qk1nr/ppp1b1pp/2np1p2/4p3/2BPP1b1/2N1BN1P/PPP2PP1/R2QK2R b KQkq -,g4h5 g2g4 h5g6 c4e6 d8b8 d1e2 c6d8 e6b3 g6f7 e1a1,221
5r1k/1r2Npnp/3R2p1/P7/7P/4RP2/1bK2P2/8 b - -,g7e6 a5a6 b7e7 c2b2 e7a7 f3f4 e6f4 e3b3 f4e6 h4h5,-442
4r1k1/1p3ppp/p5b1/2n5/8/2PBNPB1/P4KPP/3R4 b - -,c5a4 d3g6 h7g6 e3d5 b7b5 g3c7 g6g5 d1e1 e8e6 e1e6,479
6rr/p1p5/1p1k4/1P1PpP2/P7/7P/6BK/2R5 b - -,h8h4 c1c6 d6d7 g2f3 g8h8 h2g2 h4h3 c6e6 h3h4 d5d6,-229
r3kb1r/pp2pppp/2n5/3qP3/2b5/2Q2N2/PP3PPP/RNB1K2R b KQkq -,a8d8 c1d2 e7e6 b1a3 c4d3 a3c2 f8b4 c2b4 d5e4 e1d1,-431
r2qkb1r/5ppp/p3p3/2ppPn2/3P4/2NQB2P/PP3PP1/R4RK1 b kq -,f8e7 c3e2 c5c4 d3c2 e8h8 e3d2 a6a5 d2c3 a5a4 a2a3,-67
r4rk1/1pp2ppp/p2p1B2/8/1Q1PN3/5P1q/PP2KP1P/R6R b - -,g8h8 d4d5 g7f6 b4c3 h3h4 e4f6 c7c5 h1g1 h4b4 g1g4,519
r3kb1r/ppB1pppp/2n5/3q4/3P4/5Q2/PPP3PP/R3KB1R b KQkq -,d5e6 c7e5 c6d4 e1a1 d4f3 f1b5 e6c6 b5c6 b7c6 g2f3,-71
8/4N3/6n1/4R1bk/3q2p1/5p2/4P2R/7K b - -,,0
3r4/R3N3/5p2/3P2k1/7r/3K1P2/P7/8 b - -,d8d6 a7a5 h4h1 a5a4 f6f5 a4d4 h1f1 d3c4 f1f3 c4c5,-16
4r1k1/1p3ppp/p5b1/8/8/2PnNPB1/P3K1PP/3R4 b - -,,0
r1b1kbnr/1pppqppp/p1n5/8/B3P1N1/2P5/PP1P1PPP/RNBQK2R b KQkq -,h7h5 g4e3 e7e4 e1h1 d7d5 d2d3 e4g6 e3d5 f8d6 f1e1,169
4k3/8/3n1PK1/3p4/3N4/8/8/8 b - -,,0
r1b2rk1/1ppp1pp1/5qnp/p1bPp3/2P1P3/P1NB1N2/1P3PPP/R2Q1RK1 b - -,d7d6 g1h1 g6f4 f3e1 h6h5 d3c2 f6g6 a1b1 c5d4 c3b5,-171
8/8/8/5p1K/5k1p/8/6P1/8 b - -,f8d8 g2g3 d7d6 g1g2 g6f8 a1b1 c8d7 h2h4 f6e7 b2b4,Mate
r2qk1nr/ppp1b1pp/2np1p2/4p2b/2BPP1P1/2N1BN1P/PPP2P2/R2QK2R b KQkq -,h5g6 c4e6 d8b8 d1d3 c6d8 e6b3 g6f7 e1a1 f7b3 a2b3,239
r4rk1/pp1q2pp/1bp1Nn2/3pR3/3P4/1PN3QP/P4PP1/R5K1 b - -,d7f7 e6g7 g8h8 g7e6 f6d7 e6f8 a8f8 e5e3 b6d4 e3f3,174
8/4N3/8/4R1bk/3q2pR/5p2/4P3/7K b - -,,0
2rq1rk1/4bppp/1p1p1n2/pBnPp3/4P3/P3BP2/1P4PP/R1NQ1RK1 b - -,c5d7 c1d3 h7h5 b2b4 h5h4 d1d2 f6h5 f1c1 c8c1 a1c1,168
3k1b1r/p1p2ppp/8/3qP1B1/6Q1/8/PPn2PPP/R5K1 b - -,f7f6 e5f6 g7f6 g5f6 f8e7 a1d1 c2b4 f6h8 d5d1 g4d1,Mate
rr4k1/4qp2/3pb2p/p1p1p1p1/2PBP3/1P3P2/P2QB1PP/RR4K1 b - -,e5d4 e2d3 b8b4 a2a3 b4b6 b1b2 g8g7 a1f1 e7f6 f3f4,-101
6k1/pn4p1/1p2np2/1Pp1p1pP/P1P1P1P1/3BP1K1/8/7R b - -,b7a5 d3b1 g8f7 g3f3 a5b7 h5h6 g7h6 h1h6 e6f8 f3f2,96
r3qb1r/p2nk1pb/2p1Qn2/6B1/2BP4/8/PPP2P1P/R3K2R b KQ -,e7d8 e6e8 d8e8 e1a1 h7g8 d1e1 e8d8 c4g8 h8g8 h2h4,-433
r3kb1r/ppB1pppp/2n5/3q4/3P4/3Q1P2/PPP4P/R3KB1R b KQkq -,,0
1br1rnk1/ppqb1pp1/2p5/5B2/2PP1P1p/2N1B2P/PPQ3P1/3RR1K1 b - -,d7f5 c2f5 f8g6 c3e4 c8d8 e4g5 c7d7 f5d7 d8d7 f4f5,79
8/8/8/5pK1/7p/6k1/6P1/8 b - -,d7f5 c2f5 f8g6 c3e4 c8d8 e4g5 c7d7 f5d7 d8d7 f4f5,Mate
r1b1k2r/p2qbppp/2p2B2/1B1p4/8/2N2Q2/PPP2PPP/R3K2R b KQkq -,d7e6 e1f1 e7f6 a1e1 c6b5 c3d5 e8h8 e1e6 c8e6 d5f6,309
8/6kp/5r2/R7/4KP2/7P/8/8 b - -,g7g6 e4f3 f6b6 f3g4 g6f6 a5f5 f6g6 f5e5 g6f6 e5a5,1
r2r2k1/1N3pb1/p1n1b1pp/4p3/4P1n1/1P2PN2/PB2B1PP/2RR2K1 b - -,d8d1 c1d1 g4e3 d1d2 a8c8 b7c5 c6d4 c5e6 d4e6 f3e5,91
r2qk1nr/ppp1b1pp/2npBpb1/4p3/3PP1P1/2N1BN1P/PPP2P2/R2QK2R b KQkq -,d8b8 d1d3 c6d8 e6b3 g6f7 e1a1 f7b3 a2b3 c7c6 h1g1,236
