5Bk1/pp1b1ppp/4p3/3pP3/5P2/3B1N2/P2K1nPP/RN6 b - -,g7g5 f3g5 g8f8 g5h7 f8e7 h7f6 f2d3 d2d3 d7b5 d3d4,1207
r1b1kb1r/ppp1pppp/2n5/1B6/8/8/PPPP1PPP/R1B1K1NR b KQkq -,c8d7 g1f3 e7e5 d2d3 f7f6 c1e3 h7h5 e1c1 e8c8 d3d4,-33
r1bqk2r/ppp1nppp/2nb4/3p4/3P4/3BBN2/PPPN1PPP/R2QK2R b KQkq -,c8f5 d2b3 f5d3 d1d3 d8c8 c2c3 f7f6 d3e2 h7h5 e1a1,-48
rn2kb1r/pp2pppp/2p2n2/2Pp4/3P2b1/1P2PN2/1P3PPP/RNB1KB1R b KQkq -,h7h5 b3b4 g7g6 c1d2 f8g7 d2c3 e8h8 b1d2 g4f5 h2h3,103
r1bqkb1r/pp1p1ppp/2n1p3/2pnP3/2P5/1P3N2/PB1P1PPP/RN1QKB1R b KQkq -,d5b4 a2a3 b4a6 d2d4 c5d4 b3b4 a6c7 b4b5 c6a5 b1d2,93
rnbq1rk1/pppp1ppp/5n2/4N1B1/4P3/2P5/PPP2PPP/R2QKB1R b KQ -,d8e7 g5f6 e7f6 e5c4 d7d6 c4e3 f8e8 d1f3 f6e5 e1a1,142
r1bqk1nr/pp2ppbp/2nP2p1/2p5/2B5/5N2/PPPPQPPP/RNB1K2R b KQkq -,d8d6 d2d3 g8f6 e1h1 e8h8 c2c3 b7b6 f1e1 c8b7 c1g5,-85
r1bqkb1r/ppp1p1pp/2n2n2/3p1pB1/3PP3/2N2P2/PPP3PP/R2QKBNR b KQkq -,c8e6 e4e5 h7h6 g5h4 g7g5 h4f2 f6h5 d1d2 d8d7 e1a1,137
rnbqk2r/ppp2ppp/4pn2/8/QbpP4/2N1P3/PP1B1PPP/R3KBNR b KQkq -,c8d7 a4b4 b7b5 c3b5 a7a5 b4c4 e8h8 g1f3 d7c6 f3e5,822
r1bqkb1r/ppnp1ppp/2n1p3/2p1P3/2PP4/1P3N2/PB3PPP/RN1QKB1R b KQkq -,b7b6 d4d5 e6d5 c4d5 c6d4 f3d4 c5d4 d1d4 c8b7 b1c3,286
r1b1kb1r/ppqppppp/2n2n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq -,c6a5 c4d3 a7a6 d1e2 a5c6 d4c6 d7c6 e4e5 f6d5 c1d2,110
r1bqkb1r/ppp3pp/2n1pn2/3p1pB1/3P4/2N2P2/PPPQP1PP/2KR1BNR b kq -,a7a6 e2e4 f5e4 f3e4 d5e4 g1e2 f8e7 g5f6 e7f6 c3e4,119
rnbqkb1r/pp2ppp1/2p2n1p/3p4/3P1B2/2NBP3/PPP2PPP/R2QK1NR b KQkq -,b8a6 a2a3 a6c7 g1f3 g7g6 h2h3 f8g7 e1h1 e8h8 c3e2,67
r6r/ppp1nk1p/2n2N2/4p1N1/1q1b2Q1/8/P4PPP/R1B1R1K1 b - -,f7g7 f6h5 g7f8 g4f3 f8e8 h5f6 e8f8 f6d5 f8e8 f3f7,Mate
rnbqk1nr/pp1p1ppp/2p5/2b1p3/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,c5d6 b1c3 d6c7 d2d4 d7d6 d1c2 g8e7 e1h1 c8f5 e2e4,152
r1bqkb1r/ppnp1ppp/2n1p3/2p1P3/2P5/1PN2N2/PB1P1PPP/R2QKB1R b KQkq -,a8b8 c3e4 f8e7 h2h4 e8h8 f3g5 h7h6 d1c2 g7g6 e4d6,149
