8/8/2K5/8/2B3P1/8/4kp2/8 b - -,e2e3 c6d5 e3f4 c4e2 f4e3 e2f1 e3f4 f1c4 f4g4 d5e4,Mate
2kr3r/pp1n1pp1/2p3bp/3q4/5BP1/P1bPQN1P/R1P2P2/5RK1 b - -,c6c5 f3d2 h8e8 d2e4 g6e4 d3e4 e8e4 e3f3 e4d4 f3c3,-581
4r3/6pp/R1k5/1p1p4/1P1PpK2/4P3/6PP/8 b - -,c6b7 a6d6 e8f8 f4e5 f8f2 d6d5 b7b6 d5c5 f2b2 d4d5,462
r1b1kb1r/ppp2p1p/2n1pp2/q7/3P1B2/3B1N2/PPPQ1PPP/R3K2R b KQkq -,h7h5 d2a5 c6a5 f4c7 b7b6 d4d5 e6e5 d5d6 c8e6 f3d2,137
1NK5/k7/r7/8/8/8/8/8 b - -,a6b6 b8d7 b6h6 c8c7 a7a6 c7c8 a6b5 c8c7 h6c6 c7d8,-15
r2qk2r/pppnbpp1/3p1n2/3P2P1/2PNb3/2N5/PP2B2P/R1BQ1RK1 b kq -,d7c5 g5f6 e7f6 c3e4 c5e4 c1f4 e8f8 e2f3 e4c5 d1d2,307
1r5r/1p1k1ppp/p7/2bp3b/8/2N1P2P/PP3PP1/R3KB1R b KQ -,d7d6 g2g4 h5g6 e1a1 b8c8 f1d3 c5b4 d3g6 h7g6 d1d5,44
rnbq1rk1/ppp2ppp/8/2bN4/2p1PB2/3P2Q1/PPP3PP/R3K1NR b KQ -,b8a6 f4h6 c5d4 g1f3 d4f6 e1h1 c7c6 d5e3 c4d3 e4e5,175
3r4/pp3pkp/6p1/8/8/8/PPP3PP/2K4R b - -,f7f5 h1e1 g7f6 a2a4 h7h5 a4a5 d8d4 b2b3 g6g5 c2c4,-72
rn2k2r/pp1qb1pp/4b3/3p1p2/3P1B2/5PPN/PP2Q1BP/R3R1K1 b kq -,e8f7 f4b8 a8b8 h3f4 e7b4 e2e6 d7e6 e1e6 g7g5 f4d5,477
r3kb1r/pp3ppp/8/3q4/2p3P1/5b2/PP3P1P/R5K1 b kq -,e8f7 f4b8 a8b8 h3f4 e7b4 e2e6 d7e6 e1e6 g7g5 f4d5,Mate
rn3kr1/pb2q1bR/2p1p3/1p1nP1NQ/2pP4/6BK/P4PP1/R4B2 b - -,c6c5 h5g6 d5c7 h7h4 e7e8 h4f4 f8e7 f4f7 e7d8 g6h7,75
6k1/2p3p1/5p2/8/7P/2q2B2/P5PK/8 b - -,g8f8 f3d1 f8e7 d1b3 c3e5 h2h3 e5f5 h3g3 f5h5 g3h3,-754
