7r/3KP1k1/8/8/8/8/8/R7 b - -,g8f6 h2h4 g5g6 b1c3 g6c2 c4b3 c2g6 h4h5 g6g4 f3g4,Mate
rnbqkbnr/pp1ppp1p/6p1/3P4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq -,h7h6 d5d6 e7d6 f1c4 g8f6 g1f3 d6d5 c3d5 f8g7 c1f4,325
r1b1kbnr/pp1p1ppp/1qn1p3/8/2BNP3/2P5/PP3PPP/RNBQK2R b KQkq -,g8f6 c4d3 f8c5 e1h1 c6d4 c3d4 c5d4 b1d2 d7d5 d1e2,-51
r1b1kbnr/ppp1pppp/2n5/q7/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,e7e6 e2e4 f7f5 e4f5 f8b4 f1e2 a5f5 e1h1 g8f6 e2d3,232
rnbqkbnr/ppppppp1/7p/P7/8/8/1PPPPPPP/RNBQKBNR b KQkq -,e7e5 e2e4 g8f6 g1f3 f6e4 f3e5 d8e7 d1e2 e7e5 d2d3,-60
8/8/2K5/1PP1k3/8/8/8/8 b - -,a7a6 e2e4 c7c5 g2g3 e7e6 f1g2 b8c6 g1f3 g8f6 d2d3,Mate
rnbqkb1r/ppp2ppp/5n2/4Q3/8/8/PPPP1PPP/RNB1KBNR b KQkq -,e8d7 g2g3 f8e7 e5e2 c7c5 f1h3 d7c7 h3c8 c7c8 g1f3,193
1Q6/8/2K5/2P5/8/8/2k5/8 b - -,e8d7 g2g3 f8e7 e5e2 c7c5 f1h3 d7c7 h3c8 c7c8 g1f3,Mate
r1bqk2r/ppp1bppp/2np1N2/4p3/2B1P3/5N2/PPPP1PPP/R1BQK2R b KQkq -,e7f6 a2a4 e8h8 e1h1 d8e8 a4a5 c8e6 d2d3 e6c4 d3c4,5
r1bqk1nr/1ppnppbp/p2p2p1/8/3PPP2/2N1BN2/PPP3PP/R2QKB1R b KQkq -,a8b8 a2a4 g8f6 e4e5 f6g4 e3g1 e8h8 h2h3 g4h6 g2g4,112
1r5k/6pp/2p5/P1Q3bq/1P2B3/2P2N2/3rnPPP/R4R1K b - -,d2d8 a5a6 e2c3 e4c6 c3d5 f3g5 d5b4 c6f3 b4d3 c5f5,1096
r1bqkb1r/pp3ppp/2n2n2/1B6/3N4/8/PPP2PPP/RNBQK2R b KQkq -,d8c7 e1h1 f8e7 c1f4 c7b6 d1f3 c8d7 d4c6 b7c6 b1c3,132
rnbqk1nr/ppp2p1p/4p1p1/8/3PQ3/2B5/PPP2PPP/R3KBNR b KQkq -,d8d5 e4f4 d5d6 f4d2 g8f6 c3b4 d6b6 b4a3 b8c6 e1a1,192
rnbqkbnr/ppp2ppp/3pp3/8/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq -,h7h6 c1f4 g8f6 b1c3 a7a6 g1f3 b7b5 f1d3 c8b7 d1e2,49
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/5N1P/PPPPBPP1/RNBQK2R b KQkq -,g8f6 b1c3 e8h8 e1h1 d7d6 d2d3 a7a5 c1e3 f8e8 e3g5,-29
rnbqk1nr/ppp1bppp/4p3/3p4/3P4/2PBP3/PP3PPP/RNBQK1NR b KQkq -,g8f6 b1d2 b8d7 g1f3 c7c5 e1h1 b7b6 b2b3 c8b7 c1b2,-7
rnbqk1nr/p3ppbp/3p2p1/1PpP4/4P3/5N2/PP3PPP/RNBQKB1R b KQkq -,h7h6 f1c4 g8f6 b1c3 a7a6 e1h1 a6b5 c4b5 f6d7 c1d2,222
r1bqk1nr/pppp1ppp/2n5/4N3/4P3/8/PPPPBKPP/RNBQ3R b kq -,g8e7 e5c6 d7c6 d2d3 f7f5 h1f1 d8d4 c1e3 d4b2 b1d2,761
rnbqk1nr/4ppbp/p2p2p1/1PpP4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c8d7 b5a6 g8f6 a6a7 a8a7 f1c4 d7c8 e1h1 c8a6 c4a6,216
rnbqkb1r/1p1p1ppp/p3pn2/2p3B1/2B1P3/P2P4/1PP2PPP/RN1QK1NR b KQkq -,h7h6 g5f6 d8f6 c2c3 b7b5 c4b3 c8b7 g1e2 h6h5 e1h1,-85
4r1rk/q6p/N7/4pp2/1pP5/1B5K/PP2Q2P/R7 b - -,d8c7 c4a2 b7b5 c2c3 c8b7 b1d2 f8e7 g1f3 d7d6 e1h1,Mate
rn1qkbnr/pp3pp1/2p1p2p/3pPb2/2PP4/5N1P/PP3PP1/RNBQKB1R b KQkq -,b8a6 a2a3 d5c4 f1c4 g8e7 e1h1 a6c7 d1b3 b7b5 c4d3,47
rnbq1rk1/1pppppbp/p4np1/8/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQ -,c7c6 e3e4 d7d6 e1h1 c8g4 h2h3 g4f3 d1f3 b8d7 c1e3,99
rnbq1rk1/1pppppbp/p4np1/8/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQ -,b8c6 e3e4 d7d6 d4d5 c6b8 c1g5 c8g4 e1h1 b8d7 a1c1,91
rnb1kbnr/1p3ppp/4pq2/2Pp4/1P1N4/8/P3PPPP/RNBQKB1R b KQkq -,b8d7 b1a3 b7b6 a3b5 b6c5 d4c6 f8e7 c1d2 e8f8 a2a4,175
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/4P3/2PP1Q1P/PP2BPP1/RNB1K1NR b KQ -,d7d5 e2d1 a7a5 g1e2 a5a4 e1h1 c8e6 b1d2 b7b5 b2b4,-98
r2qkb1r/ppp2ppp/2np1n2/4p3/2B1PP2/2PP1Q2/PP4PP/RNB1K2R b KQkq -,d8e7 e1h1 e8a8 c4b3 h7h5 h2h3 h5h4 b1a3 f6h5 f4f5,125
r1bqk2r/ppp1bppp/2np1n2/4p3/4P3/2NP2PP/PPP2PB1/R1BQK1NR b KQkq -,b7b6 c1e3 e8h8 g1e2 c8b7 e1h1 d8d7 f2f4 h7h6 f4f5,95
rnbqk2r/pp2ppbp/3p1np1/4P1B1/3Q4/2N2N2/PPP2PPP/R3KB1R b KQkq -,f6h5 e1a1 h7h6 g5e3 b8c6 d4a4 e8h8 g2g4 c8d7 g4h5,138
r2qkb1r/ppp2ppp/2n2n2/3p1p2/3P1B2/2N1PN2/PPP2PPP/R2QK2R b KQkq -,a7a6 e1h1 d8d7 f3e5 c6e5 d4e5 f6e4 c3d5 a8d8 c2c4,39
r1bqk2r/ppppbppp/2n1pn2/6B1/2PP4/4PN2/PP3PPP/RN1QKB1R b KQkq -,h7h6 g5h4 e8h8 b1c3 d7d6 d1c2 c6b4 c2b3 b4a6 f1e2,75
rnbqk2r/ppp2ppp/3ppb2/8/2PPP3/5N2/PP3PPP/RN1QKB1R b KQkq -,c7c5 e4e5 d6e5 d4e5 d8d1 e1d1 f6d8 b1c3 c8d7 d1c2,-98
rnb1kbnr/pp2pppp/3p4/2q5/4P3/2N1B3/PPP2PPP/R2QKBNR b KQkq -,c5c3 b2c3 g8f6 g1f3 b8c6 f3d4 a7a6 d1b1 g7g6 d4c6,813
rnbqkb1r/pp3p1p/3p1np1/2pP4/5B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,d8b6 d1c2 f8g7 g1f3 f6h5 f4g5 h7h6 c2e4 e8f8 e4e7,91
rnbqkbnr/p2p1ppp/1p2p3/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq -,c8b7 b1c3 a7a6 d1d2 d8c7 f2f3 f8b4 a2a3 b4c3 d2c3,90
r4r2/4qp1k/2np2p1/1pp1p2p/4P2P/1PPP1PP1/2Q3B1/1R3RK1 b - -,b5b4 b1b2 f8b8 f3f4 e5f4 g3f4 b4c3 c2c3 c6d4 c3e1,-354
r1bqk1nr/pppp1pp1/2n4p/4p3/2B1P3/2PP1N2/P1P2PPP/R1BQK2R b KQkq -,a7a6 d3d4 d7d6 d4e5 c8g4 e5d6 c7d6 h2h3 g4f3 g2f3,82
r2qkbnr/ppp1p1pp/2n2p2/3p1b2/3PPB2/2N2P2/PPP3PP/R2QKBNR b KQkq -,f5g6 e4d5 c6b4 f1b5 c7c6 d5c6 b7c6 b5a4 e7e5 d4e5,296
r1bqkb1r/pppp2pp/2n5/4pp2/2B1n3/3P1N2/PPP2PPP/RNBQR1K1 b kq -,e4c5 f3e5 c6e5 e1e5 c5e6 e5f5 c7c6 b1c3 d8e7 f5e5,370
r2qkbnr/pbpp1ppp/1pn5/4p3/4P3/3P1NP1/PPP2PBP/RNBQK2R b KQkq -,a7a5 e1h1 g7g6 d3d4 d7d6 d4e5 c6e5 b1c3 f8g7 f3e5,107
r1bqkbnr/1pp1nppp/p2p4/3Pp1B1/4P3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,a8b8 a2a4 g7g6 f3d2 f8g7 f2f3 f7f5 a4a5 g8f6 d2c4,66
r2qkbnr/ppp2ppp/2n1p3/3p4/3P4/4PN1P/PPP2PP1/R1BQKB1R b KQkq -,g8f6 f1b5 a7a6 b5c6 b7c6 f3e5 c6c5 c2c4 f8d6 d1a4,86
rnbqk2r/pp1pnpbp/4p1p1/2p5/2B1P3/2PP1N1P/PP3PP1/RNBQK2R b KQkq -,d7d5 c4b3 e8h8 e1h1 b8c6 c1f4 b7b6 d1d2 c8a6 f1e1,-41
r1bq1rk1/1ppp1pp1/pbn2n1p/4p3/PPB1P3/2PP1N2/5PPP/RNBQR1K1 b - -,f6h7 b1d2 d7d6 a4a5 b6a7 d2f1 d8f6 a1a2 c8g4 h2h3,71
rnbqk1nr/ppppppbp/6p1/1B6/3PP3/8/PPP2PPP/RNBQK1NR b KQkq -,a7a5 g1f3 c7c6 b5d3 d7d6 e1h1 g8f6 a2a4 b8d7 b1a3,88
