3r1rk1/p4p1p/3b2p1/2p5/3P4/1P3q2/PBQ2P1P/2R2RK1 b - -,f8e8 f1e1 f3g4 g1h1 e8e1 c1e1 g4h4 e1e5 d6e5 d4e5,-863
8/1P6/K1k5/8/8/8/8/8 b - -,d6b8 c2c3 f3g4 g1h1 c5d4 c3c6 b8f4 c1d1 g4h5 c6g2,Mate
rnbqkbnr/2p2ppp/p3p3/8/PppPPB2/8/NP3PPP/R2QKBNR b KQkq -,g8f6 g1f3 f6e4 f1c4 f8d6 f4d6 e4d6 c4d3 a6a5 a2c1,-138
r1bqkb1r/ppp1pppp/2n5/3p3n/3P4/2P2NB1/PP2PPPP/RN1QKB1R b KQkq -,c8f5 e2e3 h5g3 h2g3 g7g6 f1d3 e7e6 d3f5 e6f5 b1d2,49
r1bqkb1r/ppp1pppp/2n5/3p4/3P4/2P2NP1/PP2PPP1/RN1QKB1R b KQkq -,h7h5 b1d2 c8f5 e2e3 g7g6 f1b5 f8g7 d2b3 e8h8 b5c6,51
rnbq1rk1/ppp2ppp/3bpn2/3p4/8/1P2PN2/PBPPBPPP/RN1Q1RK1 b - -,f8e8 d2d4 b7b6 b1d2 b8d7 c2c4 c8b7 a1c1 d8e7 f3e5,19
r1bqkbnr/pp3ppp/2n5/1Bpp4/8/2P5/PP1PNPPP/RNBQK2R b KQkq -,f8d6 d2d4 g8f6 h2h3 e8h8 e1h1 c5c4 c1f4 c6e7 b5a4,-56
rnbqk1nr/pppp1ppp/8/8/2Pp4/5N2/PP1NPPPP/R2QKB1R b KQkq -,c7c5 e2e3 d8e7 f1d3 d4e3 d2e4 g8f6 e4f6 e7f6 d1e2,-98
4k3/R7/3K4/4P3/8/8/8/6r1 b - -,g1e1 d6e6 e8f8 a7a8 f8g7 a8a4 g7f8,Mate
rnbqkbnr/pp1p1p1p/4p1p1/2pP4/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq -,a7a6 h2h4 g8f6 h4h5 d7d6 h5g6 f7g6 c1g5 f8g7 g1f3,126
r1bqkb1r/1ppp1ppp/2n2n2/p3p1B1/4P3/2PP1N2/PP3PPP/RN1QKB1R b KQkq -,f8e7 c3c4 e7c5 f1e2 d7d6 e1h1 h7h6 g5e3 f6g4 d1d2,-50
r2qkb1r/pp2pppp/2n2n2/3pN3/Q2P2b1/2P5/PP3PPP/RNB1KB1R b KQkq -,d8b6 f1b5 a8c8 e1h1 g4d7 e5d7 f6d7 f1e1 e7e6 a4b3,65
r1bqk2r/1pp2pbp/p1n3p1/3n2B1/B2P4/5N2/PP3PPP/RN1Q1RK1 b kq -,g7f6 g5h6 c8e6 a4c6 b7c6 f1e1 e8d7 b1d2 d7c8 d1a4,325
r1bqkb1r/1pp2ppp/p1np1n2/4p3/4P3/2N2N2/PPPPBPPP/R1BQ1RK1 b kq -,c8g4 h2h3 g4f3 e2f3 c6d4 d2d3 g7g6 g2g3 d4f3 d1f3,58
rnb1kbnr/ppp2ppp/5q2/4p1N1/8/2NP4/PPP2PPP/R1BQKB1R b KQkq -,f8b4 f1e2 f6d8 e1h1 g8f6 g5e4 f6e4 c3e4 f7f5 e4d2,55
r1bqk1nr/pp1n1pbp/3pp1p1/2pP4/2P1P3/2NB1N2/PP3PPP/R1BQK2R b KQkq -,d7f6 d3c2 e6e5 h2h3 g8e7 c2a4 f6d7 h3h4 h7h5 f3g5,109
rnbqkb1r/ppp2ppp/3p1n2/4p3/1P2P3/3B4/PBPP1PPP/RN1QK1NR b KQkq -,d6d5 e4d5 f8b4 b2e5 b8d7 e5g3 e8h8 g1e2 f8e8 e1h1,-96
rn1qkbnr/pbpppp1p/1p4p1/8/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,d7d6 e2e4 f8g7 d1e2 b8c6 e1a1 c6d4 f3d4 e7e5 f4e5,133
rnbqk2r/pppp1ppp/5n2/4p3/2BbP3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,c7c6 c3e2 e8h8 e2d4 e5d4 e1h1 d7d5 e4d5 c6d5 c4b3,144
r1bqk2r/pppp1ppp/2n2n2/4p3/2PP4/2P3P1/P3PPBP/R1BQK1NR b KQkq -,e8h8 g1f3 d7d6 a2a4 e5e4 f3d2 c8f5 a4a5 d8d7 h2h3,-45
8/4k3/8/4K3/4B3/5N2/8/8 b - -,a8b8 d1a4 e5d4 c3d4 c6d4 c1b2 d4c6 g1h3 d7d6 h3f4,Mate
rn1qkbnr/pbpppp1p/1p4p1/1N6/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq -,f7f6 b5c7 e8f7 c7a8 b7a8 e2e3 f8h6 g1e2 h6f4 e2f4,413
rnbqk2r/p1p1ppbp/1p3np1/2Pp4/1P1P4/2N1P3/P4PPP/R1BQKBNR b KQkq -,a7a5 b4b5 b6c5 g1f3 c5d4 e3d4 c7c5 f1e2 f6e4 c1b2,-98
8/7p/5kp1/4p3/p3rPRP/3K2P1/8/8 b - -,e4d4 d3c3 f6f7 g4g5 d4e4 f4e5 a4a3 c3b3 e4e3 b3c2,-666
rnb1kbnr/ppp2ppp/5q2/4p3/4N3/2N5/PPPP1PPP/R1BQKB1R b KQkq -,f6d8 f1b5 c8d7 b5c4 b8c6 d2d3 d7f5 e1h1 d8d7 f2f4,77
5k2/8/5K2/8/4BN2/8/8/8 b - -,f6d8 f1b5 c8d7 b5c4 b8c6 d2d3 d7f5 e1h1 d8d7 f2f4,Mate
6k1/8/5KN1/8/4B3/8/8/8 b - -,f6d8 f1b5 c8d7 b5c4 b8c6 d2d3 d7f5 e1h1 d8d7 f2f4,Mate
2qr1r1k/p3b1pp/1p1p1p2/1Pp2P2/P1P1P1PP/5Q2/4N3/4R1RK b - -,g7g5 f5g6 h7g6 e2f4 h8g7 g1f1 f8f7 h4h5 g6g5 f4d5,404
8/8/5K1k/3B4/5N2/8/8/8 b - -,g7g5 f5g6 h7g6 e2f4 h8g7 g1f1 f8f7 h4h5 g6g5 f4d5,Mate
8/8/5K1k/3BN3/8/8/8/8 b - -,g7g5 f5g6 h7g6 e2f4 h8g7 g1f1 f8f7 h4h5 g6g5 f4d5,Mate
rnbqkb1r/ppp1pp1p/5np1/3p4/5P2/4PNP1/PPPP3P/RNBQKB1R b KQkq -,c7c5 f1g2 f8g7 e1h1 e8h8 d2d3 b8c6 b1c3 d5d4 c3e4,-63
r1bqkbnr/pp1p1pp1/2n1p2p/8/2BNP3/8/PPP2PPP/RNBQ1RK1 b kq -,a7a6 d4c6 b7c6 f1e1 d7d6 e4e5 d6d5 c4d3 c6c5 b2b3,75
rnbqk2r/ppp1ppbp/5np1/3p4/5P2/4PNP1/PPPP2BP/RNBQK2R b KQkq -,e8h8 d2d3 b7b5 b1c3 b5b4 c3a4 b8d7 e1h1 c8b7 a2a3,-58
r1bqk2r/ppppbpp1/2n2n1p/4p3/2B1P3/3PBN2/PPP2PPP/RN1Q1RK1 b kq -,a7a5 b1c3 e8h8 h2h3 f8e8 a2a4 d7d6 d3d4 e5d4 f3d4,45
rnbqk2r/ppp2ppp/5n2/2b1p1B1/4P3/3P1N2/PPP3PP/RN1QKB1R b KQkq -,b8c6 g5h4 c8e6 c2c3 a7a5 b1a3 h7h6 d1a4 e6d7 f1e2,-100
r1bqkbnr/pp2pppp/2np4/2p5/4PP2/3PB3/PPP3PP/RN1QKBNR b KQkq -,g8f6 g1f3 e7e5 f1e2 f8e7 e1h1 e8h8 g1h1 f6g4 e3d2,-25
rnbqkbnr/pp3ppp/2pp4/4p3/1P2P3/2N2N2/P1PP1PPP/R1BQKB1R b KQkq -,d8c7 d2d4 g8f6 d1d3 b8d7 f1e2 d6d5 a2a3 a7a5 a1b1,33
r1bq1rk1/2p2pbp/p1np1np1/1p2p3/4P3/2PP1N1P/PPB2PP1/RNBQR1K1 b - -,c8e6 c1g5 h7h6 g5h4 d8b8 b1d2 f6h5 d2f1 a6a5 f1e3,60
8/8/8/5B2/8/5K2/6Nk/8 b - -,c8e6 c1g5 h7h6 g5h4 d8b8 b1d2 f6h5 d2f1 a6a5 f1e3,Mate
r1bqk1nr/pppp2pp/2n2p2/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,c5f8 d2d4 g7g6 d4e5 f6e5 b5c6 d7c6 d1d8 e8d8 f3e5,201
rnbqk2r/ppp2pp1/3bpn1p/3pN3/3P1B2/4P3/PPPN1PPP/R2QKB1R b KQkq -,d8e7 f4g3 d6e5 d4e5 f6d7 f2f4 b8c6 f1d3 d7c5 e1h1,71
r1bqkb1r/ppp1pppp/5n2/3P4/Qn2P3/5N2/PP3PPP/RNB1KB1R b KQkq -,b7b5 f1b5 c7c6 d5c6 b4d3 e1f1 d8d6 e4e5 d6b4 e5f6,838
r1bqk2r/1pppnpbp/p1n3p1/3Pp3/4P3/2P2N2/PP2BPPP/RNBQK2R b KQkq -,f7f5 d5c6 b7c6 f3d2 d7d5 f2f3 a6a5 e1h1 a5a4 b2b3,444
8/8/6B1/8/8/4N3/5K2/7k b - -,d7d6 d5c6 b7c6 e1h1 e8h8 b1d2 d6d5 d2b3 f7f5 e4f5,Mate
r1bqkbnr/ppp2p1p/2np2p1/4p3/2B1PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,c8e6 c4b5 e6d7 f4e5 d6e5 b5c6 d7c6 f3e5 d8g5 e5c6,109
r2qkb1r/pp3ppp/2n1b3/3np3/8/1N4P1/PP1NPPBP/R1BQ1RK1 b kq -,h7h6 d2e4 d8b6 e4d6 f8d6 g2d5 e6d5 d1d5 a8d8 c1e3,11
r1bqkb1r/pppp1ppp/2n2n2/8/4P3/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,f6g8 d3c4 d7d6 f1e1 g8f6 d1b3 d8e7 c4d5 c6d8 e4e5,226
rnbqk2r/pp2ppbp/5np1/3p4/3P4/4PNP1/PP3PBP/RNBQK2R b KQkq -,c8f5 b1c3 e8h8 e1h1 b8c6 h2h3 a8c8 d1e2 f6e4 c1d2,-14
r1bqk2r/ppp2ppp/2nb1n2/1B1pp3/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,f6d7 c2c4 d5c4 b1c3 c4b3 a2b3 e8h8 e1h1 c6b4 d2d4,-91
rnbqkbnr/pp4pp/4pP2/2pp4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,d8f6 c1g5 f6f7 f3e5 f7f5 f2f4 f5e4 f1e2 b8c6 b1c3,197
rnbqkb1r/pp4pp/4pn2/2pp2B1/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq -,d8b6 b1c3 c8d7 g5e3 b8c6 f1b5 c5d4 e3d4 c6d4 b5d7,-61
r1bqkb1r/pp4pp/2n1pn2/1Bpp2B1/3P4/5N2/PPP2PPP/RN1QK2R b KQkq -,c5d4 f3d4 d8c7 b1c3 f8c5 g5f6 g7f6 d4b3 c7e5 d1e2,-49
rnbqkbnr/2pp1ppp/p3p3/1p6/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,h7h6 c1e3 d7d6 f1d3 c7c5 e1h1 c5d4 f3d4 g8f6 f2f4,91
rn1qkbnr/ppp1pppp/8/3pN2b/3P4/2N5/PPP1PPPP/R1BQKB1R b KQkq -,g8h6 c1h6 g7h6 g2g4 h5g6 f1g2 b8d7 e5g6 h7g6 g2d5,148
rnbqkb1r/pp3ppp/4pn2/2p5/3P4/3B1NN1/PPP2PPP/R1BQK2R b KQkq -,f8e7 e1h1 b8d7 b2b3 e8h8 c1b2 b7b6 d1e2 d8c7 d4c5,44
r1bqk1nr/ppp3pp/2pb1p2/4P3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d6c5 d1d8 e8d8 b1c3 d8e8 e5f6 g8f6 e1h1 h8f8 c1f4,278
r1bqk1nr/pp1p1ppp/2n1p3/2b5/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d4d3 c4d3 a7a5 d1e2 d7d6 c1e3 c5e3 e2e3 g8f6 f1d1,101
rnb1kbnr/ppppqppp/8/4p2Q/4P3/1P6/P1PP1PPP/RNB1KBNR b KQkq -,g7g6 h5f3 f7f5 e4f5 b8c6 f5g6 g8f6 c1b2 h7g6 f3g3,-95
r1bqkbnr/1pp2ppp/p7/2pPp3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,f7f6 b1d2 f8d6 e1h1 g8e7 b2b3 e8h8 h2h3 c7c6 c2c4,55
r1bqk2r/ppppbppp/2n1pn2/8/3P1B2/2PBP3/PP1N1PPP/R2QK1NR b KQkq -,a7a6 g1f3 f6h5 h2h4 h5f4 e3f4 b7b5 f3g5 g7g6 d1e2,128
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq -,f8e7 h2h3 c7c5 c2c3 d8b6 d1b3 a7a6 f1e2 b6c6 e1h1,37
r1bqkbnr/ppp2ppp/2np4/4p3/2PPP3/8/PP2NPPP/RNBQKB1R b KQkq -,g7g6 d4d5 c6b8 e2c3 b8d7 f1e2 a7a5 c3a4 b7b6 b1c3,55
