r1bqk2r/ppp2ppp/2n2n2/3pP3/1bP2B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,b4c3 b2c3 f6e4 c4d5 e4c3 d1b3 c3d5 a1d1 c8e6 f1c4,303
rnbqk2r/ppp1ppbp/6p1/8/3P4/2B1P3/PP3PPP/R2QKBNR b KQkq -,c7c6 d1c2 e8h8 f1d3 b8d7 g1f3 a7a5 e1h1 b7b6 e3e4,51
rnb1kb1r/ppp2ppp/5n2/4P3/4p3/2N2P2/PPP3PP/R1BK1BNR b kq -,f6d7 c3d5 e8d8 c1g5 f7f6 e5f6 g7f6 d5f6 h7h6 f6d7,365
r2qkbnr/pp2ppp1/2n5/2ppP2p/5Pb1/5N2/PPPPB1PP/RNBQ1RK1 b kq -,g8h6 c2c3 e7e6 b1a3 h6f5 d2d3 f8e7 a3c2 d8b6 f3e1,-70
rnbqk2r/ppp2ppp/3p1n2/4p3/1bP5/2NP1N2/PP1BPPPP/R2QKB1R b KQkq -,a7a5 e2e3 e8h8 f1e2 b8d7 d1c2 f8e8 a2a3 b4c3 d2c3,22
rnbq1rk1/ppp2ppp/3p1n2/4p3/2P5/P1BP1N2/1P2PPPP/R2QKB1R b KQ -,b8d7 e2e3 f8e8 b2b4 d6d5 c4d5 f6d5 c3b2 c7c5 d1b3,32
rn1qkbnr/pbppp1pp/1p6/5p2/5P2/1P2PN2/P1PP2PP/RNBQKB1R b KQkq -,b8a6 g2g3 g7g6 c1b2 g8f6 f1g2 f8g7 e1h1 e8h8 d2d3,40
rnbqkb1r/p2p1ppp/1p2pn2/2p3B1/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,d8c7 e4e5 f6d5 c3b5 c7b7 f1c4 d5c7 b5d6 f8d6 e5d6,190
rn2kbnr/pp2pppp/2p3b1/q3N3/3P2P1/2N4P/PPP2P2/R1BQKB1R b KQkq -,f7f6 e5g6 h7g6 f1d3 f6f5 g4f5 b8d7 d1f3 e8a8 c1d2,370
r2qkb1r/pppb1ppp/2np1n2/6B1/4P3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,a7a6 g5f6 d8f6 c3d5 f6d8 d1d2 f8e7 e1a1 e8h8 c1b1,30
r1b1k2r/ppppnpp1/2n2q1p/1BbNp3/4P3/3P1N2/PPP2PPP/R1BQ1RK1 b kq -,f6f3 d1f3 e7d5 b5c6 d5f6 c6b5 a7a6 b5a4 e8f8 c1e3,877
r1bqkb1r/ppp2pp1/2n1pn1p/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,f8b4 f1d3 b4c3 b2c3 b7b6 e1h1 c8b7 c3c4 d5c4 d3c4,34
8/8/8/2n1k3/6Q1/4K3/8/8 b - -,f8b4 f1d3 b4c3 b2c3 b7b6 e1h1 c8b7 c3c4 d5c4 d3c4,Mate
r1bqk2r/ppp1bpp1/2n1pn1p/1B1p4/3P1B2/2N1PN2/PPP2PPP/R2QK2R b KQkq -,a8b8 f3e5 c8d7 h2h4 c6e5 d4e5 f6g8 b5d3 c7c5 d1g4,54
rn2kbnr/ppp2ppp/3qp3/1N3b2/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq -,d6c6 d4d5 c6b6 c1e3 b6a5 c2c3 a7a6 d5e6 f5e6 b5d4,339
r1bqkbnr/pp1n1ppp/2p5/4p3/P1B1P3/5N2/1PP2PPP/RNBQK2R b KQkq -,f8b4 c2c3 b4e7 d1b3 d7c5 c4f7 e8f8 b3c4 g8f6 e1h1,135
r1bq1b1r/pp1ppkpp/2n5/3Q4/4n3/8/PPP2PPP/RNB1K1NR b KQ -,e7e6 d5e4 d7d5 e4d3 e6e5 g1e2 h7h5 e1h1 h5h4 h2h3,-98
r1bqk1nr/pppn1ppp/8/4p3/1bB1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,d8f6 f3g5 g8h6 e1h1 c7c6 a2a4 e8h8 h2h3 f6g6 g5f3,128
r1bqk1nr/pppn1ppp/8/4p3/1bB1P3/5N2/PPPB1PPP/RN1QK2R b KQkq -,b4c5 f3g5 g8h6 h2h3 e8h8 a2a4 g8h8 e1h1 d7b6 c4b3,95
rnbqkb1r/pp3ppp/2p1pn2/3pP3/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,f6h5 g2g4 h5f6 e5f6 g7f6 g4g5 c6c5 b1c3 c5d4 f3d4,610
rnbqk1nr/ppp2ppp/8/2bP4/3P1p2/5N2/PPP3PP/RNBQKB1R b KQkq -,c5f8 c2c4 f8b4 b1c3 c7c6 d5c6 b8c6 d4d5 d8e7 f1e2,317
