1r5k/6pp/2p5/P5Q1/1P2B3/2P5/5PPK/3RNRn1 b - -,c1c8 e1e2 c8c1 e2e1 c1c7 e1e2 c7d7 e3c3 d6d1 e2e1,Mate
r2qk2r/pppb1ppp/2np1n2/1Bb1p3/N3P3/3P1N1P/PPP2PP1/R1BQK2R b KQkq -,d8e7 a4c5 d6c5 c1e3 e8a8 e1h1 a7a6 a2a4 h7h6 b5c6,20
rn1qkbnr/pp3ppp/4b3/2pp4/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq -,g8f6 e1h1 b8c6 c1e3 c5c4 b2b3 h7h6 b3c4 d5c4 f3e5,-3
rn2kb1r/pp1b1ppp/4pn2/q1p5/2B5/P1NP1N1P/1PP2PP1/R1BQ1RK1 b kq -,f8e7 f1e1 e8h8 c1f4 b7b5 c4a2 a5b6 d1e2 b8c6 c3e4,19
r3kb1r/1p1npppp/1pp5/3n1P2/3P4/3B1N2/PP3PPP/R1B2RK1 b kq -,d7f6 g2g3 g7g6 a2a3 b6b5 g1g2 f8g7 c1d2 e8h8 b2b3,7
3r2k1/3n4/1p1bRp1p/pPpP1Pp1/8/1P1B3P/3N1KP1/8 b - -,d7e5 d3c4 g5g4 e6f6 g4h3 g2h3 g8g7 f6e6 e5f7 f5f6,295
r3k1r1/p2qn2p/3pb1p1/1pp5/4PP2/4B3/PPPNQ1PP/R4RK1 b - -,d7c6 a1d1 e8d7 c2c4 a7a6 b2b3 d7c7 h2h3 a8e8 f1e1,334
b7/2k2p2/p1p1p1p1/2K1P2p/1P2B2P/5P2/6P1/8 b - -,a6a5 b4a5 a8b7 f3f4 b7a6 e4c6 a6f1 c6e8 c7d8 e8f7,719
2R5/1r3p1k/4nbp1/1p1Np2p/1P2P2P/6P1/PB4K1/8 b - -,f6d8 a2a3 f7f6 c8c6 e6d4 d5f6 d8f6 c6f6 b7d7 f6a6,114
4B3/7k/5K2/3N4/8/8/8/8 b - -,h7h6 d5e3 h6h7 e3g4 h7g8 e8a4 g8f8 a4b3 f8e8 g4e5,194
r3k1nr/pppb1ppp/8/8/2B1P3/B1P5/P2K1bPP/R4R2 b kq -,g8f6 f1f2 f6e4 d2e2 e4f2 e2f2 d7e6 c4b5 c7c6 b5e2,-504
rn1qkbnr/pp4pp/3pp3/2p1p2Q/4PP2/2N5/PPPP2PP/R1B1K1NR b KQkq -,g7g6 h5h3 d8e7 d2d3 b8c6 g1f3 g8f6 f4e5 d6e5 c1g5,78
r4rk1/1pqb1ppp/p2bp3/3p4/3P4/2PB1Q1P/PP3PP1/R1B1R1K1 b - -,d7b5 d3c2 a8e8 a2a4 b5c6 c1d2 e6e5 d4e5 e8e5 f3d3,21
r2q1rk1/pp1bbppp/4p3/3pPnN1/3n1PB1/2N5/PP4PP/R1BQ1RK1 b - -,d8b6 g1h1 d7c6 a2a4 h7h6 g5f3 d4f3 g4f3 f8d8 a4a5,-288
rnkr4/5p1p/1p1P2p1/pB2Bn2/8/1P3N2/P1P3PP/2KR3R b - -,b8d7 e5f4 h7h5 h1e1 f7f6 d1d5 a8a7 e1e6 d8f8 c1d1,679
r3r3/p1q2p1k/5nnp/PppPpNp1/4P3/5P2/1P1Q1BPP/R4RK1 b - -,c5c4 h2h4 g6f4 g2g3 f6d5 e4d5 c7d7 g3f4 d7f5 f4g5,288
r5kr/pbq2pp1/1pp1pn1p/8/3P3Q/1P1B1N2/PBP2PPP/4R1K1 b - -,a8c8 f3e5 c7e7 c2c4 c8d8 e5f3 e7d6 e1e3 c6c5 d4c5,56
5kr1/1p3p2/4p3/p3PnPb/4QP2/P1pP4/2q3R1/R1B1K3 b - -,c2d1 e1f2 g8h8 a3a4 f8g7 e4e1 d1d3 a1a3 d3d4 c1e3,-475
8/1p3pk1/p2rbpp1/8/1P4P1/P3R1KP/5P2/4N3 b - -,,0
