8/1K6/P2k4/8/8/4p3/8/8 b - -,c4d5 g5h7 d5e6 c2b3 e6f7 h7g5 f7f6 g5h3 f6f5 b3a3,Mate
8/6p1/4k3/1P4r1/3pR1P1/3K4/6P1/8 b - -,e6f7 d3c4 d4d3 e4d4 g5g6 c4d3 g6b6 d3c4 b6b8 c4c5,601
r1b2rk1/p1q2ppp/1ppbpn2/4N3/3PN3/4P3/PPQ1BPPP/R4RK1 b - -,f6e4 c2e4 c8b7 e2f3 f7f5 e4f4 c6c5 f3b7 c7b7 d4c5,-2
rnb1k1nr/pppp1pbp/5qp1/8/2P1P3/3Q1N2/PP3PPP/RNB1KB1R b KQkq -,b8a6 b1c3 f6e7 f1e2 a6c5 d3c2 c5e6 e1h1 d7d6 b2b3,73
3r1k2/p4ppp/4n3/Pp6/1P2R2P/5NP1/2r2PK1/4R3 b - -,g7g6 e1e3 h7h5 f3e5 e6g7 e3d3 d8d3 e5d3 g7e6 d3e5,5
4R2k/pp3p1p/2pb1P2/3p1q2/2PP3r/6rP/PPB3P1/R6K b - -,g3g8 e8g8 h8g8 c2f5 d5c4 a1d1 h4f4 g2g4 f4f2 d4d5,-60
r4r2/ppN3k1/2bp2pp/2p1b1q1/2P1P3/3B4/PP2Q1PP/R4RK1 b - -,g7g8 c7a8 f8a8 g1h1 c6d7 e2f3 d7e6 d3e2 g5e7 a1d1,30
8/8/8/6P1/P3k3/2K1p3/8/8 b - -,g7g8 c7a8 f8a8 g1h1 c6d7 e2f3 d7e6 d3e2 g5e7 a1d1,Mate
8/2k4K/6RP/8/8/8/8/7r b - -,h1e1 h7g7 e1e7 g7f8 e7d7 g6g7 d7g7 f8g7 c7d6 h6h7,3512
r1b1k2r/5pp1/1qpp4/p3p1Bp/P2bP1nP/1P1Q2P1/2P2PB1/2RN1RK1 b kq -,c8a6 c2c4 a8b8 c1b1 e8h8 g5e7 f8c8 e7g5 b6c5 d1e3,-103
r2q1rk1/4bpp1/p2p1n1p/1p1Pp3/4P3/P2BQN2/1P3PPP/3RR1K1 b - -,f6g4 e3d2 d8d7 g2g3 f8c8 d1a1 e7d8 h2h3 g4f6 g1g2,13
r1bq1rk1/ppp2ppp/3p1n2/n1b5/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,a5c4 d3c4 c8g4 d1d3 f6d7 b2b3 f8e8 f3e1 d7e5 d3d2,72
