r2qrb1k/pp1n3p/2p3QB/8/2BP2p1/2P5/PP2NP2/2K4R b - -,f8h6 g6h6 e8e7 e2f4 d7f8 h1h5 e7g7 h5f5 b7b5 c4b3,Mate
8/6p1/r7/2k3P1/p7/3R4/K7/8 b - -,c5c4 d3d1 g7g6 a2a3 a6a5 d1g1 c4d4 a3b4 a5a8 b4a3,-469
8/5pk1/p3pNp1/Pb1pPPK1/3P2P1/8/8/8 b - -,b5c6 g5f4 c6a4 f4e3 a4b5 e3f3 b5c6 f5e6 f7e6 f3e3,52
4r3/pb4k1/1p2p2p/3p4/3P2PR/2PB4/PP4K1/8 b - -,b7c6 g2g3 e6e5 g3f2 e5d4 c3d4 c6d7 f2f3 e8f8 f3g3,15
8/6k1/4pp2/3q2p1/1p4Pp/7P/P1Q2P1K/8 b - -,d5f3 c2c5 g7g6 c5b6 f3e2 h2g1 e2e1 g1g2 e1e4 g2g1,-12
r1r3k1/pp3p1p/3n2pb/3p4/8/NPPP1P2/KP3q1P/R2Q3R b - -,h6f8 f3f4 d6f5 a3c2 d5d4 h1f1 f2g2 f1g1 g2c6 c3c4,-567
r1bq1rk1/pp1nppbp/3P2p1/2pn4/3P4/2PB1N2/PP3PPP/RNBQR1K1 b - -,f8e8 d4c5 d5f6 c1e3 e7d6 c5d6 d7e5 d3b5 e5f3 d1f3,164
2r2rk1/4bp2/pq2p1p1/3b1PPp/1p1N3P/1P1Q4/PBPR4/1K3R2 b - -,e6e5 d2e2 e5e4 e2e4 d5e4 d3e4 f8e8 f5g6 b6g6 d4f5,106
R7/ppp1kp2/6p1/2p1p3/2B1Pn1Q/3PN3/PP3KP1/nN6 b - -,e6e5 d2e2 e5e4 e2e4 d5e4 d3e4 f8e8 f5g6 b6g6 d4f5,Mate
5r2/pb4k1/1p2p2p/3p4/3P2P1/2PB3R/PP4K1/8 b - -,b7c6 g2g3 a7a5 h3h1 f8f7 h1e1 g7f6 e1b1 c6e8 b1h1,13
8/3k4/2p5/3p1K2/PP5b/8/3B4/8 b - -,,0
r2q1rk1/pp3pb1/2n1b1pp/2pnp3/2N5/2PP1NPP/PP3PB1/R1BQR1K1 b - -,d8c7 a2a4 a8d8 d1e2 f8e8 a4a5 f7f6 c1e3 b7b6 a5b6,-72
3q1rk1/pp2bppp/8/P1rQp3/2Bp4/3P3P/1PPN1PP1/R4RK1 b - -,c5d5 b2b4 g8h8 b4b5 d5d7 d2f3 e7f6 f1b1 b7b6 a5b6,-460
