rnbqkbnr/pp3ppp/4p3/2ppP3/5P2/8/PPPP2PP/RNBQKBNR b KQkq -,b8c6 g1f3 g8e7 f1e2 e7g6 d2d3 f7f6 e1h1 f8e7 c2c3,-93
r2qkbnr/pp1bpppp/2p5/8/2PPp3/8/PP3PPP/RNBQKB1R b KQkq -,e7e5 b1c3 e5d4 d1d4 f7f5 c1e3 d8f6 d4d1 f6d6 d1b3,-162
r2qkbnr/pp2pppp/2n5/3p4/6b1/5N1P/PPPPBPP1/RNBQ1RK1 b kq -,g4e6 d2d4 g8f6 f1e1 e6f5 c2c4 e7e6 c4c5 f8e7 e2b5,89
r2qkbnr/pp2pppp/2n5/3p4/8/5B1P/PPPP1PP1/RNBQ1RK1 b kq -,g7g6 f1e1 e7e6 d2d4 g8f6 c2c3 h7h6 f3e2 f8d6 e2d3,36
r2qkb1r/ppp2ppp/5n2/3Pp1N1/2Bn2b1/2N2P2/PPPP2PP/R1BQK2R b KQkq -,h7h6 g5f7 g4f3 f7d8 f3d1 e1d1 a8d8 b2b3 f8d6 c1b2,146
r1bqkb1r/pppn1ppp/3p1n2/4p3/4P3/3P1N2/PPPNBPPP/R1BQK2R b KQkq -,d7c5 c2c3 f8e7 e1h1 e8h8 f1e1 h7h6 d1c2 c8d7 d3d4,36
r2qk1nr/pppb1pbp/2np2p1/1B1Pp3/4P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,c6a5 b5e2 b7b6 b2b4 a5b7 e2a6 d7c8 d1d3 g8e7 d3b5,186
r2qk1nr/pppb1pbp/2np2p1/1B2P3/4P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,a7a6 b5c6 d7c6 c1f4 d6e5 f3e5 g8f6 e5c6 b7c6 d1d8,213
rnb1kb1r/ppp1pppp/4qn2/8/3P4/2N3P1/PPP1NP1P/R1BQKB1R b KQkq -,e6d7 f1g2 e7e6 h2h4 f8e7 c1g5 c7c6 d1d3 b8a6 a2a3,140
rnbqk2r/ppp3pp/3bpn2/3p1p2/8/1P1PPN2/PBPN1PPP/R2QKB1R b KQkq -,c7c5 f1e2 b8c6 c2c4 e8h8 e1h1 b7b6 d3d4 c8b7 c4d5,12
r1bqk1nr/p2p1pbp/2p3p1/2p1p3/4P3/P1N2N2/1PPP1PPP/R1BQ1RK1 b kq -,g8h6 b2b4 e8h8 b4c5 d8a5 a3a4 f8e8 c1a3 g7f8 h2h3,74
r1bqk2r/pppn1ppp/3b1n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,a7a6 e1h1 e8h8 c1d2 f8e8 f1e1 c7c6 d1c2 h7h6 h2h3,8
rnb1kb1r/pp1n1ppp/1qp1p3/3pP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,h7h6 a2a3 c6c5 d4c5 b6c5 f1d3 c5b6 a1b1 f8e7 b2b4,124
r1bqkbnr/1p1ppppp/p1n5/2p5/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq -,e7e6 c4b3 d7d5 c2c3 g8f6 b1d2 b7b5 g1f3 f8e7 e1h1,-59
r1bqkb1r/pp3ppp/5n2/n1pPp1N1/Q1B5/2P5/PP1P1PPP/RNB1K2R b KQkq -,d8d7 c4b5 b7b6 b5d7 c8d7 a4h4 h7h6 d2d3 f6d5 h4e4,813
r1b1kbnr/pppp1ppp/2n3q1/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,g8f6 e1h1 f8e7 c3d5 f6d5 e4d5 c6a5 f3e5 g6f5 e5f3,191
r1bqk1nr/p3bppp/2ppp3/2p5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 b kq -,d6d5 d2d3 g8f6 d1e1 e8h8 b2b3 c5c4 e4e5 f6d7 d3c4,72
rnbqk2r/pppp1ppp/5n2/2b5/3pP3/2PB1N2/PP3PPP/RNBQK2R b KQkq -,c5b6 e4e5 f6d5 d3c4 c7c6 c4d5 c6d5 c1g5 f7f6 e5f6,137
r2qkbnr/1ppb1pp1/p1np3p/4p3/B3P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,g8f6 d2d4 f8e7 h2h3 e8h8 a4c2 f8e8 b1d2 e7f8 d2f1,93
rnbqk2r/ppppppbp/5np1/8/P2P4/2P2N2/1P2PPPP/RNBQKB1R b KQkq -,b8c6 g2g3 d7d5 f1g2 e8h8 e1h1 f8e8 c1f4 h7h6 b1d2,36
