8/5k2/7K/8/8/7P/8/8 b - -,f7f8 h6g6 f8g8 h3h4 g8h8 g6f6 h8h7 f6e5 h7g6 e5f4,Mate
rnb1k1nr/1pNp1ppp/8/p5q1/1bP1p3/8/PP1PPPPP/R1BQKB1R b KQkq -,e8d8 c7a8 e4e3 f2f3 g8e7 a2a3 b4c5 d2e3 b8a6 e3e4,287
r1bqk2r/pppp1ppp/2n2n2/4p3/3BP3/2NP1N2/PPP2PPP/R2QKB1R b KQkq -,,0
rnbqk1nr/pp2ppb1/2p3p1/3p3p/3PP3/2N1BP2/PPPQ2PP/R3KBNR b KQkq -,b8d7 e4d5 c6d5 c3d5 g8f6 f1c4 f6d5 c4d5 d7b6 d5b3,137
5k1r/p4p2/3N3p/3pP3/8/4BPb1/1r4P1/5RK1 b - -,g3e5 d6f5 b2a2 f1c1 a2a1 c1a1 e5a1 e3a7 h6h5 g1f2,-438
rnbq1rk1/ppp2pp1/3p1n1p/2bPp3/2P4B/2N2N2/PP2PPPP/R2QKB1R b KQ -,e5e4 f3d4 g7g5 h4g3 e4e3 d1d3 f8e8 e1a1 b8a6 f2f3,-101
r1bqkbnr/ppp1p2p/2n2p2/3p2p1/3P4/2N1BN2/PPP1PPPP/R2QKB1R b KQkq -,g8h6 h2h3 h6f7 a2a3 c8f5 g2g4 f5g6 h3h4 h7h6 c3a4,-47
8/2K5/8/1k6/4Q3/8/8/8 b - -,e7e6 d1d3 d8e7 e1a1 c8d7 a2a3 e8a8 f3d2 h7h5 f2f3,Mate
8/8/2K5/k7/8/8/8/Q7 b - -,e7e6 d1d3 d8e7 e1a1 c8d7 a2a3 e8a8 f3d2 h7h5 f2f3,Mate
rnbq1rk1/pp2ppbp/3p1np1/2p5/4P3/2NPBN1P/PPPQ1PP1/R3KB1R b KQ -,b8c6 f1e2 e7e5 e1h1 c8e6 e3g5 d8d7 g5e3 c6d4 f3g5,-51
rnb1kbnr/ppp2ppp/8/4p3/3q4/2NB4/PPP2PPP/R1BQK1NR b KQkq -,b8c6 g1f3 d4d8 d1e2 f8d6 d3b5 f7f6 c1e3 g8e7 e1a1,-64
rnbqkb1r/ppp1pppp/5n2/8/5P2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,c8f5 h2h3 h7h5 d2d4 e7e6 f1d3 g7g6 d3f5 g6f5 e1h1,39
r2qkbnr/pb1p1ppp/2p1p3/8/2B1P3/8/PPP2PPP/RNBQ1RK1 b kq -,d8c7 d1e2 g8e7 b1c3 e7g6 f2f4 f8e7 e4e5 e8h8 c3e4,-10
r1bqk2r/pppn1ppp/5n2/2b1p3/2P5/5NP1/PP2PPBP/RNBQ1RK1 b kq -,c7c6 b1c3 e8h8 c3a4 e5e4 f3h4 f8e8 a4c5 d7c5 d1d8,6
rn1qk2r/ppp2ppp/4pn2/3p1b2/1b1P4/2N1PN1P/PPPB1PP1/R2QKB1R b KQkq -,b8d7 f1d3 c7c6 f3h4 f5g6 e1h1 e8h8 h4g6 h7g6 c3b1,-19
rnbqkb1r/p1p1pppp/1p3n2/3p4/3P1B2/5N2/PPPNPPPP/R2QKB1R b KQkq -,c7c5 d4c5 g7g6 c5b6 d8b6 c2c3 f8g7 d1b3 e8h8 e2e3,92
8/4R3/2K1k3/8/8/8/8/8 b - -,,0
8/1K6/3k4/7R/8/8/8/8 b - -,e6e7 c6d5 e7f6 d5e4 f6e6 e4d4 e6f5 d4d5 f5f4 d5d4,Mate
4R3/4k3/2K5/8/8/8/8/8 b - -,,0
