8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
3r1r1k/p5pp/1p2B3/2p2p2/2P5/P3P2P/1P1n1PP1/R2R2K1 b - -,d8d3 e6d5 f8d8 a3a4 g7g5 f2f3 h8g7 g1f2 d8e8 a4a5,153
rnb1k1nr/ppp1q1pp/3b1p2/3p4/3P4/5N2/PPPBBPPP/RN1QK2R b KQkq -,e7f7 b1c3 a7a6 d1c1 b8c6 d2f4 d6f4 c1f4 g8h6 c3a4,20
6k1/pp3pp1/7p/8/8/P3Pq2/1P3PRP/7K b - -,f3e2 h2h4 e2b2 h4h5 g8h7 h1h2 b2a3 e3e4 a7a5 e4e5,-802
3k2Q1/p6p/8/2q5/1b6/1P3B2/2r2PPP/4R1K1 b - -,d8c7 g8h7 c7d8 h7g8 d8c7 g8f7 c7b6 f7b7 b6a5 e1a1,Mate
rn1qkbnr/p1pppppp/b7/1p6/8/PPP5/3PPPPP/RNBQKBNR b KQkq -,g7g6 g1f3 a6b7 e2e3 a7a6 a3a4 c7c6 a4b5 c6b5 c3c4,30
r2qrbk1/1b1n1ppp/pp1p1n2/4P3/P1N5/2PB1N1P/1P3PPB/R2QR1K1 b - -,b6b5 c4d6 f8d6 e5d6 e8e1 f3e1 b5a4 d1a4 d7c5 a4b4,341
2bkr3/5Rpp/8/1p6/1bp5/2Nn1B1q/1PK2P1P/3Q3R b - -,h3e6 f7g7 e6f5 h2h4 b4c3 b2c3 b5b4 g7g5 f5f6 g5d5,-148
3qr2k/pp5p/3p1ppb/3Br3/3Q2b1/1P1N2P1/PBP4P/1K3R1R b - -,g4d7 f1d1 d7f5 d3e5 d6e5 d4f2 d8e7 f2e2 e8c8 d5e4,519
8/8/1Q5k/8/K7/7P/8/5q2 b - -,,0
r4k2/1p3pp1/1P1n3p/p1Rp1r2/P2N4/4P2P/5PP1/2R2K2 b - -,f5e5 d4b5 a8d8 f1e1 d6b5 c5b5 d8d6 e1e2 e5e6 c1c8,170
5r1k/p5pp/1p6/2pB1p2/2P5/P2rP2P/1P1n1PP1/R2R2K1 b - -,f8d8 a3a4 g7g6 f2f3 h8g7 g1f2 d8e8 a4a5 e8e7 a5b6,163
2r5/pR3k1p/2pP2p1/4pp2/P2P4/4P2P/8/6K1 b - -,f7e6 b7a7 e5d4 e3d4 c8d8 a7e7 e6d6 e7h7 d6d5 a4a5,-11
6k1/5p1p/6p1/8/P1p5/1rNbP2P/6P1/2R3K1 b - -,g8g7 c3d5 b3a3 d5f4 a3a4 f4d3 c4d3 g1f2 g7f6 c1c3,-78
