6k1/8/6K1/3N4/8/8/8/1B6 b - -,a8b8 a2a4 f8e8 c1e3 d8e7 b2b3 a7a6 a5c4 e6c4 b3c4,Mate
8/8/p2p1kp1/3P3P/2pK1P1P/P7/8/8 b - -,f6g7 h5g6 g7g6 d4c4 g6f6 c4b4 f6f5 h4h5 f5e4 h5h6,836
4r1k1/1p2Prp1/p2P3p/2pP3P/6P1/8/PP6/R2KR3 b - -,g8h7 a1c1 b7b6 d1c2 a6a5 c2b1 a5a4 d6d7 e8e7 d7d8q,1034
r1bqk2r/pppp1pp1/2Bb1n1p/4p3/4P3/2N2N1P/PPPP1PP1/R1BQK2R b KQkq -,d7c6 d2d4 d6b4 f3e5 f6e4 e1h1 b4c3 b2c3 e8h8 d1f3,-17
r1b1r1k1/pppnqpbp/3p1np1/4p3/2PP4/2N1PN1P/PP2BPPB/R2QR1K1 b - -,c7c6 a1b1 c6c5 a2a3 a7a6 d4e5 d7e5 d1b3 e7c7 f3e5,91
r1q2rk1/ppp2ppp/2pbbn2/N3p3/4P3/1P1P1N2/P1P2PPP/R1BQ1RK1 b - -,f8e8 a2a3 f6h5 b3b4 h5f6 a1b1 e6a2 b1b2 a2e6 a3a4,27
r1bk1bnr/ppp2ppp/4p1n1/8/4PPP1/8/PPP4P/RNB1KBNR b KQ -,g8f6 b1c3 f6g4 h2h3 g4f6 c1e3 d8e8 e1a1 a7a6 h1h2,-52
r2qkb1r/2pn1ppp/bp2p3/n3P3/p1N2B2/6P1/PPPNQPBP/R4RK1 b kq -,f8e7 f1d1 h7h5 h2h4 d8c8 g2a8 c8a8 b2b3 a5c4 d2c4,113
r5k1/2rb1ppp/1q6/p1Np4/1p1P2P1/1P2P2P/PPRQ4/1K5R b - -,d7b5 b1a1 c7e7 a2a3 b4a3 b2a3 a5a4 b3a4 b5e8 c2b2,42
r1bq2k1/pp2rppp/2p3n1/8/3PP1n1/2NB4/PP1QN1PP/R4RK1 b - -,c8e6 a1d1 c6c5 d4d5 d8d6 e2g3 e6d7 d3e2 g4f6 a2a4,25
5rk1/p2QRpp1/2p4p/1p1p4/1P1P4/2P2PqP/P5P1/6K1 b - -,,0
