8/8/6Kp/5p2/6kP/8/8/8 b - -,e8h8 f3e5 b8d7 e5d7 d8d7 f2f3 b7b5 c4b3 f5g6 e3e4,Mate
r1b1kbnr/pp1p1ppp/2p2q2/1B2p1B1/1n2P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,f6g6 b5c4 f7f6 g5d2 g6g2 h1g1 g2h3 g1g3 h3h5 a2a3,66
r4rk1/1p1q1pp1/p2p4/3P1b1p/1PP2Q2/8/P3B1PP/2R2RK1 b - -,f5g6 e2f3 a6a5 c4c5 a5b4 c5c6 d7c7 f4b4 f8b8 b4d2,69
6R1/1Q1k1p2/p4q1b/P2P4/8/2r2BK1/8/8 b - -,f5g6 e2f3 a6a5 c4c5 a5b4 c5c6 d7c7 f4b4 f8b8 b4d2,Mate
r1b1k2r/pp3ppp/1n6/2q1p3/4p3/P1P1P1B1/2PQNPPP/R2R2K1 b kq -,e8h8 c3c4 c8g4 h2h3 b6c4 d2e1 g4e6 e1b4 c5c6 a3a4,-239
8/5k2/8/1p2KPRP/7r/8/8/8 b - -,,0
6k1/5pp1/4p2p/1Q2P3/2p5/7P/2P2PPK/3q4 b - -,d1c2 b5e8 g8h7 e8f7 c2f5 f7c7 f5e4 c7c5 h6h5 h2g1,-181
1q1r1k2/1P3pp1/p1p1p3/2R1N3/PQ5p/7P/3n1PK1/8 b - -,d2f3 c5d5 f8g8 d5d8 b8d8 b7b8r f3e1 g2h2 d8b8 b4b8,1062
rnbq1rk1/pp2bppp/3ppn2/2p5/3PP1P1/5PN1/PPP3BP/RNBQK2R b KQ -,c5d4 d1d4 d6d5 g4g5 f6d7 d4d2 d8b6 f3f4 b8c6 b1c3,-93
3k4/5b2/1p1p1pBp/5P2/1PPK3P/8/8/8 b - -,d8e7 g6f7 e7f7 b4b5 f7e8 d4d5 e8d8 d5c6 d8e7 h4h5,1060
8/8/1p1K2k1/p2B1ppp/P7/7P/6P1/8 b - -,g6f6 d6c7 f6e5 d5c6 e5e6 c7b6 e6d6 c6e8 g5g4 e8b5,842
8/1p1k2p1/1p6/3PpP2/PP2K3/2P3P1/8/8 b - -,g6f6 d6c7 f6e5 d5c6 e5e6 c7b6 e6d6 c6e8 g5g4 e8b5,Mate
3K4/8/3k4/6R1/3p4/8/8/8 b - -,g6f6 d6c7 f6e5 d5c6 e5e6 c7b6 e6d6 c6e8 g5g4 e8b5,Mate
r2q1rk1/ppp2pp1/2n3bp/2b1p3/4P1nN/1P4P1/P1PN1PBP/R1BQ1RK1 b - -,c5f2 g1h1 g4e3 d1e2 e3f1 g2f1 d8d4 a1b1 d4e3 h4g6,-339
4rrk1/2p2p1p/ppb3nP/2b3B1/6N1/1B6/PPP3P1/2KRR3 b - -,e8e7 g5e7 c5e7 c1b1 g8h8 g4e5 g6e5 e1e5 e7d6 e5f5,365
r1b2rk1/pp3ppp/1n1Q4/2q1p3/4p3/P1P1P1B1/2P1NPPP/R2R2K1 b - -,c5d6 d1d6 b6c4 d6d1 f7f6 h2h3 c8e6 e2c1 f8d8 d1d8,-296
r3kbnr/p3pppp/1qp5/3p1b2/Q2P4/2N1P3/PP3PPP/R1B1K1NR b KQkq -,e7e6 g1f3 f8d6 e1h1 g8e7 f3h4 f5d3 f1d1 b6a6 a4a6,-47
2b3k1/4rrp1/1n1R3p/1Pp1p3/p1P1pP2/P3P3/1B3NPP/2R3K1 b - -,e5f4 d6b6 f4e3 f2d1 e3e2 d1e3 c8g4 b6b8 g8h7 b8d8,417
rnbq1rk1/pp2bppp/3ppn2/2p5/4P1P1/3P1PN1/PPP3BP/RNBQK2R b KQ -,f6e8 f3f4 b7b5 a2a4 b5b4 e4e5 d6d5 e1h1 b8c6 b1d2,19
rnbq1b1r/ppk1pQpp/3p1n2/1Bp5/4P3/2N5/PPPP1PPP/R1B1K1NR b KQ -,a7a6 f7f6 a6b5 f6g5 c8d7 d2d4 b7b6 d4c5 b6c5 g5d5,122
r2qkb1r/pp3p1b/2n1p2p/3pPnp1/3P4/2N1BN2/PP2BPPP/2RQ1RK1 b kq -,f8e7 g2g4 f5e3 f2e3 a8c8 f1f2 e8h8 e2d3 h7d3 d1d3,48
r2qkbnr/ppp1pppp/n7/3P1b2/2P5/N7/PP1P1PPP/R1BQKBNR b KQkq -,e7e6 d1a4 d8d7 a4d7 e8d7 d5e6 f7e6 g1f3 a8d8 d2d4,85
3r1rk1/1b3p1p/1qp1pQp1/pp2n3/P2P4/1B4N1/1PP2PPP/R3R1K1 b - -,d8d4 e1e5 b6d8 f6d8 f8d8 e5e1 b5a4 b3a4 c6c5 g3f1,409
8/8/6K1/7P/6k1/8/5p2/8 b - -,d8d4 e1e5 b6d8 f6d8 f8d8 e5e1 b5a4 b3a4 c6c5 g3f1,Mate
1q1r1k2/5pp1/pPp1p3/2Rn2r1/P6p/1Q1N3P/5PP1/5RK1 b - -,f8g8 a4a5 b8b7 f1c1 e6e5 g1h1 g5f5 c5c4 b7e7 b6b7,238
8/5k2/6R1/1p2KP1P/8/8/7r/8 b - -,,0
8/2N5/4B3/2p1n1p1/7p/1K2k1n1/8/8 b - -,g3e4 c7d5 e3d2 b3a4 c5c4 e6f5 e4d6 f5e6 c4c3 d5b4,-758
r2qkb1r/pppn1pp1/4p2n/3p4/4PP1p/1PN2Q1P/PBPP2P1/R3KB1R b KQkq -,d8e7 e1a1 d5e4 c3e4 h6f5 f1d3 e8a8 h1e1 h8g8 e4g5,97
r1b2rk1/pp3ppp/1n1R4/4p3/4p3/P1P1P1B1/2P1NPPP/R5K1 b - -,b6c4 d6d1 c8e6 h2h3 f8d8 g3h2 e6d5 e2c1 d5c6 d1d8,-302
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP2P1/2N4P/PP2PP2/R1BQKBNR b KQkq -,h7h5 g4g5 f6e4 d1c2 c7c5 g1f3 b8c6 d4c5 d8e7 c1e3,-44
4r3/bb1R2kp/2p1p1p1/ppP5/1P6/6P1/P4P1P/3R2K1 b - -,g7f8 d7b7 a7c5 b4c5 h7h6 f2f3 g6g5 b7h7 f8g8 h7h6,578
r4rk1/2qb1pbn/1ppp3p/p1nPp1pP/2P1P1P1/2N1B1N1/PP1QBP2/R3K2R b KQ -,c7b7 f2f3 c6d5 c3d5 h7f6 d5e7 g8h7 e7f5 f6e8 e1a1,136
r2q2k1/3b1ppp/p3rn2/2b5/7Q/1P3N2/PB1N1PPP/R3R1K1 b - -,f6g4 h4d8 a8d8 b2d4 c5b4 h2h3 g4h6 e1e6 d7e6 d2e4,56
8/2K5/4k3/8/8/3p2R1/8/8 b - -,f6g4 h4d8 a8d8 b2d4 c5b4 h2h3 g4h6 e1e6 d7e6 d2e4,Mate
1r1qr1k1/4ppb1/1p1p4/3P2BQ/P7/P7/5PP1/1R2R1K1 b - -,b8b7 b1b3 f7f6 g5d2 e7e6 d5e6 b7e7 h5f5 g8f8 b3g3,590
2b3k1/4rrp1/1R5p/1Pp5/p1P1pp2/P3P3/1B3NPP/2R3K1 b - -,c8e6 e3f4 e4e3 b6b8 g8h7 f2d3 e3e2 g1f2 e6g4 b2e5,457
r2q1rk1/ppbb1ppp/4p3/2p5/P1N5/1P6/1BPP1PPP/R2QK2R b KQ -,e6e5 d1f3 d7c6 f3g4 a7a6 a4a5 f7f5 g4e2 d8d5 e1a1,-87
3r2k1/bp4p1/p4B2/3p1Qp1/8/PP2r1qP/6B1/2R2R1K b - -,g3b8 f5g6 e3e7 f6e7 b8e5 g6f7 g8h8 e7d8 a7b8 d8c7,1900
rnbq1b1r/1pk1p1pp/p2p1Q2/1Bp5/4P3/2N5/PPPP1PPP/R1B1K1NR b KQ -,a6b5 f6g5 c8d7 d2d4 h7h6 c3d5 c7c8 g5g3 b7b6 g1e2,128
r1b2rk1/pp3ppp/8/4p3/2n1p3/P1P1P1B1/2P1NPPP/R2R2K1 b - -,f7f6 h2h3 c8e6 g3h2 f8d8 a3a4 a7a5 g1f1 e6d5 f1e1,-307
r2qkb1r/pp3p1b/2n1p2p/3pPn2/3P2p1/2N1B3/PP2BPPP/2RQNRK1 b kq -,g4g3 h2g3 f5e3 f2e3 d8g5 c3b5 a8c8 e2h5 a7a6 f1f7,237
8/5k2/5R2/1p2KP1r/8/8/8/8 b - -,,0
r2q1rk1/ppp2pp1/2n3bp/4p3/4P1nN/1P4P1/P1PN1bBP/R1BQ1R1K b - -,g4e3 d1e2 e3f1 g2f1 d8d4 a1b1 d4e3 h4g6 f7g6 d2c4,-335
8/4k3/1p1p1p1p/3B1P1b/1PK4P/8/2P5/8 b - -,,0
