r1bqkbnr/pp2pppp/2np4/8/4P3/2Q5/PPP2PPP/RNB1KBNR b KQkq -,g8f6 b1d2 e7e5 g1f3 f8e7 f1c4 e8h8 e1h1 c8d7 a2a4,-93
r1bqr1k1/1pp2ppp/1pnp1n2/8/4P3/2NBN3/PPP2PPP/R2Q1RK1 b - -,h7h6 a2a4 c6e5 d1d2 e5d3 d2d3 c8d7 b2b3 d7c6 f2f3,64
rn1qkb1r/pp2pppp/2p2n2/5b2/2PPp1P1/2N2P2/PP5P/R1BQKBNR b KQkq -,e7e5 d4e5 d8d1 e1d1 f6g4 f3g4 f5g4 d1c2 b8a6 a2a3,280
rnbqkb1r/ppp2pp1/4pn1p/3p4/3P1B2/5N1P/PPP1PPP1/RN1QKB1R b KQkq -,f8d6 e2e3 e8h8 f4d6 d8d6 b1d2 b8d7 f1e2 e6e5 d4e5,-20
r3k3/pb3p1p/3bpp2/1P2n3/3N4/3B3P/1P2QP1K/R1B2R2 b - -,a7a6 e2e3 c7c5 f1e2 f8d6 d4c5 d6c5 b1d2 e8h8 e1h1,Mate
r1bqk2r/ppp1bppp/2n2n2/3p4/4P3/2N1Q3/PPPB1PPP/2KR1BNR b kq -,d5d4 e3e1 d4c3 d2c3 f6d7 c3g7 e7b4 g7c3 d8e7 c3b4,-230
rn2k1nr/ppp2ppp/8/2bPp3/2B5/7Q/PPPP1qPP/RNBK3R b kq -,e8d8 h1f1 f2d4 d2d3 h7h5 b1d2 d4g4 h3g4 h5g4 d2e4,344
rn1qk1nr/ppp1bpp1/3p3p/4p3/2B1P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,c7c6 h2h3 g4h5 a2a4 g8f6 g2g4 h5g6 f3h4 g6h7 d1f3,72
r1bqkb1r/p1p2p1p/5np1/1B1Pp3/3n4/3P4/PPP2PPP/RNBQK1NR b KQkq -,d4b5 c2c4 b5d6 g1f3 c8g4 b1c3 f6d7 h2h3 g4f3 d1f3,-461
r1bqkb1r/pp3ppp/2n1pn2/1Bp5/3P4/2N1PN2/PP3PPP/R1BQK2R b KQkq -,h7h6 e3e4 c5d4 f3d4 d8c7 e1h1 c8d7 c1e3 f8d6 f2f4,33
rnb1k1nr/ppp2ppp/8/4P3/1bP4q/4P3/PP1NK1PP/R1BQ1BNR b kq -,b8c6 g1f3 c8g4 d1e1 h4e7 a2a3 b4d2 c1d2 c6e5 e2f2,-192
rnbq1rk1/pp2bppp/3ppn2/2pP4/2P1P3/2N3P1/PP3PBP/R1BQK1NR b KQ -,f8e8 d5e6 f7e6 f2f4 b8c6 g1h3 e8f8 e1h1 a7a6 a2a4,84
r1bqkb1r/1p1n1ppp/p1n1p3/2pp2P1/3P1B1P/2N1PN2/PPP2P2/R2QKB1R b KQkq -,c5d4 e3d4 f8b4 d1d3 d8a5 a2a3 e6e5 f4e5 d7e5 f3e5,86
