r1b1k1nr/pppp1ppp/2n2q2/4P3/1b1P1p2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,b4c3 b2c3 f6h6 d4d5 c6e7 d1d4 h6b6 d5d6 c7d6 e5d6,214
rnbqkbnr/pp2pppp/8/2pP4/3P4/2P5/PP3PPP/RNBQKBNR b KQkq -,a7a6 d4c5 g8f6 f1c4 e7e6 d5e6 d8d1 e1d1 c8e6 c4e6,319
rnbqkbnr/pppp2pp/5p2/4p3/3P1P2/2P5/PP2P1PP/RNBQKBNR b KQkq -,e5f4 g1h3 d7d5 h3f4 g7g5 f4d3 b8c6 e2e3 d8e7 d1h5,55
rnb1kb1r/pp3ppp/3Ppn2/q7/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,b8d7 f3d2 a5c5 d2c4 c5c6 f2f3 b7b6 a2a4 c8a6 c4e5,630
5k2/4r3/5K2/8/6Q1/8/8/8 b - -,b8d7 f3d2 a5c5 d2c4 c5c6 f2f3 b7b6 a2a4 c8a6 c4e5,Mate
r1b1k1nr/ppp1Qppp/2np4/8/2P5/8/PP2PPPP/RN2KBNR b KQkq -,g8e7 e2e3 c8e6 g1f3 c6e5 b1d2 e8a8 f3e5 d6e5 f1e2,-30
r1bqkb1r/pp2pp1p/2np1np1/8/2P1P3/2N5/PP2BPPP/R1BQK1NR b KQkq -,a8b8 c1e3 f8g7 d1d2 d8a5 a1c1 f6d7 a2a3 d7e5 g1f3,37
rnbqk2r/ppp2ppp/5n2/3p4/1bPPp3/P3P3/1P1N1PPP/RNBQKB1R b KQkq -,b4a5 b2b4 a5b6 c4c5 a7a5 c5b6 a5b4 c1b2 c7c6 a3b4,340
rnbqk2r/ppp2ppp/5n2/3p4/2PPp3/P3P3/1P1B1PPP/RN1QKB1R b KQkq -,c7c6 c4d5 c6d5 f1e2 b8c6 b1c3 e8h8 a1c1 h7h6 e1h1,48
rnbqkbnr/pp3ppp/2pp4/4p3/2B1P3/2N5/PPPPNPPP/R1BQK2R b KQkq -,c8e6 c4e6 f7e6 d2d4 b8d7 d4e5 d6e5 d1d3 f8c5 e1h1,73
6k1/1Q3pp1/8/1pb1P3/2p4p/2P4r/1P3P2/1N3RK1 b - -,h3g3 g1h2 g3d3 b7b5 c5f8 b5c4 d3d8 c4h4 d8e8 h4e4,1059
r1bqkb1r/pppp1ppp/2n5/1B2p3/4P1n1/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,f8d6 h2h3 g4f6 d2d4 f6e4 f1e1 f7f5 b1d2 e4d2 f3e5,271
rnbqk2r/ppppbppp/4pn2/6B1/2PP4/6P1/PP2PP1P/RN1QKBNR b KQkq -,c7c5 e2e3 c5d4 e3d4 h7h6 g5e3 d7d5 b1c3 d5c4 f1c4,-62
r1bq1rk1/pppp1ppp/5n2/2b1N3/2BnP3/3P3P/PPP2PP1/RNBQ1RK1 b - -,c7c6 c2c3 d7d5 c3d4 c5d4 e5f3 d5c4 e4e5 f6e8 d3c4,236
r1bqkb1r/pppp1ppp/2n5/3Pp3/8/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,c6d4 f3d1 d8g5 e1f1 g5g6 d2d3 d7d6 g1e2 c8g4 f2f3,-141
rnbqkb1r/ppp2ppp/1n2p3/4P3/2PP4/P7/1P4PP/RNBQKBNR b KQkq -,h7h6 b1c3 c7c5 d4d5 g7g5 g1f3 f8g7 f1d3 e6d5 c4d5,150
r1bqk1nr/pp3ppp/2n5/1Bb1N3/3pP3/2P5/PP3PPP/RNBQK2R b KQkq -,d8f6 c3d4 g8e7 b1c3 e8h8 d4c5 f6e5 d1d6 e5h5 c1e3,460
rn1qkbnr/pb3ppp/1pp5/3p4/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,g8f6 d2d4 f8d6 f3h4 b7c8 e2d3 e8h8 e1h1 f8e8 h4f5,-26
rnbq1rk1/ppp1npbp/3pp1pB/8/3PP3/2N2N2/PPPQ1PPP/R3KB1R b KQ -,g7h6 d2h6 f7f6 h2h4 b8c6 e1a1 f8f7 h6d2 d6d5 c1b1,200
r1bqkb1r/2pp1ppp/p1n2n2/4p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQK2R b KQkq -,d7d6 a4a5 f8e7 b1d2 e8h8 e1h1 c8e6 f1e1 a8b8 d2c4,55
rnb1kbnr/pppp1ppp/8/4p3/4P2q/2N4N/PPPP1PPP/R1BQKB1R b KQkq -,h7h6 g2g3 h4d8 f2f4 d7d6 d2d4 e5d4 d1d4 b8c6 d4d3,99
