8/8/4k3/2N5/3K4/2Q5/8/8 b - -,d8a5 h1g1 h7h5 g4g5 g8e7 c1e3 d6d5 d1d2 e7g6 a2a3,Mate
r1bqkb1r/ppp2ppp/2n1p3/8/4N3/5N2/PPPP1PPP/R1BQ1RK1 b kq -,e6e5 f1e1 f8e7 b2b4 c8g4 h2h3 g4f3 d1f3 e7b4 c2c3,-44
rnb1kbnr/1pqp1ppp/p3p3/2pP4/2B1P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d7d6 f3g5 e6e5 a2a4 f8e7 b1c3 b8d7 e1h1 e7g5 c1g5,163
8/6k1/2K5/3P4/8/8/3r4/5R2 b - -,d2d3 d5d6 d3c3 c6b6 c3c2 f1d1 c2b2 b6c7 b2c2 c7d8,986
3K4/3P4/6k1/8/8/8/3r4/2R5 b - -,d2e2 d5d6 e2c2 c6d7 c2d2 d7c7 d2c2 c7d8 c2c5 d8e7,Mate
rn1qk2r/pb1pbppp/1p2pn2/2p3B1/4P3/2NP1N2/PPP1BPPP/R2Q1RK1 b kq -,e8h8 e4e5 f6e8 g5e7 d8e7 d3d4 d7d6 d4c5 b6c5 c3b5,-66
8/8/8/2N2k2/3K4/3Q4/8/8 b - -,e8h8 e4e5 f6e8 g5e7 d8e7 d3d4 d7d6 d4c5 b6c5 c3b5,Mate
rnb1k1nr/ppp2ppp/4p3/2b5/4PB2/5N2/PPP2PPP/RN1K1B1R b kq -,g8f6 f1d3 f6g4 d1e2 g4f2 h1c1 c7c6 b1d2 f2d3 c2d3,-99
rnbqk2r/ppp2ppp/1n2p3/8/1b1PP3/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,b8c6 a3b4 c6b4 f1e2 e8h8 e1h1 a7a5 c1f4 c8d7 d1b3,511
8/8/k7/8/1K6/8/8/3Q4 b - -,b8c6 a3b4 c6b4 f1e2 e8h8 e1h1 a7a5 c1f4 c8d7 d1b3,Mate
8/k7/8/8/1K6/8/8/2Q5 b - -,b8c6 a3b4 c6b4 f1e2 e8h8 e1h1 a7a5 c1f4 c8d7 d1b3,Mate
rnb1kb1r/ppp2ppp/5n2/3qN3/2BPp3/8/PPP2PPP/RNBQK2R b KQkq -,d5c4 e5c4 c8e6 d1e2 b8c6 c2c3 e8a8 b1a3 c8b8 e1h1,838
rnbqkbnr/p4ppp/1pp1p3/3p4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,c8b7 e2e4 g8f6 e4e5 f6d7 c2c4 b6b5 b1c3 b5b4 c4d5,98
rnbqkb1r/pppppp2/7p/6p1/3Pn3/4P1B1/PPP2PPP/RN1QKBNR b KQkq -,b8c6 g1e2 d7d5 b1c3 e4g3 e2g3 e7e6 d1f3 c8d7 h2h4,77
rnbqkb1r/ppp2ppp/4pn2/8/2PP1B2/2N5/PP3PPP/R2QKBNR b KQkq -,b8d7 g1f3 f8d6 f4g3 d6g3 h2g3 h7h6 d1c2 e8h8 e1a1,96
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P1P3/3P2P1/PP3PBP/RNBQK1NR b KQkq -,g7g6 g1e2 f8g7 e1h1 h7h5 h2h3 f6h7 g1h2 h5h4 g3g4,59
8/8/8/1k6/3K4/8/4Q3/8 b - -,g7g6 g1e2 f8g7 e1h1 h7h5 h2h3 f6h7 g1h2 h5h4 g3g4,Mate
r1bqkb1r/pppp1ppp/2n2n2/8/3pP3/5N2/PPP1NPPP/R1BQKB1R b KQkq -,f6e4 f3d4 f8c5 c1e3 e8h8 d1d3 f8e8 d4c6 b7c6 e3c5,-284
r1bqkb1r/pppp1ppp/8/8/3Nn3/8/PPP2PPP/R1BQKB1R b KQkq -,f8b4 c2c3 e4c3 b2c3 b4c3 c1d2 c3d4 a1c1 e8h8 f1e2,-394
r1bqkb1r/pppp1ppp/2n5/8/3Nn3/5N2/PPP2PPP/R1BQKB1R b KQkq -,f8b4 c2c3 e4c3 b2c3 b4c3 c1d2 c3d4 f3d4 c6d4 f1d3,-357
rnbq1rk1/pppp2pp/4pn2/5p2/2PP4/P1P2N2/2Q1PPPP/R1B1KB1R b KQ -,b7b6 a3a4 c8b7 e2e3 c7c5 f1e2 b8c6 f3d2 d8e8 e1h1,-66
8/5k2/3K4/8/3Q4/8/8/8 b - -,c7c5 c1f4 d7d6 g2g3 f6h5 f1g2 h5f4 g3f4 b8d7 e1h1,Mate
r1bqk1nr/pppp1ppp/1bn5/8/2BNP3/2P5/PP3PPP/RNBQK2R b KQkq -,g8e7 e1h1 e8h8 c1g5 g8h8 d4c6 b7c6 a2a4 f7f6 g5f4,25
r1bk1bnr/pppp1Bpp/2N5/6q1/3nP3/8/PPPP1PPP/RNBQK2R b KQ -,d7c6 e1f1 c8g4 d2d3 g4e2 d1e2 g5c1 e2e1 c1e1 f1e1,-715
r1bq1rk1/ppp1ppbp/2np1np1/6B1/2PP4/2N2N2/PP1QPPPP/2KR1B1R b - -,c6b4 a2a3 b4c6 e2e4 a7a6 h2h3 b7b5 e4e5 f6e8 c3d5,51
rnbqk2r/1p2bppp/p2p1n2/2pPp3/2P1P3/2NB3P/PP3PP1/R1BQK1NR b KQkq -,e8h8 g1f3 b8d7 e1h1 f6h5 f1e1 h5f4 d3f1 h7h6 b2b3,151
r1b1kbnr/1ppqpppp/p1n5/8/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g7g6 e1h1 f8g7 f1e1 g8f6 d2d4 e8h8 d4d5 c6a5 c4f1,82
rnbqk2r/ppp2ppp/3b1n2/3P4/2BP1p2/2N5/PPP3PP/R1BQK1NR b KQkq -,e8h8 g1e2 f6g4 e2f4 f8e8 c4e2 d8h4 g2g3 h4h6 d1d3,-125
rnbq1rk1/pppp1ppp/8/3Pp3/1b6/P4N2/1PPP1PPP/R1BQKB1R b KQ -,b4e7 f3e5 d7d6 e5f3 c8f5 d2d3 e7f6 f1e2 a7a5 e1h1,120
4k3/6p1/2K5/4N1N1/8/8/8/8 b - -,b4e7 f3e5 d7d6 e5f3 c8f5 d2d3 e7f6 f1e2 a7a5 e1h1,Mate
rn1qkb1r/p1pbpppp/5n2/8/2QPP3/2N5/1P3PPP/R1B1KBNR b KQkq -,e7e5 d4e5 d7e6 c4a4 f6d7 g1f3 c7c6 f3g5 f8c5 f2f4,293
r1bqk2r/pppn1pbp/3p1np1/4p3/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 b kq -,d8e7 d4e5 d7e5 f1e1 c8d7 f3d4 h7h6 c1e3 e8h8 d1d2,67
rnbqk2r/ppppp1bp/5np1/5p2/3P1P2/2PBP3/PP4PP/RNBQK1NR b KQkq -,b7b6 b1d2 c7c5 g1f3 c5d4 c3d4 c8b7 d2c4 b6b5 c4d2,-30
rnbqkb1r/ppp3pp/5n2/3ppp2/6P1/2PP3P/PP1NPP2/R1BQKBNR b KQkq -,f5g4 h3g4 c8g4 f2f3 g4e6 f1h3 e6h3 g1h3 b8d7 e2e4,-194
rnbqkb1r/pp2pppp/5n2/2pp4/3P4/1PP5/PB2PPPP/RN1QKBNR b KQkq -,c5d4 c3d4 c8f5 e2e3 e7e6 f1d3 f5d3 d1d3 f8d6 g1f3,-60
r1b1kbnr/pp1ppppp/8/n7/4P3/5N2/PPP2PPP/RNB1KB1R b KQkq -,g7g6 b1c3 f8h6 c3d5 h6c1 a1c1 e8f8 b2b4 a5c6 b4b5,109
rnbqk1nr/ppp2pbp/3p2p1/8/2B1PB2/2NP4/PPP3PP/R2QK1NR b KQkq -,a7a6 d1d2 c8e6 c4b3 g8f6 g1f3 e8h8 e1h1 b8d7 a1e1,103
rnbq1rk1/ppp2pbp/3p1npB/4p3/2B1P3/2NP4/PPPQ1PPP/R3K1NR b KQ -,c7c6 h2h3 a7a5 a2a3 d6d5 c4a2 c8e6 g1f3 b8d7 e1h1,-42
rnbqk1nr/pppp1ppp/8/b3P3/4P3/2P5/PP3PPP/RNBQKBNR b KQkq -,g8e7 g1f3 e8h8 b1a3 d7d5 e5d6 c7d6 f1c4 b8c6 e1h1,311
r1bqk1nr/pppp1ppp/2n5/b3P3/4PB2/2P5/PP3PPP/RN1QKBNR b KQkq -,a5b6 b1d2 d8e7 a2a4 d7d6 e5d6 c7d6 d2c4 e7e4 d1e2,176
r1bqkb1r/pp1ppppp/2n2n2/1Bp5/4P3/2NP4/PPP2PPP/R1BQK1NR b KQkq -,d8c7 g1f3 d7d6 e1h1 h7h6 c3d5 f6d5 e4d5 a7a6 b5a4,57
r2qkbnr/ppp2ppp/2n5/8/2BP2b1/5N2/PP2QPPP/RNB1K2R b KQkq -,c6e7 f3e5 g4e6 b1c3 g8f6 c4e6 f7e6 c1g5 e7c6 e1a1,493
rnbqk2r/pp2ppbp/2pp1np1/6B1/P2PP3/2N2N2/1PP2PPP/R2QKB1R b KQkq -,h7h6 g5e3 e8h8 h2h3 d6d5 f1d3 f6e4 c3e4 d5e4 d3e4,71
r1bqkb1r/ppp2ppp/2np1n2/4P1B1/8/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,c8e6 e5f6 g7f6 g5h4 f8e7 d1d2 d8d7 e1a1 f6f5 g2g3,570
8/kB6/2K5/3N4/8/8/8/8 b - -,c8e6 e5f6 g7f6 g5h4 f8e7 d1d2 d8d7 e1a1 f6f5 g2g3,Mate
rnbqkb1r/ppp1pp1p/6p1/8/2B5/2P2N2/PPP2PPP/R1BQK2R b KQkq -,c8e6 d1d8 e8d8 c4e6 f7e6 f3g5 d8c8 g5e6 c8d7 e6g5,231
2r5/kp1r1pp1/pR2pnp1/2P5/3Pq3/1Q6/4N1PP/1R4K1 b - -,g6g5 e2c3 e4b1 b3b1 g5g4 c3a4 f6d5 c5c6 c8c6 b6c6,607
r1bqkb1r/1pp2ppp/p1n1pn2/3p4/2PP4/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,g7g6 f1d3 f8g7 e1h1 e8h8 a1c1 d5c4 d3c4 b7b6 a2a3,64
rnbqk2r/ppp1ppbp/3p1np1/8/8/2P1P1P1/PP1PNPBP/RNBQK2R b KQkq -,d6d5 d2d4 b8c6 e1h1 e8h8 b2b3 e7e5 c1b2 e5e4 c3c4,-47
rnbq1rk1/ppp1ppbp/3p1np1/8/3P4/2P1P1P1/PP2NPBP/RNBQK2R b KQ -,f8e8 e1h1 e7e5 b2b4 e5e4 c3c4 c7c6 a2a4 c8e6 b1d2,-56
rnb1kbnr/pp1q1ppp/2p5/1B2N3/8/2N5/PPPP1PPP/R1BQK2R b KQkq -,d7e6 e1h1 c6b5 f1e1 f8e7 d2d4 e8f8 d4d5 e6f5 c3b5,209
r1bqk2r/pp1p1ppp/2n1pn2/8/1b2P3/2NBQ3/PPPB1PPP/R3K1NR b KQkq -,e6e5 g1e2 d7d6 e1a1 e8h8 c1b1 b4c5 e3g3 c8e6 f2f4,69
rn1qkb1r/ppp2ppp/4pn2/3p1b2/5P2/1PN1P3/PBPP2PP/R2QKBNR b KQkq -,d5d4 e3d4 d8d4 g1e2 d4d7 d2d3 b8c6 d1d2 e8a8 h2h3,-83
rnbq1rk1/ppppnpbp/4p1p1/8/2BPPB2/5N2/PPP2PPP/RN1Q1RK1 b - -,b7b6 f1e1 d7d5 e4d5 e6d5 c4b3 h7h6 c2c3 c8e6,63
rnbqkb1r/p3pppp/1p3n2/2pp4/3P1P2/2P1PN2/PP4PP/RNBQKB1R b KQkq -,e7e6 f1d3 c8b7 e1h1 f8e7 b2b3 f6e4 b1d2 b8d7 c1b2,-42
r2qkbnr/ppp2ppp/2np4/3Pp3/2P3b1/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,c6d4 f3d4 e5d4 d1d4 g8f6 e2e4 f8e7 c1e3 e8h8 f2f3,347
rnb1kbnr/ppp1pppp/6q1/8/2P5/5N2/PP1PQPPP/RNB1KB1R b KQkq -,c8g4 e2e5 g4f3 g2f3 c7c5 e5c5 b8c6 d2d3 e7e6 c5b5,-60
rnbqkbnr/pp3ppp/8/2p5/2BP4/5N2/PP3PPP/RNBQK2R b KQkq -,g8f6 f3g5 d8e7 e1f1 c8g4 f2f3 g4h5 g2g4 h7h6 f1g2,281
8/6kN/8/4KB2/8/8/8/8 b - -,g7h6 h7f6 h6g7 e5e6 g7h6 f6g4 h6g7 f5b1 g7h8 e6f6,20000
rn2k1nr/pp3ppp/2p1p3/q2P1b2/1b1P1B2/1QN1P3/PP3PPP/R3KBNR b KQkq -,g8f6 d5e6 f5e6 f1c4 f6d5 g1e2 b4c3 b2c3 b7b5 c4d5,256
rn1qkbnr/ppp1pp2/7p/3pBbp1/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,f8g7 e5g7 h8h7 g7e5 f7f6 e5g3 e7e6 c2c4 b8c6 b1c3,589
8/8/3KB3/8/3k2N1/8/8/8 b - -,d4e4 g4e5 e4f4 e5f7 f4e4 d6c5 e4d3 c5d5 d3c2 d5d4,7367
rn1qkbnr/ppp1p3/5p1p/3p1bp1/3P4/4PNB1/PPP2PPP/RN1QKB1R b KQkq -,e7e6 h2h4 g5g4 f3d2 f8d6 g3d6 d8d6 f1e2 h6h5 c2c4,95
8/8/2NKB3/8/3k4/8/8/8 b - -,d4e4 c6b8 e4e3 d6e5 e3d2 e5e4 d2c1 b8d7 c1c2 d7c5,306
r2qkbnr/1p1npppp/p2p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,b7b5 d2d4 e7e6 d4d5 e6d5 e4d5 g8f6 f1e1 f8e7 a2a4,106
r1bqk2r/pppn1ppp/3p1n2/4p3/2B1P3/2P2N2/PPP2PPP/R1BQR1K1 b kq -,d7c5 b2b4 c5e6 f3h4 e8h8 a2a4 a7a5 h4f5 g7g6 f5g3,32
6k1/3R4/6K1/8/8/8/8/6b1 b - -,g8f8 g6f6 g1b6 d7f7 f8e8 f6e6 e8d8 f7d7 d8c8 e6d6,Mate
8/8/1k6/3B4/3KN3/8/8/8 b - -,b6c7 d4c5 c7d7 e4g5 d7e7 g5h7 e7d7 d5a2 d7c7 a2b3,7807
r1bqkbnr/pp2pppp/2n5/3p4/Q2P1B2/8/PP2PPPP/RN2KBNR b KQkq -,d8b6 b1c3 b6b2 a1c1 e7e6 g1f3 g8f6 f4d2 f6e4 c1b1,-93
r1bqkb1r/pppppppp/2n2n2/8/5P2/3PP3/PPP3PP/RNBQKBNR b KQkq -,d7d5 g1f3 c8f5 f1e2 e7e6 e1h1 f8d6 b1c3 a7a6 f3h4,-40
