6k1/5p2/4p1p1/3p1n2/1r1P4/3R2PP/4NK2/8 b - -,g6g5 g3g4 f5d6 e2g3 g8g7 f2f1 b4a4 f1g2 g7g6 g2f1,-393
rnbq1rk1/ppp1ppbp/3p1np1/3P4/2P1P3/3B1P2/PP4PP/RNBQK1NR b KQ -,c7c6 g1e2 d8b6 b1c3 b8d7 c3a4 b6a6 e2c3 d7e5 d5c6,-69
rnbqkbnr/ppp3pp/5p2/3Pp3/1P6/8/PBPP1PPP/RN1QKBNR b KQkq -,g8h6 c2c4 c7c6 a2a3 a7a5 b4b5 c6d5 d2d4 e5d4 g1f3,80
8/5pk1/4p3/3p2p1/3Pn1P1/4R2P/r7/5KN1 b - -,g7f6 e3d3 f6g7 d3e3 g7f8 e3d3 a2a1 f1g2 a1a4 g1f3,-464
8/8/4ppk1/3p2p1/3Pn1P1/4R2P/r7/5KN1 b - -,g6f7 e3d3 a2a1 f1g2 a1a4 g2f1 f7g7 g1f3 a4a1 f1e2,-466
r1b1kb1r/ppp2ppp/2np1q2/4p3/3PP3/5N2/PPP2PPP/R1BQKB1R b KQkq -,c6d4 f3d4 e5d4 f1d3 f8e7 e1h1 c8d7 f2f4 c7c5 c1d2,-77
8/5k2/4pp2/3p2p1/3Pn1P1/3R3P/r7/5KN1 b - -,a2f2 f1e1 f2a2 e1f1 a2a1 f1g2 a1a4 g2f1 f7g7 g1f3,-491
8/4k3/4pp2/3p2p1/3Pn1P1/4R2P/r7/5KN1 b - -,e7f7 e3d3 a2a4 g1f3 a4a1 f1e2 a1a2 e2e1 e4f2 d3d2,-456
rnbqkbnr/pp4pp/5p2/2p1p3/3pP3/3P1NP1/PPP1NP1P/R1BQKB1R b KQkq -,f8d6 f1g2 g8e7 e1h1 e8h8 h2h3 c8e6 f3h4 b8c6 g3g4,-91
8/8/3kpp2/3p2p1/3Pn1P1/3R3P/5r2/4K1N1 b - -,f2b2 e1f1 b2f2 f1e1 f2a2 e1f1 d6e7 d3e3 e7f7 e3d3,-481
8/8/3kpp2/3p2p1/3Pn1P1/3R3P/6r1/5KN1 b - -,g2a2 d3e3 d6e7 e3d3 a2a1 f1g2 a1a4 g2f1 e7f7 f1g2,-487
rn1qkbnr/pbp2ppp/1p1pp3/8/2BPPB2/2N5/PPP2PPP/R2QK1NR b KQkq -,g8e7 g1f3 b8d7 h2h4 a7a6 a2a4 g7g6 d4d5 e6d5 c3d5,112
8/8/3k1p2/3pp1p1/3Pn1P1/3R3P/r7/5KN1 b - -,e5d4 d3d4 d6c5 d4d1 d5d4 d1c1 c5d5 g1e2 d4d3 c1d1,-623
8/8/5p2/2kp2p1/4n1P1/7P/r7/3R1KN1 b - -,d5d4 d1c1 c5d5 g1e2 d4d3 c1d1 d5c4 d1c1 c4b4 e2d4,-786
rnbqk2r/pp2p1bp/2p2ppn/3pP3/3P1B2/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,h6g4 h2h3 g6g5 h3g4 g5f4 e5f6 g7f6 g4g5 f6g7 d2f4,413
r1bqkb1r/pp3ppp/2np1N2/1Bp1p3/4P3/5N2/PPPP1PPP/R1BQK2R b KQkq -,e8e7 f6d5 e7e8 c2c3 f8e7 e1h1 e8f8 d2d4 h7h6 c1e3,643
rnbqk2r/pp2p1bp/2p2ppn/3pP3/3P1B2/2N2N1P/PPP2PP1/R2QKB1R b KQkq -,b7b5 f1d3 a7a5 e1h1 e8h8 f1e1 h6f7 e5e6 f7d6 h3h4,150
r1bqk2r/pppp1ppp/5n2/8/1bPn4/2N2N2/PP1B1PPP/R2QKB1R b KQkq -,d8e7 f1e2 d4f3 g2f3 e8h8 a2a3 b4c3 d2c3 d7d6 d1d2,-216
rnbqkb1r/pp2pppp/5P2/8/8/2P5/PP3PPP/R1BQKBNR b KQkq -,d8c7 f6g7 f8g7 g1f3 b8c6 f1e2 e8h8 d1a4 e7e5 c1e3,210
r1bq1rk1/pppp1pp1/2n2B1p/2b1p3/4P2P/2NP1N2/PPP2PP1/R2QKB1R b KQ -,g7f6 d1d2 g8g7 e1a1 f8h8 h1g1 d7d6 g2g4 c6d4 f3d4,149
r1b1k1nr/pppp1ppp/2n5/2b1p3/2B1P2q/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,h4g4 d2d4 d7d5 c3d5 c5d6 d5e3 g4h5 d4e5 c6e5 f3e5,371
rnbqkb1r/pp3ppp/4pn2/2p1P3/8/2P2N2/P2PNPPP/R1BQKB1R b KQkq -,f8e7 e5f6 e7f6 e2g3 e8h8 f1b5 b7b6 e1h1 c8b7 f1e1,625
rnb1k2r/ppp1Pppp/3q4/6B1/8/2N2N2/PPP1PKPP/R4B1R b kq -,f7f6 a1d1 d6e7 c3d5 e7f7 g5f4 b8a6 e2e4 e8h8 f1a6,-514
r1bqkb1r/1p2pppp/p1np1n2/2p5/4PP2/2NPBN2/PPP3PP/R2QKB1R b KQkq -,e7e6 d1e2 f8e7 g2g3 e8h8 f1g2 b7b5 e1h1 f6g4 e3d2,-16
rnbqk1nr/ppp2pbp/3p2p1/3Pp1B1/2B1P3/5N2/PPP2PPP/RN1QK2R b KQkq -,g7f6 g5e3 f6g7 b1c3 b8d7 a2a4 g8e7 d1d2 e8h8 a4a5,99
r1bqkb1r/1p3ppp/p1nppn2/2p5/4PP2/2NPBN2/PPP1B1PP/R2QK2R b KQkq -,f8e7 e1h1 d6d5 e4e5 f6g4 e3d2 g4h6 d1e1 e8h8 c3d1,-52
r1bqk2r/ppp2ppp/2p2n2/4p3/1b2P3/3P1N2/PPPB1PPP/RN1QK2R b KQkq -,b4d2 d1d2 f6d7 b1c3 d8e7 d3d4 f7f6 e1a1 e8h8 h1e1,47
r1bq1rk1/ppppbppp/2n2n2/3Np3/4P3/3PBN2/PPP2PPP/R2QKB1R b KQ -,f6d5 e4d5 c6b4 c2c4 d7d6 f1e2 f7f5 a2a3 b4a6 e1h1,-44
8/6p1/6N1/2k1K3/4N3/8/8/8 b - -,c5c4 e4g5 c4d3 g6f4 d3e3 f4h3 e3d3 e5d5 d3e3 d5c4,77
rnb1kb1r/p2ppppp/5n2/qppP4/2P5/8/PPQBPPPP/RN2KBNR b KQkq -,a5a6 e2e4 b5b4 e4e5 f6g4 f2f4 g4h6 d2e3 d7d6 g1f3,188
rnbqk2r/pppp2pp/5n2/2b1p3/2B1P3/5N2/PPP2PPP/RNBQ1RK1 b kq -,b7b5 c4b5 e8h8 f3e5 c7c6 b5c4 d7d5 e4d5 c6d5 c4b3,318
r1bqk2r/ppp1nppp/2nB4/8/8/4PN2/PPP2PPP/RN1QKB1R b KQkq -,e7g6 d6a3 d8d1 e1d1 c8g4 d1c1 e8a8 f3d2 g4e6 h1g1,761
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5P1P/PPP3P1/RNBQKBNR b KQkq -,d8h4 e1e2 c6c5 c2c3 b8c6 g2g4 f5g6 c1e3 h7h5 b1d2,-183
rnbqkbnr/p1p1pppp/8/1p6/2BP4/4P3/PP3PPP/RNBQK1NR b KQkq -,b5c4 b1d2 g8f6 g1f3 e7e6 d2c4 f8e7 e1h1 e8h8 c1d2,-432
r1bqk1nr/1p1pbppp/p1n1p3/8/2BNP3/2N1B3/PPP2PPP/R2QK2R b KQkq -,c6a5 c4d3 b7b5 e4e5 c8b7 d1g4 g7g6 e1h1 d8c7 g4g3,65
2k3r1/1pp5/p1p5/4R2p/7n/2NP3P/PPP4K/6R1 b - -,c6a5 c4d3 b7b5 e4e5 c8b7 d1g4 g7g6 e1h1 d8c7 g4g3,Mate
8/8/2k5/8/1K6/8/2R5/8 b - -,c6d5 c2c4 d5e5 b4c3 e5f5 c4d4 f5e5 c3d3 e5f5 d3e3,4181
rnbqkb1r/pppppp1p/6p1/4P3/2B1n3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,e7e6 f3e4 f8g7 g1f3 d7d5 e5d6 c7d6 c4b5 b8d7 b1c3,428
r1bqk2r/ppp1nppp/2nP4/2b5/5B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,g7g5 f3g5 c5d6 f4d6 c7d6 g5e4 d6d5 e4f6 e8f8 d1d2,586
r1bqk2r/ppp1nppp/2nB4/8/8/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,c8f5 d6g3 d8d1 a1d1 f5c2 d1d2 c2g6 g3c7 a8c8 c7d6,681
