r1bqkbnr/pp3ppp/2n1p3/1B1p4/3P4/2N1P3/PP3PPP/R1BQK1NR b KQkq -,g8f6 b5d3 e6e5 d4e5 c6e5 d3c2 f8d6 h2h3 e8h8 g1e2,-17
r2qkb1r/ppp1nppp/2np4/4p3/2B1P1b1/2N2N1P/PPPP1PP1/R1BQ1RK1 b kq -,b7b5 c4f7 e8f7 h3g4 a8b8 f3g5 f7g8 f2f4 h7h6 g5e6,302
r2qkbnr/pp1b1ppp/2n1p3/1B1p4/3P4/2N1PN2/PP3PPP/R1BQK2R b KQkq -,a7a6 b5e2 g8f6 e1h1 f8d6 e2d3 e8h8 c1d2 a8c8 h2h3,-26
r1bqkbnr/ppp2pp1/2np3p/4p3/2B1P3/1P3N2/P1PP1PPP/RNBQ1RK1 b kq -,a7a6 c1b2 c8g4 h2h3 g4h5 b1c3 g8f6 f1e1 f8e7 g2g4,53
r1bqkb1r/pp2ppp1/2n2n2/2pp3p/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 b kq -,c8f5 b1c3 e7e6 f3e5 c5c4 d3c4 f8d6 c1e3 h5h4 c4d5,33
rnbqkbnr/pppp1ppp/8/3Pp3/4P3/2P5/PP3PPP/RNBQKBNR b KQkq -,a7a5 g1f3 d7d6 c3c4 b8d7 b1c3 g7g6 g2g4 f8g7 c1e3,93
r2qkbnr/pp1bpppp/2np4/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g8f6 f1e2 e7e5 e1h1 f8e7 d4d5 c6b8 c1e3 b8a6 c4c5,127
r1bqkb1r/ppp2ppp/2n5/1B1nP3/8/4P3/PP3PPP/RNBQK1NR b KQkq -,f8e7 g1f3 c8g4 e1h1 e8h8 b5c6 b7c6 d1e2 f7f5 h2h3,114
rnbq1rk1/pp2ppbp/2p2np1/3p4/3P1B2/2N1PP2/PPPQ2PP/2KR1BNR b - -,h7h5 e3e4 d5e4 f3e4 b7b5 e4e5 f6d5 g1e2 d5f4 e2f4,49
8/8/8/3k4/5K2/1B3N2/8/8 b - -,d5c5 b3f7 c5b4 f4e3 b4c3 f3e1 c3b2 e3d2 b2b1 d2c3,7196
r1bqkb1r/p1p2ppp/2N2n2/8/3pP3/2N5/PPPP1PPP/R1BQK2R b KQkq -,a8b8 c6d8 d4c3 d2c3 c8g4 d1d4 b8d8 d4e5 f8e7 f2f3,841
8/5B2/8/4N3/8/2k1K3/8/8 b - -,c3b2 e3d3 b2b1 d3c3 b1a1 f7b3 a1b1 b3e6 b1a1 e6f7,7390
r1bqk2r/pppp1ppp/1bn2n2/4p3/1P2P3/P1NP1N2/2PB1PPP/R2QKB1R b KQkq -,f6g4 d3d4 e5d4 c3d5 e8h8 f1d3 d7d6 a3a4 c6e5 a4a5,-22
rnbqk2r/ppp1ppbp/5np1/3p4/3P4/N1P1PN2/PP3PPP/R1BQKB1R b KQkq -,e8h8 f1e2 c7c5 c3c4 c5d4 e3d4 b8c6 e1h1 d5c4 a3c4,-97
rnbq1rk1/pp3ppp/4pn2/3p4/1bPP1B2/P1N2N2/1P3PPP/R2QKB1R b KQ -,f6h5 a3b4 h5f4 d1d2 f4g6 h2h4 h7h5 b4b5 d5c4 f1c4,136
