8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
r1b1kbnr/1p3ppp/p1n1p3/2pq4/3P4/2P1BN2/PP2BPPP/RN1QK2R b KQkq -,h7h5 e1h1 c5d4 c3d4 g8f6 b1c3 d5d6 d1d2 f6d5 c3d5,122
rnb1k1nr/pppp1p1p/5qp1/2b1p3/2B1P1Q1/5N2/PPPP1PPP/RNB1K2R b KQkq -,a7a6 d2d3 b8c6 g4g3 d7d6 b1c3 f6g7 c1e3 c5e3 f2e3,59
rn1qkb1r/pbpp2pp/1p2pn2/5p2/2P5/2N1PNP1/PP1P1PBP/R1BQK2R b KQkq -,a7a5 e1h1 f8e7 b2b3 e8h8 d2d3 b8a6 a2a3 d8e8 d3d4,75
rn1q1rk1/ppp1n1pp/3b1p2/3p1b2/3P4/3B1NB1/PPP2PPP/RN1Q1RK1 b - -,d8d7 c2c4 f5d3 d1d3 b8c6 b1c3 c6b4 d3e2 c7c6 a2a3,36
r1bqkb1r/pp1n1ppp/2p1pn2/6B1/2BP4/4PN2/PP3PPP/RN1QK2R b KQkq -,b7b5 c4d3 a7a6 e1h1 c8b7 a2a4 h7h6 g5f6 d7f6 b1d2,60
2Q5/k1p5/p2b4/N2P4/1P5p/K6P/2q3P1/8 b - -,c2c3 a3a2 c3d2 a2b1 d2b4 b1c2 b4e4 c2b3 e4d3 b3b2,-775
rn1qkb1r/pp3ppp/4bn2/1Bpp4/8/5N2/PPPP1PPP/RNBQR1K1 b kq -,f6d7 d2d4 f8e7 c2c4 e8h8 c4d5 e6d5 b1c3 d5f3 d1f3,122
r2qkbnr/1pp2ppp/p1np4/8/B2PP1b1/5N2/PP3PPP/RNBQK2R b KQkq -,g4f3 d1f3 b7b5 a4b3 d8f6 c1e3 f6f3 g2f3 g8e7 b1d2,123
rnbqk1nr/pp2ppb1/2pp3p/6p1/2BPP3/2N2N1P/PPP2PP1/R1BQK2R b KQkq -,a7a5 d1e2 g8f6 a2a4 d6d5 e4d5 c6d5 c4b3 b8c6 c1e3,162
rnbqkb1r/pppp1ppp/5n2/4p3/P5PP/8/1PPPPP2/RNBQKBNR b KQkq -,f6g4 d2d4 f8e7 f1h3 h7h5 h3g4 h5g4 d4e5 b8c6 h4h5,-260
