rnbqk1nr/ppp2pb1/3p3p/6p1/3PPp2/2NQ1N1P/PPP3P1/R1B1KB1R b KQkq -,g8e7 c1d2 b8c6 e1a1 e8h8 g2g3 f4g3 f3g5 h6g5 d2g5,-126
r2qk1nr/ppp2ppp/2n1p3/3p4/1bPP2b1/P3PN2/1P1N1PPP/R1BQKB1R b KQkq -,b4d6 d1b3 c6a5 b3a4 c7c6 c4d5 e6d5 a4c2 g8f6 f3e5,122
r1bqk1nr/pppp1ppp/2n5/8/3pP3/8/PPP1NPPP/R1BQKB1R b KQkq -,d8e7 f2f3 f7f5 e4f5 d7d5 c1f4 c8f5 d1d2 e8a8 e1a1,-56
rn1qk2r/pbp2ppp/1p1ppn2/8/1bPP4/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,d8d7 c3b1 c7c5 a2a3 b4a5 b2b4 c5b4 c1d2 b8c6 d1b3,112
5k2/8/4K3/5N2/4B3/8/8/8 b - -,d8d7 c3b1 c7c5 a2a3 b4a5 b2b4 c5b4 c1d2 b8c6 d1b3,Mate
rnbqkbnr/pppp1ppp/4p3/8/3PP3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,g8e7 f1e1 d7d6 e4e5 d6d5 c3e2 c7c5 d4c5 b8d7 b2b4,274
rnbqkbnr/ppp3pp/4p3/5p2/2PPp3/2N5/PP2BPPP/R1BQK1NR b KQkq -,b8c6 c1e3 g8f6 g1h3 f8e7 d4d5 e6d5 c4d5 c6e5 d1b3,-120
rnbqkb1r/ppp2ppp/4pn2/8/8/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq -,b8c6 f3d1 e6e5 f1b5 f8d6 b5c6 b7c6 g1e2 e8h8 e1h1,-97
8/8/8/8/8/2K5/8/kR6 b - -,a1b1 c3d3 b1b2 d3e3 b2c3 e3f2 c3c2 f2g3 c2d2 g3g4,Mate
r1bqkb1r/ppp2p2/2n1pn1p/3p2p1/3P4/2P1PNB1/PP1N1PPP/R2QKB1R b KQkq -,c8d7 h2h3 f8d6 f3e5 h6h5 f1d3 h8g8 b2b4 h5h4 g3h2,146
rn1qkbnr/ppp1pppp/4b3/3P3Q/8/8/PPPP1PPP/RNB1KBNR b KQkq -,g8f6 h5d1 e6d5 d2d4 e7e6 c1e3 b8c6 c2c4 f8b4 b1c3,-48
8/4R3/3K4/8/5k2/8/8/8 b - -,d8d5 h5d5 e6d5 b1c3 d5c6 c3b5 b8a6 a2a3 g8f6 d2d4,Mate
8/8/8/6Q1/8/3K2k1/8/8 b - -,d8d5 h5d5 e6d5 b1c3 d5c6 c3b5 b8a6 a2a3 g8f6 d2d4,Mate
5rk1/5p1p/3Q1Np1/pp4q1/7n/1P5P/P4PP1/5RK1 b - -,g8g7 d6f8 g7f8 f6h7 f8e8 h7g5 h4f5 f1e1 e8f8 e1d1,Mate
8/3rkRp1/p1Q1p3/3n2r1/8/3q3P/PP6/K1R5 b - -,e7f7 c6d7 f7f6 d7d8 f6f5 a2a3 d3e2 d8e8 g5g2 e8f7,-502
