r1bqkb1r/ppp2ppp/2n5/3p4/2PQ4/5N2/PP2PPPP/RN2KB1R w KQkq -,d4d2 f8b4 b1c3 d5d4 a2a3 d4c3 d2d8 e8d8 e1a1 d8e7,-156
rn1q1rk1/ppp1ppbp/5np1/3p4/3P4/1P3bP1/PBP1PPBP/RN1Q1RK1 w - -,g2h3 f3g4 h3g4 f6g4 e2e4 g4h6 b1c3 c7c5 d4c5 d5e4,-471
rnbqkbnr/pp2pp2/2p3p1/3p3p/3PPP2/5N2/PPP3PP/RNBQKB1R w KQkq -,b1c3 d5e4 c3e4 c8f5 e4g5 f7f6 g5h3 e7e6 f3h4 g8h6,39
5rk1/pp6/8/2Pp2pp/5B1q/5K2/PP2P2r/R1Q1R2B w - -,f3e3 h2h3 e3d2 f8f4 h1d5 g8h8 d2c2 f4d4 e2e4 h3h2,144
8/8/3k4/5R2/2Q5/4K3/8/8 w - -,f3e3 h2h3 e3d2 f8f4 h1d5 g8h8 d2c2 f4d4 e2e4 h3h2,Mate
rn1qkb1r/pppb1ppp/4pn2/1B1p4/3P4/P3P3/1PP2PPP/RNBQK1NR w KQkq -,b5e2 c7c5 d4c5 f8c5 g1f3 a7a5 b2b3 d8e7 c1b2 e8h8,-18
r2qkb1r/pppn1ppp/8/3p1p2/3PnB2/4PN2/PPPN1PPP/R2QK2R w KQkq -,d2e4 f5e4 f3d2 f8d6 f4d6 c7d6 a2a4 d7f6 d2b1 a8c8,42
r1b1kbnr/pp3ppp/2n1p3/3pP3/Pq1P4/5N2/1P3PPP/RNBQKB1R w KQkq -,c1d2 b4b2 b1c3 b2b6 a1b1 b6d8 f1d3 c6b4 d3b5 c8d7,96
KQ6/8/8/8/8/8/6p1/5k2 w - -,c1d2 b4b2 b1c3 b2b6 a1b1 b6d8 f1d3 c6b4 d3b5 c8d7,Mate
rnbqkb1r/p1pppppp/5n2/1p6/3P4/5P2/PPP1P1PP/RNBQKBNR w KQkq -,e2e4 a7a6 f1d3 e7e6 c2c3 c7c5 g1e2 b8c6 c1e3 d7d6,37
1q5k/2p2Q1p/p2p4/7P/1n1PP1P1/2p5/8/1rKR2R1 w - -,e2e4 a7a6 f1d3 e7e6 c2c3 c7c5 g1e2 b8c6 c1e3 d7d6,Mate
