5k2/1p3p2/p1b1nN2/6p1/8/6BP/2r1qPPK/Q2R4 w - -,g3d6 f8g7 f6g4 g7g8 d1e1 e2d3 g4f6 g8g7 e1e6 d3c3,559
8/3pk3/8/8/8/3K4/8/8 w - -,d3e2 e7e6 e2d2 e6d6 d2e2 d6c5 e2d3 c5d5 d3e3 d5c4,Mate
k7/P4p2/1K1r2pp/8/5P1P/R5P1/8/8 w - -,b6c5 d6d7 c5c6 d7e7 a3d3 e7e6 c6c5 h6h5 d3d8 a8a7,307
rq2k2r/ppp2p2/2P1pp1b/1B5p/8/2N2N2/PPP3PP/1K1R3R w kq -,c6b7 e8f8 b5c6 b8b7 c6b7 a8b8 b7a6 f8g7 a6c4 h8d8,867
r3kbnr/pp3ppp/2n5/2p1Pb2/8/2P5/PP1N1PPP/R1BK1BNR w kq -,f2f4 e8a8 g1f3 f7f6 f1b5 f6e5 b5c6 b7c6 f3e5 g8h6,53
5R2/3Q1b2/6kp/1prq1ppN/6P1/7P/5P2/6K1 w - -,f2f4 e8a8 g1f3 f7f6 f1b5 f6e5 b5c6 b7c6 f3e5 g8h6,Mate
6b1/3Q4/6kp/1prq1ppN/6P1/7P/5P2/6K1 w - -,f2f4 e8a8 g1f3 f7f6 f1b5 f6e5 b5c6 b7c6 f3e5 g8h6,Mate
r2qk1nr/ppp2pp1/3b3p/4n3/2B3b1/5N2/PPP2PPP/RNBQK2R w KQkq -,c4d3 d8e7 c1e3 d6b4 b1c3 e8a8 e1h1 g4f3 g2f3 b4c3,-201
8/1k6/2R5/3K4/8/8/8/8 w - -,c4d3 d8e7 c1e3 d6b4 b1c3 e8a8 e1h1 g4f3 g2f3 b4c3,Mate
r1bqk2r/1p1pbppp/p1n2n2/2p1p3/2P1P3/P1N2N2/1P1PBPPP/R1BQK2R w KQkq -,e1h1 a8b8 f1e1 e8h8 a1b1 h7h6 e2f1 f8e8 h2h3 e7f8,1
rnb2rk1/p3ppbp/3p1np1/qppP4/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2f4 b5c4 e3d2 b8d7 f1c4 d7e5 c4e2 c8a6 e1h1 f6d7,-96
r2qkb1r/p4ppp/p1n1pn2/2pp1b2/Q2P1B2/2P1PN2/PP3PPP/RN2K2R w KQkq -,a4c6 f6d7 e1h1 f5d3 f1c1 f8e7 b1d2 e8h8 f4d6 a8c8,8
r2qk1nr/2pbbppp/p1np4/1p2p3/B3P3/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq -,a4b3 c6a5 b3c2 g7g5 d2d4 h7h5 d4e5 g5g4 e5d6 c7d6,53
r1b1k1nr/pppp1ppp/2n3q1/4P3/1b1P1p2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,f1d3 g6g2 h1g1 g2h3 c1f4 d7d6 e5d6 c7d6 d4d5 c6e7,201
r4rk1/pp2bpp1/2p1pn1p/q6P/3PNB2/3Q4/PPP2PP1/1K1R3R w - -,g2g4 a8d8 h1g1 d8d7 f4e5 f6e4 d3e4 a5d8 a2a3 c6c5,37
r2qkb1r/ppp2ppp/2n1pnb1/3p4/3P1BP1/2P1PP1P/PP6/RN1QKBNR w KQkq -,h3h4 h7h5 g4g5 f6d7 g1e2 e6e5 f4g3 f8d6 f1h3 d7b6,-63
r2qk1nr/ppp2ppp/2bp4/2b5/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,e3c5 d6c5 f1c4 g8f6 e1h1 e8h8 e4e5 f6d7 d1e2 d7b6,95
8/8/8/8/4B3/4K2N/1k6/8 w - -,e3d4 b2b3 e4d5 b3c2 h3f4 c2b2 d4d3 b2c1 d3c3 c1b1,271
r3kb1r/ppqnpppp/3p1n2/8/3pP3/2P2N2/PPQ2PPP/RNB1K2R w KQkq -,c2e2 c7c6 e1h1 c6e4 e2e4 f6e4 c3d4 a8c8 c1e3 g7g6,-126
4r3/1Q2Npkp/6p1/6R1/8/8/5PPP/6K1 w - -,c2e2 c7c6 e1h1 c6e4 e2e4 f6e4 c3d4 a8c8 c1e3 g7g6,Mate
2kr1b1r/ppp2ppp/2np1n2/5b2/3Pq3/N4N2/PPP1BPPP/R1BQ1RK1 w - -,h2h3 e4e6 f3g5 e6d7 d4d5 c6b4 c2c4 c7c5 c1d2 d8e8,203
8/8/4K1k1/8/8/5BB1/8/8 w - -,f1e1 d6d5 e2b5 e4g4 b5c6 b7c6 d1e2 c8b7 h2h3 g4h5,Mate
1rr4k/p6p/3q2p1/5p2/2pbp3/P1Bn2PP/1P1Q1PB1/1R3RK1 w - -,g3g4 b8b3 d2g5 c8f8 a3a4 d6f6 g5h6 f8b8 b1d1 d4c3,-540
r1bq1rk1/pp3ppp/2nbpn2/3p4/3P4/2NBPN2/PP1B1PPP/R2Q1RK1 w - -,a1c1 c8d7 h2h3 a7a6 f1e1 a8c8 a2a3 c6e7 f3e5 d7e8,21
rnbqk2r/pppnbppp/4p3/4P1B1/8/5N2/PPP2PPP/RN1QKB1R w KQkq -,h2h4 a7a6 d1e2 h7h6 g5f4 b7b5 b1c3 c7c5 e1a1 c8b7,50
rnbqkbnr/1pp2ppp/p7/3p4/8/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,f1g2 f8e7 b2b3 g8f6 e1h1 e8h8 c1b2 f8e8 d1c2 b8c6,11
