3qr1k1/5pbp/2QB1np1/p6r/1pNp4/3P2P1/PPP4P/4RRK1 w - -,d6c7 d8c8 c4d6 e8e1 d6c8 e1f1 g1f1 h7h6 c8e7 g8h7,692
r1bb1r1k/p2n3p/q1p2p1p/7Q/2p5/2B2N2/PPP2PPP/2KR3R w - -,h5h6 f8g8 f3g5 g8g5 h6g5 a6b5 g5h6 h8g8 h1e1 b5g5,830
rb2r1k1/1p1b1ppp/p2q4/3pn3/3Nn3/1QB1PN2/PP2BPPP/2R2RK1 w - -,b3b7 a8a7 b7b3 e5g4 h2h3 g4h2 c3b4 h2f3 d4f3 d6g6,110
r1bb2rk/p2n3p/q1p2p1Q/8/2p5/2B2N2/PPP2PPP/2KR3R w - -,f3g5 g8g5 h6g5 a6b5 g5h6 h8g8 h1e1 b5g5 h6g5 f6g5,614
rn1q1rk1/pp2ppbp/3p1np1/2p2bB1/2PP4/2N1PN1P/PP3PP1/R2QKB1R w KQ -,f1d3 f5d3 d1d3 h7h6 g5f4 c5d4 e3d4 e7e5 d4e5 d6e5,35
r2qkbnr/1p1b1ppp/p3p3/3pP3/5B2/2N3P1/PPP2PBP/R2QK2R w KQkq -,a1b1 g8e7 e1h1 a8c8 h2h4 e7g6 f4e3 f8b4 e3d4 d8c7,-25
r1bq1r1k/ppp3pp/2np4/5p2/1b2PP2/2N3Q1/PPPB2PP/2KR1B1R w - -,a2a3 b4a5 f1d3 f5e4 d3e4 c8e6 h1f1 d8d7 g3h4 e6f5,119
r3kb1r/p1p1qppp/3p1n2/2p2P2/8/2N2Q2/PPP2PPP/R1B1K2R w KQkq -,c1e3 e7d8 f3c6 f6d7 c3b5 a8c8 b5a7 c8b8 a7b5 b8c8,311
r1bq1rk1/1ppn1pbp/n2p2p1/p2Pp3/2P1P1P1/2NB1N1P/PP3P2/R1BQK2R w KQ -,d3c2 a6b4 c2b1 b4a6 c1g5 d8e8 f3d2 d7c5 h3h4 a5a4,35
r1bqk1nr/pppp1ppp/8/4b3/4P3/P1N5/1PP2PPP/R1BQKB1R w KQkq -,d1d3 g8f6 c3b5 c7c6 b5d6 e5d6 d3d6 f6e4 d6e5 d8e7,143
rnbqkb1r/pp3ppp/5n2/2P5/3pN3/5P2/PPP3PP/R1BQKBNR w KQkq -,c1g5 b8c6 f1d3 c8e6 g1e2 f8c5 e4c5 d8a5 d1d2 a5c5,92
