r1b2bk1/1pPn1p2/r7/PQ1P1qp1/1PN1p2p/4P2P/5PPB/R4RK1 w - -,f2f3 a6f6 f3e4 f5e4 f1f6 d7f6 d5d6 f8g7 a1c1 g5g4,183
8/8/8/8/5k2/3K3Q/8/8 w - -,g2g4 h4g3 f2g3 f5h3 d5d6 f8g7 a1c1 h3h5 c1c2 h5g4,Mate
kr3r2/rp6/8/8/8/RQ6/1P6/1K6 w - -,,0
1r3r2/kp6/8/8/8/1Q6/1P6/1K6 w - -,,0
2b2bk1/1pP2p2/r2P1qr1/P2Q2p1/1PN1P2p/7P/3R2PB/6K1 w - -,h2e5 f6e6 b4b5 a6a5 c4a5 e6e8 a5c4 c8d7 c4b6 g5g4,581
8/5pk1/6q1/6K1/6P1/4P3/2N4P/8 w - -,g5f4 g6c2 f4g3 c2e2 g3f4 e2h2 f4e4 h2f2 e4d4 g7f6,-1871
8/8/5K2/8/8/8/2pQ4/1k6 w - -,,0
rnbq1rk1/pp1nbppp/4p3/2ppP3/5PQ1/1P3N2/PBPP2PP/RN2KB1R w KQ -,h2h4 f7f5 g4h5 d8e8 h5e8 f8e8 b1a3 a7a6 c2c3 b7b5,39
r2qkb1r/pp2pppp/2n2n2/2Pp1b2/2P5/4PN2/PP3PPP/RNBQKB1R w KQkq -,a2a3 d5c4 d1d8 a8d8 f1c4 g7g5 b2b4 g5g4 f3h4 f5c2,84
r1bqk2r/pppp1ppp/8/2b1n3/4P3/8/PPP1BPPP/RNBQ1RK1 w kq -,g1h1 d7d6 f2f4 e5d7 b2b4 c5b4 d1d4 a7a5 d4g7 d8f6,77
rnb2rk1/ppq1ppbp/6p1/2p5/3P4/1QP1PN2/P3BPPP/R1B1K2R w KQ -,b3a3 b8d7 e3e4 d7f6 e4e5 f6d5 e1h1 c5d4 c3d4 c7c3,-14
2k5/8/3K4/8/B4R2/8/8/4r3 w - -,b3a3 b8d7 e3e4 d7f6 e4e5 f6d5 e1h1 c5d4 c3d4 c7c3,Mate
6k1/3qb2p/4p1p1/ppp1P2Q/8/2PP4/PP4PP/5RK1 w - -,h5f3 d7e8 d3d4 c5d4 c3d4 g8g7 d4d5 e6d5 f3d5 h7h5,509
r1b1k1nr/ppp2ppp/2np4/2b1p3/4P3/2PP1N2/PP2BPPP/RNB1K2R w KQkq -,b2b4 c5b6 b1d2 a7a6 a2a4 f7f5 d2c4 b6a7 e4f5 c8f5,28
r1bqk1nr/pp1pbppp/2p5/4P3/3Q1B2/2N5/PPP2PPP/R3KB1R w KQkq -,e1a1 d8b6 d4d2 b6a5 d2e3 e7b4 c3e4 a5a2 c2c3 a2a1,299
r2qk2r/pp1n1ppp/2pbpnb1/3p4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 w kq -,b1c3 f6e4 d1c2 e4c3 b2c3 g6d3 c2d3 d7f6 f3d2 e8h8,14
rnb1k1nr/pp3ppp/1q1b4/3p4/2pP4/2P2N2/PPB2PPP/RNBQK2R w KQkq -,e1h1 g8e7 b2b3 c4b3 a2b3 e8h8 c3c4 d6b4 b1a3 b8c6,75
8/6p1/8/3k3p/5PP1/8/7P/6K1 w - -,g1g2 h5g4 g2g3 d5e6 g3g4 e6f6 h2h3 g7g6 h3h4 f6f7,29
rnbqkb1r/p1p2ppp/1p2pn2/8/8/1PNB4/PBP2PPP/R2QK1NR w KQkq -,d1f3 c7c6 e1a1 b8d7 g1h3 f8e7 f3g3 e8h8 c3e4 f6h5,93
rnbqk1nr/p1pp1ppp/1p6/4P3/3P1p1b/2N2N2/PPP1K1PP/R1BQ1B1R w kq -,c1f4 h4e7 e2d2 d7d5 d1e1 h7h5 e1g3 e8f8 a1d1 h5h4,128
6nk/3q2p1/5p1p/4p2P/4P1b1/2QPPNN1/r5P1/2R3K1 w - -,f3h4 h8h7 d3d4 a2a8 d4d5 g8e7 c3b4 a8g8 c1a1 g8d8,143
8/8/7Q/5k2/3K4/8/8/3b4 w - -,f3e1 d7a7 c3c5 a7b8 c5c4 a2a3 g3f5 g4f5 e4f5 b8b2,Mate
rnb1k2r/ppq2pp1/4p2p/2ppP3/3Pn3/2P5/P1P1NPPP/R1BQKB1R w KQkq -,f2f3 e4g5 h2h4 g5h7 h1h3 f7f6 c1f4 c7f7 e5f6 h7f6,80
rnbqk2r/p3ppbp/2pp2p1/1p2P3/3P2n1/2N1BN2/PPPQ1PPP/R3KB1R w KQkq -,e1a1 d6e5 f3e5 g7e5 d4e5 d8d2 c1d2 g4e3 d2e3 c8f5,23
rnbqk2r/ppp2pbp/4p1p1/3pP3/3Pn3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,c3e4 d5e4 f3d2 e8h8 d2e4 b8d7 f2f4 b7b6 h2h4 c8b7,335
rnbqk2r/1p2bppp/p1pp1n2/8/2PNP3/2N5/PP2BPPP/R1BQK2R w KQkq -,c1f4 e8h8 e1h1 b7b5 e4e5 d6e5 f4e5 c6c5 e2f3 c5d4,106
r1bqnrk1/ppp2ppp/3p4/3NP3/3Q4/8/PPP2PPP/2KR1B1R w - -,e5d6 c7d6 a2a3 c8e6 d5f4 a7a5 f1d3 e6d7 f4d5 a8b8,149
r1b1kbnr/pppp1ppp/2n1pq2/8/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,d3d4 d7d5 b1c3 f6d8 e4e5 a7a6 a2a3 f7f6 f1d3 f6e5,96
r1bq1rk1/ppp2ppp/3n4/3N4/3Q4/8/PPP2PPP/2KR1B1R w - -,d5c7 d8c7 d4d6 c7a5 f1c4 c8f5 h1e1 a8e8 e1e7 f5g6,176
r1b2rk1/ppq2ppp/3n4/8/3Q4/8/PPP2PPP/2KR1B1R w - -,d1d3 f8d8 f1e2 c8f5 d3c3 c7e7 d4e3 e7e3 c3e3 a8c8,-382
1R6/8/8/8/8/2k2K2/1p6/8 w - -,,0
r1bq1rk1/1pp1bppp/2n1p3/3n4/p1QP1B2/P4NP1/1P2PPBP/RN3RK1 w - -,f4d2 c8d7 f1c1 c6a5 d2a5 a8a5 e2e4 d5b6 c4c7 d7c6,28
8/8/8/8/8/1pk5/4K3/7R w - -,c4d3 d5f4 g3f4 a8b8 f1c1 c6a5 b1d2 c7c5 d4c5 d8d3,Mate
8/8/8/6rk/5p2/8/8/1R3K2 w - -,,0
8/8/8/8/8/2k5/1p6/3K3R w - -,b1b6 h5g4 f1f2 g5g7 b6b8 g7g6 b8b7 g6c6 b7g7 g4f5,Mate
8/8/8/8/1k6/7R/1p6/3K4 w - -,b1b6 h5g4 f1f2 g5g7 b6b8 g7g6 b8b7 g6c6 b7g7 g4f5,Mate
rnb2rk1/pp2pp1p/6p1/q1PQ4/8/4PN2/PP1bBPPP/R3K2R w KQ -,e1d1 d2c3 b2c3 f8d8 d5d8 a5d8 d1c2 b8a6 e2a6 b7a6,-538
rnb2rk1/pp2pp1p/6p1/2q5/8/4PN2/PP1QBPPP/R3K2R w KQ -,b2b4 c5b6 e1h1 a7a5 b4b5 f8d8 d2b2 c8e6 f1d1 b8d7,26
r1bqk2r/pp2npbp/4p1p1/8/2pP4/2N1P1P1/5PBP/R1BQK2R w KQkq -,c1d2 e8h8 e1h1 e6e5 d4d5 e5e4 d5d6 d8d6 c3e4 d6c7,-122
r2qkbnr/pp1n1ppp/4p3/1BPpPb2/5P2/8/PPP3PP/RNBQK1NR w KQkq -,c1e3 a7a6 b5a4 g8h6 g1f3 f8e7 h2h3 e7h4 e1f1 h4g3,78
r1bqk1nr/pp2bppp/2npp3/8/3PP3/2PB4/P4PPP/RNBQK1NR w KQkq -,h2h3 g8f6 g1e2 a7a6 a2a4 c8d7 b1d2 e8h8 e1h1 c6a5,58
r1bq1rk1/p1n2p1p/1pp3p1/3p2PP/1bP1n3/1P1PPN2/PBQ1BP2/R4KR1 w - -,a2a3 c8h3 g1g2 e4d2 f3d2 d8g5 e2f3 b4d2 c2d2 c7e6,-232
r2qkb1r/pp2pppp/2n2n2/3p1b2/3P4/1Q4P1/PP2PPBP/RNB1K1NR w KQkq -,b1c3 c6d4 b3a4 d4c6 g1f3 d8b6 e1h1 e7e6 c3b5 a7a6,-128
8/8/8/5B1K/8/1p6/1p4k1/b7 w - -,h5g6 g2f3 g6f7 f3e3 f7e6 b2b1r f5b1 b3b2 e6d5 e3d2,Mate
r2q1rk1/p1n2p1p/1pp3p1/3p2PP/1bP1P3/1P2PN1b/PBQ1BP2/R4KR1 w - -,g1g2 d5d4 b2d4 d8c8 f3g1 h3g2 f1g2 a7a5 d4b6 f8d8,191
r2q1rk1/p4p1p/1pp1n1p1/3p2PP/1bP1P3/1P2PN1b/PBQ1BPR1/R4K2 w - -,e4d5 c6d5 a2a3 b4e7 a1d1 a8c8 c2c3 f7f6 h5g6 h7g6,204
2rq1rk1/1p1bppbp/p2p2p1/n2P4/8/4B1PP/PPP1NPB1/R2Q1RK1 w - -,e3d4 g7d4 e2d4 e7e5 d5e6 f7e6 b2b3 e6e5 d4f3 d7c6,60
8/8/6K1/5B2/8/1p3k2/1p6/b7 w - -,g6f7 f3e3 f7e6 b2b1r f5b1 a1f6 e6d5 b3b2 b1h7 b2b1q,Mate
r1bqkbnr/1p1p1ppp/p3p3/n1p5/P1B1P3/2PP4/1P3PPP/RNBQK1NR w KQkq -,c4a2 d7d6 g1f3 g8f6 e1h1 f8e7 f1e1 e8h8 d3d4 b7b5,17
8/8/1k6/4Q3/8/3N4/4K3/8 w - -,c4a2 d7d6 g1f3 g8f6 e1h1 f8e7 f1e1 e8h8 d3d4 b7b5,Mate
rq3rk1/3n1pbp/pp2p1p1/3b4/3R4/1P2PNP1/PB2QPBP/3R2K1 w - -,e3e4 d5c6 d4d7 c6b5 e2d2 b5d7 b2g7 g8g7 d2b2 g7g8,298
r2q1rk1/p4p1p/1pp3p1/7P/1bP2Q2/PP2Pn2/1B2BPK1/R7 w - -,e2f3 b4d6 f4h6 f7f6 h5g6 d8c7 b2f6 f8f6 g6h7 c7h7,424
r2q1rk1/p4p1p/1pp3p1/6nP/1PP2Q2/1P2P3/1B2BPK1/R7 w - -,h5g6 f7f6 g6h7 g5h7 e2h5 a7a5 a1h1 a8a7 h5g6 a7g7,279
r2q1rk1/p6p/1pp3p1/6n1/1PP2Q2/1P2P3/1B2BPK1/R7 w - -,f4e5 g8f7 f2f4 g5e6 a1h1 h7h5 e2g4 d8d7 b2c3 a8d8,397
8/4P2k/5n2/8/5B2/8/6K1/8 w - -,,0
r1bq1rk1/ppp1bpp1/2np1n1p/4p3/4P3/1PNB1N2/PBPP1PPP/R2Q1RK1 w - -,h2h3 f8e8 f1e1 c6b4 d3c4 c7c5 a2a3 b4c6 d2d3 a7a6,3
r2q1r2/p4k1p/1pp3p1/4Q1n1/1PP5/1P2P3/1B2BPK1/R7 w - -,f2f4 d8e7 f4g5 e7e5 b2e5 f7g8 e2f3 f8f5 f3c6 a8d8,460
8/6K1/8/4Q3/8/5k2/8/1b6 w - -,a1a6 d8e7 f2f4 e7e5 b2e5 g5e6 c4c5 h7h5 e2f3 f8c8,Mate
rn1qk1nr/pbpp1pp1/1p2p2p/8/1b1PP3/2NBB3/PPP2PPP/R2QK1NR w KQkq -,d1g4 b4c3 b2c3 g7g6 g4e2 d7d5 e4e5 c7c5 e2d2 d8c7,87
r4r2/p4k2/1pp3p1/4B2p/1PP2PB1/1P6/6K1/7R w - -,g4d7 c6c5 b4c5 b6c5 d7c6 a7a5 h1e1 f7e7 e5c3 e7d6,437
8/8/8/6K1/3k4/3b2Q1/8/8 w - -,g4h3 f8d8 g2g3 d8d3 g3h4 a8e8 h1f1 b6b5 h3g2 e8e5,Mate
8/5p2/4k1p1/4p2p/7P/4RKP1/r4P2/8 w - -,e3b3 a2a6 f3g2 e6d6 b3b7 f7f5 b7b8 a6c6 b8a8 e5e4,-5
8/8/8/8/1n1Q4/1k6/3K4/8 w - -,e3b3 a2a6 f3g2 e6d6 b3b7 f7f5 b7b8 a6c6 b8a8 e5e4,Mate
