r1bq1bnr/ppppk2p/2P1p3/7B/4p3/8/PPP2PPP/RNB1K1NR w KQ -,c6d7 d8d7 c1g5 g8f6 b1c3 h8g8 h2h4 f8g7 c3e4 d7a4,-464
r1bqk2r/pp1nbppp/4pn2/2p5/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,f1e1 a7a6 c1f4 e8h8 a2a4 c5d4 f3d4 f8e8 d4b3 e6e5,38
rn2kb1r/ppp2ppp/5n2/4p3/4P3/2N2b1P/PPP2PP1/R1BK1B1R w kq -,g2f3 b8c6 c1e3 e8a8 d1c1 c6d4 c3b5 d4f3 b5a7 c8b8,-30
8/8/8/8/2K5/4Q3/6k1/4q3 w - -,g2f3 b8c6 c1e3 e8a8 d1c1 c6d4 c3b5 d4f3 b5a7 c8b8,Mate
4k3/4N3/3B4/5K2/8/8/8/8 w - -,g2f3 b8c6 c1e3 e8a8 d1c1 c6d4 c3b5 d4f3 b5a7 c8b8,Mate
r1b1k1nr/pp3ppp/2n1p3/q1bpP3/N4P2/8/PPP3PP/R1BQKBNR w KQkq -,a4c3 c5g1 d1g4 g8e7 c1d2 a5b6 e1a1 e8h8 f1d3 g1d4,-349
rn1qkbnr/p4ppp/2p1p3/1p6/2BP2b1/2N2N2/PPP3PP/R1BQ1RK1 w kq -,c4e2 g8f6 h2h3 g4h5 c1g5 h7h6 g5f6 g7f6 f3h4 h5e2,-29
4r1k1/2p2pb1/3q2b1/6RN/5P1Q/8/6PK/8 w - -,h2g3 g6h5 g5h5 e8e6 g3h2 c7c5 h4g4 e6h6 h5h6 d6h6,-482
2r2bk1/1qr2p1p/pn6/3pPP2/1p1Nn3/1P2B2P/P1R2P2/2RQ2K1 w - -,e5e6 c7c2 c1c2 f8g7 d1g4 f7e6 f5e6 c8c2 d4c2 b6c8,-114
r1bqkb1r/pppp1ppp/2n5/3np3/2B5/5N2/PPPPQPPP/R1B1K2R w KQkq -,d2d4 d5b6 f3e5 c6e5 c4d3 d7d6 d4e5 d6e5 e1h1 c8e6,-395
r2b1rk1/2q2p1p/pp5Q/2n3B1/4Pp2/P1NB4/1PP3PP/R6K w - -,d2d4 d5b6 f3e5 c6e5 c4d3 d7d6 d4e5 d6e5 e1h1 c8e6,Mate
r1bqk1nr/ppp2p1p/2np2p1/2b1p3/2B1P3/2N5/PPPPQPPP/R1B1K1NR w KQkq -,g1f3 c8g4 c4b5 a7a6 b5c6 b7c6 h2h3 g4f3 e2f3 d8f6,20
rn1qk2r/pb1p1ppp/4p3/1pbnP3/8/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1h1 b8c6 b1d2 d8c7 f1e1 a7a6 a2a4 d5f4 d3e4 d7d5,79
rnb1k2r/2p1bp1p/p2q4/1p1Ppp2/8/2N2N2/PPPQ1PPP/2KR1B1R w kq -,c3e2 b8d7 e2g3 d7c5 d2e1 h7h5 e1e5 d6e5 f3e5 h5h4,-25
rn2kbnr/ppp1pppp/8/5b2/8/5P2/PPPPN1PP/R1B1KBNR w KQkq -,e2d4 f5g6 f3f4 e7e6 d2d3 f8c5 g1f3 g8e7 c1d2 g6h5,18
1b2r2r/1p1k1pp1/8/2pp1P2/5Pn1/2NP4/PPPBR2p/2K4R w - -,f5f6 e8e2 f6g7 e2e8 g7h8b e8h8 d2e1 b8f4 c1d1 g4e3,-488
5bk1/1q3p1p/pn6/3pPP2/1p1Nn3/1P2BP1P/P1r5/3Q2K1 w - -,f3e4 c2c8 f5f6 g8h8 d1g4 b6d7 g4h5 b7c7 d4f3 f8c5,-409
rnbqk2r/1pp2ppp/p3p3/3p4/3PnBP1/P1b1P3/1PP1NP1P/R2QKB1R w KQkq -,d1d2 c3d2 e1d1 d2a5 f4g3 h7h6 f1g2 e4f6 g4g5 h6g5,-1071
r1bqk2r/ppp1b1pp/1n1pp3/4P3/2P5/3N1Q2/PP3PPP/RNB2RK1 w kq -,f1d1 d6d5 b2b3 c7c6 b1c3 d8c7 d1e1 a7a5 c4d5 b6d5,194
rn1qkbnr/p1ppp1pp/1p6/5p2/4bK2/8/PPPP1PPP/RNBQ1BNR w kq -,d2d3 e7e5 f4e3 e4b7 f2f4 b8c6 f4e5 c6e5 d1e1 f8d6,-351
5bk1/1q3p1p/pn6/3pPP2/1p1N4/1Pn1BP1P/P1Q5/6K1 w - -,c2h2 h7h6 g1h1 b6d7 e5e6 d7f6 h2g3 g8h7 g3h4 f6g8,-59
2r2bk1/1q3p1p/pn6/3pPP2/1p1Nn3/1P2BP1P/P1r5/2RQ2K1 w - -,d1c2 c8c2 c1c2 e4c3 c2g2 g8h8 g1h1 b6d7 e5e6 d7f6,-478
8/3P3k/8/2n3K1/5N2/6P1/8/8 w - -,f4h5 c5d7 h5f6 h7g7 f6d7 g7f7 g5f5 f7e7 d7e5 e7d6,9605
r2qkbnr/p1ppp1p1/1pn3Kp/5p2/2B5/8/PPPP1PbP/RNBQ2NR w kq -,d7d8b c5e4 g5h4 h7g7 g3g4 g7f7 d8b6 f7e8 b6d4 e8d7,Mate
r4rk1/4bpp1/1n2pn1p/1B6/3q3B/2N2Q2/1P3PPP/2R2RK1 w - -,g2g4 d4b4 h2h3 a8a5 b5e2 b6d7 h4g3 h6h5 c1a1 h5g4,-60
5b1k/1q3p2/pn5p/3pPPB1/1p1N4/1Pn2P1P/P5Q1/6K1 w - -,g5f4 b7e7 g1h2 e7c5 g2d2 h8h7 e5e6 f7f6 d2g2 c5d4,-114
r1b2rk1/ppp1qppp/2np1n2/4p3/2P5/3P1NP1/PP2PPBP/R1BQK2R w KQ -,b2b3 d6d5 e1h1 f8d8 c1b2 c8g4 c4d5 f6d5 h2h3 g4h5,26
rnb1kb1r/pp2pppp/5n2/3q4/3N4/8/PP1BPPPP/RN1QKB1R w KQkq -,d4f3 b8c6 b1c3 d5d8 e2e4 e7e5 f1b5 f8d6 h2h3 e8h8,40
5b1k/1q3p1p/pn6/3pPP2/1p1N4/1Pn1BP1P/P5Q1/6K1 w - -,g2g5 b7e7 f5f6 e7e8 g1h1 b6d7 d4c6 h7h6 g5h4 h8h7,-58
4r1k1/1b3pb1/pq1p1P1p/1p1Pn2Q/P1p1B1PP/2P1R3/1P6/5RK1 w - -,f1f2 b6e3 h5f5 g7f6 g4g5 e3e1 f2f1 e1g3 e4g2 f6g7,-713
r4rk1/2q2p1p/pp3b1Q/2n5/4Pp2/P1NB4/1PP3PP/R6K w - -,f1f2 b6e3 h5f5 g7f6 g4g5 e3e1 f2f1 e1g3 e4g2 f6g7,Mate
rn2kb1r/p4p2/b1p1pq1p/8/PppP4/5N2/1P3PPP/RN1QKB1R w KQkq -,h2h3 f6f4 d1d2 f8d6 d2f4 d6f4 b1d2 c4c3 b2c3 b4c3,-96
rnb1k2r/pp1pbppp/1q2pn2/2p3B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,c3a4 b6a5 g5d2 a5c7 a4c5 e8h8 a1c1 e7c5 d4c5 c7c5,53
r1bqkb1r/pp1n1ppp/4pn2/2pp4/3P4/5NP1/PPPNPPBP/R1BQ1RK1 w kq -,c2c4 f8e7 d4c5 a7a5 b2b3 e8h8 d1c2 d7c5 c1b2 c8d7,58
r1bqkb1r/pp1n1ppp/4pn2/3p4/2Pp4/5NP1/PP1NPPBP/R1BQ1RK1 w kq -,f3d4 f8e7 c4d5 e6d5 d4f5 e8h8 f5e7 d8e7 d2f3 f8e8,83
rn1q1rk1/pp1bbppp/2p1pn2/3p4/2PP1B2/2NBPN2/PP3PPP/R2QK2R w KQ -,e1h1 d5c4 d3c4 c6c5 d4c5 e7c5 d1e2 d8e7 a2a3 d7c6,92
r1bq1rk1/ppp1ppbp/2n2np1/1B2B3/3P4/2N5/PPP2PPP/R2QK1NR w KQ -,h2h3 c6e5 d4e5 f6d7 e5e6 f7e6 g1f3 d7c5 d1c1 a7a6,-113
r2qk2r/pQ3ppp/4p3/1N1n4/1b6/5P2/PP3P1P/R1B1K2R w KQkq -,c1d2 b4d2 e1d2 e8h8 a2a4 a7a6 b5d4 a8b8 b7a6 b8b2,Mate
r2qkbnr/pp1n1ppp/4p3/1Bpp4/5Pb1/4PN2/PPPP2PP/RNBQ1RK1 w kq -,h2h3 g4f3 d1f3 a7a6 b5e2 d8c7 c2c4 d5d4 e3d4 c5d4,19
rnbq1rk1/pppp1pp1/3b1n1p/4p1B1/2B1P3/3P1Q2/PPP2PPP/RN2K1NR w KQ -,g5f6 d8f6 f3f6 g7f6 g1e2 c7c6 f2f4 b7b5 c4b3 a7a5,49
1n2kb1Q/5p2/4p1p1/1p1q4/2p5/2P3P1/5PKP/2B2R2 w - -,g2g1 d5h5 h8h5 g6h5 c1f4 b8c6 f4d2 c6a5 f1a1 a5b3,276
rn1qkb1r/pb1ppppp/5n2/1p6/2pPP3/2P5/PPB2PPP/RNBQK1NR w KQkq -,d1e2 d7d6 a2a4 a7a6 d4d5 e7e6 d5e6 f7e6 a4b5 a6b5,97
1b5r/1p1k4/6R1/2pN1P2/2P2P2/5r2/PP5p/2K4R w - -,g6g2 b8f4 d5f4 f3f4 h1h2 h8h2 g2h2 f4f5 c1c2 f5f3,8
4r1k1/1b3pb1/pq1p1P1p/1p1P3Q/P1p1B1PP/2P1Rn2/1P6/4R1K1 w - -,g1g2 f3e1 e3e1 e8e5 g4g5 g7f6 h5f3 f6g7 g5h6 g7h6,-600
2r3k1/p4ppp/Qprq1n2/3pN3/3P4/4P3/PP3PPP/2R3K1 w - -,c1d1 c6c1 a6e2 d6c7 f2f3 c1d1 e2d1 c7c1 d1c1 c8c1,-492
2R2qk1/p4ppp/1p3n2/3pN3/3P4/4P3/PP3PPP/6K1 w - -,c8c3 h7h5 a2a3 f6e8 e3e4 d5e4 g2g4 e8d6,-391
r3kb1r/pb3ppp/2q5/1p1n4/2p5/6P1/PP1B1PBP/RN1Q1RK1 w kq -,f1e1 f8e7 b1c3 a8d8 c3d5 d8d5 d2b4 e8h8 g2d5 e7b4,519
8/2k2p2/1b3p1p/4n2Q/2p4P/2P3P1/5P2/6K1 w - -,g1g2 b6a5 h5h6 a5c3 h6f6 c3b2 h4h5 c7d7 h5h6 b2d4,646
5k2/p4ppp/1p3n2/3pN3/3P4/4P3/PP3PPP/6K1 w - -,e5c6 a7a5 c6a7 f6e8 a7c8 b6b5 g1f1 f7f6 c8b6 e8c7,251
r1bqk1nr/p4ppp/2p1p3/2bp4/4P3/2PB4/PP3PPP/RNBQK2R w KQkq -,e1h1 g8e7 b1d2 e8h8 d1h5 f7f5 e4d5 e6e5 b2b4 c5b6,11
rn1qk2r/ppp2ppp/4pn2/3p4/1bPP1Pb1/4PN2/PP4PP/RNBQKB1R w KQkq -,c1d2 b4d2 b1d2 e8h8 f1e2 c7c5 d4c5 d8e7 h2h3 g4f3,-20
r3k1nr/ppp1qppp/2nbb3/8/4P3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,c3d5 e6d5 e4d5 c6e5 f1b5 c7c6 d5c6 b7c6 b5a4 e8a8,90
rnbqk2r/p2p1ppp/1p2pn2/8/2Pp1B2/P7/1P1NPPPP/R2QKB1R w KQkq -,f4b8 a8b8 d2f3 c8b7 d1d4 e8h8 e2e3 b8c8 f1e2 d7d5,-52
r1bq1rk1/p3ppbp/1pn2np1/2pp4/3P1P2/2PBPN2/PP1N2PP/R1BQ1RK1 w - -,a1b1 d8c7 d1e2 e7e6 f3e5 c6e7 b2b3 c8b7 c1a3 f8c8,-29
