rnbqk1nr/ppp1p1b1/3p2pp/5pB1/2BP4/4PN2/PPP2PPP/RN1QK2R w KQkq -,b1c3 h6g5 f3g5 g8h6 h2h4 c7c6 c4b3 d6d5 c3e2 h6f7,-238
r3kb1r/pppq1ppp/2np1n2/4p3/3PP1b1/2P2N2/PP1NBPPP/R1BQK2R w KQkq -,d4d5 c6b8 h2h3 g4f3 e2f3 c7c6 d1e2 h7h6 d5c6 d7c6,94
k7/bRKp4/2n5/8/3p4/3PN3/8/8 w - -,e3c4 a7b8 c7b6 b8a7 b6a6 d7d6 c4b6 a7b6 a6b6 c6b4,9605
r1bq1bnr/pppp2p1/6kp/4n3/2BpP3/3Q4/PPP2PPP/RNB1K2R w KQ -,d3h3 d7d6 h3g3 g6h7 c4g8 h8g8 f2f4 e5g4 f4f5 g4e5,-402
r1b1kbnr/5ppp/1qp1p3/p1ppP3/5P2/3P1N2/PPP3PP/RNBQK2R w KQkq -,c2c4 b6a6 b2b3 a5a4 c1a3 g8h6 b1c3 a4b3 a2b3 h6f5,25
rnbqkb1r/ppp1pp1p/5np1/3p2N1/2B5/3P4/PPP2PPP/RNBQK2R w KQkq -,g5f7 e8f7 c4b3 b8c6 e1h1 c8g4 f2f3 g4c8 c2c4 c6d4,-456
r2n1rk1/3q1ppp/p1p5/1p1pP1N1/3P4/2Q4P/PP3PP1/R3R1K1 w - -,c3d3 g7g6 a1c1 a8c8 d3g3 g8g7 f2f4 f7f6 e5f6 f8f6,176
rnbqk2r/ppp1ppbp/5np1/3p2N1/8/1B1P4/PPP2PPP/RNBQK2R w KQkq -,h2h3 e8h8 d3d4 c7c5 c2c3 c8f5 e1h1 c5c4 b3c2 f5c2,-187
rnbqk2r/ppppbppp/5n2/4p3/N1P5/6P1/PP1PPP1P/R1BQKBNR w KQkq -,b2b3 d7d5 f1g2 d5d4 g1f3 b8c6 d2d3 e8h8 e1h1 c8f5,-42
r2q1kr1/p2nbp2/2B2Qbp/8/8/6P1/PP1PRP1P/R1B3K1 w - -,f6e7 d8e7 e2e7 f8e7 c6a8 g8a8 d2d4 h6h5 c1d2 a8c8,-161
rn2kb1r/ppp2ppp/4pn2/q7/8/1PNP4/PB1P1PPP/R2QK1NR w KQkq -,g1f3 b8c6 d3d4 e8a8 c3e2 f8d6 a2a3 a5f5 b3b4 f6d5,-97
rn1qk2r/p1pbbppp/1p2pn2/3p4/3P1B2/3BPN2/PPPN1PPP/R2QK2R w KQkq -,f3e5 c7c5 c2c3 b8c6 g2g4 c6e5 d4e5 f6g8 d1e2 c5c4,89
r4b1r/kp4p1/3q2np/p1pB2B1/P7/1Q6/1PP2PPP/3R2K1 w - -,f3e5 c7c5 c2c3 b8c6 g2g4 c6e5 d4e5 f6g8 d1e2 c5c4,Mate
2k5/P4p2/R3p3/1P1p4/5K2/8/8/5r2 w - -,f3e5 c7c5 c2c3 b8c6 g2g4 c6e5 d4e5 f6g8 d1e2 c5c4,Mate
rnbq1rk1/ppppbpp1/4pn1p/8/3P3B/2P1P3/PP3PPP/RN1QKBNR w KQ -,f1d3 b7b6 d1e2 c7c5 b1d2 c8b7 g1f3 b8c6 e1h1 d7d5,18
rnb1k1nr/ppp2ppp/3p1q2/2b1p2Q/4PP2/2N5/PPPP2PP/R1B1KBNR w KQkq -,g1f3 f6f4 d2d4 g8f6 c1f4 f6h5 d4c5 h5f4 c5d6 c7d6,52
rnbq1rk1/ppp2pp1/3b1n1p/4N1B1/2BPp3/2N5/PPP2PPP/R2QK2R w KQ -,g5f6 d8f6 c3e4 f6e7 d1e2 d6e5 d4e5 e7e5 e1a1 c8e6,35
r2qk2r/ppp1bppp/2bp1n2/4p3/3PP3/P1N2N2/1PP2PPP/R1BQK2R w KQkq -,e1h1 f6e4 c3e4 c6e4 d4e5 d6e5 d1e2 d8d5 f1d1 e4f3,-70
8/4p3/8/1n1P4/2k4P/8/8/1N5K w - -,,0
8/8/8/7K/8/1Q6/2p5/k7 w - -,,0
r2qk2r/ppp3pp/2nbbp2/3p1p2/3P4/2NBP3/PPP1NPPP/R2QK2R w KQkq -,c3b5 c6b4 b5d6 d8d6 d3b5 c7c6 b5a4 b4a6 c2c3 a6c7,53
r2qkbnr/pp1n1ppp/4p3/2ppPb2/3P4/2P1B3/PP2NPPP/RN1QKB1R w KQkq -,b1d2 a8c8 a1c1 f5d3 d2f3 c5d4 e3d4 d3e4 f3d2 e4d3,25
r2qkbnr/pp1n1ppp/4p1b1/2ppP3/3P4/2P1B1N1/PP3PPP/RN1QKB1R w KQkq -,b1d2 a8c8 f2f4 c5d4 e3d4 g8e7 d2b3 h7h5 f1d3 g6d3,-3
r1bqkbnr/1pp2ppp/2np4/p3p3/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq -,d4e5 c8g4 d1d5 g4e6 d5b5 e6c4 b5c4 d6e5 c4b5 f8d6,90
r2qk2r/ppp1bppp/2n2n2/3p2B1/4p1b1/3P1NP1/PPPNPPBP/R2Q1RK1 w kq -,g5f6 e7f6 d3e4 d5d4 d2b3 d8e7 f3d4 c6d4 b3d4 a8d8,87
rnbqk2r/ppp1ppbp/3p1np1/8/3P4/4P3/PPPNBPPP/R1BQK1NR w KQkq -,g1f3 e8h8 e1h1 c7c5 f1e1 b7b6 c2c4 e7e6 a2a3 c8b7,-11
r1b1kb1r/pp1npppp/1qp5/3p4/3PnB2/4PN1P/PPP2PP1/RNQ1KB1R w KQkq -,c2c4 e7e5 f3e5 d7e5 f4e5 b6a5 b1c3 e4c3 b2c3 f8a3,89
r1bqkb1r/pp1nppp1/2pp1n1p/8/2B1PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e4e5 d7b6 c4b3 f6d5 c3d5 b6d5 e1h1 c8f5 f3h4 f5h7,78
r1bq1rk1/pppn1ppp/3b1n2/3PN3/3PpB2/2N5/PPP2PPP/R2QKB1R w KQ -,f1c4 d7b6 c4b3 d6b4 e1h1 b4c3 b2c3 f6d5 f4d2 a7a5,58
rnbqkb1r/1ppppppp/p4n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,e4e5 f6g8 d2d4 d7d6 g1f3 g7g6 d1a4 c8d7 a4b3 b8c6,57
r2qkb1r/ppp1pp1p/2n3p1/3n4/3P2b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,c3d5 d8d5 e1h1 f8g7 c2c3 e8h8 f1e1 d5d6 h2h3 g4f5,89
1rbq1rk1/4ppbp/p1np1np1/1pp5/2P1P3/2NP2PP/PP2NPB1/1RBQ1RK1 w - -,c1g5 f6d7 b2b3 f8e8 c3d5 d8a5 a2a3 b5c4 d3c4 e7e6,-48
r1bqkb1r/p4ppp/2p2n2/4p3/3pP3/3B4/PPP1NPPP/R1BQ1RK1 w kq -,d1e1 f8c5 f2f4 e8h8 e2g3 e5f4 e4e5 f4g3 e5f6 c5d6,45
rnbqkb1r/3pnppp/p3p3/1p6/2B1P3/2N2N2/PP2QPPP/R1B1K2R w KQkq -,c4d5 b8c6 d5c6 e7c6 e1h1 f8e7 a2a4 b5a4 f1d1 a6a5,-71
2Q5/8/3kr3/8/5K2/8/8/8 w - -,c8a6 d6e7 a6a3 e7d7 f4f5 e6d6 f5e5 d6e6 e5d5 e6g6,197
Q7/2k1r3/8/5K2/8/8/8/8 w - -,f5f6 e7d7 a8a5 c7c6 f6e6 d7d6 e6e5 d6d7 a5a6 c6c7,9605
rn1qkbnr/1pp2ppp/p3p3/3p4/3P2b1/2PBPN2/PP3PPP/RNBQK2R w KQkq -,b1d2 g8f6 d1b3 b8c6 e1h1 f8e7 b3c2 e7d6 h2h3 g4h5,53
rnbqk1nr/ppp1bp2/3pp2p/6p1/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,g2g3 g8f6 h2h4 g5g4 f3d2 b7b6 f1g2 c8b7 d2c4 b8d7,164
1r5r/2k4p/R1p1p3/2bpq3/4p3/1QN5/PPP3PP/1K1R4 w - -,a6c6 c7c6 b3a4 c6d6 c3b5 d6e7 a2a3 h8f8 b1a2 b8a8,-474
6k1/6p1/4qp2/1p6/2p5/2P2N2/1P3K2/8 w - -,f2g3 e6e4 g3g2 g7g5 g2f2 g5g4 f3h2 e4f4 f2g2 f4d2,-1404
rn2k1nr/pp1b1ppp/4p3/2bq4/8/5N2/PPPN1PPP/R1BQKB1R w KQkq -,f1c4 d5d6 c2c3 d6c7 d2e4 c5e7 d1e2 g8f6 e4f6 e7f6,45
r1bqk2r/ppp2ppp/2nb1n2/4p3/3pP3/3B1N2/PPPPNPPP/R1BQ1RK1 w kq -,f1e1 f6h5 d3b5 c8g4 e2g3 h5g3 f2g3 a7a6 b5c6 b7c6,-34
rnbqkbnr/ppp1pp2/6pp/8/4N3/8/PPPP1PPP/RNBQKB1R w KQkq -,d2d4 f8g7 c2c3 e7e5 f1c4 g8e7 d1b3 e8h8 d4e5 b8c6,19
r2qkbnr/pb1ppppp/1p6/8/3QP3/6P1/PPP2P1P/RNB1KB1R w KQkq -,f1g2 g8f6 e1h1 e7e6 d4d3 f8c5 b1c3 d8c7 c3a4 c5e7,45
8/4k3/8/8/2KR4/8/8/8 w - -,f1g2 g8f6 e1h1 e7e6 d4d3 f8c5 b1c3 d8c7 c3a4 c5e7,Mate
rn2kbnr/pp3ppp/1qp1p3/3p2B1/4P1b1/3P1N2/PPP1BPPP/RN1QK2R w KQkq -,e1h1 f8e7 g5e3 b6c7 e4d5 c6d5 c2c4 d5c4 d3c4 b8d7,34
r3kb1r/3qpppp/5n2/nQ1p4/3P1B2/2N1Pb2/PP3PPP/R3K2R w KQkq -,b2b4 f3g2 h1g1 a5c4 g1g2 e7e6 f4e5 d7b5 c3b5 e8d7,-436
rn2k2r/pbpp1pp1/1p2pq1p/8/2PPP3/2bQ1N2/PP3PPP/R3KB1R w KQkq -,b2c3 d7d6 g2g3 e8h8 f1h3 b8c6 e1h1 b7a6 f3d2 c6a5,-39
rn2k2r/pbp2pp1/1p1ppq1p/8/2PPP3/2PQ1N2/P4PPP/R3KB1R w KQkq -,f3d2 e8h8 f1e2 e6e5 e1h1 b8c6 d4d5 c6b8 a2a4 b8d7,-50
rn1qk2r/ppp2ppp/3bp3/3n1b2/3P4/5N1P/PPP1BPP1/RNBQ1RK1 w kq -,c2c4 d5f4 c1f4 d6f4 e2d3 f5d3 d1d3 c7c6 b1c3 e8h8,72
rnbr2k1/pp2bppp/4pn2/2P5/2P5/5N2/PPB2PPP/RNBq1RK1 w - -,c2h7 g8h7 c1f4 d1c2 f4d6 e7d6 c5d6 c2f5 b1c3 h7h8,-813
r3k2r/pbpn1pp1/1p1ppq1p/8/2PPP3/2P1QN2/P4PPP/R3KB1R w KQkq -,g2g3 e6e5 f1h3 e8a8 e1h1 c8b8 f1e1 h8e8 e3d3 h6h5,-31
r1bqkbnr/pppp1ppp/8/4p3/2B1P3/N4n2/PPPP1PPP/R1BQK2R w KQkq -,d1f3 g8f6 d2d4 d7d5 e4d5 e5e4 f3b3 a7a6 d5d6 d8d7,54
r4rk1/pbpn1pp1/1p1p1q1p/4p3/2PPP3/2PBQN2/P4PPP/R4RK1 w - -,f3d2 f6g6 f2f4 e5f4 f1f4 f7f5 a1e1 a8e8 e1f1 f5e4,-24
rn1qkb1r/1bp1nppp/pp1pp3/8/2BPPB2/2N2N2/PPP2PPP/R2QK2R w KQkq -,d4d5 e6e5 f4e3 b8d7 a2a4 g7g6 h2h4 d7f6 f3d2 f8g7,89
r4rk1/1bpn1pp1/1p1p1q1p/p3p3/P1PPP3/2PBQN2/5PPP/R4RK1 w - -,a1b1 a8e8 f3d2 f6g5 e3g5 h6g5 f2f3 b7c6 b1a1 g7g6,-31
rnb2rk1/ppp2ppp/3b1n2/4p3/4P3/4BP2/PPPN2PP/R2K1BNR w - -,a2a4 f8d8 g1e2 c8e6 e2c1 f6e8 g2g4 b8d7 c1d3 a7a5,62
r2n1q1k/1p2r3/1n2p2p/1P1pPppN/p2P4/P1R4P/3QBPP1/2R3K1 w - -,h3h4 d8f7 h5f6 f8d8 c3h3 g5g4 h3c3 b6d7 f6h5 h8h7,374
