2kr3r/pp3ppp/3Q1n2/q1p1n3/2B5/P1P1P3/5PPP/R3K1NR w KQ -,d6d8 h8d8 g1e2 e5c4 e1h1 a5a4 e2g3 d8d7 e3e4 c8d8,-703
r2qk2r/1p1nbppp/p2p4/3NpP2/2B5/8/PPP2PPP/R2QK2R w KQkq -,d1f3 e8h8 c2c3 b7b5 c4b3 d7f6 e1h1 a6a5 g2g3 a8b8,120
2kr3r/pp1n1ppp/8/q1p1Q3/2B5/P1P1P3/5PPP/R3K1NR w KQ -,e5f4 a5c3 e1e2 c3a1 e2f3 a1d1 c4e2 d1d5 e3e4 d5e6,-525
1rb1r1k1/2qn1pbp/3p1np1/1p1P4/2B1PP2/2N5/1PQN2PP/R1B2R1K w - -,b2b3 b5c4 b3c4 d7c5 c1a3 f6g4 f1f3 g7d4 a3c5 d4c5,-264
2kr2r1/pp1n1pQp/8/q1p5/2B5/P1P1P3/5PPP/R3K1NR w KQ -,g1h3 g8g7 e1h1 d7e5 c4e2 g7g8 a3a4 c5c4 g2g3 d8d2,-551
2nq2k1/3n1p1p/4p1pQ/pb2P1NP/1p1PN1P1/1P6/P4P2/6K1 w - -,g1h3 g8g7 e1h1 d7e5 c4e2 g7g8 a3a4 c5c4 g2g3 d8d2,Mate
r2qkbnr/ppp2ppp/4n3/3p4/8/8/PPP1QPPP/RNB1KB1R w KQkq -,g2g3 f8c5 f1g2 g8f6 c2c4 e8h8 c4d5 f6d5 e1h1 c7c6,-114
6KQ/8/8/8/2p2k2/8/6p1/8 w - -,b1d2 f8d6 g2g3 g8f6 f1g2 e8h8 e1h1 c7c6 c2c4 f8e8,Mate
rnb1kb1r/pp2qpp1/2pp1n1p/8/2PPp2P/2N4N/PP2PPP1/R1BQKB1R w KQkq -,c1f4 c8g4 d1b3 d6d5 e2e3 d5c4 f1c4 b7b5 c4e2 g4e2,46
rn2kb1r/pp2qppp/2p1bn2/8/8/2N5/PPPPBPPP/R1BQK1NR w KQkq -,g1f3 e7c7 f3d4 e6d7 d2d3 f8e7 c1e3 e8h8 e1h1 f8e8,92
r1b1k2r/pppp1ppp/5n2/1Bq1b3/3p1P2/8/PPP3PP/RNBQR1K1 w kq -,e1e5 c5e7 d1d4 a7a6 b5d3 d7d6 e5e7 e8e7 b1c3 h8e8,667
r1bqk1nr/ppp1ppbp/5np1/8/2BPN3/4B3/PPP2PPP/R2QK1NR w KQkq -,d1f3 e7e6 e4c5 f6d5 e1a1 d5e3 f2e3 g8h6 c5b7 c8b7,22
8/8/2pp4/6k1/2P1K3/8/8/8 w - -,c4c5 d6d5 e4e5 g5g4 e5d6 d5d4 d6c6 d4d3 c6b7 d3d2,-1
rnb1k1nr/pp2ppbp/1qpp2p1/4P3/3P1P2/5N2/PPP3PP/RNBQKB1R w KQkq -,f1c4 g8h6 h2h3 d6e5 f4e5 c8e6 b1a3 e8h8 e1h1 e6d5,71
r2qk2r/ppp2ppp/2nb1n2/4p3/2PpP1b1/3P1NP1/PP3PBP/RNBQ1RK1 w kq -,b1a3 f6d7 a3c2 a7a5 b2b3 h7h6 h2h3 g4e6 f3h4 g7g6,-82
rn1qk2r/ppp2pp1/3pbn1p/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,c4e6 f7e6 d1b3 d8c8 d3d4 e5d4 c3d4 c5b6 b1c3 e8h8,57
rnb1k1nr/pp3ppp/2p5/3q4/1b1P1p2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,f1d3 d5e6 e1f2 e6h6 g2g3 b4d6 c3e4 g8e7 e4d6 h6d6,105
1qr3k1/1r1b1pp1/p1nb3p/3B4/P7/4BN2/1PQ2PPP/2RR2K1 w - -,c2g6 g8h8 d5f7 d6h2 f3h2 c6e5 e3f4 e5g6 f4b8 c8b8,438
rnbqkbnr/4pppp/p2p4/1pp5/2B1P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq -,c4f1 g8f6 d2d3 b8c6 c1b2 g7g6 g2g3 f8g7 f1g2 e8h8,-52
r2qkb1r/pQpn1ppp/4bn2/3p4/8/6P1/PP1PPPBP/RNB1K1NR w KQkq -,b7a6 f8b4 a6a4 b4d6 b1c3 e8h8 g1f3 c7c5 d2d4 f8e8,75
8/5Q2/3k4/8/b4K2/8/8/8 w - -,b7a6 f8b4 a6a4 b4d6 b1c3 e8h8 g1f3 c7c5 d2d4 f8e8,Mate
rnbq1rk1/pp3ppp/3p4/2pP3n/4P3/P1P2P2/6PP/R1BQKBNR w KQ -,g2g3 f7f5 e4f5 c8f5 g1e2 b8d7 f1g2 c5c4 e1h1 h5f6,-69
r5k1/4nbpp/2pq1p2/1rNp3P/1p1Q2P1/P6B/2P2P2/2KR3R w - -,a3b4 d6b8 c5d7 b8b7 d7c5 b7b6 c2c3 a8a2 h3g2 b6a7,-186
rnbq1rk1/ppp2ppp/3p3n/2bNp3/2B1P3/3P1N2/PPP2PPP/R1BQ1RK1 w - -,c1g5 d8d7 b2b4 c5b4 g5h6 c7c6 d5b4 g7h6 d1d2 g8g7,426
r1b1k2r/2qnbpp1/p2ppn1p/1p6/3NP2B/2N1Q3/PPP1BPPP/2KR3R w kq -,e2d3 b5b4 c3e2 g7g6 f2f4 e6e5 d4f3 f6g4 e3g1 e7h4,-106
6k1/4R3/p2p3p/1p3q2/2pb4/8/PP4P1/4K3 w - -,e2d3 b5b4 c3e2 g7g6 f2f4 e6e5 d4f3 f6g4 e3g1 e7h4,Mate
r1bqkb1r/pp1npppp/2pp1n2/8/3P4/2N2N1P/PPP1PPP1/R1BQKB1R w KQkq -,e2e4 e7e5 g2g4 h7h6 a2a4 d8c7 f1d3 f8e7 d1e2 d7f8,60
r1b1k2r/1pqnbp2/p2ppn1p/6p1/3NP2B/2N2Q2/PPP1BPPP/2KRR3 w kq -,f3h3 g5h4 f2f4 b7b5 d4e6 f7e6 h3e6 d7f8 e6b3 c8e6,-372
r3kb1r/2pn1p1p/p3N1p1/1P5q/2pP4/2P3P1/5P1P/R1B1R1K1 w kq -,f3h3 g5h4 f2f4 b7b5 d4e6 f7e6 h3e6 d7f8 e6b3 c8e6,Mate
r1b1kb1r/pp2pppp/1qn5/3pB2n/3p4/2PBP3/PPQ2PPP/RN2K1NR w KQkq -,f2f4 d4e3 d3e2 c6e5 f4e5 g7g6 b1a3 f8h6 e2h5 g6h5,-264
rnbqk2r/2pn1ppp/p3p3/1p1p2P1/1b1P1B2/2N1P3/PPP1NP1P/R2QKB1R w KQkq -,h2h4 b4e7 f1g2 c8b7 e2g3 b5b4 c3a4 e8h8 e1h1 b7c6,52
r1b1kb1r/pp1p1ppp/2n1pn2/2p3B1/3P4/3BPN2/PqPN1PPP/R2QK2R w KQkq -,a2a4 c5d4 a1b1 b2a3 e3d4 a3a4 d3b5 a4a5 e1h1 a7a6,-61
