Qnr3k1/p1q2p1b/2p1pnpB/b7/3P3P/2P3N1/1P2BPP1/R3K2R w KQ -,a1a5 c7a5 a8b7 a5c7 b7c7 c8c7 e1h1 b8d7 f1a1 c6c5,355
r1bq1rk1/pp2bppp/2n5/3Bp3/2Pp4/1N4P1/PP2PP1P/R1BQ1RK1 w - -,e2e4 c8h3 f1e1 c6b4 d5b7 a8b8 b7d5 d8c8 c1d2 b4d3,-79
4rnk1/ppb2ppp/2pq1p2/7b/3P4/2P1rNPP/PP2BP2/R2QR1K1 w - -,a2a4 h5f3 e2f3 e3e1 d1e1 e8e1 a1e1 f6f5 g1g2 f5f4,-592
rn1q1rk1/pp2bppp/2pp1n2/4p2b/2B1P3/2NPBN1P/PPP2PP1/R2Q1RK1 w - -,c4b3 a7a5 g2g4 h5g6 a2a3 b7b5 f3h4 b8a6 h4g6 h7g6,25
rnbqk1nr/ppp1b1pp/4p3/4ppB1/3P4/5N2/PPP2PPP/RN1QKB1R w KQkq -,g5e7 g8e7 f3e5 b8c6 f1b5 e8h8 e5f3 a7a6 b5c6 e7c6,14
8/8/2nk4/Q7/8/2K5/8/8 w - -,g5e7 g8e7 f3e5 b8c6 f1b5 e8h8 e5f3 a7a6 b5c6 e7c6,Mate
4rnk1/ppb2ppp/2pq1p2/7b/3Pr3/2P2NPP/PP1QBP2/R3R1K1 w - -,a1d1 d6d7 f3e5 f6e5 e2h5 e4e1 d1e1 e5d4 e1e8 d7e8,-566
r2qkbnr/ppp1ppp1/2n3b1/3pP3/3P2pP/5P2/PPP1N3/RNBQKB1R w KQkq -,e2f4 g6h7 f3g4 e7e6 b1c3 a7a6 h4h5 f8e7 f1e2 g8h6,-28
r1q1kb1r/pR1npppp/4n3/3p4/Q7/3BB2P/P1PN1PP1/5RK1 w - -,b7d7 c8d7 d3b5 a8d8 b5d7 d8d7 f1b1 e6d8 b1b8 e7e5,1038
r7/p5kp/5R2/7p/8/7K/P6P/8 w - -,,0
8/6p1/2pk4/5K2/3P4/8/6P1/8 w - -,f5g5 d6d5 g5f5 d5d4 f5f4 c6c5 f4f3 d4d3 f3f2 g7g5,-921
4r1k1/pp4p1/2pp4/2b4p/2P1NP2/3PPn1q/PP1Q4/4RRK1 w - -,f1f3 h3f3 d2f2 f3h3 f2g2 h3g2 g1g2 c5b4 e1e2 d6d5,Mate
4rnk1/ppb2ppp/2pq4/5p1b/3Pr3/2P2NPP/PP1Q1P2/R2BR1K1 w - -,e1f1 h7h6 f1e1 f8d7 f3e5 h5d1 e1e4 f5e4 a1d1 d7e5,-566
8/6p1/2p3K1/3k4/3P4/8/6P1/8 w - -,,0
4r1k1/pp4p1/2pp4/2b4p/2P1NP2/3PPq2/PP1Q4/4R1K1 w - -,e1e2 h5h4 g1h2 e8e6 b2b3 c5b6 e2f2 f3e3 d2e3 b6e3,-70
8/3K4/5k2/4r3/8/6Q1/8/8 w - -,e1e2 h5h4 g1h2 e8e6 b2b3 c5b6 e2f2 f3e3 d2e3 b6e3,Mate
8/6K1/2p5/8/3k4/8/6P1/8 w - -,,0
4rnk1/ppb2ppp/2pq4/7b/3Pp3/2P2NPP/PP1Q1P2/R2B2K1 w - -,d2e1 f8d7 e1e3 h7h6 f3h4 h5d1 a1d1 d6e6 d4d5 c6d5,-570
r2q1rk1/ppp1bppp/3p1n2/3N3b/2BpP3/3P1N1P/PPP2PP1/R2Q1RK1 w - -,d5f6 e7f6 g2g4 h5g6 f3h2 h7h6 f2f4 g6h7 h2f3 c7c6,115
4rnk1/ppb2pp1/2pq3p/7b/3Pp3/2P1QNPP/PP3P2/R2B2K1 w - -,c3c4 d6d7 f3d2 d7h3 c4c5 h5d1 a1d1 h3h5 d1e1 c7a5,-578
r1b2rk1/ppp1qppp/2np4/2n1P3/2B4P/B4N2/P1Q2PP1/R4RK1 w - -,a1e1 c5e6 e5d6 c7d6 f3g5 g7g6 c2c3 h7h6 g5e4 e6d4,444
7R/4r2p/2pbk1p1/3p1p2/3P2P1/3NP3/5PKP/8 w - -,g4g5 e6d7 h2h4 d7c7 g2f3 c7b7 h8g8 b7b6 g8c8 e7d7,75
r1bq2k1/pppp1rp1/4nn1p/2b1p3/2B1P3/2N3Q1/PPPP1PPP/R1B2RK1 w - -,a2a4 d7d6 d2d4 c5d4 c3d5 c7c6 d5f6 f7f6 a4a5 d6d5,-393
r2qkb1r/1p1n1p2/p2pbnp1/4p2p/4P3/1NN1BP2/PPPQB1PP/R3K2R w KQkq -,e1a1 f8e7 c1b1 d8c7 a2a3 d7b6 a3a4 a8c8 e3g5 c8d8,58
2b5/7p/4k1pP/1p1p1pP1/1P1P4/4K3/5P2/3B4 w - -,d1h5 e6f7 h5d1 f7e6 e3f4 c8d7 d1e2 d7c6 e2d3 c6e8,560
r2qkbnr/pp3pp1/2n1p2p/2ppPb2/5P2/2NP1N2/PPP1B1PP/R1BQK2R w KQkq -,h2h3 f5h7 e1h1 g8e7 d1e1 e7f5 e2d1 f8e7 e1f2 e8h8,-57
4r1k1/ppbn1pp1/2pq3p/7b/3Pp2P/2P1QNP1/PP3P2/R2B2K1 w - -,f3e5 h5d1 e5d7 d1h5 d7c5 f7f5 e3f4 d6f4 g3f4 b7b6,-592
4r1k1/ppb2pp1/2pq1n1p/7b/3Pp2P/2P1Q1P1/PP3P2/R2BN1K1 w - -,d1h5 f6h5 e1d3 d6e6 d3e5 c7e5 d4e5 e6e5 a1e1 b7b6,-587
r2qkb1r/pp1bpppp/2n2n2/8/2BP4/5N2/PP3PPP/RNBQK2R w KQkq -,a2a3 e7e6 d1e2 f8e7 b1c3 e8h8 e1h1 d8c7 f1d1 h7h6,29
r2q1r2/p5kp/2b2n2/4Q1Bp/2B5/8/P5PP/5R1K w - -,g5h4 c6e4 h2h3 a8c8 f1f6 f8f6 e5e4 d8d1 h1h2 d1d6,-162
rnb1k2r/ppq1nppp/4p3/3pP3/1P6/3B1N2/2PB1PPP/R2QK2R w KQkq -,e1h1 b8d7 f1e1 d7b6 f3g5 h7h6 d1h5 g7g6 h5h4 b6c4,120
r3k2r/pp2n1bp/3pp1p1/1qp1n1N1/4P3/3P4/PPP3PP/R1BQ1RK1 w kq -,c2c3 b5d7 d3d4 c5d4 c3d4 h7h6 d4e5 h6g5 c1g5 g7e5,-274
r2q1r1k/p6p/2b2n2/6Bp/2B5/6Q1/P5PP/5R1K w - -,g5f6 f8f6 g3e5 c6g2 h1g2 h8g7 c4d5 a8c8 d5e4 h7h6,-167
rn3rk1/pQ3p1b/2p1pnpp/8/P2q3P/6N1/1P2BPP1/R1B1K2R w KQ -,c1e3 d4d6 b7a8 d6b4 e1f1 b4b2 a1d1 f6d5 a8a7 d5c3,485
r3k2r/1p1n1ppp/p3p3/q2pPn2/3P4/2b4P/PP2BPP1/RN1QK2R w KQkq -,b2c3 b7b5 e1h1 e8h8 e2d3 f5e7 d1h5 e7g6 f2f4 f7f5,-17
r1b1kb1r/pp1p1ppp/1qn1p3/6B1/4P3/2N5/PPP2PPP/R2QKB1R w KQkq -,d1d2 f7f6 g5f4 b6b2 a1b1 b2a3 c3b5 a3a2 d2d1 f8b4,22
r3k2r/pp1qn1bp/3pp1p1/2p1n1N1/4P3/2NP4/PPP3PP/R1BQ1RK1 w kq -,c3b5 d7b5 g5e6 e8d7 a2a4 b5a5 e6g7 a8f8 c2c3 f8f1,124
rnbqk2r/pp1pppbp/2p2np1/8/3P4/1P4P1/P1P1PPBP/RNBQK1NR w KQkq -,e2e4 d7d6 g1e2 b7b5 e1h1 e8h8 b1a3 c8a6 c1d2 b8d7,21
r3k2r/3n1ppp/p3p3/qp1pPn2/3P4/2P4P/P3BPP1/RN1QK2R w KQkq -,e1h1 f5e7 e2d3 e8h8 d1c2 g7g6 c2d2 e7c6 f1c1 f8c8,-29
