8/3r1pkp/p5p1/1prBq1P1/3R1b1P/P1PR4/1P6/1K5Q w - -,h1f3 f4h2 d5e6 e5e6 d4d7 c5f5 f3e3 e6e3 d3e3 h7h6,259
8/8/1p6/6KP/1p6/8/1k6/8 w - -,d4e4 e5d6 c3c4 d7e7 b1a2 b5c4 d5c4 d6c7 c4b3 h7h6,Mate
8/8/1p5P/6K1/1p6/8/2k5/8 w - -,d4e4 e5d6 c3c4 d7e7 b1a2 b5c4 d5c4 d6c7 c4b3 h7h6,Mate
r1b1k2r/1p1n1pp1/p3pn1p/2q5/1b1NP2B/2N1Q3/PPP3PP/2KR1B1R w kq -,c3d5 e6d5 a2a3 b4a5 b2b4 c5e7 b4a5 e8h8 d4f5 e7e5,-36
8/7P/1p6/6K1/8/1p6/2k5/8 w - -,c3d5 e6d5 a2a3 b4a5 b2b4 c5e7 b4a5 e8h8 d4f5 e7e5,Mate
7Q/8/1p6/6K1/8/8/1pk5/8 w - -,c3d5 e6d5 a2a3 b4a5 b2b4 c5e7 b4a5 e8h8 d4f5 e7e5,Mate
r3r2k/p3n2p/1pq1p1pB/2p5/3p3P/3P1PPb/PPPQ3N/R3R1K1 w - -,g3g4 e7d5 e1e5 c6c7 a1e1 a8d8 g1f2 e8g8 h6g5 d8f8,339
8/8/3K4/3N4/2k5/8/8/6B1 w - -,e1e5 e7f5 h6f4 e8f8 a1e1 a8e8 g3g4 f5h4 e1e4 h4f5,Mate
rn1qkb1r/ppp1pppp/5n2/4p2b/8/5N1P/PPPPBPP1/RNBQK2R w KQkq -,f3e5 d8d6 f2f4 h5e2 d1e2 d6a6 d2d4 e7e6 c1e3 f6d5,9
r1bqk1nr/ppp3pp/2n5/5P2/1bp1p3/2PP1N2/PP2QPPP/RNB1K2R w KQkq -,d3e4 b4e7 e2c4 g7g6 c1f4 g6f5 b1d2 d8d7 e1h1 g8f6,-23
rnbqk2r/1pp2pbp/p3pnp1/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3 e8h8 a2a4 d5c4 e2e4 b7b5 e4e5 f6d5 c1g5 d8d7,61
2kr3r/1p2bppp/p1n5/1B1bp3/8/1N2BP2/PPP3PP/2KR3R w - -,b5c6 d5c6 b3a5 c6d5 e3b6 e7g5 c1b1 d8d7 h1e1 g5d8,-28
r3r2k/p6p/1pq1p1pB/2pn4/3p2PP/3P1P1b/PPPQ3N/R3R1K1 w - -,e1e5 c6c7 a1e1 a8c8 d2f2 h8g8 f3f4 c5c4 f2g3 e8f8,335
rn1q1rk1/pp3ppp/2pbpn2/3p1b2/3P4/PP2PN1P/1BP2PP1/RN1QKB1R w KQ -,b1d2 f6e4 f1d3 e4d2 d1d2 b8d7 e1h1 d7f6 a3a4 f8e8,-30
8/2k1K3/Q7/4n3/8/8/8/8 w - -,b1d2 f6e4 f1d3 e4d2 d1d2 b8d7 e1h1 d7f6 a3a4 f8e8,Mate
rnb1kb1r/pp3ppp/4pn2/2Pp2B1/8/4PN2/PqPN1PPP/R2QKB1R w KQkq -,e3e4 b2c3 e4d5 f6d5 a1b1 h7h6 g5h4 c3c5 f1b5 c8d7,-27
4r2k/p6p/1p1q2pB/2p3Q1/3p2PP/3PnP1b/PPP4N/4R1K1 w - -,g5f6 d6f6 h6g5 f6d6 f3f4 d6d5 g5f6 h8g8 e1e2 d5a2,-1321
r1bqk2r/pp1n2pp/2pbpn2/3p1p2/2PP4/1P2PN2/PB2BPPP/RN1QK2R w KQkq -,d1c1 e8h8 e1h1 f6e4 b2a3 d6a3 c1a3 b7b6 a3b2 a7a5,43
r2qkb1r/pp2pppp/n4n2/1NPp1b2/5B2/8/PPP1PPPP/R2QKBNR w KQkq -,c2c3 f6e4 e2e3 e4c5 b2b4 c5e4 h2h4 h7h5 g1f3 g7g6,92
rnbqkb1r/5ppp/p3pn2/1pp5/2pP4/1P1BPN2/P4PPP/RNBQ1RK1 w kq -,d3h7 h8h7 b3c4 h7h5 f1e1 c8b7 b1c3 b8d7 a1b1 a8c8,-403
r2qkbnr/1pp1pppp/p1n3b1/3pP3/3P2P1/2P5/PP3P1P/RNBQKBNR w KQkq -,g1h3 e7e6 h3f4 d8d7 h2h4 f7f6 d1e2 f6e5 d4e5 g8h6,57
rnbqkbnr/p3pppp/2p5/1Q6/2p3P1/8/PP1PPP1P/RNB1KBNR w KQkq -,b5c4 c8e6 c4a4 g8f6 g4g5 e6d5 g1f3 d5f3 e2f3 f6d5,75
r1bq1rk1/1pp2ppp/2n2n2/p1bpp3/P3P3/2PP1N2/1P2BPPP/RNBQ1RK1 w - -,d3d4 d5e4 d4c5 e4f3 d1d8 f8d8 e2f3 c8e6 b1a3 d8d7,-48
rnb1kb1r/pp3p1p/4pp2/2Pp4/8/4PN2/PqPN1PPP/R2QKB1R w KQkq -,c2c4 d5c4 a1b1 b2a3 f1c4 f8c5 e1h1 c5e7 c4b5 b8c6,53
