r6r/4kP1p/p5p1/1p1npB2/8/2P5/P1PR2PP/5RK1 w - -,d2d5 g6f5 f1f5 h8c8 d5e5 e7f8 e5e3 a8a7 e3h3 a7f7,373
8/1N2k3/2K3p1/6N1/8/8/8/8 w - -,b7c5 e7f6 c5e6 f6f5 c6d5 f5g4 d5e4 g4g3 e6d4 g3f2,88
r2qk1nr/2pbbppp/p1n1p3/1p1pP3/3P4/1B3N2/PPP2PPP/RNBQK2R w KQkq -,c2c3 c6a7 e1h1 c7c5 f1e1 c5c4 b3c2 h7h5 c1e3 g8h6,88
6B1/4k3/6Q1/8/4K3/8/8/8 w - -,c2c3 c6a7 e1h1 c7c5 f1e1 c5c4 b3c2 h7h5 c1e3 g8h6,Mate
r3k2r/pp1q1ppp/2pp1n2/2b1p1B1/2B1P3/3P1P1b/PPP2PNP/R2Q1RK1 w kq -,f1e1 e8a8 c2c3 h7h6 g5e3 c5e3 g2e3 f6h7 d3d4 h7g5,-152
r2qk2r/ppbn2pp/2p1p1b1/2Pp1p2/3Pn3/1PNBPN2/PB3PPP/2RQ1RK1 w kq -,g2g3 g6h5 d3e2 h5f3 e2f3 d7f6 f3e2 h7h5 c3e4 d5e4,-46
5rk1/p3ppbp/6p1/8/8/4PB2/P4PPP/q2RB1K1 w - -,e1b4 a1a2 b4e7 f8b8 g2g3 b8b1 d1b1 a2b1 g1g2 a7a5,-583
r1b1kb1r/ppp2ppp/2n5/3p2BQ/2Bpq3/8/PPP1NPPP/RN2K2R w KQkq -,b1d2 e4g2 h1g1 g2h3 h5h3 c8h3 c4d5 f7f6 d5c6 b7c6,200
Nnbk2nr/pp1p1ppp/8/2b1p3/8/5N2/PPqPQPPP/R1B1KB1R w KQ -,e2e5 g8f6 e5c7 d8e7 c7b8 h8e8 f1e2 e7f8 e1h1 f8g8,579
r3kbnr/pp1npppp/2p5/q6b/3P4/2N4P/PP1NPPP1/R1BQKB1R w KQkq -,g2g4 h5g6 d2c4 a5c7 f1g2 e7e6 e1h1 h7h5 g4g5 b7b5,98
r2q2k1/p5b1/2pNr1p1/2Bbpp2/5n2/5P2/PPP3P1/2KRQB1R w - -,g2g3 a8b8 b2b3 f4h5 d6e4 f5e4 f3e4 h5f6 f1g2 b8b5,84
r2qr1k1/p4p1p/bp4p1/8/3b4/BPN3P1/P2Q2KP/R2R4 w - -,a1c1 a6b7 g2h3 d8d7 g3g4 d7c6 c3d5 c6d5 c1c3 d4c3,-659
r5k1/pp3pp1/2p4p/8/4rP2/3b4/PP4PP/3R3K w - -,h2h4 a8d8 d1d2 e4f4 h1h2 f4h4 h2g3 h4e4 g3f2 e4g4,-1111
r1b2rk1/ppq2ppp/4pn2/n1pp4/2PP4/P1PBP3/2QN1PPP/R1B1K2R w KQ -,c1b2 a5c4 d2c4 d5c4 d3c4 b7b5 c4e2 c8b7 e1h1 c5d4,-56
7R/5k2/4p3/5pp1/7r/7P/5PK1/8 w - -,h8a8 h4c4 a8h8 c4c2 h8h5 f7g6 h5h8 c2c3 h8b8 g6f7,-24
r2q1rk1/ppbn2pp/2p1p1b1/2Pp1p2/1P1Pn3/2NBPN2/PB3PPP/2RQ1RK1 w - -,d3e2 f5f4 e3f4 c7f4 c1a1 g6f5 a2a4 e4g5 b2c1 g5f3,-54
rnbqkbnr/ppp4p/3p1pp1/3Pp3/4P3/7P/PPP2PP1/RNBQKBNR w KQkq -,b1c3 a7a6 h3h4 h7h5 a2a4 f8h6 a4a5 f6f5 g2g3 h6c1,81
r1bqk2r/pppp1ppp/1bn2n2/8/3PPB2/2P2N2/PP2Q1PP/RN2KB1R w KQkq -,b1d2 e8h8 f4g5 f8e8 e1a1 h7h6 g5h4 d7d6 d1e1 c8e6,163
r1bqkb1r/pp1npppp/2p2n2/3p4/2P5/3P1N2/PP1NPPPP/R1BQKB1R w KQkq -,d3d4 b7b6 b2b3 c8b7 e2e3 e7e6 c1b2 f8e7 f1d3 e8h8,10
r3kb1r/ppp2pp1/7p/3Pp3/2BnN1bq/3P4/PPP2PPP/R1BQK2R w KQkq -,e1h1 g4d1 f1d1 d4c2 c1d2 e8a8 d2c3 c8b8 d1c1 c2d4,-560
2kr3r/p2b1p1p/1p2p3/q3P3/2B1n1p1/1QP1B3/P4PPP/2RR2K1 w - -,b3b4 d7c6 d1d8 h8d8 b4a5 b6a5 c4e2 d8g8 e3a7 e4d2,94
rnbq1rk1/1pp2ppp/p2bpn2/8/8/2NP1N2/PPP2PPP/R1BQKB1R w KQ -,g2g3 h7h6 f1g2 e6e5 e1h1 f8e8 f1e1 b8c6 h2h3 c8f5,-25
r1bq1rk1/p4ppp/1p2pn2/n1ppN3/2PP4/P1PBP3/2Q2PPP/R1B1K2R w KQ -,c1b2 c8a6 c4d5 a6d3 c2d3 e6d5 c3c4 f8e8 e1h1 a8c8,-69
r2q1rk1/ppbn2pp/2p1p3/1PPp1p1b/3Pn3/2NBPN2/PB3PPP/2RQ1RK1 w - -,c3b1 d8f6 c1c2 f6h6 g2g3 h5g4 b1d2 h6h5 d3e2 c6b5,-142
r3k2r/ppp2pp1/7p/3Pp3/1bBnN1bq/3P4/PPPQ1PPP/R1B1K2R w KQkq -,e4d6 c7d6 c2c3 g4f3 c3d4 b4d2 c1d2 f3g2 h1g1 h4h2,-560
r1br2k1/pp3pp1/2n1p3/3p2NQ/2q5/2P1P3/PP3PPP/R3K2R w KQ -,h5f7 g8h8 f7h5 h8g8 h5h7 g8f8 h7h8 f8e7 h8g7 e7d6,380
r2qr1k1/pb1nbppN/1p5p/2pp4/3P1B1P/P2BP3/1P3PP1/R2QK2R w KQ -,f4h6 d7f6 h7f6 e7f6 h6g5 f6g5 h4g5 d8g5 d1f3 c5d4,81
r2q1r2/1p2ppkp/2bp2p1/p1nN4/2P1P3/1P3P2/P2QB1PP/R4RK1 w - -,d2e3 e7e6 d5c3 e6e5 a1d1 d8e7 g2g3 h7h5 h2h4 c5e6,18
rnb1kb1r/ppp2ppp/3P1q2/8/2P1nB2/8/PP2PPPP/RN1QKBNR w KQkq -,g1h3 c8h3 f4e3 h3d7 d1d3 e4d6 b1c3 f6g6 e1a1 d7f5,-372
r1bq1rk1/p4ppp/1p3n2/n1ppN3/3P4/P1PBP3/2Q2PPP/R1B1K2R w KQ -,a3a4 c5c4 d3e2 f6e4 e1h1 f8e8 a1a2 d8c7 c1a3 f7f6,-84
4Q3/8/8/3K4/8/8/5k2/8 w - -,a3a4 c5c4 d3e2 f6e4 e1h1 f8e8 a1a2 d8c7 c1a3 f7f6,Mate
