r1bqkbnr/ppp2ppp/3p4/8/3nPB2/2NP4/PPP3PP/R2QKBNR w KQkq -,f4e3 c7c5 g1e2 d4c6 d3d4 d8a5 e2c1 g8f6 c1b3 a5c7,77
r4rk1/pb1nppbp/3p1np1/q1pP2B1/PpP1P3/3B1N2/1P1N1PPP/R2Q1RK1 w - -,h2h3 h7h6 g5e3 a8e8 d1c2 e7e6 a1e1 a5d8 g1h1 d8e7,38
r1b1k2r/pp2ppb1/2n1q1pp/2p5/5P2/2P2Q1N/PP1PB1PP/R1B2RK1 w kq -,e2d1 e6d6 h3f2 f7f5 d2d3 c8e6 d1b3 e8a8 f1e1 e6b3,-53
4rrk1/pbq1ppbp/5np1/2pPR1B1/PpP5/3B4/1P1N1PPP/R2Q2K1 w - -,e5e1 h7h6 g5h4 f6h5 d1c2 e7e6 d5e6 f7f5 d3e2 h5f6,-45
5Q2/2K5/8/6R1/2Pk4/8/8/1r6 w - -,e5e1 h7h6 g5h4 f6h5 d1c2 e7e6 d5e6 f7f5 d3e2 h5f6,Mate
4rrk1/pbq2pbp/4pnp1/2pP2B1/PpP5/3B4/1P1NRPPP/R2Q2K1 w - -,d5e6 f6g4 d2f1 f7e6 d1d2 g7d4 g5h4 f8f4 h4g3 c7c6,-129
4rrk1/pbq2pbp/4P1p1/2p3B1/PpP3n1/3B4/1P1NRPPP/R2Q2K1 w - -,d2f1 f7e6 d1d2 g7d4 g5h4 f8f4 h4g3 c7c6 f1e3 f4f7,-148
8/2K5/8/6R1/2P2Q2/2k5/8/1r6 w - -,d2f1 f7e6 d1d2 g7d4 g5h4 f8f4 h4g3 c7c6 f1e3 f4f7,Mate
r4b1r/1b2p2p/p1np1p2/q2Q1N1k/1p2P3/2NR4/PPP2PPP/2K4R w - -,d2f1 f7e6 d1d2 g7d4 g5h4 f8f4 h4g3 c7c6 f1e3 f4f7,Mate
4rrk1/pbq3bp/4p1p1/2p3B1/PpP3n1/3B4/1P2RPPP/R2Q1NK1 w - -,d1d2 g7d4 g5h4 f8f4 h4g3 c7c6 f1e3 e8f8 a1e1 f4f7,-135
r4rk1/pp2bppp/4pn2/7b/1n1P4/2N1BN1P/PP2BPP1/2R2RK1 w - -,g2g4 h5g6 f3e5 f6d5 a2a3 d5c3 b2c3 b4d5 c3c4 d5e3,45
r2qkb1r/pp3ppp/2n1pn2/3p4/2PP4/5b1P/PP2BPP1/RNBQ1RK1 w kq -,,0
6Q1/2k5/1n2K3/8/8/8/8/8 w - -,e2f3 d5c4 b1c3 f8e7 d4d5 e6d5 c3d5 e8h8 d5e7 d8e7,Mate
8/8/1nk1K3/8/8/6Q1/8/8 w - -,e2f3 d5c4 b1c3 f8e7 d4d5 e6d5 c3d5 e8h8 d5e7 d8e7,Mate
8/8/8/8/4k3/8/8/2Q3K1 w - -,e2f3 d5c4 b1c3 f8e7 d4d5 e6d5 c3d5 e8h8 d5e7 d8e7,Mate
r4b1r/1b2p2p/p1np1pk1/q2Q1N2/1p2P3/2NR4/PPP2PPP/2K4R w - -,e2f3 d5c4 b1c3 f8e7 d4d5 e6d5 c3d5 e8h8 d5e7 d8e7,Mate
2b5/p4k2/8/Bp1p2p1/2pP2P1/P3p1K1/1P6/8 w - -,g3h3 b5b4 a5b4 c8d7 h3g3 d7a4 g3f3 a4d1 f3e3 d1g4,-16
8/8/1n2K3/4Q3/1k6/8/8/8 w - -,g3h3 b5b4 a5b4 c8d7 h3g3 d7a4 g3f3 a4d1 f3e3 d1g4,Mate
rnb1kb1r/1pp2ppp/p7/4P3/P1p1P1n1/2N5/1P3PPP/R1BK1BNR w kq -,d1e1 g4e5 c1f4 b8c6 g1f3 e5f3 g2f3 c8e6 f4c7 f8c5,-96
K2k4/8/8/1NP5/8/p7/8/8 w - -,,0
rnbqkbnr/pp2pppp/2p5/8/2Pp4/P1N5/1P1PPPPP/R1BQKBNR w KQkq -,c3e4 e7e5 e2e3 f7f5 e4g3 c6c5 d2d3 g8f6 e3d4 c5d4,-76
rn2kb1r/ppq2ppp/2p2n2/4p1N1/4p1b1/1B1P4/PPP2PPP/RNBQ1RK1 w kq -,d1e1 g4h5 g5e4 f6e4 e1e4 h5g6 e4e2 f8c5 h2h4 h7h5,44
8/8/8/8/8/8/K5pk/6N1 w - -,g1f3 h2g3 f3g1 g3f2 g1h3 f2f3 a2b3 g2g1q h3g1 f3g4,Mate
r2qkb1r/ppp2ppp/2n5/1Q1pP3/4n1b1/5N2/PPP2PPP/RNB1KB1R w KQkq -,c1e3 a7a6 b5d3 d8d7 f1e2 e8a8 b1d2 e4c5 e3c5 f8c5,-166
2b5/p4k2/8/Bp1p2p1/2pP2P1/P4K2/1P2p3/8 w - -,a5b4 c8e6 b4c3 f7f6 c3b4 e6d7 b4e1 a7a6 e1d2 f6g7,-1
8/8/8/8/8/8/K3N1p1/7k w - -,,0
rn1qkbnr/pppb1pp1/3p3p/1B2p3/4P3/5N1P/PPPP1PP1/RNBQK2R w KQkq -,b5d7 b8d7 e1h1 g8f6 d2d3 g7g6 c2c4 f8g7 c1e3 e8h8,42
r2qkbnr/pppn1pp1/3p3p/4p3/4P3/5N1P/PPPP1PP1/RNBQK2R w KQkq -,e1h1 g8f6 f1e1 g7g6 c2c4 f8g7 d2d3 e8h8 b1c3 c7c6,44
r2qkb1r/pppn1pp1/3p1n1p/4p3/4P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,d2d4 e5d4 f3d4 g7g6 c1f4 f8g7 b1c3 e8h8 d1d2 g8h7,50
6kr/2pR4/1p6/6p1/3PB3/2P4P/q5P1/5RK1 w - -,d7d8 g8g7 d8d7 g7g8 e4d5 a2d5 d7d5 h8h5 g1h2 b6b5,783
r1b1k2r/ppp1qppp/2nppn2/8/2PP4/1P3NP1/P2QPP1P/RN2KB1R w KQkq -,b1c3 e6e5 f1g2 e8h8 e1h1 h7h6 a1d1 c8g4 d4e5 d6e5,67
