1q4k1/pR2bp1p/4p1p1/8/3r4/6P1/P3PP1P/5RK1 w - -,b7b8 g8g7 e2e3 d4a4 b8b7 e7b4 f1d1 a7a5 d1d7 g7f6,373
2N2r1k/6pp/8/5p2/6Q1/8/5PPP/6K1 w - -,g4c4 g7g5 c4d4 h8g8 c8e7 g8f7 d4d7 g5g4 e7f5 f7f6,914
1R6/p3bpkp/4p1p1/8/3r4/6P1/P3PP1P/5RK1 w - -,e2e3 d4d2 a2a4 e7c5 b8b1 h7h5 f1d1 d2a2 d1c1 c5b6,384
8/8/5k2/1p4Np/8/K7/8/8 w - -,g5f3 f6f5 f3g1 h5h4 g1h3 f5g6 h3f4 g6g5 f4h3,Mate
r2qkb1r/5ppp/p1n1pn2/1p1p1b2/3P4/PB3N2/1PP2PPP/RNBQ1RK1 w kq -,h2h3 f8d6 f3h4 f5e4 b1c3 c6a5 c3e4 f6e4 h4f3 e8h8,-56
r2qkb1r/ppp3pp/2npbn2/3NppB1/4P3/3P1N2/PPP2PPP/R2QKB1R w KQkq -,f3h4 f8e7 h4f5 e6f5 g5f6 e7f6 e4f5 c6d4 g2g3 c7c6,90
4R3/2k1K2r/8/4P3/8/8/8/8 w - -,,0
r1bqk1nr/pp1ppp1p/6p1/2p5/2BbPP2/2N5/PPPP2PP/R1BQ1RK1 w kq -,g1h1 a7a6 d1f3 d7d6 f4f5 g8f6 c3d5 b7b5 c2c3 b5c4,90
3qkb2/p2b1pp1/4p2r/2ppP2p/1r5P/1PN2NQ1/P1P2PP1/R4RK1 w - -,c3d1 b4g4 g3h2 f8e7 d1e3 g4e4 g2g3 d7c6 c2c3 g7g5,-219
k7/8/K7/8/5ppp/8/5PPP/8 w - -,h2h3 f4f3 g2f3 g4h3 a6b5 h3h2 b5c4 h2h1q f3f4 h1f3,-1414
3kq2r/3nn3/p1r2pp1/1p5p/3P2PP/QBP1BN2/P2K4/R7 w - -,d4d5 e7d5 b3d5 c6e6 a1e1 d8c8 e3f4 e8f8 a3f8 d7f8,709
1rb1r1k1/1pqn1pbp/p2p2p1/2pP2Bn/P7/2N2NP1/1P1QPPBP/R3R1K1 w - -,e2e4 b7b5 a4b5 a6b5 g2f1 c5c4 b2b4 c4b3 c3b5 b8b5,54
1k6/8/K7/8/6p1/6P1/8/8 w - -,,0
r1bqk1nr/pppp2pp/2n2p2/2b1p3/2P5/2NBP3/PP1P1PPP/R1BQK1NR w KQkq -,a2a3 d7d6 d1h5 e8f8 b2b4 c5b6 h5e2 h7h5 c1b2 c6e7,88
r1bqk2r/pp2bpp1/2n1p1n1/3pP2p/3P3P/N1PB1N2/5PP1/R1BQK2R w KQkq -,a3b5 c8d7 f3g5 d8b8 g5f7 e8f7 d1f3 f7g8 d3g6 c6e5,181
r4rk1/1Qpq1ppp/2np1n2/2b1p3/p3P3/2PP1N1P/PP3PP1/RNB1R1K1 w - -,b2b4 c5b6 c1g5 f8b8 b7b8 a8b8 g5f6 g7f6 b4b5 c6e7,-419
R7/2k3p1/P7/2p3p1/2P1P1r1/8/1KP5/8 w - -,a8e8 c7b6 e8e6 b6a7 b2b3 g4g2 b3a4 g2c2 a4b5 c2b2,458
8/6k1/8/5K2/6p1/6P1/8/8 w - -,,0
r1bq1rk1/pp2ppbp/2n3p1/8/2BP1B2/2P2N2/P4PPP/R2QK2R w KQ -,,0
4r2k/2Q1N1p1/5p1p/8/8/8/5PPP/6K1 w - -,c4b3 d8a5 e1h1 a5c3 a1c1 c3b4 c1b1 g8h8 b3a4 b4c4,Mate
2kr2nR/1ppnqpp1/p3p3/3p2P1/3P1N2/2NQPP2/PPP5/2K5 w - -,d3h7 e7f8 g5g6 c7c6 h7h5 f7g6 h5g6 f8f6 g6f6 d7f6,166
r1bq1rk1/pppp1ppp/2n5/3QP3/2B1n3/2B2N2/P4PPP/R3K2R w KQ -,d5e4 d7d5 c4d5 c6e7 d5b3 c8f5 e4e3 e7d5 e3d4 f5e6,384
3qk3/p3bpp1/2b1p2r/2ppP2p/1r5P/1PN2NPQ/P1P2P2/R4RK1 w - -,a1d1 h6g6 d1d3 b4g4 c3e2 d5d4 c2c3 d8a5 f1d1 a5a6,-328
r1bk1b1r/p1p1q1pp/2Qp4/4N1p1/3P4/8/PPP2PPP/RN2K2R w KQ -,b1c3 a8b8 c3d5 b8b6 d5e7 d6e5 e1a1 b6c6 e7c6 d8e8,846
r1bqkb1r/ppp2ppp/2n2n2/3pp3/Q1P5/P3P3/1P1P1PPP/RNB1KBNR w KQkq -,d2d4 e5d4 g1f3 c8d7 a4c2 d4e3 c1e3 d5d4 f3d4 f6g4,-89
8/8/8/7R/5K2/8/5k2/8 w - -,d2d4 e5d4 g1f3 c8d7 a4c2 d4e3 c1e3 d5d4 f3d4 f6g4,Mate
r1bqk2r/p1p1ppbp/1np3p1/8/2PP1B2/8/PP2BPPP/RN1QK2R w KQkq -,d1c1 d8d4 b1c3 c8e6 e1h1 e6c4 f1d1 d4c5 f4e3 c5b4,-49
rnb1kbnr/1p1p1ppp/1qp5/8/p1P1p3/1N1P2P1/PP2PP1P/RNBQKB1R w KQkq -,c1e3 c6c5 d3e4 a4b3 a2a4 b8c6 f1g2 d7d6 e1h1 f8e7,-201
r1bqkb1r/ppp2ppp/2n5/3np3/Q7/P3P3/1P1P1PPP/RNB1KBNR w KQkq -,d2d3 f8d6 g1f3 f7f5 b1c3 d5c3 b2c3 d8f6 a1b1 e8h8,-44
r1bq1rk1/pp3pbp/2np1np1/2p5/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,c1e3 d6d5 d3b5 c5c4 b5c6 b7c6 f3e5 f8e8 f1e1 c6c5,5
rnbqk1nr/pp4pp/3bpp2/3p4/3P1B2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f4d6 d8d6 f1d3 g8e7 e1h1 e8h8 f1e1 b8c6 b1d2 c8d7,32
3qk3/p3bpp1/2b1p1r1/2p1P2p/1r1p3P/1P3NPQ/P1P1NP1K/R4R2 w - -,f3e1 b4b8 e1d3 g6h6 f2f3 c6b5 h3g2 b8c8 a1b1 h6h8,-87
r1bqk1nr/pppp2pp/5p2/2b1p3/2B1P3/2PP4/PP3PPP/RNBQ1RK1 w kq -,d3d4 c5b6 a2a4 a7a5 d4e5 d8e7 e5f6 g8f6 e4e5 f6e4,258
r6k/2p3p1/2p1q2p/N3pr1n/PP6/2P1bP2/4QP1P/R5RK w - -,e2a2 e6a2 a1a2 e3b6 a5c6 f5f3 a4a5 b6f2 c6e5 f3f5,-209
r1b1kbnr/ppp3pp/2n2p2/3qp3/8/2P2N2/PP1PBPPP/RNBQK2R w KQkq -,d2d4 e5e4 f3d2 f6f5 e2c4 d5d6 d1e2 g8f6 c4b3 c8e6,51
r2qk2r/pppbnpp1/2np3p/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQ1RK1 w kq -,a2a4 a7a5 c1e3 e8h8 c3e2 d7e6 c4e6 f7e6 c2c3 e7g6,26
r3k2r/1p1q1ppp/p2ppn2/3p1b2/3P1B2/4P3/PPP2PPP/R2QKB1R w KQkq -,h2h3 h7h6 f2f3 e8h8 f1e2 f8e8 e1h1 e6e5 f4h2 d7e7,22
r1bqk2r/ppp2ppp/2n1pn2/8/1bPP4/3B1N2/PP3PPP/RNBQK2R w KQkq -,b1c3 c6d4 e1h1 b4c5 a2a3 e8h8 c1g5 h7h6 g5h4 a7a5,-13
r1bqkbnr/pp3ppp/2n1p3/2pp4/4PP2/P2P4/1PP3PP/RNBQKBNR w KQkq -,g1f3 f8e7 g2g3 b7b5 e4d5 e6d5 f1g2 d8b6 e1h1 g8f6,-24
8/8/8/1p3k2/8/1K1N3p/8/8 w - -,g1f3 f8e7 g2g3 b7b5 e4d5 e6d5 f1g2 d8b6 e1h1 g8f6,Mate
5k2/5p1p/q4p2/5N2/3Pn3/6PP/1R3PBK/2r5 w - -,b2b8 c1c8 b8c8 a6c8 g2e4 c8e6 e4d3 h7h6 h2g1 e6c6,-48
5k2/1pq3p1/3pR3/1PpQ1P2/2Pp1KP1/3r4/8/8 w - -,f5f6 c7f7 d5d6 f8g8 d6d8 g8h7 d8e7 h7g8 g4g5 d3e3,589
1r1r2k1/Rpqn1p2/2p1p1p1/2PpPn1p/1R1P3P/1PQ2NP1/5PK1/5N2 w - -,c3c1 d7f8 f1e3 f5g7 b4b6 f8d7 b6a6 d8f8 c1c2 f8c8,150
q2rk3/4bpp1/2b1p1r1/p1p1P2p/3p3P/PP4PQ/2PNNP1K/R4R2 w - -,e2f4 g6h6 f1g1 a5a4 h3f1 g7g5 f4d3 e8f8 f1e2 f8g7,-69
rn1qk2r/pbpp1ppp/1p2pn2/6B1/1bPP4/5NP1/PP2PP1P/RN1QKB1R w KQkq -,b1d2 h7h6 g5f6 d8f6 f1g2 c7c5 e1h1 c5d4 d2b3 e8h8,-15
r3k2r/pppq1pp1/3bpn1p/1N1p1b2/3P1B2/4P3/PPP2PPP/R2QKB1R w KQkq -,b5d6 c7d6 f2f3 e8h8 a2a4 a7a6 f1e2 f8e8 f4g3 e6e5,23
8/k5p1/P3R3/2p3p1/2P1P1r1/8/1KP5/8 w - -,b2b3 g4g2 b3a4 g2c2 a4b5 c2b2 b5c5 b2e2 c5d5 e2d2,469
2r2k2/5p1p/5p2/3P1N2/q3B3/6PP/1R3P1K/8 w - -,b2e2 a4a6 e2d2 a6a1 d2e2 c8e8 g3g4 a1a6 e2e3 a6f1,-92
8/1nr5/2r1p2p/pR1p1k2/N2P4/2PK1P2/1P6/R7 w - -,a1h1 f5g6 f3f4 c6c4 b2b3 c4c6 f4f5 g6f5 h1h6 f5g5,109
r1b1k2r/p1p1ppbp/1np3p1/8/2Pq1B2/8/PP2BPPP/RN1Q1RK1 w kq -,d1d2 d4b2 d2b2 g7b2 b1d2 b2a1 f1a1 f7f6 a2a4 c8e6,-298
5k2/6p1/1PpR4/2p2P2/2Pp1KP1/1r6/8/8 w - -,d6c6 b3b1 c6c5 b1b6 c5d5 g7g6 d5d4 g6f5 f4f5 f8e7,545
r3k2r/pp1q1pp1/3pp2p/3p1b1n/3P1B2/4PP2/PPP3PP/R2QKB1R w KQkq -,g2g4 g7g5 g4f5 g5f4 d1d2 d7e7 e1a1 f4e3 f1b5 e8f8,20
8/5kp1/1PR5/2p2PP1/2P5/1r1pK3/8/8 w - -,c6c7 f7f8 b6b7 b3b6 g5g6 d3d2 e3d2 b6b3 d2c2 b3b4,987
q2rk3/4bpp1/2b1p2r/p1p1P2p/3p1N1P/PP4PQ/2PN1P1K/R4R2 w - -,f1g1 a5a4 h3f1 g7g5 f4d3 h6g6 f1e2 e8d7 h4g5 g6g5,-74
r3k2r/p1p1pp1p/1np1b1p1/8/2Pb4/8/PP2BPPP/RNB2RK1 w kq -,f1d1 e8a8 b1d2 b6a4 d2f3 d4f6 d1f1 a4b2 f3g5 b2a4,-196
