rnbqk1nr/pp3ppp/4p3/2bpP3/8/1P6/PBP2PPP/RN1QKBNR w KQkq -,f1d3 b8c6 g1f3 g8e7 a2a3 e7g6 b3b4 c5e7 b4b5 c6a5,42
r1bqkb1r/1ppnpppp/p2p1n2/8/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq -,d3d4 e7e5 a2a4 f8e7 f1c4 e8h8 e1h1 e5d4 d1d4 h7h6,38
r1bq1rk1/p2nppbp/1pnp2p1/8/1PP1P3/2N5/P1NBBPPP/1R1Q1RK1 w - -,g1h1 c8b7 d2e1 a7a6 f2f3 a8c8 d1d2 c6e5 c2a3 f7f5,68
rnbqk1nr/pp1p1pbp/6p1/4p3/3p4/2P2NP1/PP2PPBP/RNBQK2R w KQkq -,d1a4 b8c6 c3d4 e5d4 b1a3 g8e7 a3b5 d7d5 c1f4 e8h8,-26
r1bqkb1r/p1p1np1p/1p1p1np1/3Pp3/2P1P3/2N1BN2/PP3PPP/R2QKB1R w KQkq -,h2h4 f8g7 f1e2 f6g4 e3d2 g4f6 f3h2 h7h5 d2e3 a7a5,87
r4rk1/pp1bbppp/4p3/q4NP1/8/2n1BQ2/PPP2P1P/2KR3R w - -,d1d7 c3a2 c1b1 a2c3 b2c3 a5b5 b1a2 b5d7 f5e7 d7e7,-652
r1bqr1k1/pppp1ppp/2n2n2/3Np3/1b2P3/3B1N1P/PPPP1PP1/R1BQK2R w KQ -,f3h2 f6d5 e4d5 e5e4 d3e2 c6d4 e1h1 d4e2 d1e2 b7b6,-78
2K5/P7/2P5/4k3/8/8/8/5R2 w - -,f3h2 f6d5 e4d5 e5e4 d3e2 c6d4 e1h1 d4e2 d1e2 b7b6,Mate
rnbqkb1r/pp1p1ppp/1n2p3/4P3/1pBP4/P7/2P2PPP/RNBQK1NR w KQkq -,c4f1 d7d6 g1f3 b8c6 e5d6 f8d6 a3b4 d6b4 c2c3 b4e7,-78
rn1q1rk1/pb3ppp/1p1ppn2/2p5/2PP4/P1QBPN2/1P3PPP/R1B1K2R w KQ -,b2b3 c5d4 e3d4 b7f3 g2f3 d6d5 h1g1 f8e8 e1f1 d5c4,-31
r1bq1rk1/pp2nppp/3bpn2/2pp4/3P1P2/2PBP2N/PP1N2PP/R1BQ1RK1 w - -,b2b3 c5d4 c3d4 a7a5 d2f3 a5a4 c1d2 a4b3 a2b3 a8a1,-37
rn1qk2r/pbp3pp/1p2pn2/3p4/1b2P3/2N2P2/PPPB2PP/R2QKBNR w KQkq -,a2a3 b4c3 d2c3 e8h8 g1e2 b8d7 e4d5 f6d5 d1d4 e6e5,-24
rnbqk1nr/ppp1bppp/4p3/3p4/2P5/3P1N2/PP2PPPP/RNBQKB1R w KQkq -,d3d4 g8f6 b1c3 e8h8 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5,-10
rn1qkb1r/pp1b1ppp/4pn2/8/Q1pN4/2N3P1/PP2PP1P/R1B1KB1R w KQkq -,a4c4 d8b6 f1g2 f8c5 c3a4 c5b4 c1d2 b4d2 e1d2 b6a5,16
8/Q7/8/4r3/2k5/8/3K4/8 w - -,a7a6 c4d5 d2d3 e5e7 a6c4 d5e5 c4c6 e7e6 c6c5 e5f6,171
rnbq1rk1/p1p1bppp/4pn2/2Pp4/3P4/3BP3/P4PPP/RNBQK1NR w KQ -,b1c3 c8a6 g1f3 a6d3 d1d3 b8c6 e1h1 d8d7 c1d2 c6b4,41
8/5Q2/8/4r3/3k4/8/3K4/8 w - -,f7f4 d4d5 d2c3 e5e6 f4f5 d5d6 c3d4 d6e7 d4c5 e6f6,167
r2q1rk1/pp1bnppp/3bpn2/2pp4/3P1P2/2PBP2N/PP1N2PP/R1BQ1R1K w - -,d2f3 f6e4 f3e5 a8c8 c1d2 a7a6 e5d7 d8d7,-49
r1b1k1nr/ppppqppp/1b6/n5B1/2BpP3/1QP2N2/P4PPP/RN3RK1 w kq -,b3d1 f7f6 c4g8 f6g5 g8b3 d7d6 f1e1 a5b3 a2b3 c8g4,-260
8/8/8/3r4/2k5/5Q2/3K4/8 w - -,d2c2 d5d6 f3e4 c4b5 c2b3 b5c5 e4e5 c5c6 b3c4 c6d7,157
rnbq1rk1/1p3ppp/3bpn2/p1pp4/3P4/2PBPNB1/PP3PPP/RN1QK2R w KQ -,a2a4 d8e7 b1a3 b8c6 g3d6 e7d6 a3b5 d6e7 f3e5 c8d7,36
8/8/8/3r4/3k4/5Q2/2K5/8 w - -,f3c3 d4e4 c3c7 d5e5 c2c3 e5e6 c7b7 e4f5 b7d7 f5e5,155
8/4kp2/2K4p/N5pN/4n1P1/7P/8/8 w - -,c6d5 e4f2 a5c6 e7d7 h5f6 d7c7 c6e7 f2h3 e7f5 h6h5,135
r1bq1rk1/pp3ppp/n1p1pn2/3p4/3P1P2/2N2N2/PPP2PPP/R2QKB1R w KQ -,f1a6 b7a6 c3a4 f6e4 e1h1 c6c5 a4c5 d8c7 c5d3 a6a5,103
