r3k2r/1p1bq3/p2pp3/5p2/3Nn3/1BP5/P1P1Q1PP/4RRK1 w kq -,b3e6 d6d5 e6f5 e8a8 f5e4 d5e4 e2e4 e7d6 e4e5 d6a3,315
r2r2k1/pb1n1p2/1p1qp1p1/7p/2PP4/3BN2P/R3QPP1/3R2K1 w - -,e2b2 d6e7 d3e2 d7f6 d1a1 b7e4 a2a4 d8d7 c4c5 a8b8,-64
8/2p5/5p1p/5Bp1/3k4/2p2PbP/4K1P1/8 w - -,f5c2 g3d6 c2h7 d4e5 h7g6 e5f4 g6d3 d6e5 d3h7 f4g3,-113
r2qkbnr/1b3ppp/ppn1p3/1BppP3/3P4/5N2/PPP1NPPP/R1BQK2R w KQkq -,b5c6 b7c6 h2h4 c6b5 h4h5 h7h6 c2c3 d8c7 h1h3 g8e7,59
r2qkb1r/pp3ppp/2n1pn2/1B1p3b/3P1B2/5N1P/PPPN1PP1/R2QK2R w KQkq -,e1h1 f8e7 c2c3 e8h8 f1e1 e7d6 f4d6 d8d6 a2a4 a7a6,10
r2r4/pb1n1pk1/1p1qp1p1/7p/2PP4/3BN2P/R1Q2PP1/3R2K1 w - -,c2b2 g7h7 a2a3 d7f6 b2a1 a7a5 c4c5 d6c7 c5b6 c7b6,-51
r2qkb1r/1pp1pppp/p7/3pPb2/5Bn1/2N5/PPP1PP1P/R2QKB1R w KQkq -,f2f3 g4h6 d1d5 d8d5 c3d5 e8a8 e2e4 f5e6 c2c4 e6d7,84
r3k2r/1p2q3/p2pb3/5p2/3Nn3/2P5/P1P1Q1PP/4RRK1 w kq -,e2f3 h8f8 d4f5 f8f5 f3e4 f5e5 e4f4 e5e1 f1e1 e8a8,-335
r3k2r/1p2q3/p2p4/5b2/4n3/2P5/P1P1Q1PP/4RRK1 w kq -,h2h3 e7e5 f1f5 e5f5 e2e4 f5e4 e1e4 e8d7 e4b4 b7b5,-491
r1bqkb1r/1p3ppp/p3pn2/2np4/5B2/2N1PN2/PPP1BPPP/R2QK2R w KQkq -,d1d4 c5d7 e1h1 f8c5 d4d3 e8h8 e3e4 d5d4 f3d4 e6e5,-18
r1bqkb1r/ppp2ppp/8/8/1n2p3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,a2a3 e4f3 e1h1 b4c6 d1f3 f8e7 d2d4 c6d4 f3e4 e8h8,-391
