r1bq1rk1/pp1pppbp/2n2np1/2p5/2B1P3/2NPBN2/PPP2PPP/R2QK2R w KQ -,e3c5 d7d6 c5e3 e7e6 c4b3 d6d5 e4d5 e6d5 d3d4 c6a5,153
r1bqkbnr/pppp1p1p/2n5/8/2B1Pp2/2N2p2/PPPP2PP/R1BQ1RK1 w kq -,d2d3 f8c5 g1h1 f3g2 h1g2 g8f6 c1f4 h8g8 f4g3 d7d6,-515
r1bqkbnr/pppp1p1p/8/4n3/2B1Pp2/2N2Q2/PPPP2PP/R1B2RK1 w kq -,f3f2 e5c4 f2d4 d8f6 d4c4 f6c6 c4e2 d7d6 c3d5 c8e6,-453
r2qkb1r/pp1nnppp/2p1p3/4Pb2/2pP4/5N2/PP2BPPP/RNBQ1RK1 w kq -,c1g5 b7b5 a2a4 h7h6 g5d2 e7d5 a4b5 c6b5 b1c3 d5c3,-97
r1b1kb1r/pp3pp1/2p1pq1p/1B6/3P4/5N2/PPP2PPP/R2QK2R w KQkq -,b5f1 f8d6 f1d3 e8h8 e1h1 c6c5 d4c5 d6c5 c2c3 f8d8,-42
r1bqk2r/pppnppbp/3p1np1/8/3P4/3BPN2/PPPN1PPP/R1BQK2R w KQkq -,e3e4 e8h8 e1h1 e7e5 d4e5 d6e5 d1e2 f8e8 f1e1 d7c5,28
rnbqkbnr/pp3ppp/8/2pp4/3P4/5P2/PPP3PP/RNBQKBNR w KQkq -,c1e3 b8c6 b1c3 c5c4 g1e2 b7b5 e3f4 a7a6 a2a3 h7h5,-95
r1bqkbnr/pp1ppppp/8/8/3pP3/3P4/PPP2PPP/RNBQKB1R w KQkq -,f1e2 e7e5 e1h1 g8e7 f2f4 d7d6 d1e1 e7c6 f4f5 f8e7,67
rnbq1rk1/pppp1ppp/7n/2b1p3/2B1P3/5Q1N/PPPP1PPP/RNB1K2R w KQ -,d2d4 c5d4 c2c3 d7d5 c4d5 d4b6 c1h6 g7h6 f3g3 g8h8,90
r1bqk2r/pp1pppbp/2n3p1/2p5/2B1n3/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4 d7d5 d4c5 e7e6 c4b3 e8h8 c1e3 d8e7 e3d4 f8d8,-157
r1bqk2r/pp2bppp/2nppn2/8/3pP3/2P2N2/PPB2PPP/RNBQ1RK1 w kq -,h2h3 d4c3 b1c3 e8h8 d1e2 c8d7 c1e3 d8b8 a1c1 a7a6,-102
rnbq1rk1/ppppppbp/5np1/8/2P5/2NP1N2/PP2PPPP/R1BQKB1R w KQ -,c1d2 c7c5 g2g3 b7b6 f1g2 c8b7 d2g5 d7d6 d1d2 d8d7,-39
rnb1kb1r/pp1p1ppp/1q2p3/3nP3/3N4/2N5/PPP2PPP/R1BQKB1R w KQkq -,c3d5 e6d5 d4b3 b8c6 d1d5 b6c7 b3d4 f8b4 c2c3 c6d4,148
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,d2d4 c5d4 e3d4 d7d5 c4c5 g8f6 f1b5 c8d7 c1f4 a7a6,91
rnbqk2r/ppp2ppp/4pn2/3p2B1/1b2P3/2NP4/PPP2PPP/R2QKBNR w KQkq -,f1e2 d5d4 a2a3 b4e7 c3b1 c7c5 b1d2 b8c6 g1f3 e8h8,-65
rnbqk2r/2p1ppbp/p4np1/1p6/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq -,c4f7 e8f7 d1b3 e7e6 f3g5 f7e7 e1h1 b8c6 f1d1 d8d6,-113
r1bqkb1r/pppp1ppp/2n5/4p3/2B2P2/2n2N2/PPPP2PP/R1BQK2R w KQkq -,f3e5 c3d1 c4f7 e8e7 f7h5 c6e5 f4e5 e7e6 e1d1 e6e5,-1111
8/8/8/8/K7/8/1knQ4/8 w - -,f3g5 c3d1 c4f7 e8e7 f7h5 d1f2 e1f2 g7g6 h5e2 h7h6,Mate
rnbqkbnr/ppp2p2/3p3p/6p1/3PPp1P/5N2/PPP3P1/RNBQKB1R w KQkq -,h4g5 f8g7 c1f4 c8g4 b1c3 h6g5 h1h8 g7h8 f4e3 b8c6,279
rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq -,c1b2 d7d5 g2g3 g7g6 b1c3 f8g7 f1g2 c8b7 d2d4 e8h8,32
rnbqkb1r/2p2ppp/p3pn2/1p6/2BP4/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,c4e6 f7e6 f1e1 f8d6 c1g5 e8h8 a2a4 b5b4 c3e4 d6e7,-416
8/8/8/1K6/8/1k6/2nQ4/8 w - -,c4e6 f7e6 f1e1 f8d6 c1g5 e8h8 a2a4 b5b4 c3e4 d6e7,Mate
rnbqkb1r/pp3ppp/4pn2/2pp4/1P6/P3PN2/2PP1PPP/RNBQKB1R w KQkq -,c2c4 c5b4 c4d5 f6d5 c1b2 b8c6 f1b5 c8d7 e1h1 a7a6,-117
8/8/8/8/2K5/n2Q4/1k6/8 w - -,d2d3 c5b4 f1e2 f8e7 e1h1 b8c6 a3b4 c6b4 c1a3 e8h8,Mate
r1bqkb1r/pp3ppp/4pn2/2p5/3P4/6P1/PPP2PBP/R1BQK1NR w KQkq -,g1f3 f8e7 e1h1 c5d4 d1d4 e8h8 d4c4 d8d5 c4e2 d5h5,74
8/8/8/2K5/8/n2Q4/1k6/8 w - -,c2c3 c5d4 g1f3 d4c3 d1d8 e8d8 b2c3 f8d6 e1h1 d8e7,Mate
8/8/8/8/1K6/1Q6/8/k7 w - -,c2c3 c5d4 g1f3 d4c3 d1d8 e8d8 b2c3 f8d6 e1h1 d8e7,Mate
rnbqkb1r/5ppp/p3pn2/1p1p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,a2a4 b5b4 c3b1 f8d6 f4d6 d8d6 a4a5 b8d7 b1d2 e8h8,108
8/8/8/8/1K6/3Q4/1kn5/8 w - -,a2a3 b8c6 f1d3 c8b7 e1h1 f8d6 f3e5 h7h6 f4g3 e8h8,Mate
8/8/8/8/K7/3Q4/1k6/4n3 w - -,a2a3 b8c6 f1d3 c8b7 e1h1 f8d6 f3e5 h7h6 f4g3 e8h8,Mate
8/8/8/8/K7/1Q6/8/2k1n3 w - -,a2a3 b8c6 f1d3 c8b7 e1h1 f8d6 f3e5 h7h6 f4g3 e8h8,Mate
r2qk2r/pppb1ppp/2n1pn2/3p4/3P4/2P1PNP1/PP3PP1/RN1QKB1R w KQkq -,b1d2 f6g4 f1e2 e8h8 e3e4 f7f5 e4d5 e6d5 d1b3 g4f6,84
rn1q1rk1/pbp1ppbp/1p3np1/3p4/3PP3/2NBBN2/PPP2PPP/R2Q1RK1 w - -,e4e5 f6e4 c3e2 c7c5 c2c3 b8c6 f3d2 e4d2 d1d2 d8d7,96
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/2PP1Q1P/PP3PP1/RNB1KBNR w KQkq -,a2a4 e6e5 g2g3 c8e6 f1g2 f8e7 f3e2 d5d4 g1f3 f6d7,-99
8/3k2p1/4N1N1/5K2/8/8/8/8 w - -,f5e5 d7c6 e5d4 c6b5 d4c3 b5c6 c3c4 c6b6 e6g5 b6a5,120
rn1qkb1r/1p3ppp/p3pn2/1Npp4/3P4/4PN2/PPP2PPP/R1BQ1RK1 w kq -,d1e2 a6b5 d4c5 b5b4 c1d2 f8c5 e2b5 b8d7 d2b4 b7b6,-684
r1bq1rk1/ppp1bppp/2n2n2/4p3/2B1P3/5N2/PPP1QPPP/RNB2RK1 w - -,f1d1 e7d6 h2h3 h7h6 b1c3 d8e7 a2a3 f8e8 c1e3 c8e6,50
rnbqk2r/pp1pppbp/5np1/8/3p1P2/2PBP3/PP4PP/RNBQK1NR w KQkq -,g1e2 d4e3 c1e3 b8c6 b1a3 e8h8 h2h3 a7a6 e1h1 b7b5,-280
8/6k1/6p1/6N1/4NK2/8/8/8 w - -,g1e2 d4e3 c1e3 b8c6 b1a3 e8h8 h2h3 a7a6 e1h1 b7b5,Mate
r3kb1r/ppp1qppp/2n2n2/4p3/2B1P1b1/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,h2h3 g4f3 d1f3 c6d4 f3d3 c7c6 c3e2 d4e6 d3f3 h7h6,94
r2q1rk1/pppnppbp/3p1np1/8/3P1Pb1/2PBPN2/PP4PP/RNBQ1RK1 w - -,e3e4 c7c5 c1e3 c5c4 d3c2 d8b6 b2b3 d6d5 e4e5 f6e4,50
r1bqkb1r/pppp1ppn/2n4p/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq -,c3d4 d7d5 c4e2 h7g5 e1h1 g5f3 e2f3 c6e7 b1a3 c7c6,84
