r6r/pp1kpP2/1qnp2p1/7p/5P2/2N3nP/PPPBQ1P1/2KR3R w - -,e2c4 g3h1 d1e1 e7e5 c3e4 b6d4 c4b5 d7c7 e4g5 d4f2,235
8/5p2/1R4p1/P3k2p/7P/5KP1/r4P2/8 w - -,a5a6 a2a3 f3e2 e5d4 e2d2 a3a2 d2c1 a2a5 c1b1 d4c5,114
rn1qkb1r/pppn1pp1/3p2b1/1B1Pp2p/4P1PP/2N1BN2/PPP2P2/R2QK2R w KQkq -,g4g5 c7c6 b5d3 f8e7 f3d2 d7b6 a2a4 a7a5 d2c4 b6c4,121
6k1/5pb1/2R4p/1p3P2/3PK1P1/1P1B3P/1r6/8 w - -,f5f6 g7f6 c6f6 g8g7 f6f3 h6h5 d4d5 h5g4 h3g4 b2b3,616
rn1qk2r/pppnbpp1/3p2b1/1B1Pp1Pp/4P2P/2N1BN2/PPP2P2/R2QK2R w KQkq -,b5e2 d7b6 a2a4 a7a5 e3b6 c7b6 f3d2 b8d7 d2f1 b6b5,153
7Q/5kpp/3Ppp2/1bpp4/5P1P/3q4/1r1B2P1/3RK2R w - -,h8e8 f7e8 e1f2 d5d4 d6d7 e8d7 h1h3 d3e2 f2g1 e2d1,-3841
rnb1k2r/pp2ppbp/3p1np1/q1P5/4P3/3B1N1P/PPP2PP1/RNBQK2R w KQkq -,c1d2 a5c5 e1h1 c5b6 b1c3 e8h8 d1e2 b8c6 a2a4 b6d8,45
rnbqk1nr/pp1p1pbp/4p1p1/2p5/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,d4c5 b8a6 b1c3 g8e7 f1g2 a6c5 c1e3 b7b6 e3d4 f7f6,96
6k1/5pb1/7p/5P2/1p1PK1P1/1PRB3P/1r6/8 w - -,c3c8 g8h7 c8c7 b2b3 c7f7 h7g8 d3c4 b3c3 c4e6 c3h3,519
2R2bk1/5p2/7p/5P2/1p1PK1P1/1P1B3P/1r6/8 w - -,d4d5 g8g7 f5f6 g7f6 c8f8 f6e7 f8b8 b2b3 b8b6 b3a3,632
r1bqk2r/ppp2pp1/2n1pb1p/3p4/3P3P/2N1PN2/PPP2PP1/R2QKB1R w KQkq -,d1d2 b7b6 e1a1 c8b7 e3e4 d5e4 c3e4 d8d5 e4f6 g7f6,14
1rr5/p3k3/Q3bn1p/3q1pp1/N2b4/3P2P1/PP1B1P1P/R4RK1 w - -,d2c3 c8c6 a6c4 c6c4 d3c4 d5c4 c3d4 c4d4 b2b3 e7f7,-512
r1bqkb1r/pp1pnp1p/2n1p1p1/1Bp5/3PP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,d4c5 f8g7 b1a3 e8h8 a3c4 f7f5 e1h1 f5e4 f3g5 b7b6,162
1rr5/pq2k3/Q3bn1p/5pp1/3b4/2NP2P1/PP1B1P1P/R4RK1 w - -,a6a3 e7f7 a1e1 b7b2 a3d6 b8b6 d6d4 b2d2 c3e2 e6d7,-435
rn1qkb1r/pppn1ppp/3p2b1/1B1Pp3/4P1P1/2N1BN1P/PPP2P2/R2QK2R w KQkq -,h3h4 h7h5 g4g5 c7c6 b5e2 f8e7 f3d2 d7b6 a2a4 a7a5,138
rn1qk1nr/ppp1bppp/3pb3/4p3/2P5/1PN2N2/P2PPPPP/R1BQKB1R w KQkq -,d2d4 c7c6 g2g3 b8d7 f1g2 g8f6 e1h1 e8h8 e2e4 d8a5,77
r1bqr1k1/pppp1ppp/8/2b1n3/2P5/1P2PN2/PB1NBnPP/R2QK2R w KQ -,d1c2 e5g4 b3b4 c5e3 c2c3 f7f6 h1f1 d7d5 c4d5 c8f5,-449
r2qkb1r/ppp1n1pp/2n2p2/3pp3/3P2b1/2P1PNB1/PP3PPP/RN1QKB1R w KQkq -,d1b3 d8d6 b1d2 e8a8 f1e2 h7h5 h2h3 g4f5 b3a4 a7a6,51
rnbqk1nr/pp3ppp/4p3/2bpP3/2Pp4/5N2/PP1B1PPP/RN1QKB1R w KQkq -,b2b4 c5e7 d1c2 d5c4 f1c4 a7a6 e1h1 b8c6 f1d1 e7b4,14
