rnbq1rk1/ppp1p1bp/4pnp1/6BP/8/2N5/PPP2PP1/R2QKBNR w KQ -,f1d3 h7h6 d1d2 f6g4 f2f3 h6g5 f3g4 d8d4 e1a1 b8c6,155
r2q1rk1/pp2ppbp/2npbnp1/8/2P1P3/1NN5/PP2BPPP/R1BQ1RK1 w - -,c1e3 a8c8 f2f4 c6a5 c4c5 a5b3 a2b3 d6c5 d1d8 f8d8,12
r4rk1/pp1qppbp/2npbnp1/8/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 w - -,h2h3 c6e5 b3d2 a8c8 c3d5 e6d5 c4d5 d7c7 a1c1 c7b8,61
rnb2qk1/ppp1p1bp/4p3/5rBQ/8/2NB4/PPP2PP1/2KR2N1 w - -,g2g4 b8c6 g4f5 c6e5 h5h4 e6f5 d3c4 e5c4 h4c4 g8h8,522
r1b2rk1/ppq2ppp/2n2n2/2b5/2B5/2P2N2/P4PPP/RNBQ1RK1 w - -,c1a3 f8d8 d1b3 c5b6 b1d2 c6a5 b3b4 c8f5 c4b3 f5d3,-150
r1b1kbnr/1pppnppp/p4q2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d2d4 e7g6 e1h1 f8e7 f1e1 b7b5 a4b3 g8h6 c1g5 f6d6,219
8/8/5K2/r7/7k/8/6Q1/8 w - -,d2d4 e7g6 e1h1 f8e7 f1e1 b7b5 a4b3 g8h6 c1g5 f6d6,Mate
r1bq1rk1/3n1pbp/pp2p1p1/6N1/P1Bp1Q2/B7/2P2PPP/1R2R1K1 w - -,g5f7 d7c5 f7d8 f8f4 a3c5 d4d3 c2d3 b6c5 d8e6 c8e6,342
r1r3k1/1p2ppb1/p2pbnp1/q6p/P1PBP3/1PN2P2/4B1PP/2RQ1RK1 w - -,f3f4 b7b5 f4f5 g6f5 e4f5 e6d7 a4b5 a6b5 c4b5 d6d5,156
r1r3k1/1p2ppb1/p2p1np1/q2b3p/P1PBP3/1P3P2/4B1PP/2RQ1RK1 w - -,e4d5 f6d5 d4g7 d5e3 d1d3 a5g5 g1f2 e3f1 g7b2 f1h2,7
8/pp6/3p1k1p/3P4/5B2/3n1K2/PP5P/8 w - -,f4d6 d3b2 f3f4 b2c4 d6c5 b7b6 c5b4 h6h5 f4e4 a7a6,58
